"plh0178","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Not Employed","1-pers.-HH","4","","","","0"
"0 Completely dissatisfied","1984","Not Employed","(Married) couple without C. ","9","","","","0"
"0 Completely dissatisfied","1984","Not Employed","Single parent ","5","","","","0"
"0 Completely dissatisfied","1984","Not Employed","Couple + C. LE 16 ","17","","","","0"
"0 Completely dissatisfied","1984","Not Employed","Couple + C. GT 16 ","10","","","","0"
"0 Completely dissatisfied","1984","Not Employed","Couple + C. LE and GT 16","5","","","","0"
"0 Completely dissatisfied","1984","Employed","1-pers.-HH","5","","","","0"
"0 Completely dissatisfied","1984","Employed","(Married) couple without C. ","29","","","","0"
"0 Completely dissatisfied","1984","Employed","Single parent ","14","","","","0"
"0 Completely dissatisfied","1984","Employed","Couple + C. LE 16 ","60","0.0207962560503598","0.0148073242315409","0.0267851878691788","0"
"0 Completely dissatisfied","1984","Employed","Couple + C. GT 16 ","22","","","","0"
"0 Completely dissatisfied","1984","Employed","Couple + C. LE and GT 16","43","0.0301222834091688","0.0200535065471238","0.0401910602712139","0"
"1 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","3","","","","1"
"1 on Scale 1 to 10","1984","Employed","Single parent ","3","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","8","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","5","","","","1"
"1 on Scale 1 to 10","1984","Employed","1-pers.-HH","11","","","","1"
"1 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","10","","","","1"
"1 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","29","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","7","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","7","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","Single parent ","1","","","","1"
"1 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","16","","","","1"
"1 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","14","","","","1"
"10 Completely satisfied","1984","Employed","1-pers.-HH","171","0.257368203644003","0.224363004433738","0.290373402854268","10"
"10 Completely satisfied","1984","Employed","(Married) couple without C. ","406","0.282314424826339","0.259459036743073","0.305169812909605","10"
"10 Completely satisfied","1984","Employed","Single parent ","64","0.19516097162614","0.153580790444345","0.236741152807935","10"
"10 Completely satisfied","1984","Employed","Couple + C. LE 16 ","448","0.214455694769519","0.197230093421507","0.231681296117532","10"
"10 Completely satisfied","1984","Employed","Couple + C. GT 16 ","316","0.258151523794097","0.234316907884467","0.281986139703726","10"
"10 Completely satisfied","1984","Employed","Couple + C. LE and GT 16","261","0.249764434203759","0.22426453857438","0.275264329833138","10"
"10 Completely satisfied","1984","Not Employed","1-pers.-HH","267","0.428601583190636","0.390644930832469","0.466558235548804","10"
"10 Completely satisfied","1984","Not Employed","(Married) couple without C. ","482","0.413301734962293","0.385463809135397","0.441139660789189","10"
"10 Completely satisfied","1984","Not Employed","Single parent ","52","0.228706004824484","0.174189321511337","0.283222688137632","10"
"10 Completely satisfied","1984","Not Employed","Couple + C. LE 16 ","194","0.224434711193489","0.196978508275262","0.251890914111716","10"
"10 Completely satisfied","1984","Not Employed","Couple + C. GT 16 ","181","0.281087939204566","0.247374991279766","0.314800887129366","10"
