"plh0178","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"2 on Scale 1 to 10","1984","16-34 y.","Single parent ","14","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE 16 ","69","0.0440240436891236","0.0336561001607119","0.0543919872175352","2"
"2 on Scale 1 to 10","1984","16-34 y.","Couple + C. GT 16 ","16","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE and GT 16","14","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","1-pers.-HH","15","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","(Married) couple without C. ","24","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","Single parent ","12","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE 16 ","49","0.0252816600622801","0.0174943224758036","0.0330689976487567","2"
"2 on Scale 1 to 10","1984","35-65 y.","Couple + C. GT 16 ","43","0.0352420383530324","0.0245570322596363","0.0459270444464286","2"
"2 on Scale 1 to 10","1984","66 and older","1-pers.-HH","5","","","","2"
"2 on Scale 1 to 10","1984","66 and older","(Married) couple without C. ","8","","","","2"
"2 on Scale 1 to 10","1984","66 and older","Single parent ","","","","","2"
"2 on Scale 1 to 10","1984","66 and older","Couple + C. LE 16 ","","","","","2"
"2 on Scale 1 to 10","1984","66 and older","Couple + C. GT 16 ","","","","","2"
"2 on Scale 1 to 10","1984","66 and older","Couple + C. LE and GT 16","","","","","2"
"3 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE and GT 16","53","0.049613225905573","0.0361882354623725","0.0630382163487734","3"
"3 on Scale 1 to 10","1984","16-34 y.","1-pers.-HH","12","","","","3"
"3 on Scale 1 to 10","1984","16-34 y.","(Married) couple without C. ","33","0.0487698315549579","0.0321605721653579","0.0653790909445579","3"
"3 on Scale 1 to 10","1984","16-34 y.","Single parent ","11","","","","3"
"3 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE 16 ","93","0.0559294419646383","0.0443163826855249","0.0675425012437517","3"
"3 on Scale 1 to 10","1984","16-34 y.","Couple + C. GT 16 ","14","","","","3"
"3 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE and GT 16","15","","","","3"
"3 on Scale 1 to 10","1984","35-65 y.","1-pers.-HH","24","","","","3"
"3 on Scale 1 to 10","1984","35-65 y.","(Married) couple without C. ","34","0.0197047864229528","0.0126096025245031","0.0267999703214025","3"
"3 on Scale 1 to 10","1984","35-65 y.","Single parent ","15","","","","3"
"3 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE 16 ","91","0.0484465904406078","0.0377954813393089","0.0590976995419067","3"
"3 on Scale 1 to 10","1984","35-65 y.","Couple + C. GT 16 ","55","0.051451130623637","0.0386495853785884","0.0642526758686857","3"
"3 on Scale 1 to 10","1984","66 and older","1-pers.-HH","6","","","","3"
"3 on Scale 1 to 10","1984","66 and older","(Married) couple without C. ","11","","","","3"
"3 on Scale 1 to 10","1984","66 and older","Single parent ","1","","","","3"
"3 on Scale 1 to 10","1984","66 and older","Couple + C. LE 16 ","","","","","3"
"3 on Scale 1 to 10","1984","66 and older","Couple + C. GT 16 ","","","","","3"
"3 on Scale 1 to 10","1984","66 and older","Couple + C. LE and GT 16","","","","","3"
"4 on Scale 1 to 10","1984","16-34 y.","(Married) couple without C. ","20","","","","4"
"4 on Scale 1 to 10","1984","16-34 y.","Single parent ","11","","","","4"
"4 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE 16 ","58","0.0367240488655056","0.0272185522802018","0.0462295454508095","4"
"4 on Scale 1 to 10","1984","35-65 y.","1-pers.-HH","14","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","Couple + C. GT 16 ","38","0.0301696807945203","0.0202575205384229","0.0400818410506176","4"
"4 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE and GT 16","45","0.0462030185988804","0.0332244078565459","0.0591816293412149","4"
"4 on Scale 1 to 10","1984","16-34 y.","1-pers.-HH","16","","","","4"
"4 on Scale 1 to 10","1984","66 and older","(Married) couple without C. ","6","","","","4"
"4 on Scale 1 to 10","1984","66 and older","Single parent ","","","","","4"
"4 on Scale 1 to 10","1984","66 and older","Couple + C. GT 16 ","2","","","","4"
"4 on Scale 1 to 10","1984","66 and older","Couple + C. LE and GT 16","","","","","4"
"4 on Scale 1 to 10","1984","66 and older","1-pers.-HH","6","","","","4"
"4 on Scale 1 to 10","1984","16-34 y.","Couple + C. GT 16 ","39","0.0444127632162226","0.0300198140249828","0.0588057124074624","4"
"4 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE and GT 16","30","0.0399577172110515","0.0254794714775853","0.0544359629445177","4"
"4 on Scale 1 to 10","1984","35-65 y.","(Married) couple without C. ","45","0.0295910912453505","0.0209402722085131","0.038241910282188","4"
"4 on Scale 1 to 10","1984","35-65 y.","Single parent ","14","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE 16 ","72","0.0431613404539889","0.0330801119547717","0.053242568953206","4"
"4 on Scale 1 to 10","1984","66 and older","Couple + C. LE 16 ","","","","","4"
"5 on Scale 1 to 10","1984","16-34 y.","1-pers.-HH","35","0.0888005447293906","0.0591266003039326","0.118474489154849","5"
"5 on Scale 1 to 10","1984","16-34 y.","(Married) couple without C. ","60","0.0934245970933692","0.0709824494789717","0.115866744707767","5"
"5 on Scale 1 to 10","1984","16-34 y.","Single parent ","29","","","","5"
"5 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE 16 ","196","0.135578006970688","0.118276588940083","0.152879425001294","5"
"5 on Scale 1 to 10","1984","16-34 y.","Couple + C. GT 16 ","61","0.0771712734799189","0.0585268434661061","0.0958157034937318","5"
"5 on Scale 1 to 10","1984","35-65 y.","Single parent ","33","0.121292455768714","0.0819115954353453","0.160673316102082","5"
"5 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE 16 ","186","0.113649446629021","0.0979047947624896","0.129394098495553","5"
"5 on Scale 1 to 10","1984","35-65 y.","Couple + C. GT 16 ","124","0.107539456998653","0.0895874292602424","0.125491484737065","5"
"5 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE and GT 16","119","0.123149013402518","0.102832769123811","0.143465257681225","5"
"5 on Scale 1 to 10","1984","66 and older","1-pers.-HH","32","0.0691842473957871","0.0459940391881727","0.0923744556034015","5"
"5 on Scale 1 to 10","1984","66 and older","(Married) couple without C. ","32","0.0547538680796361","0.0361102613336253","0.0733974748256469","5"
"5 on Scale 1 to 10","1984","66 and older","Single parent ","2","","","","5"
"5 on Scale 1 to 10","1984","66 and older","Couple + C. LE 16 ","1","","","","5"
"5 on Scale 1 to 10","1984","66 and older","Couple + C. GT 16 ","6","","","","5"
"5 on Scale 1 to 10","1984","66 and older","Couple + C. LE and GT 16","","","","","5"
"5 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE and GT 16","56","0.0861734096618851","0.0654295788054533","0.106917240518317","5"
"5 on Scale 1 to 10","1984","35-65 y.","1-pers.-HH","60","0.10484043491757","0.078356582031414","0.131324287803727","5"
"5 on Scale 1 to 10","1984","35-65 y.","(Married) couple without C. ","128","0.0826658817573369","0.0686077932336268","0.096723970281047","5"
"6 on Scale 1 to 10","1984","16-34 y.","1-pers.-HH","24","","","","6"
"6 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE 16 ","114","0.0657901940839329","0.0534917708664971","0.0780886173013687","6"
"6 on Scale 1 to 10","1984","35-65 y.","Couple + C. GT 16 ","85","0.0622837480951694","0.0482795524298271","0.0762879437605116","6"
"6 on Scale 1 to 10","1984","66 and older","Couple + C. LE and GT 16","","","","","6"
"6 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE and GT 16","83","0.0756832525484886","0.0593310836168809","0.0920354214800963","6"
"6 on Scale 1 to 10","1984","16-34 y.","(Married) couple without C. ","56","0.0862393485146401","0.0645921952625264","0.107886501766754","6"
"6 on Scale 1 to 10","1984","16-34 y.","Single parent ","18","","","","6"
"6 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE 16 ","115","0.0700364280716597","0.057138524205811","0.0829343319375085","6"
"6 on Scale 1 to 10","1984","16-34 y.","Couple + C. GT 16 ","71","0.085577899833848","0.0660338350368182","0.105121964630878","6"
"6 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE and GT 16","44","0.0579142819514133","0.0406476164165439","0.0751809474862828","6"
"6 on Scale 1 to 10","1984","35-65 y.","1-pers.-HH","31","0.0586326603049306","0.0383223810559307","0.0789429395539305","6"
"6 on Scale 1 to 10","1984","35-65 y.","(Married) couple without C. ","115","0.0748494019744724","0.0614155755180843","0.0882832284308604","6"
"6 on Scale 1 to 10","1984","35-65 y.","Single parent ","22","","","","6"
"6 on Scale 1 to 10","1984","66 and older","1-pers.-HH","22","","","","6"
"6 on Scale 1 to 10","1984","66 and older","(Married) couple without C. ","22","","","","6"
"6 on Scale 1 to 10","1984","66 and older","Single parent ","3","","","","6"
"6 on Scale 1 to 10","1984","66 and older","Couple + C. LE 16 ","1","","","","6"
"6 on Scale 1 to 10","1984","66 and older","Couple + C. GT 16 ","3","","","","6"
"7 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE 16 ","192","0.129098363102715","0.112152289274474","0.146044436930955","7"
"7 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE and GT 16","130","0.137384793495837","0.11610129840085","0.158668288590823","7"
"7 on Scale 1 to 10","1984","16-34 y.","Single parent ","38","0.129140739289618","0.0902065368751646","0.168074941704072","7"
"7 on Scale 1 to 10","1984","66 and older","1-pers.-HH","31","0.0667369225647766","0.0439306502633491","0.0895431948662042","7"
"7 on Scale 1 to 10","1984","66 and older","Couple + C. GT 16 ","3","","","","7"
"7 on Scale 1 to 10","1984","16-34 y.","1-pers.-HH","49","0.141330186787102","0.104989652969819","0.177670720604385","7"
"7 on Scale 1 to 10","1984","66 and older","(Married) couple without C. ","52","0.0912446244321899","0.0676465146598101","0.11484273420457","7"
"7 on Scale 1 to 10","1984","16-34 y.","(Married) couple without C. ","90","0.148693796440503","0.121257773577856","0.176129819303149","7"
"7 on Scale 1 to 10","1984","66 and older","Single parent ","2","","","","7"
"7 on Scale 1 to 10","1984","66 and older","Couple + C. LE 16 ","","","","","7"
"7 on Scale 1 to 10","1984","16-34 y.","Couple + C. GT 16 ","108","0.145175935926499","0.120563963954934","0.169787907898065","7"
"7 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE and GT 16","100","0.143885997617985","0.117941486304639","0.169830508931331","7"
"7 on Scale 1 to 10","1984","35-65 y.","1-pers.-HH","56","0.0968268925873981","0.0712616435517868","0.122392141623009","7"
"7 on Scale 1 to 10","1984","35-65 y.","(Married) couple without C. ","165","0.108749110612343","0.0928558796631595","0.124642341561527","7"
"7 on Scale 1 to 10","1984","35-65 y.","Single parent ","31","0.123327035688473","0.0836632574942919","0.162990813882655","7"
"7 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE 16 ","194","0.136478729932326","0.119448690820359","0.153508769044294","7"
"7 on Scale 1 to 10","1984","35-65 y.","Couple + C. GT 16 ","148","0.124636813522111","0.105496352830809","0.143777274213414","7"
"7 on Scale 1 to 10","1984","66 and older","Couple + C. LE and GT 16","","","","","7"
"8 on Scale 1 to 10","1984","16-34 y.","1-pers.-HH","83","0.240115625740857","0.195555674504481","0.284675576977234","8"
