"plh0178","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","1-pers.-HH","Urban Area","12","","","","0"
"0 Completely dissatisfied","1985","1-pers.-HH","Rural Area","1","","","","0"
"0 Completely dissatisfied","1985","(Married) couple without C. ","Urban Area","10","","","","0"
"0 Completely dissatisfied","1985","(Married) couple without C. ","Rural Area","4","","","","0"
"0 Completely dissatisfied","1985","Single parent ","Urban Area","10","","","","0"
"0 Completely dissatisfied","1985","Single parent ","Rural Area","2","","","","0"
"0 Completely dissatisfied","1985","Couple + C. LE 16 ","Urban Area","37","0.0137427345205853","0.00879628062541692","0.0186891884157537","0"
"0 Completely dissatisfied","1985","Couple + C. LE 16 ","Rural Area","5","","","","0"
"0 Completely dissatisfied","1985","Couple + C. GT 16 ","Urban Area","18","","","","0"
"0 Completely dissatisfied","1985","Couple + C. GT 16 ","Rural Area","12","","","","0"
"0 Completely dissatisfied","1985","Couple + C. LE and GT 16","Urban Area","20","","","","0"
"0 Completely dissatisfied","1985","Couple + C. LE and GT 16","Rural Area","3","","","","0"
"1 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","3","","","","1"
"1 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","8","","","","1"
"1 on Scale 1 to 10","1985","Single parent ","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","17","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","12","","","","1"
"1 on Scale 1 to 10","1985","Single parent ","Urban Area","9","","","","1"
"1 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","9","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","26","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","12","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Rural Area","3","","","","1"
"10 Completely satisfied","1985","1-pers.-HH","Urban Area","277","0.303761418917239","0.275229684718203","0.332293153116275","10"
"10 Completely satisfied","1985","1-pers.-HH","Rural Area","67","0.402501519730711","0.330050596856503","0.47495244260492","10"
"10 Completely satisfied","1985","(Married) couple without C. ","Urban Area","508","0.285536813184659","0.265312614605278","0.305761011764041","10"
"10 Completely satisfied","1985","(Married) couple without C. ","Rural Area","138","0.292995524608455","0.252819569860203","0.333171479356708","10"
"10 Completely satisfied","1985","Single parent ","Urban Area","82","0.185821882411633","0.148842320103674","0.222801444719592","10"
"10 Completely satisfied","1985","Single parent ","Rural Area","19","","","","10"
"10 Completely satisfied","1985","Couple + C. LE 16 ","Urban Area","327","0.160597395745606","0.144997680008405","0.176197111482807","10"
"10 Completely satisfied","1985","Couple + C. LE 16 ","Rural Area","119","0.212472266202363","0.178034696020895","0.246909836383831","10"
"10 Completely satisfied","1985","Couple + C. GT 16 ","Urban Area","316","0.198926318879639","0.179570817765135","0.218281819994143","10"
"10 Completely satisfied","1985","Couple + C. GT 16 ","Rural Area","73","0.193674987550461","0.154201130812343","0.23314884428858","10"
"10 Completely satisfied","1985","Couple + C. LE and GT 16","Urban Area","214","0.184938088024796","0.162489110877779","0.207387065171813","10"
"10 Completely satisfied","1985","Couple + C. LE and GT 16","Rural Area","62","0.168429101690023","0.127989362184937","0.208868841195109","10"
"2 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","85","0.0396659096509451","0.0313734730216978","0.0479583462801924","2"
"2 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","5","","","","2"
"2 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","27","","","","2"
"2 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","47","0.0213813332531437","0.0149043245938715","0.0278583419124159","2"
"2 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","8","","","","2"
"2 on Scale 1 to 10","1985","Single parent ","Urban Area","17","","","","2"
"2 on Scale 1 to 10","1985","Single parent ","Rural Area","4","","","","2"
"2 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","22","","","","2"
"2 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","59","0.0296192309789582","0.0213990752595277","0.0378393866983886","2"
