"year","e11103","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","Full Time","East Germany","5","5","2057","2","3","7","8","10","4.91","5.09","0","10","5","5"
"2004","Full Time","West Germany","4.91","5","6381","2","3","7","8","9","4.86","4.96","0","10","5","5"
"2004","Not Working","East Germany","3.99","4","2154","1","2","5","7","9","3.89","4.09","0","10","4","5"
"2004","Not Working","West Germany","3.48","3","5996","0","1","5","7","9","3.42","3.54","0","10","4","4"
"2004","Part Time","East Germany","4.89","5","1017","2","3","7","8","10","4.76","5.02","0","10","5","5"
"2004","Part Time","West Germany","4.33","5","3991","1","3","6","7","10","4.26","4.4","0","10","5","5"
"2005","Full Time","East Germany","","","","","","","","","","","","","",""
"2005","Full Time","West Germany","","","","","","","","","","","","","",""
"2005","Not Working","East Germany","","","","","","","","","","","","","",""
"2005","Not Working","West Germany","","","","","","","","","","","","","",""
"2005","Part Time","East Germany","","","","","","","","","","","","","",""
"2005","Part Time","West Germany","","","","","","","","","","","","","",""
"2006","Full Time","East Germany","5.2","5","2007","3","4","7","8","10","5.11","5.29","0","10","5","5"
"2006","Full Time","West Germany","5.17","5","6394","2","4","7","8","10","5.12","5.22","0","10","5","5"
"2006","Not Working","East Germany","4.43","5","2219","1","3","6","7","10","4.34","4.52","0","10","5","5"
"2006","Not Working","West Germany","4.1","4","6314","0","2","6","7","10","4.04","4.16","0","10","4","5"
"2006","Part Time","East Germany","5.14","5","1049","2","4","7","8","10","5.01","5.27","0","10","5","5"
"2006","Part Time","West Germany","4.79","5","3951","2","3","6","8","10","4.72","4.86","0","10","5","5"
"2007","Full Time","East Germany","","","","","","","","","","","","","",""
"2007","Full Time","West Germany","","","","","","","","","","","","","",""
"2007","Not Working","East Germany","","","","","","","","","","","","","",""
"2007","Not Working","West Germany","","","","","","","","","","","","","",""
"2007","Part Time","East Germany","","","","","","","","","","","","","",""
"2007","Part Time","West Germany","","","","","","","","","","","","","",""
"2008","Full Time","East Germany","4.83","5","1864","2","3","6","8","10","4.73","4.93","0","10","5","5"
"2008","Full Time","West Germany","4.81","5","5630","2","3","7","8","10","4.75","4.87","0","10","5","5"
"2008","Not Working","East Germany","4.17","4","1985","1","2","6","7","9","4.07","4.27","0","10","4","4"
"2008","Not Working","West Germany","3.91","4","5491","1","2","5","7","10","3.85","3.97","0","10","4","4"
"2008","Part Time","East Germany","4.62","5","937","2","3","6","8","10","4.48","4.76","0","10","5","5"
"2008","Part Time","West Germany","4.51","5","3482","2","3","6","7","10","4.44","4.58","0","10","4","5"
"2009","Full Time","East Germany","4.24","5","1809","2","3","6","7","8","4.15","4.33","0","10","4","5"
"2009","Full Time","West Germany","4.26","4","5187","2","3","6","7","9","4.2","4.32","0","10","4","4"
"2009","Not Working","East Germany","3.39","3","1853","0","2","5","6","8","3.29","3.49","0","10","3","3"
"2009","Not Working","West Germany","3.08","3","4975","0","1","5","6","9","3.02","3.14","0","10","3","3"
"2009","Part Time","East Germany","4.08","4","884","1","2","5","7","8.2","3.94","4.22","0","10","4","5"
"2009","Part Time","West Germany","3.9","4","3341","1","2","5","7","9","3.83","3.97","0","10","4","4"
"2010","Full Time","East Germany","4.67","5","2172","2","3","6","8","10","4.58","4.76","0","10","5","5"
"2010","Full Time","West Germany","4.71","5","7058","2","3","6","8","10","4.66","4.76","0","10","5","5"
"2010","Not Working","East Germany","4.15","4","2058","1","3","6","7","9","4.05","4.25","0","10","4","5"
"2010","Not Working","West Germany","3.67","3","6352","0","2","5","7","10","3.61","3.73","0","10","4","4"
"2010","Part Time","East Germany","4.54","5","1242","2","3","6","7","9","4.41","4.67","0","10","5","5"
"2010","Part Time","West Germany","4.38","5","5105","1","3","6","7","10","4.32","4.44","0","10","4","5"
"2011","Full Time","East Germany","4.98","5","1944","2","3","7","8","10","4.89","5.07","0","10","5","5"
"2011","Full Time","West Germany","5.01","5","5851","2","3","7","8","10","4.95","5.07","0","10","5","5"
"2011","Not Working","East Germany","4.26","5","2008","1","3","6","7","9","4.16","4.36","0","10","4","5"
"2011","Not Working","West Germany","3.88","4","6110","0","2","5","7","10","3.82","3.94","0","10","4","4"
"2011","Part Time","East Germany","4.9","5","961","2","3","6","7","9","4.77","5.03","0","10","5","5"
"2011","Part Time","West Germany","4.62","5","3928","2","3","6","7","10","4.55","4.69","0","10","5","5"
"2012","Full Time","East Germany","5.28","5","2410","3","4","7","8","10","5.2","5.36","0","10","5","5"
"2012","Full Time","West Germany","5.26","5","8004","2","4","7","8","10","5.21","5.31","0","10","5","5"
"2012","Not Working","East Germany","4.52","5","2401","2","3","6","7","10","4.43","4.61","0","10","5","5"
"2012","Not Working","West Germany","4.27","5","7392","1","2","6","7","10","4.22","4.32","0","10","5","5"
"2012","Part Time","East Germany","5.09","5","1385","2","4","7","8","10","4.98","5.2","0","10","5","5"
"2012","Part Time","West Germany","4.84","5","6072","2","3","7","8","10","4.78","4.9","0","10","5","5"
"2013","Full Time","East Germany","4.86","5","1687","2","3","7","8","10","4.75","4.97","0","10","5","5"
"2013","Full Time","West Germany","4.88","5","5302","2","3","7","8","10","4.82","4.94","0","10","5","5"
"2013","Not Working","East Germany","4.41","5","2245","1","3","6","8","10","4.31","4.51","0","10","5","5"
"2013","Not Working","West Germany","4.17","4","10052","1","2","6","8","10","4.12","4.22","0","10","5","5"
"2013","Part Time","East Germany","4.78","5","917","2","3","7","8","10","4.63","4.93","0","10","5","5"
"2013","Part Time","West Germany","4.49","5","3678","1","3","6","8","10","4.41","4.57","0","10","5","5"
"2014","Full Time","East Germany","5.24","5","2142","2","4","7","8","10","5.15","5.33","0","10","5","5"
"2014","Full Time","West Germany","5.21","5","8043","2","4","7","8","10","5.16","5.26","0","10","5","5"
"2014","Not Working","East Germany","4.5","5","2145","1","3","6","8","10","4.4","4.6","0","10","5","5"
"2014","Not Working","West Germany","4.17","4","7180","0","2","6","8","10","4.11","4.23","0","10","5","5"
"2014","Part Time","East Germany","5.04","5","1303","2","3","7","8","10","4.91","5.17","0","10","5","5"
"2014","Part Time","West Germany","4.76","5","6213","2","3","7","8","10","4.7","4.82","0","10","5","5"
"2015","Full Time","East Germany","5.38","5","1994","2","4","7","8","10","5.28","5.48","0","10","5","5"
"2015","Full Time","West Germany","5.26","5","7513","2","4","7","8","10","5.21","5.31","0","10","5","5"
"2015","Not Working","East Germany","4.43","5","2193","1","3","6","8","10","4.33","4.53","0","10","5","5"
"2015","Not Working","West Germany","4.35","5","8060","1","2","6","8","10","4.29","4.41","0","10","5","5"
"2015","Part Time","East Germany","5.09","5","1249","2","3","7","8","10","4.96","5.22","0","10","5","5"
"2015","Part Time","West Germany","4.85","5","5883","2","3","7","8","10","4.79","4.91","0","10","5","5"
"2016","Full Time","East Germany","5.38","5","1951","2","4","7","8","10","5.28","5.48","0","10","5","6"
"2016","Full Time","West Germany","5.26","5","7230","2","3","7","8","10","5.21","5.31","0","10","5","5"
"2016","Not Working","East Germany","4.55","5","2626","1","3","6","8","10","4.45","4.65","0","10","5","5"
"2016","Not Working","West Germany","4.34","5","9748","1","2","6","8","10","4.28","4.4","0","10","5","5"
"2016","Part Time","East Germany","5.09","5","1208","2","3","7","8","10","4.96","5.22","0","10","5","5"
"2016","Part Time","West Germany","4.92","5","5762","2","3","7","8","10","4.86","4.98","0","10","5","5"
"2017","Full Time","East Germany","5.19","5","2284","2","3","7","8","10","5.1","5.28","0","10","5","5"
"2017","Full Time","West Germany","5.15","5","8176","2","3","7","8","10","5.1","5.2","0","10","5","5"
"2017","Not Working","East Germany","4.29","5","2704","1","2","6","7","10","4.19","4.39","0","10","5","5"
"2017","Not Working","West Germany","4.27","4","11038","1","2","6","8","10","4.22","4.32","0","10","5","5"
"2017","Part Time","East Germany","4.85","5","1356","2","3","7","8","10","4.72","4.98","0","10","5","5"
"2017","Part Time","West Germany","4.73","5","6483","2","3","7","8","10","4.67","4.79","0","10","5","5"
"2018","Full Time","East Germany","4.8","5","2185","2","3","7","8","10","4.7","4.9","0","10","5","5"
"2018","Full Time","West Germany","4.85","5","7897","2","3","7","8","10","4.8","4.9","0","10","5","5"
"2018","Not Working","East Germany","4","4","2515","1","2","6","7","10","3.9","4.1","0","10","4","4"
"2018","Not Working","West Germany","3.98","4","9451","1","2","6","7","10","3.92","4.04","0","10","3","4"
"2018","Part Time","East Germany","4.42","5","1410","1","3","6","8","10","4.29","4.55","0","10","4","5"
"2018","Part Time","West Germany","4.38","4","6487","1","2","6","8","10","4.32","4.44","0","10","4","5"
"2019","Full Time","East Germany","5.39","5","2396","2","4","7","8","10","5.3","5.48","0","10","5","6"
"2019","Full Time","West Germany","5.4","6","8427","2","4","7","8","10","5.35","5.45","0","10","6","6"
"2019","Not Working","East Germany","4.49","5","2346","1","3","6","8","10","4.39","4.59","0","10","5","5"
"2019","Not Working","West Germany","4.53","5","8650","1","3","6","8","10","4.47","4.59","0","10","5","5"
"2019","Part Time","East Germany","5.07","5","1321","2","3","7","8","10","4.94","5.2","0","10","5","5"
"2019","Part Time","West Germany","4.97","5","6399","2","3","7","8","10","4.91","5.03","0","10","5","5"
