"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","4.26","5","21596","1","2","6","7","9","4.23","4.29","0","10","5","5"
"2005","","","","","","","","","","","","","",""
"2006","4.69","5","21934","1","3","6","8","10","4.66","4.72","0","10","5","5"
"2007","","","","","","","","","","","","","",""
"2008","4.42","5","19389","1","3","6","8","10","4.39","4.45","0","10","5","5"
"2009","3.75","4","18049","1","2","5","7","9","3.72","3.78","0","10","4","4"
"2010","4.28","4","23987","1","2","6","7","10","4.25","4.31","0","10","5","5"
"2011","4.52","5","20802","1","3","6","8","10","4.49","4.55","0","10","5","5"
"2012","4.82","5","27664","2","3","7","8","10","4.79","4.85","0","10","5","5"
"2013","4.51","5","23881","1","3","6","8","10","4.48","4.54","0","10","5","5"
"2014","4.74","5","27026","1","3","7","8","10","4.71","4.77","0","10","5","5"
"2015","4.84","5","26892","2","3","7","8","10","4.81","4.87","0","10","5","5"
"2016","4.87","5","28546","2","3","7","8","10","4.84","4.9","0","10","5","5"
"2017","4.74","5","32041","2","3","7","8","10","4.71","4.77","0","10","5","5"
"2018","4.42","5","29945","1","3","6","8","10","4.39","4.45","0","10","4","5"
"2019","4.98","5","29618","2","3","7","8","10","4.95","5.01","0","10","5","5"
