"year","regtyp","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","Rural Area","Female","3.86","4","3684","0","2","5","7","10","3.79","3.93","0","10","4","4"
"2004","Rural Area","Male","4.69","5","3459","1","3","6","8","10","4.61","4.77","0","10","5","5"
"2004","Urban Area","Female","3.76","4","7532","0","2","5","7","9","3.71","3.81","0","10","4","4"
"2004","Urban Area","Male","4.79","5","6921","2","3","7","8","10","4.73","4.85","0","10","5","5"
"2005","Rural Area","Female","","","","","","","","","","","","","",""
"2005","Rural Area","Male","","","","","","","","","","","","","",""
"2005","Urban Area","Female","","","","","","","","","","","","","",""
"2005","Urban Area","Male","","","","","","","","","","","","","",""
"2006","Rural Area","Female","4.24","5","3845","1","3","6","7","10","4.17","4.31","0","10","5","5"
"2006","Rural Area","Male","5.08","5","3536","2","3","7","8","10","5.01","5.15","0","10","5","5"
"2006","Urban Area","Female","4.29","5","7633","1","3","6","7","10","4.24","4.34","0","10","5","5"
"2006","Urban Area","Male","5.16","5","6920","2","4","7","8","10","5.11","5.21","0","10","5","5"
"2007","Rural Area","Female","","","","","","","","","","","","","",""
"2007","Rural Area","Male","","","","","","","","","","","","","",""
"2007","Urban Area","Female","","","","","","","","","","","","","",""
"2007","Urban Area","Male","","","","","","","","","","","","","",""
"2008","Rural Area","Female","4.02","4","3395","1","2","5","7","10","3.94","4.1","0","10","4","4"
"2008","Rural Area","Male","4.84","5","3162","2","3","7","8","10","4.76","4.92","0","10","5","5"
"2008","Urban Area","Female","3.98","4","6759","1","2","5","7","9","3.93","4.03","0","10","4","4"
"2008","Urban Area","Male","4.87","5","6073","2","3","7","8","10","4.81","4.93","0","10","5","5"
"2009","Rural Area","Female","3.32","3","3216","0","2","5","6","8","3.25","3.39","0","10","3","3"
"2009","Rural Area","Male","4.14","4","3014","1","3","6","7","9","4.06","4.22","0","10","4","4"
"2009","Urban Area","Female","3.34","3","6222","0","2","5","6","8","3.29","3.39","0","10","3","3"
"2009","Urban Area","Male","4.22","5","5597","1","3","6","7","9","4.16","4.28","0","10","4","5"
"2010","Rural Area","Female","3.77","4","4437","1","2","5","7","9","3.7","3.84","0","10","4","4"
"2010","Rural Area","Male","4.82","5","3786","2","3","7","8","10","4.75","4.89","0","10","5","5"
"2010","Urban Area","Female","3.79","4","8630","1","2","5","7","9","3.74","3.84","0","10","4","4"
"2010","Urban Area","Male","4.78","5","7134","2","3","7","8","10","4.73","4.83","0","10","5","5"
"2011","Rural Area","Female","4.04","4","3770","1","2","6","7","9","3.97","4.11","0","10","4","4"
"2011","Rural Area","Male","4.97","5","3472","2","3","7","8","10","4.9","5.04","0","10","5","5"
"2011","Urban Area","Female","4.07","4","7205","1","2","6","7","9","4.02","4.12","0","10","4","4"
"2011","Urban Area","Male","5.02","5","6355","2","3","7","8","10","4.96","5.08","0","10","5","5"
"2012","Rural Area","Female","4.32","5","5376","1","3","6","7","10","4.26","4.38","0","10","5","5"
"2012","Rural Area","Male","5.36","5","4585","2","4","7","8","10","5.3","5.42","0","10","5","5"
"2012","Urban Area","Female","4.4","5","9715","1","3","6","7","9","4.36","4.44","0","10","5","5"
"2012","Urban Area","Male","5.25","5","7988","2","4","7","8","10","5.2","5.3","0","10","5","5"
"2013","Rural Area","Female","4.07","4","4080","1","2","6","7","10","4","4.14","0","10","4","4"
"2013","Rural Area","Male","4.99","5","3697","2","3","7","8","10","4.91","5.07","0","10","5","5"
"2013","Urban Area","Female","4.06","4","8579","1","2","6","7","10","4.01","4.11","0","10","4","4"
"2013","Urban Area","Male","4.98","5","7525","2","3","7","8","10","4.92","5.04","0","10","5","5"
"2014","Rural Area","Female","4.32","5","4971","1","3","6","7","10","4.25","4.39","0","10","5","5"
"2014","Rural Area","Male","5.23","5","4290","2","4","7","8","10","5.16","5.3","0","10","5","5"
"2014","Urban Area","Female","4.3","5","9652","1","2","6","7","10","4.25","4.35","0","10","5","5"
"2014","Urban Area","Male","5.19","5","8113","2","3","7","8","10","5.14","5.24","0","10","5","5"
"2015","Rural Area","Female","4.37","5","4910","1","3","6","7","10","4.3","4.44","0","10","5","5"
"2015","Rural Area","Male","5.35","5","4262","2","4","7","8","10","5.28","5.42","0","10","5","6"
"2015","Urban Area","Female","4.42","5","9613","1","3","6","8","10","4.37","4.47","0","10","5","5"
"2015","Urban Area","Male","5.25","5","8107","2","4","7","8","10","5.2","5.3","0","10","5","5"
"2016","Rural Area","Female","4.46","5","4960","1","3","6","8","10","4.39","4.53","0","10","5","5"
"2016","Rural Area","Male","5.41","6","4744","2","4","7","8","10","5.34","5.48","0","10","5","6"
"2016","Urban Area","Female","4.47","5","9808","1","3","6","8","10","4.42","4.52","0","10","5","5"
"2016","Urban Area","Male","5.22","5","9034","2","3","7","8","10","5.17","5.27","0","10","5","5"
"2017","Rural Area","Female","4.18","4","5601","1","2","6","7","10","4.12","4.24","0","10","4","5"
"2017","Rural Area","Male","5.22","5","5347","2","3","7","8","10","5.15","5.29","0","10","5","5"
"2017","Urban Area","Female","4.33","5","10897","1","2","6","7","10","4.28","4.38","0","10","4","5"
"2017","Urban Area","Male","5.19","5","10196","2","3","7","8","10","5.14","5.24","0","10","5","5"
"2018","Rural Area","Female","3.9","4","5287","1","2","5","7","9","3.83","3.97","0","10","4","4"
"2018","Rural Area","Male","4.88","5","4895","2","3","7","8","10","4.81","4.95","0","10","5","5"
"2018","Urban Area","Female","4.01","4","10260","1","2","6","7","10","3.96","4.06","0","10","4","4"
"2018","Urban Area","Male","4.88","5","9503","2","3","7","8","10","4.83","4.93","0","10","5","5"
"2019","Rural Area","Female","4.48","5","5020","1","3","6","8","10","4.41","4.55","0","10","5","5"
"2019","Rural Area","Male","5.4","6","4881","2","4","7","8","10","5.33","5.47","0","10","5","6"
"2019","Urban Area","Female","4.6","5","9186","1","3","6","8","10","4.55","4.65","0","10","5","5"
"2019","Urban Area","Male","5.39","5","8880","2","4","7","8","10","5.34","5.44","0","10","5","6"
