"year","e11103","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","Full Time","Female","4.48","5","2799","2","3","6","7","9","4.4","4.56","0","10","5","5"
"2004","Full Time","Male","5.14","5","5639","2","4","7","8","10","5.08","5.2","0","10","5","5"
"2004","Not Working","Female","3.27","3","4902","0","1","5","7","9","3.2","3.34","0","10","3","4"
"2004","Not Working","Male","4.07","4","3248","0","2","6","7","10","3.99","4.15","0","10","4","5"
"2004","Part Time","Female","4.13","4","3515","1","3","5","7","9","4.06","4.2","0","10","4","5"
"2004","Part Time","Male","5.03","5","1493","2","3","7","8","10","4.91","5.15","0","10","5","5"
"2005","Full Time","Female","","","","","","","","","","","","","",""
"2005","Full Time","Male","","","","","","","","","","","","","",""
"2005","Not Working","Female","","","","","","","","","","","","","",""
"2005","Not Working","Male","","","","","","","","","","","","","",""
"2005","Part Time","Female","","","","","","","","","","","","","",""
"2005","Part Time","Male","","","","","","","","","","","","","",""
"2006","Full Time","Female","4.78","5","2810","2","3","6","8","10","4.7","4.86","0","10","5","5"
"2006","Full Time","Male","5.36","5","5591","2","4","7","8","10","5.3","5.42","0","10","5","6"
"2006","Not Working","Female","3.87","4","5078","0","2","5","7","10","3.81","3.93","0","10","4","4"
"2006","Not Working","Male","4.64","5","3455","1","3","6","8","10","4.56","4.72","0","10","5","5"
"2006","Part Time","Female","4.56","5","3590","2","3","6","7","10","4.49","4.63","0","10","5","5"
"2006","Part Time","Male","5.47","5","1410","3","4","7","8","10","5.36","5.58","0","10","5","6"
"2007","Full Time","Female","","","","","","","","","","","","","",""
"2007","Full Time","Male","","","","","","","","","","","","","",""
"2007","Not Working","Female","","","","","","","","","","","","","",""
"2007","Not Working","Male","","","","","","","","","","","","","",""
"2007","Part Time","Female","","","","","","","","","","","","","",""
"2007","Part Time","Male","","","","","","","","","","","","","",""
"2008","Full Time","Female","4.37","5","2533","2","3","6","7","10","4.29","4.45","0","10","4","5"
"2008","Full Time","Male","5.03","5","4961","2","3","7","8","10","4.97","5.09","0","10","5","5"
"2008","Not Working","Female","3.66","3","4412","1","2","5","7","10","3.59","3.73","0","10","3","4"
"2008","Not Working","Male","4.42","5","3064","1","3","6","8","10","4.34","4.5","0","10","5","5"
"2008","Part Time","Female","4.21","4","3209","2","3","6","7","9","4.14","4.28","0","10","4","4"
"2008","Part Time","Male","5.23","5","1210","2","4","7","8","10","5.1","5.36","0","10","5","5"
"2009","Full Time","Female","3.83","4","2414","1","2","5","6","8","3.75","3.91","0","10","4","4"
"2009","Full Time","Male","4.46","5","4582","2","3","6","7","9","4.4","4.52","0","10","5","5"
"2009","Not Working","Female","2.85","3","3972","0","1","5","6","8","2.78","2.92","0","10","3","3"
"2009","Not Working","Male","3.57","3","2856","0","2","5","7","9","3.49","3.65","0","10","3","4"
"2009","Part Time","Female","3.63","4","3052","1","2","5","6","8","3.56","3.7","0","10","3","4"
"2009","Part Time","Male","4.61","5","1173","2","3","6","7","9","4.48","4.74","0","10","5","5"
"2010","Full Time","Female","4.14","4","2916","1","2","6","7","9","4.06","4.22","0","10","4","5"
"2010","Full Time","Male","4.99","5","6314","2","3","7","8","10","4.94","5.04","0","10","5","5"
"2010","Not Working","Female","3.41","3","5370","0","2","5","7","10","3.35","3.47","0","10","3","4"
"2010","Not Working","Male","4.26","4","3040","1","3","6","8","10","4.17","4.35","0","10","5","5"
"2010","Part Time","Female","4.03","4","4781","1","2","5","7","9","3.97","4.09","0","10","4","4"
"2010","Part Time","Male","5.24","5","1566","2","4","7","8","10","5.13","5.35","0","10","5","5"
"2011","Full Time","Female","4.52","5","2772","2","3","6","7","9","4.44","4.6","0","10","5","5"
"2011","Full Time","Male","5.26","5","5023","2","4","7","8","10","5.2","5.32","0","10","5","5"
"2011","Not Working","Female","3.61","3","4698","0","2","5","7","9","3.54","3.68","0","10","4","4"
"2011","Not Working","Male","4.44","5","3420","1","3","6","8","10","4.36","4.52","0","10","5","5"
"2011","Part Time","Female","4.33","5","3505","1","3","6","7","9","4.26","4.4","0","10","4","5"
"2011","Part Time","Male","5.33","5","1384","2","4","7","8","10","5.21","5.45","0","10","5","5"
"2012","Full Time","Female","4.77","5","3448","2","3","6","8","10","4.7","4.84","0","10","5","5"
"2012","Full Time","Male","5.52","6","6966","3","4","7","8","10","5.47","5.57","0","10","5","6"
"2012","Not Working","Female","3.99","4","5958","1","2","5","7","9","3.93","4.05","0","10","4","5"
"2012","Not Working","Male","4.78","5","3835","2","3","6","8","10","4.71","4.85","0","10","5","5"
"2012","Part Time","Female","4.57","5","5685","2","3","6","7","10","4.51","4.63","0","10","5","5"
"2012","Part Time","Male","5.54","5","1772","3","4","7","8","10","5.44","5.64","0","10","5","6"
"2013","Full Time","Female","4.33","4","2573","2","3","6","7","10","4.24","4.42","0","10","4","5"
"2013","Full Time","Male","5.18","5","4416","2","3","7","8","10","5.11","5.25","0","10","5","5"
"2013","Not Working","Female","3.83","4","6754","0","2","5","7","10","3.77","3.89","0","10","4","4"
