"year","e11103","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","Full Time","direct migration background","4.6","5","869","1","3","6","8","10","4.43","4.77","0","10","5","5"
"2004","Full Time","indirect migration background","5.41","6","313","2","3","7","8","10","5.14","5.68","0","10","5","6"
"2004","Full Time","no migration background","4.95","5","7256","2","3","7","8","9","4.9","5","0","10","5","5"
"2004","Not Working","direct migration background","3.03","3","1058","0","1","5","6","9","2.88","3.18","0","10","2","3"
"2004","Not Working","indirect migration background","4.3","5","254","0","3","6","8","9","3.99","4.61","0","10","5","5"
"2004","Not Working","no migration background","3.65","4","6838","0","2","5","7","9","3.59","3.71","0","10","4","4"
"2004","Part Time","direct migration background","3.72","4","598","0","2","5","7","10","3.52","3.92","0","10","4","4"
"2004","Part Time","indirect migration background","4.56","5","233","1","3","7","8","10","4.23","4.89","0","10","5","5"
"2004","Part Time","no migration background","4.54","5","4177","1","3","6","7","10","4.47","4.61","0","10","5","5"
"2005","Full Time","direct migration background","","","","","","","","","","","","","",""
"2005","Full Time","indirect migration background","","","","","","","","","","","","","",""
"2005","Full Time","no migration background","","","","","","","","","","","","","",""
"2005","Not Working","direct migration background","","","","","","","","","","","","","",""
"2005","Not Working","indirect migration background","","","","","","","","","","","","","",""
"2005","Not Working","no migration background","","","","","","","","","","","","","",""
"2005","Part Time","direct migration background","","","","","","","","","","","","","",""
"2005","Part Time","indirect migration background","","","","","","","","","","","","","",""
"2005","Part Time","no migration background","","","","","","","","","","","","","",""
"2006","Full Time","direct migration background","5.14","5","794","2","4","7","8","10","4.97","5.31","0","10","5","5"
"2006","Full Time","indirect migration background","5.53","6","334","2","4","7","8","10","5.29","5.77","0","10","5","6"
"2006","Full Time","no migration background","5.16","5","7273","2","4","7","8","10","5.11","5.21","0","10","5","5"
"2006","Not Working","direct migration background","3.92","4","1015","0","2","6","7","10","3.76","4.08","0","10","3","4"
"2006","Not Working","indirect migration background","5.16","5","257","1","3","7","8","10","4.85","5.47","0","10","5","6"
"2006","Not Working","no migration background","4.18","5","7261","1","2","6","7","10","4.13","4.23","0","10","5","5"
"2006","Part Time","direct migration background","4.42","5","557","1","3","6","8","9","4.22","4.62","0","10","5","5"
"2006","Part Time","indirect migration background","5.3","5","228","3","4","7","8","9","5.02","5.58","0","10","5","5"
"2006","Part Time","no migration background","4.9","5","4215","2","3","6","8","10","4.83","4.97","0","10","5","5"
"2007","Full Time","direct migration background","","","","","","","","","","","","","",""
