"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2004","16-34 y.","5.08","5","5605","2","4","7","8","10","5.02","5.14","0","10","5","5"
"2004","35-65 y.","4.35","5","12214","1","3","6","7","9","4.31","4.39","0","10","5","5"
"2004","66 and older","3.17","3","3777","0","1","5","6","9","3.09","3.25","0","10","3","3"
"2005","16-34 y.","","","","","","","","","","","","","",""
"2005","35-65 y.","","","","","","","","","","","","","",""
"2005","66 and older","","","","","","","","","","","","","",""
"2006","16-34 y.","5.41","5","5110","2","4","7","8","10","5.35","5.47","0","10","5","5"
"2006","35-65 y.","4.74","5","12368","2","3","6","8","10","4.7","4.78","0","10","5","5"
"2006","66 and older","3.83","4","4456","0","2","5","7","10","3.76","3.9","0","10","4","4"
"2007","16-34 y.","","","","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","","","","",""
"2008","16-34 y.","5.02","5","4369","2","3","7","8","10","4.95","5.09","0","10","5","5"
"2008","35-65 y.","4.43","5","10675","2","3","6","8","10","4.39","4.47","0","10","5","5"
"2008","66 and older","3.78","4","4345","1","2","5","7","9","3.71","3.85","0","10","4","4"
"2009","16-34 y.","4.63","5","3993","2","3","6","7","9","4.57","4.69","0","10","5","5"
"2009","35-65 y.","3.75","4","9875","1","2","5","7","9","3.71","3.79","0","10","4","4"
"2009","66 and older","2.87","3","4181","0","1","5","6","8","2.8","2.94","0","10","3","3"
"2010","16-34 y.","5.09","5","6563","2","3","7","8","10","5.03","5.15","0","10","5","5"
"2010","35-65 y.","4.26","4","13373","1","3","6","7","10","4.22","4.3","0","10","5","5"
"2010","66 and older","3.5","3","4051","0","2","5","7","9","3.43","3.57","0","10","3","4"
"2011","16-34 y.","5.37","5","4296","2","4","7","8","10","5.3","5.44","0","10","5","5"
"2011","35-65 y.","4.54","5","11334","2","3","6","7","10","4.5","4.58","0","10","5","5"
"2011","66 and older","3.77","4","5172","0","2","5","7","9","3.71","3.83","0","10","4","4"
"2012","16-34 y.","5.58","6","6347","3","4","7","8","10","5.52","5.64","0","10","5","6"
"2012","35-65 y.","4.81","5","16084","2","3","6","8","10","4.78","4.84","0","10","5","5"
"2012","66 and older","4.1","4","5233","1","2","6","7","9","4.04","4.16","0","10","5","5"
"2013","16-34 y.","5.21","5","5843","2","3","7","8","10","5.15","5.27","0","10","5","5"
"2013","35-65 y.","4.45","5","12968","1","3","6","8","10","4.41","4.49","0","10","5","5"
"2013","66 and older","4.02","4","5070","1","2","6","7","9","3.95","4.09","0","10","4","4"
"2014","16-34 y.","5.5","6","6540","2","4","7","8","10","5.44","5.56","0","10","5","6"
"2014","35-65 y.","4.73","5","15510","2","3","7","8","10","4.69","4.77","0","10","5","5"
"2014","66 and older","4.05","4","4976","0","2","6","7","9","3.98","4.12","0","10","4","5"
"2015","16-34 y.","5.48","6","6701","2","4","7","8","10","5.42","5.54","0","10","5","6"
"2015","35-65 y.","4.83","5","15234","2","3","7","8","10","4.79","4.87","0","10","5","5"
"2015","66 and older","4.23","5","4957","1","2","6","7","9","4.16","4.3","0","10","5","5"
"2016","16-34 y.","5.48","6","8067","2","4","7","8","10","5.42","5.54","0","10","5","6"
"2016","35-65 y.","4.88","5","15688","2","3","7","8","10","4.84","4.92","0","10","5","5"
"2016","66 and older","4.23","5","4790","1","2","6","8","9","4.16","4.3","0","10","5","5"
"2017","16-34 y.","5.32","5","9365","2","3","7","8","10","5.26","5.38","0","10","5","5"
"2017","35-65 y.","4.73","5","17600","2","3","7","8","10","4.69","4.77","0","10","5","5"
"2017","66 and older","4.17","4","5076","1","2","6","7","9","4.11","4.23","0","10","4","5"
"2018","16-34 y.","5.06","5","8286","2","3","7","8","10","5","5.12","0","10","5","5"
"2018","35-65 y.","4.39","5","16575","1","3","6","8","10","4.35","4.43","0","10","4","4"
"2018","66 and older","3.88","4","5084","1","2","5","7","9","3.81","3.95","0","10","4","4"
"2019","16-34 y.","5.57","6","7313","2","4","7","8","10","5.51","5.63","0","10","5","6"
"2019","35-65 y.","4.95","5","17033","2","3","7","8","10","4.91","4.99","0","10","5","5"
"2019","66 and older","4.49","5","5272","1","3","6","8","10","4.42","4.56","0","10","5","5"
