"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","4.36","5","9472","3","4","5","5","5","4.34","4.38","1","5","5","5"
"1991","","","","","","","","","","","","","",""
"1992","","","","","","","","","","","","","",""
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","4.43","5","13260","3","4","5","5","5","4.42","4.44","1","5","5","5"
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","4.4","5","14189","3","4","5","5","5","4.39","4.41","1","5","5","5"
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","4.42","5","22110","3","4","5","5","5","4.41","4.43","1","5","5","5"
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","4.39","5","19329","3","4","5","5","5","4.38","4.4","1","5","5","5"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","4.33","5","25494","3","4","5","5","5","4.32","4.34","1","5","5","5"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","4.46","5","5529","3","4","5","5","5","4.44","4.48","1","5","5","5"
"2018","4.29","5","3852","3","4","5","5","5","4.26","4.32","1","5","5","5"
"2019","4.34","5","29364","3","4","5","5","5","4.33","4.35","1","5","5","5"
