"year","e11102","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","Employed","Female","4.42","5","2539","3","4","5","5","5","4.39","4.45","1","5","5","5"
"1990","Employed","Male","4.03","4","3608","2","4","5","5","5","4","4.06","1","5","4","4"
"1990","Not Employed","Female","4.73","5","2263","4","5","5","5","5","4.7","4.76","2","5","5","5"
"1990","Not Employed","Male","4.38","5","1062","3","4","5","5","5","4.32","4.44","1","5","5","5"
"1991","Employed","Female","","","","","","","","","","","","","",""
"1991","Employed","Male","","","","","","","","","","","","","",""
"1991","Not Employed","Female","","","","","","","","","","","","","",""
"1991","Not Employed","Male","","","","","","","","","","","","","",""
"1992","Employed","Female","","","","","","","","","","","","","",""
"1992","Employed","Male","","","","","","","","","","","","","",""
"1992","Not Employed","Female","","","","","","","","","","","","","",""
"1992","Not Employed","Male","","","","","","","","","","","","","",""
"1993","Employed","Female","","","","","","","","","","","","","",""
"1993","Employed","Male","","","","","","","","","","","","","",""
"1993","Not Employed","Female","","","","","","","","","","","","","",""
"1993","Not Employed","Male","","","","","","","","","","","","","",""
"1994","Employed","Female","","","","","","","","","","","","","",""
"1994","Employed","Male","","","","","","","","","","","","","",""
"1994","Not Employed","Female","","","","","","","","","","","","","",""
"1994","Not Employed","Male","","","","","","","","","","","","","",""
"1995","Employed","Female","4.49","5","3707","3","4","5","5","5","4.47","4.51","2","5","5","5"
"1995","Employed","Male","4.15","4","4769","3","4","5","5","5","4.12","4.18","1","5","4","4"
"1995","Not Employed","Female","4.73","5","3164","4","5","5","5","5","4.71","4.75","1","5","5","5"
"1995","Not Employed","Male","4.42","5","1620","3","4","5","5","5","4.37","4.47","1","5","5","5"
"1996","Employed","Female","","","","","","","","","","","","","",""
"1996","Employed","Male","","","","","","","","","","","","","",""
"1996","Not Employed","Female","","","","","","","","","","","","","",""
"1996","Not Employed","Male","","","","","","","","","","","","","",""
"1997","Employed","Female","","","","","","","","","","","","","",""
"1997","Employed","Male","","","","","","","","","","","","","",""
"1997","Not Employed","Female","","","","","","","","","","","","","",""
"1997","Not Employed","Male","","","","","","","","","","","","","",""
"1998","Employed","Female","4.45","5","3872","4","4","5","5","5","4.43","4.47","1","5","5","5"
"1998","Employed","Male","4.12","4","4959","3","4","5","5","5","4.09","4.15","1","5","4","4"
"1998","Not Employed","Female","4.7","5","3445","4","5","5","5","5","4.68","4.72","1","5","5","5"
"1998","Not Employed","Male","4.36","5","1913","3","4","5","5","5","4.32","4.4","1","5","5","5"
"1999","Employed","Female","","","","","","","","","","","","","",""
"1999","Employed","Male","","","","","","","","","","","","","",""
"1999","Not Employed","Female","","","","","","","","","","","","","",""
"1999","Not Employed","Male","","","","","","","","","","","","","",""
"2000","Employed","Female","","","","","","","","","","","","","",""
"2000","Employed","Male","","","","","","","","","","","","","",""
"2000","Not Employed","Female","","","","","","","","","","","","","",""
"2000","Not Employed","Male","","","","","","","","","","","","","",""
"2001","Employed","Female","","","","","","","","","","","","","",""
"2001","Employed","Male","","","","","","","","","","","","","",""
"2001","Not Employed","Female","","","","","","","","","","","","","",""
"2001","Not Employed","Male","","","","","","","","","","","","","",""
"2002","Employed","Female","","","","","","","","","","","","","",""
"2002","Employed","Male","","","","","","","","","","","","","",""
"2002","Not Employed","Female","","","","","","","","","","","","","",""
"2002","Not Employed","Male","","","","","","","","","","","","","",""
"2003","Employed","Female","4.47","5","6496","4","4","5","5","5","4.45","4.49","1","5","5","5"
"2003","Employed","Male","4.15","4","7476","3","4","5","5","5","4.13","4.17","1","5","4","4"
"2003","Not Employed","Female","4.73","5","4966","4","5","5","5","5","4.71","4.75","1","5","5","5"
"2003","Not Employed","Male","4.41","5","3172","3","4","5","5","5","4.38","4.44","1","5","5","5"
"2004","Employed","Female","","","","","","","","","","","","","",""
"2004","Employed","Male","","","","","","","","","","","","","",""
"2004","Not Employed","Female","","","","","","","","","","","","","",""
"2004","Not Employed","Male","","","","","","","","","","","","","",""
"2005","Employed","Female","","","","","","","","","","","","","",""
"2005","Employed","Male","","","","","","","","","","","","","",""
"2005","Not Employed","Female","","","","","","","","","","","","","",""
"2005","Not Employed","Male","","","","","","","","","","","","","",""
"2006","Employed","Female","","","","","","","","","","","","","",""
"2006","Employed","Male","","","","","","","","","","","","","",""
"2006","Not Employed","Female","","","","","","","","","","","","","",""
"2006","Not Employed","Male","","","","","","","","","","","","","",""
"2007","Employed","Female","","","","","","","","","","","","","",""
"2007","Employed","Male","","","","","","","","","","","","","",""
"2007","Not Employed","Female","","","","","","","","","","","","","",""
"2007","Not Employed","Male","","","","","","","","","","","","","",""
"2008","Employed","Female","4.43","5","5721","3","4","5","5","5","4.41","4.45","1","5","5","5"
"2008","Employed","Male","4.13","4","6153","3","4","5","5","5","4.11","4.15","1","5","4","4"
"2008","Not Employed","Female","4.69","5","4396","4","5","5","5","5","4.67","4.71","1","5","5","5"
"2008","Not Employed","Male","4.41","5","3059","3","4","5","5","5","4.38","4.44","1","5","5","5"
"2009","Employed","Female","","","","","","","","","","","","","",""
"2009","Employed","Male","","","","","","","","","","","","","",""
"2009","Not Employed","Female","","","","","","","","","","","","","",""
"2009","Not Employed","Male","","","","","","","","","","","","","",""
"2010","Employed","Female","","","","","","","","","","","","","",""
"2010","Employed","Male","","","","","","","","","","","","","",""
"2010","Not Employed","Female","","","","","","","","","","","","","",""
"2010","Not Employed","Male","","","","","","","","","","","","","",""
"2011","Employed","Female","","","","","","","","","","","","","",""
"2011","Employed","Male","","","","","","","","","","","","","",""
"2011","Not Employed","Female","","","","","","","","","","","","","",""
"2011","Not Employed","Male","","","","","","","","","","","","","",""
"2012","Employed","Female","","","","","","","","","","","","","",""
