"hlf0001_h","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","16-34 y.","Schleswig-Holstein","78","0.562054549070478","0.478976354346693","0.645132743794263"
"Main Tenant","1984","16-34 y.","Hamburg","95","0.803138858347538","0.730147577532716","0.876130139162361"
"Main Tenant","1984","16-34 y.","Lower Saxony","268","0.527705261032063","0.481373060476949","0.574037461587177"
"Main Tenant","1984","16-34 y.","Bremen","23","","",""
"Main Tenant","1984","16-34 y.","North Rhine-Westphalia","956","0.680516026756841","0.655061481100948","0.705970572412733"
"Main Tenant","1984","16-34 y.","Hesse","390","0.650594137597429","0.609336004271062","0.691852270923796"
"Main Tenant","1984","16-34 y.","Rhineland-Palatinate,Saarland","170","0.462525161540336","0.407551925804072","0.517498397276599"
"Main Tenant","1984","16-34 y.","Baden-Württemberg","579","0.535372868640889","0.501922599375929","0.568823137905849"
"Main Tenant","1984","16-34 y.","Bavaria","445","0.511744222414674","0.476414917684786","0.547073527144563"
"Main Tenant","1984","16-34 y.","Berlin","130","0.921569241683836","0.876713737715973","0.966424745651699"
"Main Tenant","1984","16-34 y.","Brandenburg","","","",""
"Main Tenant","1984","16-34 y.","Mecklenburg-Western Pomerania","","","",""
"Main Tenant","1984","16-34 y.","Saxony","","","",""
"Main Tenant","1984","16-34 y.","Saxony-Anhalt","","","",""
"Main Tenant","1984","16-34 y.","Thuringia","","","",""
"Main Tenant","1984","35-65 y.","Schleswig-Holstein","74","0.330113270283314","0.265896766120013","0.394329774446616"
"Main Tenant","1984","35-65 y.","Hamburg","121","0.754083517352036","0.685398318379578","0.822768716324494"
"Main Tenant","1984","35-65 y.","Lower Saxony","271","0.357652240929888","0.320430733568513","0.394873748291264"
"Main Tenant","1984","35-65 y.","Bremen","48","0.669001920698334","0.55632444503785","0.781679396358818"
"Main Tenant","1984","35-65 y.","North Rhine-Westphalia","1058","0.541465433727186","0.517730336195056","0.565200531259317"
"Main Tenant","1984","35-65 y.","Hesse","408","0.512060014809178","0.473181929809653","0.550938099808703"
"Main Tenant","1984","35-65 y.","Rhineland-Palatinate,Saarland","152","0.276065623635924","0.233613535553073","0.318517711718774"
"Main Tenant","1984","35-65 y.","Baden-Württemberg","680","0.386299977234652","0.358762953538799","0.413837000930505"
"Main Tenant","1984","35-65 y.","Bavaria","548","0.401551023858769","0.372595037425258","0.43050701029228"
"Main Tenant","1984","35-65 y.","Berlin","209","0.91299371022613","0.876248300954737","0.949739119497524"
"Main Tenant","1984","35-65 y.","Brandenburg","","","",""
"Main Tenant","1984","35-65 y.","Mecklenburg-Western Pomerania","","","",""
"Main Tenant","1984","35-65 y.","Saxony","","","",""
"Main Tenant","1984","35-65 y.","Saxony-Anhalt","","","",""
"Main Tenant","1984","35-65 y.","Thuringia","","","",""
"Main Tenant","1984","66 and older","Schleswig-Holstein","17","","",""
"Main Tenant","1984","66 and older","Hamburg","43","0.942909653214209","0.875861695047629","1.00995761138079"
"Main Tenant","1984","66 and older","Lower Saxony","66","0.467060073528158","0.388005340545135","0.546114806511181"
"Main Tenant","1984","66 and older","Bremen","23","","",""
