"hlf0001_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","in school","West Germany","84","0.393044913040996","0.323040300620445","0.463049525461547","1"
"Main Tenant","1984","in school","East Germany","","","","","1"
"Main Tenant","1984","inadequately","West Germany","933","0.810129955876216","0.786049396544664","0.834210515207768","1"
"Main Tenant","1984","inadequately","East Germany","","","","","1"
"Main Tenant","1984","general elemantary","West Germany","2059","0.496407092531253","0.479766555495156","0.51304762956735","1"
"Main Tenant","1984","general elemantary","East Germany","","","","","1"
"Main Tenant","1984","middle vocational","West Germany","3295","0.533012435365833","0.520088889925682","0.545935980805984","1"
"Main Tenant","1984","middle vocational","East Germany","","","","","1"
"Main Tenant","1984","vocational + Abi","West Germany","215","0.594118556390364","0.539629793131692","0.648607319649036","1"
"Main Tenant","1984","vocational + Abi","East Germany","","","","","1"
"Main Tenant","1984","higher vocational","West Germany","305","0.454497079634222","0.416509623488148","0.492484535780295","1"
"Main Tenant","1984","higher vocational","East Germany","","","","","1"
"Main Tenant","1984","higher education","West Germany","414","0.491070491279831","0.456275860471678","0.525865122087985","1"
"Main Tenant","1984","higher education","East Germany","","","","","1"
"Nursing Home/Retirement Community","1984","middle vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","middle vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","vocational + Abi","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","vocational + Abi","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","higher vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","higher vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","higher education","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","higher education","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","in school","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","in school","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","inadequately","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","inadequately","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","general elemantary","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","general elemantary","East Germany","","","","","4"
"Owner","1984","middle vocational","West Germany","2355","0.455235459305222","0.442335664487875","0.468135254122569","3"
"Owner","1984","middle vocational","East Germany","","","","","3"
"Owner","1984","vocational + Abi","West Germany","89","0.384599069687181","0.330616446693754","0.438581692680609","3"
"Owner","1984","vocational + Abi","East Germany","","","","","3"
"Owner","1984","higher vocational","West Germany","347","0.532844648096751","0.494781290803799","0.570908005389702","3"
"Owner","1984","in school","West Germany","102","0.600848859820168","0.530658317891961","0.671039401748374","3"
"Owner","1984","in school","East Germany","","","","","3"
"Owner","1984","inadequately","West Germany","56","0.151943864403309","0.129903697288547","0.173984031518072","3"
"Owner","1984","inadequately","East Germany","","","","","3"
"Owner","1984","general elemantary","West Germany","1355","0.489761133039985","0.473123655819649","0.50639861026032","3"
"Owner","1984","general elemantary","East Germany","","","","","3"
"Owner","1984","higher vocational","East Germany","","","","","3"
"Owner","1984","higher education","West Germany","370","0.497726104126846","0.462926283090555","0.532525925163136","3"
"Owner","1984","higher education","East Germany","","","","","3"
"Sub-Tenant","1984","middle vocational","West Germany","62","0.00995523523941584","0.0073835753882837","0.012526895090548","2"
"Sub-Tenant","1984","middle vocational","East Germany","","","","","2"
"Sub-Tenant","1984","in school","East Germany","","","","","2"
"Sub-Tenant","1984","inadequately","West Germany","24","","","","2"
"Sub-Tenant","1984","inadequately","East Germany","","","","","2"
"Sub-Tenant","1984","general elemantary","West Germany","46","0.0116615081580244","0.00808846088870163","0.0152345554273472","2"
"Sub-Tenant","1984","general elemantary","East Germany","","","","","2"
"Sub-Tenant","1984","vocational + Abi","West Germany","6","","","","2"
"Sub-Tenant","1984","vocational + Abi","East Germany","","","","","2"
"Sub-Tenant","1984","in school","West Germany","","","","","2"
"Sub-Tenant","1984","higher vocational","West Germany","7","","","","2"
"Sub-Tenant","1984","higher vocational","East Germany","","","","","2"
"Sub-Tenant","1984","higher education","West Germany","8","","","","2"
"Sub-Tenant","1984","higher education","East Germany","","","","","2"
"Tenant","1984","general elemantary","East Germany","","","","","5"
"Tenant","1984","middle vocational","West Germany","13","","","","5"
"Tenant","1984","vocational + Abi","East Germany","","","","","5"
"Tenant","1984","higher vocational","West Germany","1","","","","5"
"Tenant","1984","vocational + Abi","West Germany","2","","","","5"
"Tenant","1984","middle vocational","East Germany","","","","","5"
"Tenant","1984","higher vocational","East Germany","","","","","5"
"Tenant","1984","higher education","West Germany","1","","","","5"
"Tenant","1984","higher education","East Germany","","","","","5"
"Tenant","1984","in school","West Germany","1","","","","5"
"Tenant","1984","in school","East Germany","","","","","5"
"Tenant","1984","inadequately","West Germany","6","","","","5"
"Tenant","1984","inadequately","East Germany","","","","","5"
"Tenant","1984","general elemantary","West Germany","8","","","","5"
"Main Tenant","1985","in school","West Germany","85","0.367508352544519","0.298221214439454","0.436795490649585","1"
"Main Tenant","1985","in school","East Germany","","","","","1"
"Main Tenant","1985","inadequately","West Germany","761","0.771017891867078","0.742754306798233","0.799281476935924","1"
"Main Tenant","1985","inadequately","East Germany","","","","","1"
"Main Tenant","1985","general elemantary","West Germany","1812","0.504220268308826","0.486536992675219","0.521903543942434","1"
"Main Tenant","1985","general elemantary","East Germany","","","","","1"
"Main Tenant","1985","middle vocational","West Germany","2899","0.529252688767209","0.515662520084224","0.542842857450194","1"
"Main Tenant","1985","middle vocational","East Germany","","","","","1"
"Main Tenant","1985","vocational + Abi","West Germany","187","0.625737948739549","0.568851367169442","0.682624530309657","1"
"Main Tenant","1985","vocational + Abi","East Germany","","","","","1"
"Main Tenant","1985","higher vocational","West Germany","289","0.477232118559423","0.437915919331301","0.516548317787546","1"
"Main Tenant","1985","higher vocational","East Germany","","","","","1"
"Main Tenant","1985","higher education","West Germany","387","0.493512264389803","0.457873664406474","0.529150864373133","1"
"Main Tenant","1985","higher education","East Germany","","","","","1"
"Nursing Home/Retirement Community","1985","higher education","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","higher education","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","middle vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","middle vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","vocational + Abi","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","vocational + Abi","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","higher vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","higher vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","in school","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","in school","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","inadequately","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","inadequately","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","general elemantary","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","general elemantary","East Germany","","","","","4"
"Owner","1985","middle vocational","West Germany","2208","0.456418439647234","0.442856764548613","0.469980114745855","3"
"Owner","1985","middle vocational","East Germany","","","","","3"
"Owner","1985","vocational + Abi","West Germany","83","0.352163353391366","0.296015839778799","0.408310867003934","3"
"Owner","1985","vocational + Abi","East Germany","","","","","3"
"Owner","1985","in school","West Germany","101","0.632491647455481","0.563204509350415","0.701778785560546","3"
"Owner","1985","in school","East Germany","","","","","3"
"Owner","1985","inadequately","West Germany","67","0.196830820723488","0.170085715255575","0.223575926191402","3"
"Owner","1985","inadequately","East Germany","","","","","3"
"Owner","1985","general elemantary","West Germany","1221","0.484057537629461","0.466382623503657","0.501732451755266","3"
"Owner","1985","general elemantary","East Germany","","","","","3"
"Owner","1985","higher vocational","East Germany","","","","","3"
"Owner","1985","higher education","West Germany","363","0.499216598170588","0.463575041448024","0.534858154893153","3"
"Owner","1985","higher education","East Germany","","","","","3"
"Owner","1985","higher vocational","West Germany","324","0.511727751109426","0.472381555032145","0.551073947186708","3"
"Sub-Tenant","1985","in school","West Germany","","","","","2"
"Sub-Tenant","1985","in school","East Germany","","","","","2"
"Sub-Tenant","1985","inadequately","West Germany","21","","","","2"
"Sub-Tenant","1985","inadequately","East Germany","","","","","2"
"Sub-Tenant","1985","general elemantary","West Germany","38","0.0117221940617121","0.00791546333649121","0.015528924786933","2"
"Sub-Tenant","1985","general elemantary","East Germany","","","","","2"
"Sub-Tenant","1985","middle vocational","West Germany","75","0.0143288715855576","0.0110931481096742","0.0175645950614411","2"
"Sub-Tenant","1985","middle vocational","East Germany","","","","","2"
"Sub-Tenant","1985","vocational + Abi","West Germany","8","","","","2"
"Sub-Tenant","1985","vocational + Abi","East Germany","","","","","2"
"Sub-Tenant","1985","higher vocational","West Germany","7","","","","2"
"Sub-Tenant","1985","higher vocational","East Germany","","","","","2"
"Sub-Tenant","1985","higher education","West Germany","6","","","","2"
"Sub-Tenant","1985","higher education","East Germany","","","","","2"
"Tenant","1985","vocational + Abi","West Germany","","","","","5"
"Tenant","1985","higher education","West Germany","","","","","5"
"Tenant","1985","higher vocational","East Germany","","","","","5"
"Tenant","1985","higher education","East Germany","","","","","5"
"Tenant","1985","higher vocational","West Germany","","","","","5"
"Tenant","1985","general elemantary","East Germany","","","","","5"
"Tenant","1985","middle vocational","West Germany","","","","","5"
"Tenant","1985","middle vocational","East Germany","","","","","5"
"Tenant","1985","vocational + Abi","East Germany","","","","","5"
"Tenant","1985","in school","West Germany","","","","","5"
"Tenant","1985","in school","East Germany","","","","","5"
"Tenant","1985","inadequately","West Germany","","","","","5"
"Tenant","1985","inadequately","East Germany","","","","","5"
"Tenant","1985","general elemantary","West Germany","","","","","5"
"Main Tenant","1986","in school","West Germany","79","0.342945390225854","0.27509030747554","0.410800472976169","1"
"Main Tenant","1986","in school","East Germany","","","","","1"
"Main Tenant","1986","inadequately","West Germany","697","0.773758461491833","0.744545616070338","0.802971306913327","1"
"Main Tenant","1986","inadequately","East Germany","","","","","1"
"Main Tenant","1986","general elemantary","West Germany","1693","0.505014000016273","0.486876425476379","0.523151574556167","1"
"Main Tenant","1986","general elemantary","East Germany","","","","","1"
"Main Tenant","1986","middle vocational","West Germany","2696","0.52228408715475","0.508452644544307","0.536115529765193","1"
"Main Tenant","1986","middle vocational","East Germany","","","","","1"
"Main Tenant","1986","vocational + Abi","West Germany","184","0.601420478495187","0.543866905582361","0.658974051408013","1"
"Main Tenant","1986","vocational + Abi","East Germany","","","","","1"
"Main Tenant","1986","higher vocational","West Germany","259","0.456694674418543","0.416260482480831","0.497128866356255","1"
"Main Tenant","1986","higher vocational","East Germany","","","","","1"
"Main Tenant","1986","higher education","West Germany","374","0.486988368943607","0.451240428747487","0.522736309139728","1"
"Main Tenant","1986","higher education","East Germany","","","","","1"
"Nursing Home/Retirement Community","1986","in school","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","inadequately","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","middle vocational","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","middle vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","higher vocational","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","higher education","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","higher education","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","in school","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","inadequately","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","general elemantary","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","general elemantary","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","vocational + Abi","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","vocational + Abi","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","higher vocational","West Germany","","","","","4"
"Owner","1986","higher vocational","East Germany","","","","","3"
"Owner","1986","higher education","West Germany","374","0.508902033066329","0.473147650429422","0.544656415703236","3"
"Owner","1986","higher education","East Germany","","","","","3"
"Owner","1986","middle vocational","West Germany","2216","0.460086161539826","0.446285146061677","0.473887177017974","3"
"Owner","1986","middle vocational","East Germany","","","","","3"
"Owner","1986","vocational + Abi","West Germany","88","0.375705698966362","0.318775294451364","0.43263610348136","3"
"Owner","1986","vocational + Abi","East Germany","","","","","3"
"Owner","1986","higher vocational","West Germany","316","0.527340086328706","0.486814100122551","0.567866072534861","3"
"Owner","1986","in school","West Germany","107","0.648101871207332","0.579836684430729","0.716367057983935","3"
"Owner","1986","in school","East Germany","","","","","3"
"Owner","1986","inadequately","West Germany","67","0.176306025808103","0.149698683025468","0.202913368590738","3"
"Owner","1986","inadequately","East Germany","","","","","3"
"Owner","1986","general elemantary","West Germany","1172","0.477351834747905","0.459231965617835","0.495471703877976","3"
"Owner","1986","general elemantary","East Germany","","","","","3"
"Sub-Tenant","1986","in school","West Germany","2","","","","2"
"Sub-Tenant","1986","in school","East Germany","","","","","2"
"Sub-Tenant","1986","inadequately","West Germany","24","","","","2"
"Sub-Tenant","1986","inadequately","East Germany","","","","","2"
"Sub-Tenant","1986","general elemantary","West Germany","54","0.0176341652358219","0.0128594758792232","0.0224088545924205","2"
"Sub-Tenant","1986","general elemantary","East Germany","","","","","2"
"Sub-Tenant","1986","middle vocational","West Germany","98","0.0176297513054244","0.0139856543638777","0.0212738482469711","2"
"Sub-Tenant","1986","middle vocational","East Germany","","","","","2"
"Sub-Tenant","1986","vocational + Abi","West Germany","6","","","","2"
"Sub-Tenant","1986","vocational + Abi","East Germany","","","","","2"
"Sub-Tenant","1986","higher vocational","West Germany","8","","","","2"
"Sub-Tenant","1986","higher vocational","East Germany","","","","","2"
"Sub-Tenant","1986","higher education","West Germany","3","","","","2"
"Sub-Tenant","1986","higher education","East Germany","","","","","2"
"Tenant","1986","vocational + Abi","West Germany","","","","","5"
"Tenant","1986","higher vocational","East Germany","","","","","5"
"Tenant","1986","higher education","West Germany","","","","","5"
"Tenant","1986","higher education","East Germany","","","","","5"
"Tenant","1986","vocational + Abi","East Germany","","","","","5"
"Tenant","1986","higher vocational","West Germany","","","","","5"
"Tenant","1986","general elemantary","East Germany","","","","","5"
"Tenant","1986","middle vocational","West Germany","","","","","5"
"Tenant","1986","middle vocational","East Germany","","","","","5"
"Tenant","1986","in school","West Germany","","","","","5"
"Tenant","1986","in school","East Germany","","","","","5"
"Tenant","1986","inadequately","West Germany","","","","","5"
"Tenant","1986","inadequately","East Germany","","","","","5"
"Tenant","1986","general elemantary","West Germany","","","","","5"
"Main Tenant","1987","in school","West Germany","92","0.412684710609816","0.342865288414368","0.482504132805265","1"
"Main Tenant","1987","in school","East Germany","","","","","1"
"Main Tenant","1987","inadequately","West Germany","661","0.786764114999176","0.757643957944601","0.81588427205375","1"
"Main Tenant","1987","inadequately","East Germany","","","","","1"
