"hlf0001_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1985","Schleswig-Holstein","Urban Area","96","0.534490485447583","0.459286819950946","0.60969415094422","1"
"Main Tenant","1985","Schleswig-Holstein","Rural Area","58","0.358896565411136","0.289775419451957","0.428017711370314","1"
"Main Tenant","1985","Hamburg","Urban Area","228","0.821243720968088","0.775959340760746","0.86652810117543","1"
"Main Tenant","1985","Hamburg","Rural Area","4","","","","1"
"Main Tenant","1985","Lower Saxony","Urban Area","345","0.569701819594236","0.529372827590899","0.610030811597574","1"
"Main Tenant","1985","Lower Saxony","Rural Area","170","0.317042156243817","0.277238414986776","0.356845897500858","1"
"Main Tenant","1985","Bremen","Urban Area","82","0.70337124363671","0.619888233356063","0.786854253917356","1"
"Main Tenant","1985","Bremen","Rural Area","","","","","1"
"Main Tenant","1985","North Rhine-Westphalia","Urban Area","1912","0.612665542983156","0.594895867623367","0.630435218342945","1"
"Main Tenant","1985","North Rhine-Westphalia","Rural Area","22","","","","1"
"Main Tenant","1985","Hesse","Urban Area","663","0.552530785556673","0.521462995410621","0.583598575702725","1"
"Main Tenant","1985","Hesse","Rural Area","80","0.436333537664599","0.35826021955061","0.514406855778587","1"
"Main Tenant","1985","Rhineland-Palatinate,Saarland","Urban Area","298","0.39733765713056","0.359276838987753","0.435398475273366","1"
"Main Tenant","1985","Rhineland-Palatinate,Saarland","Rural Area","29","","","","1"
"Main Tenant","1985","Baden-Württemberg","Urban Area","1042","0.461938417512777","0.438600335246652","0.485276499778903","1"
"Main Tenant","1985","Baden-Württemberg","Rural Area","151","0.405034724194438","0.349299224708391","0.460770223680485","1"
"Main Tenant","1985","Bavaria","Urban Area","602","0.532749168082871","0.502009847339873","0.563488488825869","1"
"Main Tenant","1985","Bavaria","Rural Area","390","0.394099089254332","0.362174129785609","0.426024048723055","1"
"Main Tenant","1985","Berlin","Urban Area","333","0.894365237091596","0.8629612299237","0.925769244259492","1"
"Main Tenant","1985","Berlin","Rural Area","","","","","1"
"Main Tenant","1985","Brandenburg","Urban Area","","","","","1"
"Main Tenant","1985","Brandenburg","Rural Area","","","","","1"
"Main Tenant","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Main Tenant","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Main Tenant","1985","Saxony","Urban Area","","","","","1"
"Main Tenant","1985","Saxony","Rural Area","","","","","1"
"Main Tenant","1985","Saxony-Anhalt","Urban Area","","","","","1"
"Main Tenant","1985","Saxony-Anhalt","Rural Area","","","","","1"
"Main Tenant","1985","Thuringia","Urban Area","","","","","1"
"Main Tenant","1985","Thuringia","Rural Area","","","","","1"
"Nursing Home/Retirement Community","1985","North Rhine-Westphalia","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Hesse","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Saxony","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Bavaria","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Lower Saxony","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","North Rhine-Westphalia","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Hesse","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Saxony","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Saxony-Anhalt","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Hamburg","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Hamburg","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Schleswig-Holstein","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Lower Saxony","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Bremen","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Bremen","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Rhineland-Palatinate,Saarland","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Rhineland-Palatinate,Saarland","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Baden-Württemberg","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Baden-Württemberg","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Saxony-Anhalt","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Thuringia","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Thuringia","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Brandenburg","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Schleswig-Holstein","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Bavaria","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Berlin","Urban Area","","","","","4"
"Nursing Home/Retirement Community","1985","Berlin","Rural Area","","","","","4"
"Nursing Home/Retirement Community","1985","Brandenburg","Urban Area","","","","","4"
"Owner","1985","Hamburg","Rural Area","2","","","","3"
"Owner","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Owner","1985","Saxony","Rural Area","","","","","3"
"Owner","1985","Hamburg","Urban Area","41","0.154824785516838","0.112070922259431","0.197578648774246","3"
"Owner","1985","Saxony","Urban Area","","","","","3"
"Owner","1985","Brandenburg","Rural Area","","","","","3"
"Owner","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Owner","1985","Schleswig-Holstein","Rural Area","123","0.619942377744989","0.549996421377681","0.689888334112296","3"
"Owner","1985","Saxony-Anhalt","Urban Area","","","","","3"
"Owner","1985","Schleswig-Holstein","Urban Area","69","0.439382230895716","0.364555044935644","0.514209416855788","3"
"Owner","1985","Lower Saxony","Urban Area","230","0.426874006660183","0.386585263704181","0.467162749616185","3"
"Owner","1985","Lower Saxony","Rural Area","347","0.667965113853037","0.627680687100844","0.70824954060523","3"
"Owner","1985","Bremen","Urban Area","32","0.283668894951325","0.201281279319884","0.366056510582767","3"
"Owner","1985","Bremen","Rural Area","","","","","3"
"Owner","1985","North Rhine-Westphalia","Urban Area","924","0.370182472744986","0.352569202591902","0.38779574289807","3"
"Owner","1985","North Rhine-Westphalia","Rural Area","51","0.716798273840076","0.613442894705534","0.820153652974618","3"
"Owner","1985","Hesse","Urban Area","304","0.432609063243317","0.401653440459997","0.463564686026636","3"
"Owner","1985","Hesse","Rural Area","74","0.552757921089363","0.474483284837257","0.631032557341469","3"
"Owner","1985","Rhineland-Palatinate,Saarland","Urban Area","332","0.589980503028705","0.551726022179704","0.628234983877706","3"
"Owner","1985","Rhineland-Palatinate,Saarland","Rural Area","108","0.743261276240562","0.67037848609987","0.816144066381254","3"
"Owner","1985","Baden-Württemberg","Urban Area","685","0.526133830800526","0.502759827602289","0.549507833998763","3"
"Owner","1985","Baden-Württemberg","Rural Area","146","0.594012539027067","0.538256222419294","0.64976885563484","3"
"Owner","1985","Bavaria","Urban Area","397","0.456123983647174","0.425437350387934","0.486810616906415","3"
"Owner","1985","Bavaria","Rural Area","501","0.596057928355347","0.564000357189499","0.628115499521195","3"
"Owner","1985","Berlin","Urban Area","30","0.100246388389006","0.0695617967071825","0.13093098007083","3"
"Owner","1985","Berlin","Rural Area","","","","","3"
"Owner","1985","Brandenburg","Urban Area","","","","","3"
"Owner","1985","Saxony-Anhalt","Rural Area","","","","","3"
"Owner","1985","Thuringia","Urban Area","","","","","3"
