"hlf0001_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Tenant","1985","Baden-Württemberg","East Germany","","","","","5"
"Tenant","1985","Bavaria","West Germany","","","","","5"
"Tenant","1985","Bavaria","East Germany","","","","","5"
"Tenant","1985","Berlin","West Germany","","","","","5"
"Tenant","1985","Berlin","East Germany","","","","","5"
"Tenant","1985","Brandenburg","West Germany","","","","","5"
"Main Tenant","1986","Schleswig-Holstein","West Germany","139","0.429942370259385","0.37603599993691","0.483848740581859","1"
"Main Tenant","1986","Schleswig-Holstein","East Germany","","","","","1"
"Main Tenant","1986","Hamburg","West Germany","204","0.786538120339578","0.736344541648868","0.836731699030289","1"
"Main Tenant","1986","Hamburg","East Germany","","","","","1"
"Main Tenant","1986","Lower Saxony","West Germany","506","0.446533215727413","0.41727451855813","0.475791912896697","1"
"Main Tenant","1986","Lower Saxony","East Germany","","","","","1"
"Main Tenant","1986","Bremen","West Germany","77","0.727999815061737","0.644461622192541","0.811538007930933","1"
"Main Tenant","1986","Bremen","East Germany","","","","","1"
"Main Tenant","1986","North Rhine-Westphalia","West Germany","1841","0.600410946785221","0.582490937323884","0.618330956246559","1"
"Main Tenant","1986","North Rhine-Westphalia","East Germany","","","","","1"
"Main Tenant","1986","Hesse","West Germany","647","0.526178765123234","0.495991716670937","0.556365813575531","1"
"Main Tenant","1986","Hesse","East Germany","","","","","1"
"Main Tenant","1986","Rhineland-Palatinate,Saarland","West Germany","306","0.364276818753019","0.330286712668643","0.398266924837396","1"
"Main Tenant","1986","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Main Tenant","1986","Baden-Württemberg","West Germany","1130","0.442086644785763","0.420348224603775","0.46382506496775","1"
"Main Tenant","1986","Baden-Württemberg","East Germany","","","","","1"
"Main Tenant","1986","Bavaria","West Germany","893","0.456438231669871","0.433305251274898","0.479571212064844","1"
"Main Tenant","1986","Bavaria","East Germany","","","","","1"
"Main Tenant","1986","Berlin","West Germany","319","0.891910443327786","0.859566054267545","0.924254832388028","1"
"Main Tenant","1986","Berlin","East Germany","","","","","1"
"Main Tenant","1986","Brandenburg","West Germany","","","","","1"
"Main Tenant","1986","Brandenburg","East Germany","","","","","1"
"Main Tenant","1986","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Main Tenant","1986","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Main Tenant","1986","Saxony","West Germany","","","","","1"
"Main Tenant","1986","Saxony","East Germany","","","","","1"
"Main Tenant","1986","Saxony-Anhalt","West Germany","","","","","1"
"Main Tenant","1986","Saxony-Anhalt","East Germany","","","","","1"
"Main Tenant","1986","Thuringia","West Germany","","","","","1"
"Main Tenant","1986","Thuringia","East Germany","","","","","1"
"Nursing Home/Retirement Community","1986","Saxony","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Schleswig-Holstein","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Hamburg","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Hamburg","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","North Rhine-Westphalia","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Hesse","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Baden-Württemberg","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Bavaria","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Mecklenburg-Western Pomerania","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Mecklenburg-Western Pomerania","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Lower Saxony","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","North Rhine-Westphalia","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Hesse","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Rhineland-Palatinate,Saarland","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Rhineland-Palatinate,Saarland","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Baden-Württemberg","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Saxony","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Saxony-Anhalt","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Lower Saxony","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Bremen","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Bremen","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Saxony-Anhalt","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Thuringia","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Thuringia","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Schleswig-Holstein","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Brandenburg","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Bavaria","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Berlin","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Berlin","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","Brandenburg","West Germany","","","","","4"
"Owner","1986","Hamburg","West Germany","47","0.184675231144863","0.137141954592997","0.232208507696729","3"
"Owner","1986","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Owner","1986","Schleswig-Holstein","East Germany","","","","","3"
"Owner","1986","Saxony","East Germany","","","","","3"
"Owner","1986","Saxony","West Germany","","","","","3"
"Owner","1986","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Owner","1986","Saxony-Anhalt","West Germany","","","","","3"
"Owner","1986","Schleswig-Holstein","West Germany","179","0.543502614807687","0.489265628236093","0.597739601379281","3"
"Owner","1986","Hamburg","East Germany","","","","","3"
"Owner","1986","Brandenburg","East Germany","","","","","3"
"Owner","1986","Lower Saxony","West Germany","587","0.542676617410026","0.513356576215934","0.571996658604117","3"
"Owner","1986","Lower Saxony","East Germany","","","","","3"
"Owner","1986","Bremen","West Germany","32","0.272000184938263","0.188461992069067","0.355538377807459","3"
"Owner","1986","Bremen","East Germany","","","","","3"
"Owner","1986","North Rhine-Westphalia","West Germany","990","0.38354489316215","0.365755301795758","0.401334484528541","3"
"Owner","1986","North Rhine-Westphalia","East Germany","","","","","3"
"Owner","1986","Hesse","West Germany","364","0.453107007570128","0.423011733565877","0.483202281574379","3"
"Owner","1986","Hesse","East Germany","","","","","3"
"Owner","1986","Rhineland-Palatinate,Saarland","West Germany","445","0.61052127645644","0.576078750115821","0.644963802797059","3"
"Owner","1986","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Owner","1986","Baden-Württemberg","West Germany","835","0.541153402076391","0.519341936047602","0.562964868105181","3"
"Owner","1986","Baden-Württemberg","East Germany","","","","","3"
