"hlf0001_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","no migration background","West Germany","4259","0.495004328797625","0.484489880141338","0.505518777453913"
"Main Tenant","1984","no migration background","East Germany","","","",""
"Main Tenant","1984","direct migration background","West Germany","3014","0.757905978483792","0.743543635281314","0.772268321686269"
"Main Tenant","1984","direct migration background","East Germany","","","",""
"Main Tenant","1984","indirect migration background","West Germany","90","0.610486982071731","0.526009239825217","0.694964724318246"
"Main Tenant","1984","indirect migration background","East Germany","","","",""
"Sub-Tenant","1984","no migration background","West Germany","76","0.00948362675250158","0.00744538246195394","0.0115218710430492"
"Sub-Tenant","1984","no migration background","East Germany","","","",""
"Sub-Tenant","1984","direct migration background","West Germany","73","0.0226373614473729","0.0176500513662724","0.0276246715284734"
"Sub-Tenant","1984","direct migration background","East Germany","","","",""
"Sub-Tenant","1984","indirect migration background","West Germany","4","","",""
"Sub-Tenant","1984","indirect migration background","East Germany","","","",""
"Owner","1984","no migration background","West Germany","4336","0.493864331527263","0.483350149751336","0.50437851330319"
"Owner","1984","no migration background","East Germany","","","",""
"Owner","1984","direct migration background","West Germany","313","0.212983086163758","0.19925562598845","0.226710546339065"
"Owner","1984","direct migration background","East Germany","","","",""
"Owner","1984","indirect migration background","West Germany","34","0.318168215583469","0.237479997691847","0.398856433475091"
"Owner","1984","indirect migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1984","no migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1984","no migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1984","direct migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1984","direct migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1984","indirect migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1984","indirect migration background","East Germany","","","",""
"Tenant","1984","no migration background","West Germany","15","","",""
"Tenant","1984","no migration background","East Germany","","","",""
"Tenant","1984","direct migration background","West Germany","17","","",""
"Tenant","1984","direct migration background","East Germany","","","",""
"Tenant","1984","indirect migration background","West Germany","","","",""
"Tenant","1984","indirect migration background","East Germany","","","",""
"Main Tenant","1985","no migration background","West Germany","3845","0.497498095293429","0.486523164854541","0.508473025732317"
"Main Tenant","1985","no migration background","East Germany","","","",""
"Main Tenant","1985","direct migration background","West Germany","2549","0.73639913171435","0.720473213617478","0.752325049811222"
"Main Tenant","1985","direct migration background","East Germany","","","",""
"Main Tenant","1985","indirect migration background","West Germany","111","0.722976579143872","0.649881657784653","0.796071500503091"
"Main Tenant","1985","indirect migration background","East Germany","","","",""
"Sub-Tenant","1985","no migration background","West Germany","89","0.0120292230784223","0.00963630380430544","0.0144221423525392"
"Sub-Tenant","1985","no migration background","East Germany","","","",""
"Sub-Tenant","1985","direct migration background","West Germany","67","0.0248191768334974","0.0191956251790039","0.0304427284879908"
"Sub-Tenant","1985","direct migration background","East Germany","","","",""
"Sub-Tenant","1985","indirect migration background","West Germany","","","",""
"Sub-Tenant","1985","indirect migration background","East Germany","","","",""
"Owner","1985","no migration background","West Germany","4039","0.490472681628149","0.479499606381137","0.50144575687516"
"Owner","1985","no migration background","East Germany","","","",""
"Owner","1985","direct migration background","West Germany","324","0.238781691452153","0.223370736513796","0.25419264639051"
"Owner","1985","direct migration background","East Germany","","","",""
"Owner","1985","indirect migration background","West Germany","33","0.277023420856128","0.203928499496909","0.350118342215347"
"Owner","1985","indirect migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1985","no migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1985","no migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1985","direct migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1985","direct migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1985","indirect migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1985","indirect migration background","East Germany","","","",""
"Tenant","1985","no migration background","West Germany","","","",""
"Tenant","1985","no migration background","East Germany","","","",""
"Tenant","1985","direct migration background","West Germany","","","",""
"Tenant","1985","direct migration background","East Germany","","","",""
"Tenant","1985","indirect migration background","West Germany","","","",""
"Tenant","1985","indirect migration background","East Germany","","","",""
"Main Tenant","1986","no migration background","West Germany","3512","0.489423102387316","0.478200684622478","0.500645520152154"
"Main Tenant","1986","no migration background","East Germany","","","",""
"Main Tenant","1986","direct migration background","West Germany","2433","0.739634494519205","0.723526191744222","0.755742797294188"
"Main Tenant","1986","direct migration background","East Germany","","","",""
"Main Tenant","1986","indirect migration background","West Germany","117","0.736927995670569","0.667834743284367","0.806021248056771"
"Main Tenant","1986","indirect migration background","East Germany","","","",""
"Sub-Tenant","1986","no migration background","West Germany","112","0.0160735746384308","0.0132503127426195","0.0188968365342422"
"Sub-Tenant","1986","no migration background","East Germany","","","",""
"Sub-Tenant","1986","direct migration background","West Germany","86","0.0289175282301556","0.0227663526464427","0.0350687038138684"
"Sub-Tenant","1986","direct migration background","East Germany","","","",""
"Sub-Tenant","1986","indirect migration background","West Germany","","","",""
"Sub-Tenant","1986","indirect migration background","East Germany","","","",""
"Owner","1986","no migration background","West Germany","3998","0.494503322974253","0.483279071753902","0.505727574194605"
"Owner","1986","no migration background","East Germany","","","",""
"Owner","1986","direct migration background","West Germany","332","0.231447977250639","0.215966485270632","0.246929469230647"
"Owner","1986","direct migration background","East Germany","","","",""
"Owner","1986","indirect migration background","West Germany","39","0.263072004329431","0.193978751943229","0.332165256715633"
"Owner","1986","indirect migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1986","no migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1986","no migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1986","direct migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1986","direct migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1986","indirect migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1986","indirect migration background","East Germany","","","",""
"Tenant","1986","no migration background","West Germany","","","",""
"Tenant","1986","no migration background","East Germany","","","",""
"Tenant","1986","direct migration background","West Germany","","","",""
"Tenant","1986","direct migration background","East Germany","","","",""
"Tenant","1986","indirect migration background","West Germany","","","",""
"Tenant","1986","indirect migration background","East Germany","","","",""
"Main Tenant","1987","no migration background","West Germany","3415","0.486849480616668","0.475529233233948","0.498169727999389"
"Main Tenant","1987","no migration background","East Germany","","","",""
"Main Tenant","1987","direct migration background","West Germany","2412","0.73025877492811","0.71392710936126","0.746590440494959"
"Main Tenant","1987","direct migration background","East Germany","","","",""
"Main Tenant","1987","indirect migration background","West Germany","134","0.72057717080124","0.654472423401238","0.786681918201242"
"Main Tenant","1987","indirect migration background","East Germany","","","",""
"Sub-Tenant","1987","no migration background","West Germany","138","0.0201447230281563","0.0169627404759157","0.0233267055803969"
"Sub-Tenant","1987","no migration background","East Germany","","","",""
"Sub-Tenant","1987","direct migration background","West Germany","67","0.0274133786384327","0.0214049092751873","0.0334218480016781"
"Sub-Tenant","1987","direct migration background","East Germany","","","",""
"Sub-Tenant","1987","indirect migration background","West Germany","2","","",""
"Sub-Tenant","1987","indirect migration background","East Germany","","","",""
"Owner","1987","no migration background","West Germany","3936","0.493005796355175","0.481682739564959","0.504328853145392"
"Owner","1987","no migration background","East Germany","","","",""
"Owner","1987","direct migration background","West Germany","358","0.242327846433458","0.226560422389965","0.25809527047695"
"Owner","1987","direct migration background","East Germany","","","",""
"Owner","1987","indirect migration background","West Germany","41","0.273582318450932","0.207907531289914","0.339257105611949"
"Owner","1987","indirect migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1987","no migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1987","no migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1987","direct migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1987","direct migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1987","indirect migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1987","indirect migration background","East Germany","","","",""
"Tenant","1987","no migration background","West Germany","","","",""
"Tenant","1987","no migration background","East Germany","","","",""
"Tenant","1987","direct migration background","West Germany","","","",""
"Tenant","1987","direct migration background","East Germany","","","",""
"Tenant","1987","indirect migration background","West Germany","","","",""
"Tenant","1987","indirect migration background","East Germany","","","",""
"Main Tenant","1988","no migration background","West Germany","3249","0.484900172352231","0.473277685723696","0.496522658980766"
"Main Tenant","1988","no migration background","East Germany","","","",""
"Main Tenant","1988","direct migration background","West Germany","2293","0.720221597209471","0.703258228007105","0.737184966411837"
"Main Tenant","1988","direct migration background","East Germany","","","",""
"Main Tenant","1988","indirect migration background","West Germany","178","0.748033067533234","0.691179692052665","0.804886443013802"
"Main Tenant","1988","indirect migration background","East Germany","","","",""
"Sub-Tenant","1988","no migration background","West Germany","148","0.02335843390295","0.0198459313668925","0.0268709364390075"
"Sub-Tenant","1988","no migration background","East Germany","","","",""
"Sub-Tenant","1988","direct migration background","West Germany","46","0.0279840385319752","0.0217515161851695","0.0342165608787809"
"Sub-Tenant","1988","direct migration background","East Germany","","","",""
"Sub-Tenant","1988","indirect migration background","West Germany","1","","",""
"Sub-Tenant","1988","indirect migration background","East Germany","","","",""
"Owner","1988","no migration background","West Germany","3706","0.491741393744819","0.480115189768142","0.503367597721496"
"Owner","1988","no migration background","East Germany","","","",""
"Owner","1988","direct migration background","West Germany","351","0.251794364258554","0.235392038186161","0.268196690330947"
"Owner","1988","direct migration background","East Germany","","","",""
"Owner","1988","indirect migration background","West Germany","45","0.247502382477601","0.190987043295966","0.304017721659235"
"Owner","1988","indirect migration background","East Germany","","","",""
"Nursing Home/Retirement Community","1988","no migration background","West Germany","","","",""
"Nursing Home/Retirement Community","1988","no migration background","East Germany","","","",""
