"hlf0001_h","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Nursing Home/Retirement Community","1986","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1986","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1986","Employed","East Germany","","","",""
"Tenant","1986","Not Employed","West Germany","","","",""
"Tenant","1986","Not Employed","East Germany","","","",""
"Tenant","1986","Employed","West Germany","","","",""
"Tenant","1986","Employed","East Germany","","","",""
"Main Tenant","1987","Not Employed","West Germany","2043","0.516487156131945","0.500581642535849","0.532392669728041"
"Main Tenant","1987","Not Employed","East Germany","","","",""
"Main Tenant","1987","Employed","West Germany","3918","0.511621440070321","0.499662102230162","0.52358077791048"
"Main Tenant","1987","Employed","East Germany","","","",""
"Sub-Tenant","1987","Not Employed","West Germany","61","0.0185441225400044","0.0142502172505449","0.022838027829464"
"Sub-Tenant","1987","Not Employed","East Germany","","","",""
"Sub-Tenant","1987","Employed","West Germany","146","0.0224234448121095","0.0188811799884259","0.0259657096357932"
"Sub-Tenant","1987","Employed","East Germany","","","",""
"Owner","1987","Not Employed","West Germany","1688","0.464968721328051","0.449093661081489","0.480843781574612"
"Owner","1987","Not Employed","East Germany","","","",""
"Owner","1987","Employed","West Germany","2647","0.465955115117569","0.454020308311137","0.477889921924001"
"Owner","1987","Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1987","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1987","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1987","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1987","Employed","East Germany","","","",""
"Tenant","1987","Not Employed","West Germany","","","",""
"Tenant","1987","Not Employed","East Germany","","","",""
"Tenant","1987","Employed","West Germany","","","",""
"Tenant","1987","Employed","East Germany","","","",""
"Main Tenant","1988","Not Employed","West Germany","1954","0.520186172743355","0.503800323777063","0.536572021709648"
"Main Tenant","1988","Not Employed","East Germany","","","",""
"Main Tenant","1988","Employed","West Germany","3766","0.504082709063141","0.491877127809481","0.516288290316801"
"Main Tenant","1988","Employed","East Germany","","","",""
"Sub-Tenant","1988","Not Employed","West Germany","60","0.0214006727435392","0.0166542180986187","0.0261471273884598"
"Sub-Tenant","1988","Not Employed","East Germany","","","",""
"Sub-Tenant","1988","Employed","West Germany","135","0.0252905572197872","0.0214577257275442","0.0291233887120301"
"Sub-Tenant","1988","Employed","East Germany","","","",""
"Owner","1988","Not Employed","West Germany","1557","0.458413154513106","0.442070757554667","0.474755551471544"
"Owner","1988","Not Employed","East Germany","","","",""
"Owner","1988","Employed","West Germany","2545","0.470626733717072","0.458441826128181","0.482811641305963"
"Owner","1988","Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1988","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1988","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1988","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1988","Employed","East Germany","","","",""
"Tenant","1988","Not Employed","West Germany","","","",""
"Tenant","1988","Not Employed","East Germany","","","",""
"Tenant","1988","Employed","West Germany","","","",""
"Tenant","1988","Employed","East Germany","","","",""
"Main Tenant","1989","Not Employed","West Germany","1855","0.506633053195633","0.489913814210131","0.523352292181134"
"Main Tenant","1989","Not Employed","East Germany","","","",""
"Main Tenant","1989","Employed","West Germany","3646","0.503218410477337","0.49084156516034","0.515595255794333"
"Main Tenant","1989","Employed","East Germany","","","",""
"Sub-Tenant","1989","Not Employed","West Germany","55","0.0196965958929996","0.015049725463271","0.0243434663227282"
"Sub-Tenant","1989","Not Employed","East Germany","","","",""
"Sub-Tenant","1989","Employed","West Germany","125","0.0240938087522337","0.0202979877703666","0.0278896297341009"
"Sub-Tenant","1989","Employed","East Germany","","","",""
"Owner","1989","Not Employed","West Germany","1519","0.470758187535022","0.454066096852928","0.487450278217116"
"Owner","1989","Not Employed","East Germany","","","",""
"Owner","1989","Employed","West Germany","2490","0.471181773121169","0.458825246618495","0.483538299623843"
"Owner","1989","Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1989","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1989","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1989","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1989","Employed","East Germany","","","",""
"Tenant","1989","Not Employed","West Germany","6","","",""
"Tenant","1989","Not Employed","East Germany","","","",""
"Tenant","1989","Employed","West Germany","8","","",""
"Tenant","1989","Employed","East Germany","","","",""
"Main Tenant","1990","Not Employed","West Germany","1793","0.508552223346076","0.491610542504599","0.525493904187554"
"Main Tenant","1990","Not Employed","East Germany","","","",""
"Main Tenant","1990","Employed","West Germany","3540","0.508713367930864","0.496240269015417","0.52118646684631"
"Main Tenant","1990","Employed","East Germany","","","",""
"Sub-Tenant","1990","Not Employed","West Germany","59","0.0218630415834559","0.0169073399073718","0.02681874325954"
"Sub-Tenant","1990","Not Employed","East Germany","","","",""
"Sub-Tenant","1990","Employed","West Germany","148","0.0285541330597736","0.0243987208670972","0.0327095452524499"
"Sub-Tenant","1990","Employed","East Germany","","","",""
"Owner","1990","Not Employed","West Germany","1490","0.467736675375053","0.450827827639095","0.484645523111012"
"Owner","1990","Not Employed","East Germany","","","",""
"Owner","1990","Employed","West Germany","2481","0.462673673507223","0.4502334904278","0.475113856586647"
"Owner","1990","Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1990","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1990","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1990","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1990","Employed","East Germany","","","",""
"Tenant","1990","Not Employed","West Germany","3","","",""
"Tenant","1990","Not Employed","East Germany","","","",""
"Tenant","1990","Employed","West Germany","2","","",""
"Tenant","1990","Employed","East Germany","","","",""
"Main Tenant","1991","Not Employed","West Germany","1711","0.495004118554066","0.477854485875021","0.51215375123311"
"Main Tenant","1991","Not Employed","East Germany","","","",""
"Main Tenant","1991","Employed","West Germany","3599","0.519019183503676","0.506568341679078","0.531470025328275"
"Main Tenant","1991","Employed","East Germany","","","",""
"Sub-Tenant","1991","Not Employed","West Germany","62","0.0224796846506537","0.0173949944028745","0.0275643748984329"
"Sub-Tenant","1991","Not Employed","East Germany","","","",""
"Sub-Tenant","1991","Employed","West Germany","139","0.0270913915020403","0.0230456809104823","0.0311371020935984"
"Sub-Tenant","1991","Employed","East Germany","","","",""
"Owner","1991","Not Employed","West Germany","1490","0.480432252419878","0.46329490237256","0.497569602467196"
"Owner","1991","Not Employed","East Germany","","","",""
"Owner","1991","Employed","West Germany","2446","0.453831186810229","0.441424559096471","0.466237814523987"
"Owner","1991","Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1991","Not Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1991","Not Employed","East Germany","","","",""
"Nursing Home/Retirement Community","1991","Employed","West Germany","","","",""
"Nursing Home/Retirement Community","1991","Employed","East Germany","","","",""
"Tenant","1991","Not Employed","West Germany","2","","",""
"Tenant","1991","Not Employed","East Germany","","","",""
"Tenant","1991","Employed","West Germany","2","","",""
"Tenant","1991","Employed","East Germany","","","",""
"Main Tenant","1992","Not Employed","West Germany","1693","0.496704204135914","0.479469421598588","0.51393898667324"
"Main Tenant","1992","Not Employed","East Germany","666","0.683804068093173","0.655557433916414","0.712050702269932"
"Main Tenant","1992","Employed","West Germany","3569","0.51061706610095","0.498138817789427","0.523095314412474"
"Main Tenant","1992","Employed","East Germany","1926","0.678085750737598","0.661226064325677","0.694945437149519"
"Sub-Tenant","1992","Not Employed","West Germany","56","0.0225970092788292","0.0174742074903444","0.027719811067314"
"Sub-Tenant","1992","Not Employed","East Germany","23","","",""
"Sub-Tenant","1992","Employed","West Germany","163","0.0321241661020095","0.0277225992218339","0.036525732982185"
"Sub-Tenant","1992","Employed","East Germany","91","0.0306284072467898","0.024410497214942","0.0368463172786375"
"Owner","1992","Not Employed","West Germany","1482","0.479054987938623","0.461834959514776","0.496275016362469"
"Owner","1992","Not Employed","East Germany","350","0.292681078200272","0.265041736977993","0.320320419422551"
"Owner","1992","Employed","West Germany","2430","0.456540330466469","0.444106504476786","0.468974156456151"
"Owner","1992","Employed","East Germany","932","0.290503667507086","0.274120873512736","0.306886461501436"
