"hlf0001_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1985","in school","Urban Area","80","0.450783959458338","0.37115733694267","0.530410581974006"
"Main Tenant","1985","in school","Rural Area","5","","",""
"Main Tenant","1985","inadequately","Urban Area","681","0.829560906573402","0.802505448900362","0.856616364246441"
"Main Tenant","1985","inadequately","Rural Area","80","0.558535557786728","0.464448588355332","0.652622527218124"
"Main Tenant","1985","general elemantary","Urban Area","1541","0.569842211600737","0.549829175434773","0.5898552477667"
"Main Tenant","1985","general elemantary","Rural Area","271","0.330720995652654","0.296355997352765","0.365085993952544"
"Main Tenant","1985","middle vocational","Urban Area","2474","0.576254062334081","0.561070837610465","0.591437287057697"
"Main Tenant","1985","middle vocational","Rural Area","425","0.373504834894666","0.345085920441459","0.401923749347872"
"Main Tenant","1985","vocational + Abi","Urban Area","162","0.637905760819753","0.57658872397771","0.699222797661797"
"Main Tenant","1985","vocational + Abi","Rural Area","25","","",""
"Main Tenant","1985","higher vocational","Urban Area","239","0.496783005451913","0.452557952656884","0.541008058246943"
"Main Tenant","1985","higher vocational","Rural Area","50","0.407281897015349","0.322495752854138","0.492068041176561"
"Main Tenant","1985","higher education","Urban Area","345","0.518784354731264","0.480044234302326","0.557524475160203"
"Main Tenant","1985","higher education","Rural Area","42","0.370612814804415","0.283099461722588","0.458126167886241"
"Sub-Tenant","1985","in school","Urban Area","","","",""
"Sub-Tenant","1985","in school","Rural Area","","","",""
"Sub-Tenant","1985","inadequately","Urban Area","18","","",""
"Sub-Tenant","1985","inadequately","Rural Area","3","","",""
"Sub-Tenant","1985","general elemantary","Urban Area","31","0.0123441128084463","0.00788082856352533","0.0168073970533672"
"Sub-Tenant","1985","general elemantary","Rural Area","7","","",""
"Sub-Tenant","1985","middle vocational","Urban Area","63","0.0148345008683023","0.0111200440629178","0.0185489576736867"
"Sub-Tenant","1985","middle vocational","Rural Area","12","","",""
"Sub-Tenant","1985","vocational + Abi","Urban Area","8","","",""
"Sub-Tenant","1985","vocational + Abi","Rural Area","","","",""
"Sub-Tenant","1985","higher vocational","Urban Area","5","","",""
"Sub-Tenant","1985","higher vocational","Rural Area","2","","",""
"Sub-Tenant","1985","higher education","Urban Area","6","","",""
"Sub-Tenant","1985","higher education","Rural Area","","","",""
"Owner","1985","in school","Urban Area","70","0.549216040541663","0.469589418025994","0.628842663057331"
"Owner","1985","in school","Rural Area","31","0.929317729294127","0.845596769519675","1.01303868906858"
"Owner","1985","inadequately","Urban Area","43","0.133581957615532","0.109103514966083","0.15806040026498"
"Owner","1985","inadequately","Rural Area","24","","",""
"Owner","1985","general elemantary","Urban Area","779","0.417813675590817","0.397877396640075","0.43774995454156"
"Owner","1985","general elemantary","Rural Area","442","0.659201114687435","0.624580092034075","0.693822137340794"
"Owner","1985","middle vocational","Urban Area","1532","0.408911436797617","0.393805587314142","0.424017286281092"
"Owner","1985","middle vocational","Rural Area","676","0.613841790843925","0.585238805022082","0.642444776665767"
"Owner","1985","vocational + Abi","Urban Area","66","0.335586813138991","0.275342833269453","0.395830793008529"
"Owner","1985","vocational + Abi","Rural Area","17","","",""
"Owner","1985","higher vocational","Urban Area","247","0.494612399716483","0.4503889990195","0.538835800413465"
"Owner","1985","higher vocational","Rural Area","77","0.572963981891415","0.487605014977884","0.658322948804945"
"Owner","1985","higher education","Urban Area","288","0.472449327477394","0.433740735871365","0.511157919083422"
"Owner","1985","higher education","Rural Area","75","0.629387185195585","0.541873832113759","0.716900538277412"
"Nursing Home/Retirement Community","1985","in school","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","in school","Rural Area","","","",""
"Nursing Home/Retirement Community","1985","inadequately","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","inadequately","Rural Area","","","",""
"Nursing Home/Retirement Community","1985","general elemantary","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","general elemantary","Rural Area","","","",""
"Nursing Home/Retirement Community","1985","middle vocational","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","middle vocational","Rural Area","","","",""
"Nursing Home/Retirement Community","1985","vocational + Abi","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","vocational + Abi","Rural Area","","","",""
"Nursing Home/Retirement Community","1985","higher vocational","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","higher vocational","Rural Area","","","",""
"Nursing Home/Retirement Community","1985","higher education","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","higher education","Rural Area","","","",""
"Tenant","1985","in school","Urban Area","","","",""
"Tenant","1985","in school","Rural Area","","","",""
"Tenant","1985","inadequately","Urban Area","","","",""
"Tenant","1985","inadequately","Rural Area","","","",""
"Tenant","1985","general elemantary","Urban Area","","","",""
"Tenant","1985","general elemantary","Rural Area","","","",""
"Tenant","1985","middle vocational","Urban Area","","","",""
"Tenant","1985","middle vocational","Rural Area","","","",""
"Tenant","1985","vocational + Abi","Urban Area","","","",""
"Tenant","1985","vocational + Abi","Rural Area","","","",""
"Tenant","1985","higher vocational","Urban Area","","","",""
"Tenant","1985","higher vocational","Rural Area","","","",""
"Tenant","1985","higher education","Urban Area","","","",""
"Tenant","1985","higher education","Rural Area","","","",""
"Main Tenant","1986","in school","Urban Area","76","0.393706323089329","0.319158694416259","0.4682539517624"
"Main Tenant","1986","in school","Rural Area","3","","",""
"Main Tenant","1986","inadequately","Urban Area","617","0.823930530342946","0.795366133038193","0.8524949276477"
"Main Tenant","1986","inadequately","Rural Area","80","0.601397381241323","0.507748135987227","0.695046626495418"
"Main Tenant","1986","general elemantary","Urban Area","1428","0.557603190182448","0.537016771098699","0.578189609266197"
"Main Tenant","1986","general elemantary","Rural Area","265","0.363032291551256","0.326968691692526","0.399095891409986"
"Main Tenant","1986","middle vocational","Urban Area","2336","0.57373841385873","0.558308460506657","0.589168367210802"
"Main Tenant","1986","middle vocational","Rural Area","360","0.349529142480113","0.320878597010059","0.378179687950166"
"Main Tenant","1986","vocational + Abi","Urban Area","158","0.620074403256621","0.557618243432355","0.682530563080887"
"Main Tenant","1986","vocational + Abi","Rural Area","26","","",""
"Main Tenant","1986","higher vocational","Urban Area","215","0.474239646667404","0.428707308860198","0.519771984474611"
"Main Tenant","1986","higher vocational","Rural Area","44","0.393662473880534","0.306611298726463","0.480713649034605"
"Main Tenant","1986","higher education","Urban Area","339","0.521178095625769","0.482200639306329","0.56015555194521"
"Main Tenant","1986","higher education","Rural Area","35","0.323811519804373","0.240089923696579","0.407533115912167"
"Sub-Tenant","1986","in school","Urban Area","2","","",""
"Sub-Tenant","1986","in school","Rural Area","","","",""
"Sub-Tenant","1986","inadequately","Urban Area","20","","",""
"Sub-Tenant","1986","inadequately","Rural Area","4","","",""
"Sub-Tenant","1986","general elemantary","Urban Area","41","0.0201769427162995","0.0143490211342021","0.0260048642983969"
"Sub-Tenant","1986","general elemantary","Rural Area","13","","",""
"Sub-Tenant","1986","middle vocational","Urban Area","73","0.0168237630340469","0.012810969560351","0.0208365565077429"
"Sub-Tenant","1986","middle vocational","Rural Area","25","","",""
"Sub-Tenant","1986","vocational + Abi","Urban Area","5","","",""
"Sub-Tenant","1986","vocational + Abi","Rural Area","1","","",""
"Sub-Tenant","1986","higher vocational","Urban Area","7","","",""
"Sub-Tenant","1986","higher vocational","Rural Area","1","","",""
"Sub-Tenant","1986","higher education","Urban Area","3","","",""
"Sub-Tenant","1986","higher education","Rural Area","","","",""
"Owner","1986","in school","Urban Area","87","0.595823002671404","0.520945638429768","0.670700366913041"
"Owner","1986","in school","Rural Area","20","","",""
"Owner","1986","inadequately","Urban Area","46","0.129363368306439","0.104194605688723","0.154532130924156"
"Owner","1986","inadequately","Rural Area","21","","",""
"Owner","1986","general elemantary","Urban Area","767","0.422219867101252","0.401747746750837","0.442691987451667"
"Owner","1986","general elemantary","Rural Area","405","0.626198602168647","0.589914678332702","0.662482526004591"
"Owner","1986","middle vocational","Urban Area","1537","0.409437823107223","0.394095315592474","0.424780330621973"
"Owner","1986","middle vocational","Rural Area","679","0.630135046915868","0.601127187289635","0.659142906542102"
"Owner","1986","vocational + Abi","Urban Area","69","0.353399701445249","0.291888368519231","0.414911034371266"
"Owner","1986","vocational + Abi","Rural Area","19","","",""
"Owner","1986","higher vocational","Urban Area","240","0.512240163779557","0.466660938912732","0.557819388646381"
"Owner","1986","higher vocational","Rural Area","76","0.581588182747789","0.49369298176109","0.669483383734488"
"Owner","1986","higher education","Urban Area","289","0.473851240413136","0.434892159957808","0.512810320868464"
"Owner","1986","higher education","Rural Area","85","0.676188480195627","0.592466884087833","0.759910076303421"
"Nursing Home/Retirement Community","1986","in school","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","in school","Rural Area","","","",""
"Nursing Home/Retirement Community","1986","inadequately","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","inadequately","Rural Area","","","",""
"Nursing Home/Retirement Community","1986","general elemantary","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","general elemantary","Rural Area","","","",""
"Nursing Home/Retirement Community","1986","middle vocational","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","middle vocational","Rural Area","","","",""
"Nursing Home/Retirement Community","1986","vocational + Abi","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","vocational + Abi","Rural Area","","","",""
"Nursing Home/Retirement Community","1986","higher vocational","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","higher vocational","Rural Area","","","",""
"Nursing Home/Retirement Community","1986","higher education","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","higher education","Rural Area","","","",""
"Tenant","1986","in school","Urban Area","","","",""
"Tenant","1986","in school","Rural Area","","","",""
"Tenant","1986","inadequately","Urban Area","","","",""
"Tenant","1986","inadequately","Rural Area","","","",""
"Tenant","1986","general elemantary","Urban Area","","","",""
"Tenant","1986","general elemantary","Rural Area","","","",""
"Tenant","1986","middle vocational","Urban Area","","","",""
"Tenant","1986","middle vocational","Rural Area","","","",""
"Tenant","1986","vocational + Abi","Urban Area","","","",""
"Tenant","1986","vocational + Abi","Rural Area","","","",""
"Tenant","1986","higher vocational","Urban Area","","","",""
"Tenant","1986","higher vocational","Rural Area","","","",""
"Tenant","1986","higher education","Urban Area","","","",""
"Tenant","1986","higher education","Rural Area","","","",""
"Main Tenant","1987","in school","Urban Area","84","0.460540187437706","0.384486647335731","0.536593727539681"
"Main Tenant","1987","in school","Rural Area","8","","",""
"Main Tenant","1987","inadequately","Urban Area","579","0.811819764725603","0.78200077419417","0.841638755257036"
"Main Tenant","1987","inadequately","Rural Area","82","0.687011047810164","0.596125578193008","0.777896517427319"
"Main Tenant","1987","general elemantary","Urban Area","1399","0.559345975954951","0.538590945440963","0.580101006468939"
"Main Tenant","1987","general elemantary","Rural Area","262","0.34584012982941","0.309469983506346","0.382210276152473"
