"hlf0001_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","Not Employed","in school","79","0.381752155662287","0.310383068122888","0.453121243201686","1"
"Main Tenant","1984","Not Employed","inadequately","349","0.759708914957167","0.716750452068346","0.802667377845987","1"
"Main Tenant","1984","Not Employed","general elemantary","921","0.476049833125608","0.452710611316906","0.49938905493431","1"
"Main Tenant","1984","Not Employed","middle vocational","1036","0.538784239817109","0.516310430056807","0.561258049577411","1"
"Main Tenant","1984","Not Employed","vocational + Abi","55","0.632709715484417","0.527728268725408","0.737691162243426","1"
"Main Tenant","1984","Not Employed","higher vocational","94","0.501810430841091","0.429955135910511","0.57366572577167","1"
"Main Tenant","1984","Not Employed","higher education","87","0.509972427929273","0.432513459972417","0.587431395886129","1"
"Main Tenant","1984","Employed","in school","5","","","","1"
"Main Tenant","1984","Employed","inadequately","584","0.851061932657766","0.823457355339526","0.878666509976007","1"
"Main Tenant","1984","Employed","general elemantary","1138","0.527887549801576","0.504219062836305","0.551556036766847","1"
"Main Tenant","1984","Employed","middle vocational","2259","0.529471585147472","0.513674401626054","0.54526876866889","1"
"Main Tenant","1984","Employed","vocational + Abi","160","0.576434653687028","0.512714421073527","0.640154886300529","1"
"Main Tenant","1984","Employed","higher vocational","211","0.432487920482305","0.387888063491648","0.477087777472963","1"
"Main Tenant","1984","Employed","higher education","327","0.485485898911015","0.446551525748162","0.524420272073867","1"
"Nursing Home/Retirement Community","1984","Not Employed","higher education","","","","","4"
"Nursing Home/Retirement Community","1984","Employed","in school","","","","","4"
"Nursing Home/Retirement Community","1984","Employed","inadequately","","","","","4"
"Nursing Home/Retirement Community","1984","Employed","general elemantary","","","","","4"
"Nursing Home/Retirement Community","1984","Employed","middle vocational","","","","","4"
"Nursing Home/Retirement Community","1984","Employed","vocational + Abi","","","","","4"
"Nursing Home/Retirement Community","1984","Employed","higher vocational","","","","","4"
"Nursing Home/Retirement Community","1984","Employed","higher education","","","","","4"
"Nursing Home/Retirement Community","1984","Not Employed","in school","","","","","4"
"Nursing Home/Retirement Community","1984","Not Employed","inadequately","","","","","4"
"Nursing Home/Retirement Community","1984","Not Employed","general elemantary","","","","","4"
"Nursing Home/Retirement Community","1984","Not Employed","middle vocational","","","","","4"
"Nursing Home/Retirement Community","1984","Not Employed","vocational + Abi","","","","","4"
"Nursing Home/Retirement Community","1984","Not Employed","higher vocational","","","","","4"
"Owner","1984","Not Employed","higher education","71","0.474543315261658","0.397169414806971","0.551917215716344","3"
"Owner","1984","Employed","in school","4","","","","3"
"Owner","1984","Employed","inadequately","31","0.104542998990296","0.0808201137866548","0.128265884193938","3"
"Owner","1984","Employed","general elemantary","542","0.45838193352039","0.434758806943648","0.482005060097133","3"
"Owner","1984","Employed","middle vocational","1525","0.460150854642949","0.444376495207743","0.475925214078155","3"
"Owner","1984","Not Employed","in school","98","0.61177161748309","0.540177656063269","0.683365578902912","3"
"Owner","1984","Not Employed","inadequately","25","","","","3"
"Owner","1984","Not Employed","general elemantary","813","0.510052912764673","0.486691592818288","0.533414232711059","3"
"Owner","1984","Not Employed","middle vocational","830","0.447223061451464","0.424807261496126","0.469638861406802","3"
"Owner","1984","Not Employed","vocational + Abi","21","","","","3"
"Owner","1984","Not Employed","higher vocational","91","0.489241009324069","0.417401880735426","0.561080137912712","3"
"Owner","1984","Employed","vocational + Abi","68","0.416229239815217","0.352662554877927","0.479795924752506","3"
"Owner","1984","Employed","higher vocational","256","0.55312812835911","0.508370887917556","0.597885368800664","3"
"Owner","1984","Employed","higher education","299","0.504575477722024","0.465626321326018","0.54352463411803","3"
"Sub-Tenant","1984","Not Employed","higher education","2","","","","2"
"Sub-Tenant","1984","Employed","in school","","","","","2"
"Sub-Tenant","1984","Not Employed","inadequately","2","","","","2"
"Sub-Tenant","1984","Not Employed","general elemantary","20","","","","2"
"Sub-Tenant","1984","Not Employed","middle vocational","18","","","","2"
"Sub-Tenant","1984","Not Employed","vocational + Abi","4","","","","2"
"Sub-Tenant","1984","Not Employed","higher vocational","1","","","","2"
"Sub-Tenant","1984","Employed","inadequately","22","","","","2"
"Sub-Tenant","1984","Employed","general elemantary","26","","","","2"
"Sub-Tenant","1984","Not Employed","in school","","","","","2"
"Sub-Tenant","1984","Employed","middle vocational","44","0.0092344689018403","0.00620715947733319","0.0122617783263474","2"
"Sub-Tenant","1984","Employed","vocational + Abi","2","","","","2"
"Sub-Tenant","1984","Employed","higher vocational","6","","","","2"
"Sub-Tenant","1984","Employed","higher education","6","","","","2"
"Tenant","1984","Not Employed","higher vocational","","","","","5"
"Tenant","1984","Not Employed","higher education","","","","","5"
"Tenant","1984","Employed","general elemantary","3","","","","5"
"Tenant","1984","Employed","middle vocational","7","","","","5"
"Tenant","1984","Employed","inadequately","2","","","","5"
"Tenant","1984","Employed","in school","","","","","5"
"Tenant","1984","Employed","vocational + Abi","1","","","","5"
"Tenant","1984","Employed","higher vocational","1","","","","5"
"Tenant","1984","Employed","higher education","1","","","","5"
"Tenant","1984","Not Employed","in school","1","","","","5"
"Tenant","1984","Not Employed","inadequately","4","","","","5"
"Tenant","1984","Not Employed","general elemantary","5","","","","5"
"Tenant","1984","Not Employed","middle vocational","6","","","","5"
"Tenant","1984","Not Employed","vocational + Abi","1","","","","5"
"Main Tenant","1985","Not Employed","in school","81","0.358596873357028","0.288339750436989","0.428853996277067","1"
"Main Tenant","1985","Not Employed","inadequately","305","0.721073386300352","0.673543174615364","0.768603597985341","1"
"Main Tenant","1985","Not Employed","general elemantary","807","0.491283653490059","0.466282704920743","0.516284602059376","1"
"Main Tenant","1985","Not Employed","middle vocational","931","0.542091262747898","0.518525114122161","0.565657411373634","1"
"Main Tenant","1985","Not Employed","vocational + Abi","53","0.677074508803583","0.573963759834231","0.780185257772936","1"
"Main Tenant","1985","Not Employed","higher vocational","78","0.495234662262181","0.419630844031333","0.570838480493029","1"
"Main Tenant","1985","Not Employed","higher education","76","0.48218679850084","0.40195451109942","0.56241908590226","1"
"Main Tenant","1985","Employed","in school","4","","","","1"
"Main Tenant","1985","Employed","inadequately","456","0.819884915279346","0.786434955280961","0.853334875277732","1"
"Main Tenant","1985","Employed","general elemantary","1005","0.523677799393367","0.498692969642012","0.548662629144723","1"
"Main Tenant","1985","Employed","middle vocational","1968","0.521304186717878","0.504671136737091","0.537937236698666","1"
"Main Tenant","1985","Employed","vocational + Abi","134","0.59808186979041","0.529962492348795","0.666201247232024","1"
"Main Tenant","1985","Employed","higher vocational","211","0.469191608626044","0.423184718084889","0.515198499167199","1"
"Main Tenant","1985","Employed","higher education","311","0.496803469100567","0.457028039907295","0.53657889829384","1"
"Nursing Home/Retirement Community","1985","Employed","higher vocational","","","","","4"
"Nursing Home/Retirement Community","1985","Employed","higher education","","","","","4"
"Nursing Home/Retirement Community","1985","Not Employed","higher education","","","","","4"
"Nursing Home/Retirement Community","1985","Employed","in school","","","","","4"
"Nursing Home/Retirement Community","1985","Employed","inadequately","","","","","4"
"Nursing Home/Retirement Community","1985","Employed","general elemantary","","","","","4"
"Nursing Home/Retirement Community","1985","Employed","middle vocational","","","","","4"
"Nursing Home/Retirement Community","1985","Employed","vocational + Abi","","","","","4"
"Nursing Home/Retirement Community","1985","Not Employed","in school","","","","","4"
"Nursing Home/Retirement Community","1985","Not Employed","inadequately","","","","","4"
"Nursing Home/Retirement Community","1985","Not Employed","general elemantary","","","","","4"
"Nursing Home/Retirement Community","1985","Not Employed","middle vocational","","","","","4"
"Nursing Home/Retirement Community","1985","Not Employed","vocational + Abi","","","","","4"
"Nursing Home/Retirement Community","1985","Not Employed","higher vocational","","","","","4"
"Owner","1985","Not Employed","higher education","72","0.511849863879212","0.431589160718121","0.592110567040303","3"
"Owner","1985","Employed","in school","3","","","","3"
"Owner","1985","Employed","inadequately","35","0.14034304784819","0.110108592244902","0.170577503451477","3"
"Owner","1985","Employed","general elemantary","510","0.464887148109546","0.439936009890514","0.489838286328579","3"
"Owner","1985","Not Employed","in school","98","0.641403126642972","0.571146003722933","0.711660249563011","3"
"Owner","1985","Not Employed","inadequately","32","0.254564107709698","0.208396350959718","0.300731864459678","3"
"Owner","1985","Not Employed","general elemantary","711","0.496803242316625","0.471799005067531","0.52180747956572","3"
"Owner","1985","Not Employed","middle vocational","758","0.440882397043237","0.417398189715275","0.464366604371198","3"
"Owner","1985","Not Employed","vocational + Abi","24","","","","3"
"Owner","1985","Not Employed","higher vocational","89","0.503547767125966","0.427942418279307","0.579153115972625","3"
"Owner","1985","Employed","vocational + Abi","59","0.373224155718682","0.306025195956978","0.440423115480386","3"
"Owner","1985","Employed","higher vocational","235","0.515381192731891","0.469308532518297","0.561453852945485","3"
"Owner","1985","Employed","higher education","291","0.495545344023501","0.455770680637402","0.535320007409601","3"
