"hlf0001_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","1-pers.-HH","1003","0.739637491461773","0.716097508710855","0.76317747421269"
"Main Tenant","1984","(Married) couple without C. ","1654","0.557410338353198","0.538692633343053","0.576128043363342"
"Main Tenant","1984","Single parent ","387","0.588560846807249","0.548478116018485","0.628643577596012"
"Main Tenant","1984","Couple + C. LE 16 ","2074","0.567947092275586","0.550458527087177","0.585435657463996"
"Main Tenant","1984","Couple + C. GT 16 ","915","0.345880085147757","0.324997420894437","0.366762749401078"
"Main Tenant","1984","Couple + C. LE and GT 16","921","0.325101967750819","0.302965274472818","0.347238661028821"
"Sub-Tenant","1984","1-pers.-HH","70","0.0322605427421587","0.0227824158800424","0.041738669604275"
"Sub-Tenant","1984","(Married) couple without C. ","24","","",""
"Sub-Tenant","1984","Single parent ","7","","",""
"Sub-Tenant","1984","Couple + C. LE 16 ","32","0.00948075570230142","0.00605950648851037","0.0129020049160925"
"Sub-Tenant","1984","Couple + C. GT 16 ","6","","",""
"Sub-Tenant","1984","Couple + C. LE and GT 16","12","","",""
"Owner","1984","1-pers.-HH","256","0.226762543938677","0.204300485123318","0.249224602754036"
"Owner","1984","(Married) couple without C. ","1019","0.432428595187073","0.413759128496428","0.451098061877718"
"Owner","1984","Single parent ","185","0.394322921690206","0.354516293735945","0.434129549644468"
"Owner","1984","Couple + C. LE 16 ","966","0.419685274989971","0.402262174757513","0.437108375222428"
"Owner","1984","Couple + C. GT 16 ","1068","0.648903091777024","0.627947599578811","0.669858583975237"
"Owner","1984","Couple + C. LE and GT 16","783","0.670497688780313","0.648284457278911","0.692710920281715"
"Nursing Home/Retirement Community","1984","1-pers.-HH","","","",""
"Nursing Home/Retirement Community","1984","(Married) couple without C. ","","","",""
"Nursing Home/Retirement Community","1984","Single parent ","","","",""
"Nursing Home/Retirement Community","1984","Couple + C. LE 16 ","","","",""
"Nursing Home/Retirement Community","1984","Couple + C. GT 16 ","","","",""
"Nursing Home/Retirement Community","1984","Couple + C. LE and GT 16","","","",""
"Tenant","1984","1-pers.-HH","6","","",""
"Tenant","1984","(Married) couple without C. ","8","","",""
"Tenant","1984","Single parent ","","","",""
"Tenant","1984","Couple + C. LE 16 ","10","","",""
"Tenant","1984","Couple + C. GT 16 ","4","","",""
"Tenant","1984","Couple + C. LE and GT 16","4","","",""
"Main Tenant","1985","1-pers.-HH","898","0.755396831449151","0.730870888932468","0.779922773965835"
"Main Tenant","1985","(Married) couple without C. ","1492","0.567210167355253","0.547498483227249","0.586921851483258"
"Main Tenant","1985","Single parent ","351","0.583634470198654","0.54217191839688","0.625097022000429"
"Main Tenant","1985","Couple + C. LE 16 ","1736","0.547834224314313","0.528973445515055","0.566695003113571"
"Main Tenant","1985","Couple + C. GT 16 ","906","0.34815907504886","0.327410166860794","0.368907983236925"
"Main Tenant","1985","Couple + C. LE and GT 16","791","0.299939688674835","0.276672728129692","0.323206649219979"
"Sub-Tenant","1985","1-pers.-HH","66","0.0363302265411925","0.0256543078158337","0.0470061452665512"
"Sub-Tenant","1985","(Married) couple without C. ","32","0.0106539270494495","0.00656939621118311","0.0147384578877159"
"Sub-Tenant","1985","Single parent ","8","","",""
"Sub-Tenant","1985","Couple + C. LE 16 ","36","0.0130675290770945","0.00876398104663268","0.0173710771075562"
"Sub-Tenant","1985","Couple + C. GT 16 ","9","","",""
"Sub-Tenant","1985","Couple + C. LE and GT 16","","","",""
"Owner","1985","1-pers.-HH","216","0.208272942009657","0.185103730347503","0.23144215367181"
"Owner","1985","(Married) couple without C. ","903","0.422135905595297","0.402486373879476","0.441785437311118"
"Owner","1985","Single parent ","184","0.405586270538966","0.364287776538488","0.446884764539444"
"Owner","1985","Couple + C. LE 16 ","903","0.439098246608593","0.420291639657801","0.457904853559384"
"Owner","1985","Couple + C. GT 16 ","1110","0.648311554616993","0.627514276087572","0.669108833146414"
"Owner","1985","Couple + C. LE and GT 16","699","0.700060311325165","0.676793350780021","0.723327271870309"
"Nursing Home/Retirement Community","1985","1-pers.-HH","","","",""
"Nursing Home/Retirement Community","1985","(Married) couple without C. ","","","",""
"Nursing Home/Retirement Community","1985","Single parent ","","","",""
"Nursing Home/Retirement Community","1985","Couple + C. LE 16 ","","","",""
"Nursing Home/Retirement Community","1985","Couple + C. GT 16 ","","","",""
"Nursing Home/Retirement Community","1985","Couple + C. LE and GT 16","","","",""
"Tenant","1985","1-pers.-HH","","","",""
"Tenant","1985","(Married) couple without C. ","","","",""
"Tenant","1985","Single parent ","","","",""
"Tenant","1985","Couple + C. LE 16 ","","","",""
"Tenant","1985","Couple + C. GT 16 ","","","",""
"Tenant","1985","Couple + C. LE and GT 16","","","",""
"Main Tenant","1986","1-pers.-HH","828","0.741077409279583","0.715400428946471","0.766754389612694"
"Main Tenant","1986","(Married) couple without C. ","1442","0.561715735145817","0.54181092150159","0.581620548790043"
"Main Tenant","1986","Single parent ","304","0.557745510410502","0.514514212124271","0.600976808696732"
"Main Tenant","1986","Couple + C. LE 16 ","1549","0.559731523093677","0.539899878779691","0.579563167407663"
"Main Tenant","1986","Couple + C. GT 16 ","895","0.332274718020683","0.312162341889793","0.352387094151573"
"Main Tenant","1986","Couple + C. LE and GT 16","716","0.294916659629793","0.271047124336031","0.318786194923554"
"Sub-Tenant","1986","1-pers.-HH","70","0.0445161865995633","0.0324269790571286","0.056605394141998"
"Sub-Tenant","1986","(Married) couple without C. ","45","0.0164884214508283","0.0113798301454692","0.0215970127561875"
"Sub-Tenant","1986","Single parent ","12","","",""
"Sub-Tenant","1986","Couple + C. LE 16 ","45","0.0139230267101442","0.00924209524328466","0.0186039581770038"
"Sub-Tenant","1986","Couple + C. GT 16 ","10","","",""
"Sub-Tenant","1986","Couple + C. LE and GT 16","6","","",""
"Owner","1986","1-pers.-HH","220","0.214406404120854","0.190349206650371","0.238463601591337"
"Owner","1986","(Married) couple without C. ","900","0.421795843403355","0.401984513316281","0.441607173490429"
"Owner","1986","Single parent ","191","0.423877461778741","0.380862285541612","0.466892638015871"
"Owner","1986","Couple + C. LE 16 ","813","0.426345450196179","0.406588673852276","0.446102226540083"
"Owner","1986","Couple + C. GT 16 ","1202","0.665605367651835","0.645460988834147","0.685749746469524"
"Owner","1986","Couple + C. LE and GT 16","680","0.701214964881727","0.677255390827357","0.725174538936098"
"Nursing Home/Retirement Community","1986","1-pers.-HH","","","",""
"Nursing Home/Retirement Community","1986","(Married) couple without C. ","","","",""
"Nursing Home/Retirement Community","1986","Single parent ","","","",""
"Nursing Home/Retirement Community","1986","Couple + C. LE 16 ","","","",""
"Nursing Home/Retirement Community","1986","Couple + C. GT 16 ","","","",""
"Nursing Home/Retirement Community","1986","Couple + C. LE and GT 16","","","",""
"Tenant","1986","1-pers.-HH","","","",""
"Tenant","1986","(Married) couple without C. ","","","",""
"Tenant","1986","Single parent ","","","",""
"Tenant","1986","Couple + C. LE 16 ","","","",""
"Tenant","1986","Couple + C. GT 16 ","","","",""
"Tenant","1986","Couple + C. LE and GT 16","","","",""
"Main Tenant","1987","1-pers.-HH","807","0.733150017429471","0.707222722778864","0.759077312080078"
"Main Tenant","1987","(Married) couple without C. ","1379","0.540385025750596","0.520256991021526","0.560513060479667"
"Main Tenant","1987","Single parent ","316","0.53490388157446","0.492156799130078","0.577650964018842"
"Main Tenant","1987","Couple + C. LE 16 ","1533","0.56297826214585","0.542991702049009","0.582964822242691"
"Main Tenant","1987","Couple + C. GT 16 ","898","0.327832779235725","0.308031802094174","0.347633756377276"
"Main Tenant","1987","Couple + C. LE and GT 16","663","0.310200018458747","0.28463828692237","0.335761749995124"
"Sub-Tenant","1987","1-pers.-HH","85","0.0547038314996158","0.0413741426817266","0.068033520317505"
"Sub-Tenant","1987","(Married) couple without C. ","40","0.017597356482722","0.0122870313470351","0.0229076816184089"
"Sub-Tenant","1987","Single parent ","6","","",""
"Sub-Tenant","1987","Couple + C. LE 16 ","43","0.0190544033366983","0.0135455544566548","0.0245632522167418"
"Sub-Tenant","1987","Couple + C. GT 16 ","7","","",""
"Sub-Tenant","1987","Couple + C. LE and GT 16","14","","",""
"Owner","1987","1-pers.-HH","226","0.212146151070913","0.188181693782293","0.236110608359534"
"Owner","1987","(Married) couple without C. ","936","0.442017617766682","0.421959846775548","0.462075388757816"
"Owner","1987","Single parent ","201","0.450311184004362","0.40767168790618","0.492950680102544"
"Owner","1987","Couple + C. LE 16 ","790","0.417967334517452","0.398093321437176","0.437841347597727"
"Owner","1987","Couple + C. GT 16 ","1254","0.671427282592736","0.651614886049532","0.691239679135939"
"Owner","1987","Couple + C. LE and GT 16","581","0.678155410409493","0.652339021649909","0.703971799169077"
"Nursing Home/Retirement Community","1987","1-pers.-HH","","","",""
"Nursing Home/Retirement Community","1987","(Married) couple without C. ","","","",""
"Nursing Home/Retirement Community","1987","Single parent ","","","",""
"Nursing Home/Retirement Community","1987","Couple + C. LE 16 ","","","",""
"Nursing Home/Retirement Community","1987","Couple + C. GT 16 ","","","",""
"Nursing Home/Retirement Community","1987","Couple + C. LE and GT 16","","","",""
"Tenant","1987","1-pers.-HH","","","",""
"Tenant","1987","(Married) couple without C. ","","","",""
"Tenant","1987","Single parent ","","","",""
"Tenant","1987","Couple + C. LE 16 ","","","",""
"Tenant","1987","Couple + C. GT 16 ","","","",""
"Tenant","1987","Couple + C. LE and GT 16","","","",""
"Main Tenant","1988","1-pers.-HH","774","0.727450072250339","0.700795278300701","0.754104866199977"
"Main Tenant","1988","(Married) couple without C. ","1363","0.537668112405045","0.517238781389981","0.558097443420109"
"Main Tenant","1988","Single parent ","298","0.525926749603303","0.482548247087196","0.56930525211941"
"Main Tenant","1988","Couple + C. LE 16 ","1414","0.544046976417973","0.523380018441471","0.564713934394475"
"Main Tenant","1988","Couple + C. GT 16 ","915","0.309864934631736","0.290580651614617","0.329149217648856"
"Main Tenant","1988","Couple + C. LE and GT 16","613","0.34217611707641","0.31402371989251","0.37032851426031"
"Sub-Tenant","1988","1-pers.-HH","72","0.0570187433380408","0.0431380535243681","0.0708994331517134"
"Sub-Tenant","1988","(Married) couple without C. ","42","0.0220132348399365","0.0160011028964412","0.0280253667834318"
"Sub-Tenant","1988","Single parent ","11","","",""
"Sub-Tenant","1988","Couple + C. LE 16 ","40","0.0192445086057021","0.0135437573286352","0.0249452598827691"
"Sub-Tenant","1988","Couple + C. GT 16 ","9","","",""
"Sub-Tenant","1988","Couple + C. LE and GT 16","12","","",""
"Owner","1988","1-pers.-HH","226","0.21553118441162","0.19091653819251","0.24014583063073"
"Owner","1988","(Married) couple without C. ","883","0.440318652755018","0.419977571283658","0.460659734226379"
"Owner","1988","Single parent ","200","0.446253302517091","0.403068046758442","0.48943855827574"
"Owner","1988","Couple + C. LE 16 ","777","0.436708514976325","0.416127787164704","0.457289242787946"
"Owner","1988","Couple + C. GT 16 ","1285","0.688059845311464","0.668740207453556","0.707379483169373"
"Owner","1988","Couple + C. LE and GT 16","466","0.643128743888177","0.614701126562192","0.671556361214161"
"Nursing Home/Retirement Community","1988","1-pers.-HH","","","",""
"Nursing Home/Retirement Community","1988","(Married) couple without C. ","","","",""
"Nursing Home/Retirement Community","1988","Single parent ","","","",""
"Nursing Home/Retirement Community","1988","Couple + C. LE 16 ","","","",""
"Nursing Home/Retirement Community","1988","Couple + C. GT 16 ","","","",""
"Nursing Home/Retirement Community","1988","Couple + C. LE and GT 16","","","",""
"Tenant","1988","1-pers.-HH","","","",""
"Tenant","1988","(Married) couple without C. ","","","",""
"Tenant","1988","Single parent ","","","",""
"Tenant","1988","Couple + C. LE 16 ","","","",""
"Tenant","1988","Couple + C. GT 16 ","","","",""
