"hlf0001_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1985","Urban Area","West Germany","5601","0.570283866621619","0.559927404663598","0.580640328579639"
"Main Tenant","1985","Urban Area","East Germany","","","",""
"Main Tenant","1985","Rural Area","West Germany","904","0.362677562124648","0.342943312574875","0.38241181167442"
"Main Tenant","1985","Rural Area","East Germany","","","",""
"Sub-Tenant","1985","Urban Area","West Germany","132","0.0137954534714556","0.0113552472367548","0.0162356597061564"
"Sub-Tenant","1985","Urban Area","East Germany","","","",""
"Sub-Tenant","1985","Rural Area","West Germany","24","","",""
"Sub-Tenant","1985","Rural Area","East Germany","","","",""
"Owner","1985","Urban Area","West Germany","3044","0.415920679906925","0.40560931363062","0.426232046183231"
"Owner","1985","Urban Area","East Germany","","","",""
"Owner","1985","Rural Area","West Germany","1352","0.626156021187552","0.606296574548058","0.646015467827046"
"Owner","1985","Rural Area","East Germany","","","",""
"Nursing Home/Retirement Community","1985","Urban Area","West Germany","","","",""
"Nursing Home/Retirement Community","1985","Urban Area","East Germany","","","",""
"Nursing Home/Retirement Community","1985","Rural Area","West Germany","","","",""
"Nursing Home/Retirement Community","1985","Rural Area","East Germany","","","",""
"Tenant","1985","Urban Area","West Germany","","","",""
"Tenant","1985","Urban Area","East Germany","","","",""
"Tenant","1985","Rural Area","West Germany","","","",""
"Tenant","1985","Rural Area","East Germany","","","",""
"Main Tenant","1986","Urban Area","West Germany","5243","0.563210648226885","0.552635384995444","0.573785911458327"
"Main Tenant","1986","Urban Area","East Germany","","","",""
"Main Tenant","1986","Rural Area","West Germany","819","0.359753576367001","0.339602622140201","0.379904530593801"
"Main Tenant","1986","Rural Area","East Germany","","","",""
"Sub-Tenant","1986","Urban Area","West Germany","153","0.0173635108079927","0.0145784482739742","0.0201485733420112"
"Sub-Tenant","1986","Urban Area","East Germany","","","",""
"Sub-Tenant","1986","Rural Area","West Germany","45","0.0169142761926284","0.0114999816319736","0.0223285707532831"
"Sub-Tenant","1986","Rural Area","East Germany","","","",""
"Owner","1986","Urban Area","West Germany","3054","0.419425840965122","0.408904376822938","0.429947305107305"
"Owner","1986","Urban Area","East Germany","","","",""
"Owner","1986","Rural Area","West Germany","1315","0.62333214744037","0.602987108907674","0.643677185973067"
