"hlf0001_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","1-pers.-HH","West Germany","1003","0.739637491461773","0.716097508710855","0.76317747421269","1"
"Main Tenant","1984","1-pers.-HH","East Germany","","","","","1"
"Main Tenant","1984","(Married) couple without C. ","West Germany","1654","0.557410338353198","0.538692633343053","0.576128043363342","1"
"Main Tenant","1984","(Married) couple without C. ","East Germany","","","","","1"
"Main Tenant","1984","Single parent ","West Germany","387","0.588560846807249","0.548478116018485","0.628643577596012","1"
"Main Tenant","1984","Single parent ","East Germany","","","","","1"
"Main Tenant","1984","Couple + C. LE 16 ","West Germany","2074","0.567947092275586","0.550458527087177","0.585435657463996","1"
"Main Tenant","1984","Couple + C. LE 16 ","East Germany","","","","","1"
"Main Tenant","1984","Couple + C. GT 16 ","West Germany","915","0.345880085147757","0.324997420894437","0.366762749401078","1"
"Main Tenant","1984","Couple + C. GT 16 ","East Germany","","","","","1"
"Main Tenant","1984","Couple + C. LE and GT 16","West Germany","921","0.325101967750819","0.302965274472818","0.347238661028821","1"
"Main Tenant","1984","Couple + C. LE and GT 16","East Germany","","","","","1"
"Nursing Home/Retirement Community","1984","1-pers.-HH","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","(Married) couple without C. ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","1-pers.-HH","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","(Married) couple without C. ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","Single parent ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","Couple + C. LE and GT 16","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","Single parent ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","Couple + C. LE 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","Couple + C. LE 16 ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","Couple + C. GT 16 ","West Germany","","","","","4"
"Nursing Home/Retirement Community","1984","Couple + C. GT 16 ","East Germany","","","","","4"
"Nursing Home/Retirement Community","1984","Couple + C. LE and GT 16","West Germany","","","","","4"
"Owner","1984","1-pers.-HH","East Germany","","","","","3"
"Owner","1984","(Married) couple without C. ","West Germany","1019","0.432428595187073","0.413759128496428","0.451098061877718","3"
"Owner","1984","(Married) couple without C. ","East Germany","","","","","3"
"Owner","1984","Single parent ","West Germany","185","0.394322921690206","0.354516293735945","0.434129549644468","3"
"Owner","1984","1-pers.-HH","West Germany","256","0.226762543938677","0.204300485123318","0.249224602754036","3"
"Owner","1984","Single parent ","East Germany","","","","","3"
