"hlf0001_h","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1985","Not Employed","Urban Area","2029","0.566627501578632","0.549728023085783","0.583526980071482"
"Main Tenant","1985","Not Employed","Rural Area","339","0.373109374327448","0.34180699201801","0.404411756636886"
"Main Tenant","1985","Employed","Urban Area","3572","0.573068669677585","0.559965449439759","0.586171889915411"
"Main Tenant","1985","Employed","Rural Area","565","0.353790919870723","0.328406921430539","0.379174918310908"
"Sub-Tenant","1985","Not Employed","Urban Area","46","0.0136718049093276","0.00971160185435496","0.0176320079643001"
"Sub-Tenant","1985","Not Employed","Rural Area","9","","",""
"Sub-Tenant","1985","Employed","Urban Area","86","0.0138896281202206","0.0107893277874929","0.0169899284529483"
"Sub-Tenant","1985","Employed","Rural Area","15","","",""
"Owner","1985","Not Employed","Urban Area","1228","0.41970069351204","0.402870478147899","0.436530908876181"
"Owner","1985","Not Employed","Rural Area","569","0.615042142224012","0.583548531522093","0.646535752925931"
"Owner","1985","Employed","Urban Area","1816","0.413041702202195","0.399998138345094","0.426085266059296"
"Owner","1985","Employed","Rural Area","783","0.635623701824659","0.610074621927901","0.661172781721418"
"Nursing Home/Retirement Community","1985","Not Employed","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","Not Employed","Rural Area","","","",""
"Nursing Home/Retirement Community","1985","Employed","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","Employed","Rural Area","","","",""
"Tenant","1985","Not Employed","Urban Area","","","",""
"Tenant","1985","Not Employed","Rural Area","","","",""
"Tenant","1985","Employed","Urban Area","","","",""
"Tenant","1985","Employed","Rural Area","","","",""
"Main Tenant","1986","Not Employed","Urban Area","1818","0.549807200578723","0.532372310939362","0.567242090218083"
"Main Tenant","1986","Not Employed","Rural Area","271","0.364211135629842","0.33113339124177","0.397288880017914"
"Main Tenant","1986","Employed","Urban Area","3425","0.573361290921764","0.560073433214187","0.586649148629341"
"Main Tenant","1986","Employed","Rural Area","548","0.356392681893014","0.330994793115356","0.381790570670672"
"Sub-Tenant","1986","Not Employed","Urban Area","50","0.0170025451354357","0.0124720268902942","0.0215330633805772"
"Sub-Tenant","1986","Not Employed","Rural Area","14","","",""
"Sub-Tenant","1986","Employed","Urban Area","103","0.0176368758155208","0.0141005073420292","0.0211732442890123"
"Sub-Tenant","1986","Employed","Rural Area","31","0.01324896597248","0.0071855476916997","0.0193123842532602"
"Owner","1986","Not Employed","Urban Area","1260","0.433190254285842","0.415825337278147","0.450555171293536"
"Owner","1986","Not Employed","Rural Area","528","0.614013281864742","0.580549279566404","0.64747728416308"
"Owner","1986","Employed","Urban Area","1794","0.409001833262715","0.395792942454275","0.422210724071156"
"Owner","1986","Employed","Rural Area","787","0.630358352134506","0.604760298425973","0.65595640584304"
"Nursing Home/Retirement Community","1986","Not Employed","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","Not Employed","Rural Area","","","",""
"Nursing Home/Retirement Community","1986","Employed","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","Employed","Rural Area","","","",""
"Tenant","1986","Not Employed","Urban Area","","","",""
"Tenant","1986","Not Employed","Rural Area","","","",""
"Tenant","1986","Employed","Urban Area","","","",""
"Tenant","1986","Employed","Rural Area","","","",""
