"hlf0001_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Nursing Home/Retirement Community","1985","Brandenburg","","","",""
"Nursing Home/Retirement Community","1985","Mecklenburg-Western Pomerania","","","",""
"Nursing Home/Retirement Community","1985","Saxony","","","",""
"Nursing Home/Retirement Community","1985","Saxony-Anhalt","","","",""
"Nursing Home/Retirement Community","1985","Thuringia","","","",""
"Tenant","1985","Schleswig-Holstein","","","",""
"Tenant","1985","Hamburg","","","",""
"Tenant","1985","Lower Saxony","","","",""
"Tenant","1985","Bremen","","","",""
"Tenant","1985","North Rhine-Westphalia","","","",""
"Tenant","1985","Hesse","","","",""
"Tenant","1985","Rhineland-Palatinate,Saarland","","","",""
"Tenant","1985","Baden-Württemberg","","","",""
"Tenant","1985","Bavaria","","","",""
"Tenant","1985","Berlin","","","",""
"Tenant","1985","Brandenburg","","","",""
"Tenant","1985","Mecklenburg-Western Pomerania","","","",""
"Tenant","1985","Saxony","","","",""
"Tenant","1985","Saxony-Anhalt","","","",""
"Tenant","1985","Thuringia","","","",""
"Main Tenant","1986","Schleswig-Holstein","139","0.429942370259385","0.37603599993691","0.483848740581859"
"Main Tenant","1986","Hamburg","204","0.786538120339578","0.736344541648868","0.836731699030289"
"Main Tenant","1986","Lower Saxony","506","0.446533215727413","0.41727451855813","0.475791912896697"
"Main Tenant","1986","Bremen","77","0.727999815061737","0.644461622192541","0.811538007930933"
"Main Tenant","1986","North Rhine-Westphalia","1841","0.600410946785221","0.582490937323884","0.618330956246559"
"Main Tenant","1986","Hesse","647","0.526178765123234","0.495991716670937","0.556365813575531"
"Main Tenant","1986","Rhineland-Palatinate,Saarland","306","0.364276818753019","0.330286712668643","0.398266924837396"
"Main Tenant","1986","Baden-Württemberg","1130","0.442086644785763","0.420348224603775","0.46382506496775"
"Main Tenant","1986","Bavaria","893","0.456438231669871","0.433305251274898","0.479571212064844"
"Main Tenant","1986","Berlin","319","0.891910443327786","0.859566054267545","0.924254832388028"
"Main Tenant","1986","Brandenburg","","","",""
"Main Tenant","1986","Mecklenburg-Western Pomerania","","","",""
"Main Tenant","1986","Saxony","","","",""
"Main Tenant","1986","Saxony-Anhalt","","","",""
"Main Tenant","1986","Thuringia","","","",""
"Sub-Tenant","1986","Schleswig-Holstein","6","","",""
"Sub-Tenant","1986","Hamburg","5","","",""
"Sub-Tenant","1986","Lower Saxony","16","","",""
"Sub-Tenant","1986","Bremen","","","",""
"Sub-Tenant","1986","North Rhine-Westphalia","39","0.0160441600526287","0.0114473830133688","0.0206409370918886"
"Sub-Tenant","1986","Hesse","40","0.0207142273066378","0.0121035795339439","0.0293248750793317"
"Sub-Tenant","1986","Rhineland-Palatinate,Saarland","19","","",""
"Sub-Tenant","1986","Baden-Württemberg","40","0.0167599531378461","0.0111409783692808","0.0223789279064115"
"Sub-Tenant","1986","Bavaria","25","","",""
"Sub-Tenant","1986","Berlin","8","","",""
"Sub-Tenant","1986","Brandenburg","","","",""
"Sub-Tenant","1986","Mecklenburg-Western Pomerania","","","",""
"Sub-Tenant","1986","Saxony","","","",""
"Sub-Tenant","1986","Saxony-Anhalt","","","",""
"Sub-Tenant","1986","Thuringia","","","",""
"Owner","1986","Schleswig-Holstein","179","0.543502614807687","0.489265628236093","0.597739601379281"
"Owner","1986","Hamburg","47","0.184675231144863","0.137141954592997","0.232208507696729"
"Owner","1986","Lower Saxony","587","0.542676617410026","0.513356576215934","0.571996658604117"
"Owner","1986","Bremen","32","0.272000184938263","0.188461992069067","0.355538377807459"
"Owner","1986","North Rhine-Westphalia","990","0.38354489316215","0.365755301795758","0.401334484528541"
"Owner","1986","Hesse","364","0.453107007570128","0.423011733565877","0.483202281574379"
"Owner","1986","Rhineland-Palatinate,Saarland","445","0.61052127645644","0.576078750115821","0.644963802797059"
"Owner","1986","Baden-Württemberg","835","0.541153402076391","0.519341936047602","0.562964868105181"
"Owner","1986","Bavaria","863","0.527356217497019","0.50416972046664","0.550542714527399"
"Owner","1986","Berlin","27","","",""
"Owner","1986","Brandenburg","","","",""
"Owner","1986","Mecklenburg-Western Pomerania","","","",""
"Owner","1986","Saxony","","","",""
"Owner","1986","Saxony-Anhalt","","","",""
"Owner","1986","Thuringia","","","",""
"Nursing Home/Retirement Community","1986","Schleswig-Holstein","","","",""
"Nursing Home/Retirement Community","1986","Hamburg","","","",""
"Nursing Home/Retirement Community","1986","Lower Saxony","","","",""
"Nursing Home/Retirement Community","1986","Bremen","","","",""
"Nursing Home/Retirement Community","1986","North Rhine-Westphalia","","","",""
"Nursing Home/Retirement Community","1986","Hesse","","","",""
"Nursing Home/Retirement Community","1986","Rhineland-Palatinate,Saarland","","","",""
"Nursing Home/Retirement Community","1986","Baden-Württemberg","","","",""
"Nursing Home/Retirement Community","1986","Bavaria","","","",""
"Nursing Home/Retirement Community","1986","Berlin","","","",""
"Nursing Home/Retirement Community","1986","Brandenburg","","","",""
"Nursing Home/Retirement Community","1986","Mecklenburg-Western Pomerania","","","",""
"Nursing Home/Retirement Community","1986","Saxony","","","",""
"Nursing Home/Retirement Community","1986","Saxony-Anhalt","","","",""
"Nursing Home/Retirement Community","1986","Thuringia","","","",""
"Tenant","1986","Schleswig-Holstein","","","",""
"Tenant","1986","Hamburg","","","",""
"Tenant","1986","Lower Saxony","","","",""
"Tenant","1986","Bremen","","","",""
"Tenant","1986","North Rhine-Westphalia","","","",""
"Tenant","1986","Hesse","","","",""
"Tenant","1986","Rhineland-Palatinate,Saarland","","","",""
"Tenant","1986","Baden-Württemberg","","","",""
"Tenant","1986","Bavaria","","","",""
"Tenant","1986","Berlin","","","",""
"Tenant","1986","Brandenburg","","","",""
"Tenant","1986","Mecklenburg-Western Pomerania","","","",""
"Tenant","1986","Saxony","","","",""
"Tenant","1986","Saxony-Anhalt","","","",""
"Tenant","1986","Thuringia","","","",""
"Main Tenant","1987","Schleswig-Holstein","139","0.39560613927597","0.342526150247106","0.448686128304834"
"Main Tenant","1987","Hamburg","174","0.778807811309436","0.724695770453731","0.832919852165142"
"Main Tenant","1987","Lower Saxony","511","0.449798337102298","0.420519610117409","0.479077064087187"
"Main Tenant","1987","Bremen","69","0.73567502430303","0.649674814498983","0.821675234107077"
"Main Tenant","1987","North Rhine-Westphalia","1803","0.601469394757526","0.583453491990222","0.619485297524829"
"Main Tenant","1987","Hesse","661","0.525834039425042","0.495717458418594","0.555950620431489"
"Main Tenant","1987","Rhineland-Palatinate,Saarland","312","0.367120652207058","0.333096620683445","0.401144683730671"
"Main Tenant","1987","Baden-Württemberg","1096","0.445497899193515","0.423589069243796","0.467406729143234"
"Main Tenant","1987","Bavaria","863","0.451833608643833","0.428415931192302","0.475251286095365"
"Main Tenant","1987","Berlin","333","0.89281554091339","0.861079814777953","0.924551267048828"
"Main Tenant","1987","Brandenburg","","","",""
"Main Tenant","1987","Mecklenburg-Western Pomerania","","","",""
"Main Tenant","1987","Saxony","","","",""
"Main Tenant","1987","Saxony-Anhalt","","","",""
"Main Tenant","1987","Thuringia","","","",""
"Sub-Tenant","1987","Schleswig-Holstein","6","","",""
"Sub-Tenant","1987","Hamburg","4","","",""
"Sub-Tenant","1987","Lower Saxony","20","","",""
"Sub-Tenant","1987","Bremen","","","",""
"Sub-Tenant","1987","North Rhine-Westphalia","42","0.0165176802473394","0.0118276436789755","0.0212077168157032"
"Sub-Tenant","1987","Hesse","24","","",""
"Sub-Tenant","1987","Rhineland-Palatinate,Saarland","17","","",""
"Sub-Tenant","1987","Baden-Württemberg","55","0.0275293444486514","0.0203169255302081","0.0347417633670947"
"Sub-Tenant","1987","Bavaria","34","0.0215827204287008","0.0147449659751209","0.0284204748822807"
"Sub-Tenant","1987","Berlin","5","","",""
"Sub-Tenant","1987","Brandenburg","","","",""
"Sub-Tenant","1987","Mecklenburg-Western Pomerania","","","",""
"Sub-Tenant","1987","Saxony","","","",""
"Sub-Tenant","1987","Saxony-Anhalt","","","",""
"Sub-Tenant","1987","Thuringia","","","",""
"Owner","1987","Schleswig-Holstein","181","0.575352003515801","0.521695712903119","0.629008294128483"
"Owner","1987","Hamburg","48","0.199379589013381","0.147290405673832","0.25146877235293"
"Owner","1987","Lower Saxony","578","0.534137935521704","0.504779175896843","0.563496695146565"
"Owner","1987","Bremen","32","0.26432497569697","0.178324765892923","0.350325185501017"
"Owner","1987","North Rhine-Westphalia","992","0.382012924995135","0.364133763480552","0.399892086509717"
"Owner","1987","Hesse","371","0.452712069235546","0.422690381475218","0.482733756995873"
"Owner","1987","Rhineland-Palatinate,Saarland","442","0.6054955751289","0.570996907047525","0.639994243210276"
"Owner","1987","Baden-Württemberg","826","0.526972756357833","0.504964688560572","0.548980824155095"
"Owner","1987","Bavaria","838","0.526583670927466","0.503089849572237","0.550077492282695"
"Owner","1987","Berlin","27","","",""
"Owner","1987","Brandenburg","","","",""
"Owner","1987","Mecklenburg-Western Pomerania","","","",""
"Owner","1987","Saxony","","","",""
"Owner","1987","Saxony-Anhalt","","","",""
"Owner","1987","Thuringia","","","",""
"Nursing Home/Retirement Community","1987","Schleswig-Holstein","","","",""
"Nursing Home/Retirement Community","1987","Hamburg","","","",""
"Nursing Home/Retirement Community","1987","Lower Saxony","","","",""
"Nursing Home/Retirement Community","1987","Bremen","","","",""
"Nursing Home/Retirement Community","1987","North Rhine-Westphalia","","","",""
"Nursing Home/Retirement Community","1987","Hesse","","","",""
"Nursing Home/Retirement Community","1987","Rhineland-Palatinate,Saarland","","","",""
"Nursing Home/Retirement Community","1987","Baden-Württemberg","","","",""
"Nursing Home/Retirement Community","1987","Bavaria","","","",""
"Nursing Home/Retirement Community","1987","Berlin","","","",""
"Nursing Home/Retirement Community","1987","Brandenburg","","","",""
"Nursing Home/Retirement Community","1987","Mecklenburg-Western Pomerania","","","",""
"Nursing Home/Retirement Community","1987","Saxony","","","",""
"Nursing Home/Retirement Community","1987","Saxony-Anhalt","","","",""
"Nursing Home/Retirement Community","1987","Thuringia","","","",""
"Tenant","1987","Schleswig-Holstein","","","",""
"Tenant","1987","Hamburg","","","",""
"Tenant","1987","Lower Saxony","","","",""
"Tenant","1987","Bremen","","","",""
"Tenant","1987","North Rhine-Westphalia","","","",""
"Tenant","1987","Hesse","","","",""
"Tenant","1987","Rhineland-Palatinate,Saarland","","","",""
"Tenant","1987","Baden-Württemberg","","","",""
"Tenant","1987","Bavaria","","","",""
"Tenant","1987","Berlin","","","",""
"Tenant","1987","Brandenburg","","","",""
"Tenant","1987","Mecklenburg-Western Pomerania","","","",""
"Tenant","1987","Saxony","","","",""
"Tenant","1987","Saxony-Anhalt","","","",""
"Tenant","1987","Thuringia","","","",""
"Main Tenant","1988","Schleswig-Holstein","139","0.409724141539152","0.356175448727537","0.463272834350768"
"Main Tenant","1988","Hamburg","155","0.761111216984271","0.702453924574806","0.819768509393736"
"Main Tenant","1988","Lower Saxony","504","0.449956619650316","0.419865577057956","0.480047662242677"
"Main Tenant","1988","Bremen","66","0.691660580221107","0.60114796178495","0.782173198657265"
"Main Tenant","1988","North Rhine-Westphalia","1702","0.590439495785311","0.571901114806799","0.608977876763824"
"Main Tenant","1988","Hesse","625","0.5089354745659","0.478027844686153","0.539843104445648"
"Main Tenant","1988","Rhineland-Palatinate,Saarland","325","0.397016890687392","0.361764441400544","0.43226933997424"
"Main Tenant","1988","Baden-Württemberg","1055","0.435450864104204","0.413150802617643","0.457750925590765"
"Main Tenant","1988","Bavaria","846","0.454485329787468","0.430510806044031","0.478459853530904"
"Main Tenant","1988","Berlin","303","0.880888036058064","0.846252931676332","0.915523140439796"
"Main Tenant","1988","Brandenburg","","","",""
"Main Tenant","1988","Mecklenburg-Western Pomerania","","","",""
"Main Tenant","1988","Saxony","","","",""
"Main Tenant","1988","Saxony-Anhalt","","","",""
"Main Tenant","1988","Thuringia","","","",""
"Sub-Tenant","1988","Schleswig-Holstein","5","","",""
"Sub-Tenant","1988","Hamburg","4","","",""
"Sub-Tenant","1988","Lower Saxony","23","","",""
"Sub-Tenant","1988","Bremen","3","","",""
"Sub-Tenant","1988","North Rhine-Westphalia","45","0.022804658737685","0.0171770026302768","0.0284323148450932"
"Sub-Tenant","1988","Hesse","23","","",""
"Sub-Tenant","1988","Rhineland-Palatinate,Saarland","12","","",""
"Sub-Tenant","1988","Baden-Württemberg","36","0.0234492082587119","0.0166431271745675","0.0302552893428562"
"Sub-Tenant","1988","Bavaria","33","0.02370708261334","0.0163819420524016","0.0310322231742783"
"Sub-Tenant","1988","Berlin","11","","",""
"Sub-Tenant","1988","Brandenburg","","","",""
"Sub-Tenant","1988","Mecklenburg-Western Pomerania","","","",""
"Sub-Tenant","1988","Saxony","","","",""
"Sub-Tenant","1988","Saxony-Anhalt","","","",""
"Sub-Tenant","1988","Thuringia","","","",""
"Owner","1988","Schleswig-Holstein","180","0.566722616721345","0.512766104582104","0.620679128860586"
"Owner","1988","Hamburg","44","0.230136081717777","0.17223330213817","0.288038861297384"
"Owner","1988","Lower Saxony","523","0.526323217886878","0.49612225743183","0.556524178341926"
"Owner","1988","Bremen","31","0.26497816776951","0.178480727218305","0.351475608320715"
"Owner","1988","North Rhine-Westphalia","956","0.386755845477004","0.368396372090798","0.40511531886321"
"Owner","1988","Hesse","357","0.468564145230095","0.437712735564244","0.499415554895945"
"Owner","1988","Rhineland-Palatinate,Saarland","403","0.579708821874108","0.54414468090681","0.615272962841406"
"Owner","1988","Baden-Württemberg","808","0.541099927637084","0.518687783354173","0.563512071919995"
"Owner","1988","Bavaria","778","0.521807587599192","0.497756020848845","0.54585915434954"
"Owner","1988","Berlin","22","","",""
"Owner","1988","Brandenburg","","","",""
"Owner","1988","Mecklenburg-Western Pomerania","","","",""
"Owner","1988","Saxony","","","",""
"Owner","1988","Saxony-Anhalt","","","",""
"Owner","1988","Thuringia","","","",""
"Nursing Home/Retirement Community","1988","Schleswig-Holstein","","","",""
"Nursing Home/Retirement Community","1988","Hamburg","","","",""
"Nursing Home/Retirement Community","1988","Lower Saxony","","","",""
"Nursing Home/Retirement Community","1988","Bremen","","","",""
"Nursing Home/Retirement Community","1988","North Rhine-Westphalia","","","",""
"Nursing Home/Retirement Community","1988","Hesse","","","",""
"Nursing Home/Retirement Community","1988","Rhineland-Palatinate,Saarland","","","",""
"Nursing Home/Retirement Community","1988","Baden-Württemberg","","","",""
"Nursing Home/Retirement Community","1988","Bavaria","","","",""
"Nursing Home/Retirement Community","1988","Berlin","","","",""
"Nursing Home/Retirement Community","1988","Brandenburg","","","",""
"Nursing Home/Retirement Community","1988","Mecklenburg-Western Pomerania","","","",""
"Nursing Home/Retirement Community","1988","Saxony","","","",""
"Nursing Home/Retirement Community","1988","Saxony-Anhalt","","","",""
"Nursing Home/Retirement Community","1988","Thuringia","","","",""
"Tenant","1988","Schleswig-Holstein","","","",""
"Tenant","1988","Hamburg","","","",""
"Tenant","1988","Lower Saxony","","","",""
"Tenant","1988","Bremen","","","",""
"Tenant","1988","North Rhine-Westphalia","","","",""
"Tenant","1988","Hesse","","","",""
"Tenant","1988","Rhineland-Palatinate,Saarland","","","",""
"Tenant","1988","Baden-Württemberg","","","",""
"Tenant","1988","Bavaria","","","",""
"Tenant","1988","Berlin","","","",""
"Tenant","1988","Brandenburg","","","",""
"Tenant","1988","Mecklenburg-Western Pomerania","","","",""
"Tenant","1988","Saxony","","","",""
"Tenant","1988","Saxony-Anhalt","","","",""
"Tenant","1988","Thuringia","","","",""
"Main Tenant","1989","Schleswig-Holstein","133","0.40741725077875","0.352183376332293","0.462651125225207"
"Main Tenant","1989","Hamburg","157","0.787381797847955","0.730246054221254","0.844517541474657"
"Main Tenant","1989","Lower Saxony","477","0.444463425925095","0.413696183526129","0.475230668324062"
"Main Tenant","1989","Bremen","69","0.677599082797817","0.589449400307066","0.765748765288568"
"Main Tenant","1989","North Rhine-Westphalia","1639","0.584916160114818","0.566066732793355","0.603765587436281"
"Main Tenant","1989","Hesse","617","0.515260312635236","0.484253976137201","0.546266649133271"
"Main Tenant","1989","Rhineland-Palatinate,Saarland","283","0.363123780206436","0.327370939764466","0.398876620648405"
"Main Tenant","1989","Baden-Württemberg","1002","0.415968642118126","0.393342884211898","0.438594400024354"
"Main Tenant","1989","Bavaria","831","0.458611938954021","0.434347648328052","0.482876229579991"
"Main Tenant","1989","Berlin","293","0.867195843624858","0.830691589704428","0.903700097545287"
"Main Tenant","1989","Brandenburg","","","",""
"Main Tenant","1989","Mecklenburg-Western Pomerania","","","",""
"Main Tenant","1989","Saxony","","","",""
"Main Tenant","1989","Saxony-Anhalt","","","",""
"Main Tenant","1989","Thuringia","","","",""
"Sub-Tenant","1989","Schleswig-Holstein","7","","",""
"Sub-Tenant","1989","Hamburg","1","","",""
"Sub-Tenant","1989","Lower Saxony","21","","",""
"Sub-Tenant","1989","Bremen","8","","",""
"Sub-Tenant","1989","North Rhine-Westphalia","31","0.0123314076569069","0.00810962971499811","0.0165531855988156"
"Sub-Tenant","1989","Hesse","23","","",""
"Sub-Tenant","1989","Rhineland-Palatinate,Saarland","15","","",""
"Sub-Tenant","1989","Baden-Württemberg","30","0.0237682149476859","0.0167757626594194","0.0307606672359523"
"Sub-Tenant","1989","Bavaria","25","","",""
"Sub-Tenant","1989","Berlin","19","","",""
"Sub-Tenant","1989","Brandenburg","","","",""
"Sub-Tenant","1989","Mecklenburg-Western Pomerania","","","",""
"Sub-Tenant","1989","Saxony","","","",""
"Sub-Tenant","1989","Saxony-Anhalt","","","",""
"Sub-Tenant","1989","Thuringia","","","",""
"Owner","1989","Schleswig-Holstein","164","0.556157912409538","0.500307729419983","0.612008095399092"
"Owner","1989","Hamburg","39","0.20842695597333","0.151706799655118","0.265147112291542"
"Owner","1989","Lower Saxony","503","0.527296241163766","0.496383601191633","0.558208881135899"
"Owner","1989","Bremen","31","0.24138671956657","0.16068122183167","0.32209221730147"
"Owner","1989","North Rhine-Westphalia","949","0.399513588677793","0.380776556313489","0.418250621042097"
"Owner","1989","Hesse","357","0.460905728768676","0.429979908196248","0.491831549341103"
"Owner","1989","Rhineland-Palatinate,Saarland","397","0.601855843282265","0.565462487550612","0.638249199013919"
"Owner","1989","Baden-Württemberg","788","0.556971920038298","0.534169180125","0.579774659951595"
"Owner","1989","Bavaria","764","0.52435969275524","0.500040757337842","0.548678628172638"
"Owner","1989","Berlin","17","","",""
"Owner","1989","Brandenburg","","","",""
"Owner","1989","Mecklenburg-Western Pomerania","","","",""
"Owner","1989","Saxony","","","",""
"Owner","1989","Saxony-Anhalt","","","",""
"Owner","1989","Thuringia","","","",""
"Nursing Home/Retirement Community","1989","Schleswig-Holstein","","","",""
"Nursing Home/Retirement Community","1989","Hamburg","","","",""
