"hlf0001_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","16-34 y.","1-pers.-HH","308","0.882352291085179","0.848836717184706","0.915867864985651"
"Main Tenant","1984","16-34 y.","(Married) couple without C. ","545","0.81986445911553","0.790252531112764","0.849476387118296"
"Main Tenant","1984","16-34 y.","Single parent ","203","0.640941872787074","0.585441123566245","0.696442622007902"
"Main Tenant","1984","16-34 y.","Couple + C. LE 16 ","1131","0.678961698412113","0.655421131297371","0.702502265526854"
"Main Tenant","1984","16-34 y.","Couple + C. GT 16 ","363","0.341936684634907","0.30896271637768","0.374910652892134"
"Main Tenant","1984","16-34 y.","Couple + C. LE and GT 16","378","0.31671530698433","0.282424811799824","0.351005802168835"
"Main Tenant","1984","35-65 y.","1-pers.-HH","378","0.723297193503507","0.684697095064558","0.761897291942457"
"Main Tenant","1984","35-65 y.","(Married) couple without C. ","824","0.487256304846329","0.461799759866829","0.512712849825829"
"Main Tenant","1984","35-65 y.","Single parent ","176","0.584463819973752","0.525016899031548","0.643910740915957"
"Main Tenant","1984","35-65 y.","Couple + C. LE 16 ","943","0.46867414494947","0.443974481563659","0.493373808335282"
"Main Tenant","1984","35-65 y.","Couple + C. GT 16 ","542","0.357199572384497","0.329505124308192","0.384894020460803"
"Main Tenant","1984","35-65 y.","Couple + C. LE and GT 16","543","0.331081799537373","0.302101856449721","0.360061742625024"
"Main Tenant","1984","66 and older","1-pers.-HH","317","0.685724287887927","0.643484738510717","0.727963837265137"
"Main Tenant","1984","66 and older","(Married) couple without C. ","285","0.505519161553922","0.46472446294113","0.546313860166714"
"Main Tenant","1984","66 and older","Single parent ","8","","",""
"Main Tenant","1984","66 and older","Couple + C. LE 16 ","","","",""
"Main Tenant","1984","66 and older","Couple + C. GT 16 ","10","","",""
"Main Tenant","1984","66 and older","Couple + C. LE and GT 16","","","",""
"Sub-Tenant","1984","16-34 y.","1-pers.-HH","29","","",""
"Sub-Tenant","1984","16-34 y.","(Married) couple without C. ","7","","",""
"Sub-Tenant","1984","16-34 y.","Single parent ","2","","",""
"Sub-Tenant","1984","16-34 y.","Couple + C. LE 16 ","26","","",""
"Sub-Tenant","1984","16-34 y.","Couple + C. GT 16 ","2","","",""
"Sub-Tenant","1984","16-34 y.","Couple + C. LE and GT 16","6","","",""
"Sub-Tenant","1984","35-65 y.","1-pers.-HH","33","0.0308270689272006","0.0159132112311341","0.0457409266232671"
"Sub-Tenant","1984","35-65 y.","(Married) couple without C. ","10","","",""
"Sub-Tenant","1984","35-65 y.","Single parent ","3","","",""
"Sub-Tenant","1984","35-65 y.","Couple + C. LE 16 ","6","","",""
"Sub-Tenant","1984","35-65 y.","Couple + C. GT 16 ","4","","",""
"Sub-Tenant","1984","35-65 y.","Couple + C. LE and GT 16","6","","",""
"Sub-Tenant","1984","66 and older","1-pers.-HH","8","","",""
