"hlf0001_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1985","Full Time","Urban Area","2634","0.573841456136312","0.558518400615622","0.589164511657001"
"Main Tenant","1985","Full Time","Rural Area","398","0.336263240160262","0.306624426635532","0.365902053684993"
"Main Tenant","1985","Part Time","Urban Area","938","0.571140588681267","0.545866488502255","0.596414688860278"
"Main Tenant","1985","Part Time","Rural Area","167","0.395750429458265","0.347029958123239","0.44447090079329"
"Main Tenant","1985","Not Working","Urban Area","2029","0.566627501578632","0.549728023085783","0.583526980071482"
"Main Tenant","1985","Not Working","Rural Area","339","0.373109374327448","0.34180699201801","0.404411756636886"
"Sub-Tenant","1985","Full Time","Urban Area","69","0.0151992196661538","0.0114082644569683","0.0189901748753393"
"Sub-Tenant","1985","Full Time","Rural Area","10","","",""
"Sub-Tenant","1985","Part Time","Urban Area","17","","",""
"Sub-Tenant","1985","Part Time","Rural Area","5","","",""
"Sub-Tenant","1985","Not Working","Urban Area","46","0.0136718049093276","0.00971160185435496","0.0176320079643001"
"Sub-Tenant","1985","Not Working","Rural Area","9","","",""
"Owner","1985","Full Time","Urban Area","1298","0.410959324197535","0.395714027618389","0.42620462077668"
"Owner","1985","Full Time","Rural Area","568","0.653281795267617","0.623423721763594","0.68313986877164"
"Owner","1985","Part Time","Urban Area","518","0.418237178148486","0.393047012851014","0.443427343445957"
"Owner","1985","Part Time","Rural Area","215","0.593351994824257","0.544412651795605","0.642291337852909"
"Owner","1985","Not Working","Urban Area","1228","0.41970069351204","0.402870478147899","0.436530908876181"
"Owner","1985","Not Working","Rural Area","569","0.615042142224012","0.583548531522093","0.646535752925931"
"Nursing Home/Retirement Community","1985","Full Time","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","Full Time","Rural Area","","","",""
"Nursing Home/Retirement Community","1985","Part Time","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","Part Time","Rural Area","","","",""
"Nursing Home/Retirement Community","1985","Not Working","Urban Area","","","",""
"Nursing Home/Retirement Community","1985","Not Working","Rural Area","","","",""
"Tenant","1985","Full Time","Urban Area","","","",""
"Tenant","1985","Full Time","Rural Area","","","",""
"Tenant","1985","Part Time","Urban Area","","","",""
"Tenant","1985","Part Time","Rural Area","","","",""
"Tenant","1985","Not Working","Urban Area","","","",""
"Tenant","1985","Not Working","Rural Area","","","",""
"Main Tenant","1986","Full Time","Urban Area","2515","0.573162383723965","0.55761307795782","0.58871168949011"
"Main Tenant","1986","Full Time","Rural Area","378","0.334548011525816","0.304901113409107","0.364194909642526"
"Main Tenant","1986","Part Time","Urban Area","910","0.573872741949382","0.548286906837948","0.599458577060816"
"Main Tenant","1986","Part Time","Rural Area","170","0.406832441829312","0.358264656566713","0.455400227091911"
"Main Tenant","1986","Not Working","Urban Area","1818","0.549807200578723","0.532372310939362","0.567242090218083"
"Main Tenant","1986","Not Working","Rural Area","271","0.364211135629842","0.33113339124177","0.397288880017914"
"Sub-Tenant","1986","Full Time","Urban Area","76","0.0178045668706153","0.0136473231834576","0.0219618105577729"
"Sub-Tenant","1986","Full Time","Rural Area","25","","",""
"Sub-Tenant","1986","Part Time","Urban Area","27","","",""
"Sub-Tenant","1986","Part Time","Rural Area","6","","",""
"Sub-Tenant","1986","Not Working","Urban Area","50","0.0170025451354357","0.0124720268902942","0.0215330633805772"
"Sub-Tenant","1986","Not Working","Rural Area","14","","",""
"Owner","1986","Full Time","Urban Area","1296","0.40903304940542","0.393576888950144","0.424489209860695"
"Owner","1986","Full Time","Rural Area","570","0.651484858240349","0.62154466081448","0.681425055666217"
"Owner","1986","Part Time","Urban Area","498","0.408921567045901","0.383484636432624","0.434358497659179"
"Owner","1986","Part Time","Rural Area","217","0.581576847155993","0.532805671571271","0.630348022740715"
"Owner","1986","Not Working","Urban Area","1260","0.433190254285842","0.415825337278147","0.450555171293536"
"Owner","1986","Not Working","Rural Area","528","0.614013281864742","0.580549279566404","0.64747728416308"
"Nursing Home/Retirement Community","1986","Full Time","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","Full Time","Rural Area","","","",""
"Nursing Home/Retirement Community","1986","Part Time","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","Part Time","Rural Area","","","",""
"Nursing Home/Retirement Community","1986","Not Working","Urban Area","","","",""
"Nursing Home/Retirement Community","1986","Not Working","Rural Area","","","",""
"Tenant","1986","Full Time","Urban Area","","","",""
"Tenant","1986","Full Time","Rural Area","","","",""
"Tenant","1986","Part Time","Urban Area","","","",""
"Tenant","1986","Part Time","Rural Area","","","",""
"Tenant","1986","Not Working","Urban Area","","","",""
"Tenant","1986","Not Working","Rural Area","","","",""
"Main Tenant","1987","Full Time","Urban Area","2470","0.555432456972865","0.539872787090484","0.570992126855247"
"Main Tenant","1987","Full Time","Rural Area","410","0.337085158813165","0.307458863295319","0.36671145433101"
"Main Tenant","1987","Part Time","Urban Area","865","0.571993054917276","0.54610257853844","0.597883531296112"
"Main Tenant","1987","Part Time","Rural Area","173","0.380699910838475","0.333814098837516","0.427585722839434"
"Main Tenant","1987","Not Working","Urban Area","1762","0.556691635806293","0.538979898110345","0.57440337350224"
"Main Tenant","1987","Not Working","Rural Area","281","0.38089948699541","0.346599930520659","0.41519904347016"
"Sub-Tenant","1987","Full Time","Urban Area","86","0.02301322172107","0.0183180775846481","0.027708365857492"
"Sub-Tenant","1987","Full Time","Rural Area","14","","",""
"Sub-Tenant","1987","Part Time","Urban Area","36","0.024070995796931","0.0160509768063361","0.032091014787526"
"Sub-Tenant","1987","Part Time","Rural Area","10","","",""
