"hlf0001_h","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","Full Time","no migration background","1825","0.489501909205504","0.47339247892983","0.505611339481178"
"Main Tenant","1984","Full Time","direct migration background","1710","0.790299684434243","0.772123501711371","0.808475867157116"
"Main Tenant","1984","Full Time","indirect migration background","39","0.656103795523504","0.526997807508917","0.785209783538091"
"Main Tenant","1984","Part Time","no migration background","716","0.510121882760597","0.48376615174785","0.536477613773344"
"Main Tenant","1984","Part Time","direct migration background","413","0.689984768363643","0.649034069401162","0.730935467326123"
"Main Tenant","1984","Part Time","indirect migration background","14","","",""
"Main Tenant","1984","Not Working","no migration background","1718","0.494880594091845","0.478559747021319","0.51120144116237"
"Main Tenant","1984","Not Working","direct migration background","891","0.743658563529928","0.716597535598751","0.770719591461105"
"Main Tenant","1984","Not Working","indirect migration background","37","0.500150327538961","0.371472393683043","0.62882826139488"
"Sub-Tenant","1984","Full Time","no migration background","30","0.00790348010810494","0.00504988684682209","0.0107570733693878"
"Sub-Tenant","1984","Full Time","direct migration background","48","0.0254755204678725","0.0184405036039292","0.0325105373318158"
"Sub-Tenant","1984","Full Time","indirect migration background","1","","",""
"Sub-Tenant","1984","Part Time","no migration background","13","","",""
"Sub-Tenant","1984","Part Time","direct migration background","14","","",""
"Sub-Tenant","1984","Part Time","indirect migration background","","","",""
"Sub-Tenant","1984","Not Working","no migration background","33","0.0105363249546164","0.00720328927875769","0.0138693606304751"
"Sub-Tenant","1984","Not Working","direct migration background","11","","",""
"Sub-Tenant","1984","Not Working","indirect migration background","3","","",""
"Owner","1984","Full Time","no migration background","1839","0.501340543020265","0.485227618644369","0.517453467396162"
"Owner","1984","Full Time","direct migration background","162","0.179596079790712","0.162457709438364","0.196734450143059"
"Owner","1984","Full Time","indirect migration background","12","","",""
"Owner","1984","Part Time","no migration background","653","0.47932411090297","0.452985525818977","0.505662695986963"
"Owner","1984","Part Time","direct migration background","60","0.272941978645296","0.233498995509649","0.312384961780942"
"Owner","1984","Part Time","indirect migration background","4","","",""
"Owner","1984","Not Working","no migration background","1844","0.492036223843597","0.475716591654515","0.508355856032678"
"Owner","1984","Not Working","direct migration background","91","0.23255727166102","0.206373268750192","0.258741274571848"
"Owner","1984","Not Working","indirect migration background","18","","",""
"Nursing Home/Retirement Community","1984","Full Time","no migration background","","","",""
"Nursing Home/Retirement Community","1984","Full Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1984","Full Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1984","Part Time","no migration background","","","",""
"Nursing Home/Retirement Community","1984","Part Time","direct migration background","","","",""
"Nursing Home/Retirement Community","1984","Part Time","indirect migration background","","","",""
"Nursing Home/Retirement Community","1984","Not Working","no migration background","","","",""
"Nursing Home/Retirement Community","1984","Not Working","direct migration background","","","",""
"Nursing Home/Retirement Community","1984","Not Working","indirect migration background","","","",""
"Tenant","1984","Full Time","no migration background","5","","",""
"Tenant","1984","Full Time","direct migration background","7","","",""
"Tenant","1984","Full Time","indirect migration background","","","",""
"Tenant","1984","Part Time","no migration background","","","",""
"Tenant","1984","Part Time","direct migration background","3","","",""
"Tenant","1984","Part Time","indirect migration background","","","",""
"Tenant","1984","Not Working","no migration background","10","","",""
"Tenant","1984","Not Working","direct migration background","7","","",""
"Tenant","1984","Not Working","indirect migration background","","","",""
"Main Tenant","1985","Full Time","no migration background","1604","0.485899087892639","0.468938835958667","0.50285933982661"
"Main Tenant","1985","Full Time","direct migration background","1389","0.789000056119424","0.768944753672703","0.809055358566145"
"Main Tenant","1985","Full Time","indirect migration background","39","0.645225879431429","0.513916769300184","0.776534989562675"
