"hlf0001_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1987","indirect migration background","134","0.72057717080124","0.654472423401238","0.786681918201242"
"Sub-Tenant","1987","no migration background","138","0.0201447230281563","0.0169627404759157","0.0233267055803969"
"Sub-Tenant","1987","direct migration background","67","0.0274133786384327","0.0214049092751873","0.0334218480016781"
"Sub-Tenant","1987","indirect migration background","2","","",""
"Owner","1987","no migration background","3936","0.493005796355175","0.481682739564959","0.504328853145392"
"Owner","1987","direct migration background","358","0.242327846433458","0.226560422389965","0.25809527047695"
"Owner","1987","indirect migration background","41","0.273582318450932","0.207907531289914","0.339257105611949"
"Nursing Home/Retirement Community","1987","no migration background","","","",""
"Nursing Home/Retirement Community","1987","direct migration background","","","",""
"Nursing Home/Retirement Community","1987","indirect migration background","","","",""
"Tenant","1987","no migration background","","","",""
"Tenant","1987","direct migration background","","","",""
"Tenant","1987","indirect migration background","","","",""
"Main Tenant","1988","no migration background","3249","0.484900172352231","0.473277685723696","0.496522658980766"
"Main Tenant","1988","direct migration background","2293","0.720221597209471","0.703258228007105","0.737184966411837"
"Main Tenant","1988","indirect migration background","178","0.748033067533234","0.691179692052665","0.804886443013802"
"Sub-Tenant","1988","no migration background","148","0.02335843390295","0.0198459313668925","0.0268709364390075"
"Sub-Tenant","1988","direct migration background","46","0.0279840385319752","0.0217515161851695","0.0342165608787809"
"Sub-Tenant","1988","indirect migration background","1","","",""
"Owner","1988","no migration background","3706","0.491741393744819","0.480115189768142","0.503367597721496"
"Owner","1988","direct migration background","351","0.251794364258554","0.235392038186161","0.268196690330947"
"Owner","1988","indirect migration background","45","0.247502382477601","0.190987043295966","0.304017721659235"
"Nursing Home/Retirement Community","1988","no migration background","","","",""
"Nursing Home/Retirement Community","1988","direct migration background","","","",""
"Nursing Home/Retirement Community","1988","indirect migration background","","","",""
"Tenant","1988","no migration background","","","",""
"Tenant","1988","direct migration background","","","",""
"Tenant","1988","indirect migration background","","","",""
"Main Tenant","1989","no migration background","3093","0.475676552753283","0.463839623423509","0.487513482083057"
"Main Tenant","1989","direct migration background","2199","0.719144406673248","0.701889584910351","0.736399228436145"
"Main Tenant","1989","indirect migration background","209","0.77247558481355","0.721516948048669","0.823434221578432"
"Sub-Tenant","1989","no migration background","131","0.022403534387056","0.0188958410060955","0.0259112277680165"
"Sub-Tenant","1989","direct migration background","48","0.0229936567752265","0.0172390772094335","0.0287482363410194"
"Sub-Tenant","1989","indirect migration background","1","","",""
"Owner","1989","no migration background","3601","0.49998502997826","0.488134069578228","0.511835990378293"
"Owner","1989","direct migration background","358","0.254368659858583","0.237647947988453","0.271089371728713"
"Owner","1989","indirect migration background","50","0.225373113658094","0.174585389426263","0.276160837889925"
"Nursing Home/Retirement Community","1989","no migration background","","","",""
"Nursing Home/Retirement Community","1989","direct migration background","","","",""
"Nursing Home/Retirement Community","1989","indirect migration background","","","",""
"Tenant","1989","no migration background","13","","",""
"Tenant","1989","direct migration background","1","","",""
"Tenant","1989","indirect migration background","","","",""
"Main Tenant","1990","no migration background","5736","0.517332724526114","0.507977980569502","0.526687468482725"
"Main Tenant","1990","direct migration background","2198","0.712867464847755","0.695786424993675","0.729948504701835"
"Main Tenant","1990","indirect migration background","243","0.790077940936439","0.743839416547799","0.836316465325079"
"Sub-Tenant","1990","no migration background","295","0.0272299265184746","0.0241830746690841","0.030276778367865"
"Sub-Tenant","1990","direct migration background","62","0.0320604354392948","0.0254095795820174","0.0387112912965723"
"Sub-Tenant","1990","indirect migration background","3","","",""
"Owner","1990","no migration background","4921","0.454507158628192","0.445185613769601","0.463828703486783"
"Owner","1990","direct migration background","433","0.25478491202509","0.238333757603474","0.271236066446705"
"Owner","1990","indirect migration background","52","0.196383193782108","0.15127903123384","0.241487356330376"
"Nursing Home/Retirement Community","1990","no migration background","","","",""
"Nursing Home/Retirement Community","1990","direct migration background","","","",""
"Nursing Home/Retirement Community","1990","indirect migration background","","","",""
"Tenant","1990","no migration background","9","","",""
"Tenant","1990","direct migration background","2","","",""
"Tenant","1990","indirect migration background","","","",""
"Main Tenant","1991","no migration background","5523","0.516118003292085","0.506632224598799","0.525603781985372"
"Main Tenant","1991","direct migration background","2120","0.705178180074071","0.687781849965451","0.72257451018269"
"Main Tenant","1991","indirect migration background","287","0.762954758092543","0.718528291514702","0.807381224670384"
"Sub-Tenant","1991","no migration background","339","0.0316583871182847","0.0283349501819147","0.0349818240546546"
"Sub-Tenant","1991","direct migration background","64","0.0289749220551497","0.0225752936524366","0.0353745504578628"
"Sub-Tenant","1991","indirect migration background","4","","",""
"Owner","1991","no migration background","4793","0.451103353106586","0.441658133315502","0.460548572897671"
"Owner","1991","direct migration background","452","0.265003635546803","0.24816538732626","0.281841883767345"
"Owner","1991","indirect migration background","61","0.221368159924599","0.177997061994347","0.264739257854852"
"Nursing Home/Retirement Community","1991","no migration background","","","",""
"Nursing Home/Retirement Community","1991","direct migration background","","","",""
"Nursing Home/Retirement Community","1991","indirect migration background","","","",""
"Tenant","1991","no migration background","7","","",""
"Tenant","1991","direct migration background","3","","",""
"Tenant","1991","indirect migration background","","","",""
"Main Tenant","1992","no migration background","5518","0.51776901593109","0.508168802280556","0.527369229581623"
"Main Tenant","1992","direct migration background","2007","0.695692472487664","0.677907137378059","0.713477807597268"
"Main Tenant","1992","indirect migration background","329","0.745536210541483","0.703427247555351","0.787645173527614"
"Sub-Tenant","1992","no migration background","260","0.0278465634441985","0.0246854613332524","0.0310076655551447"
"Sub-Tenant","1992","direct migration background","69","0.0312225991200154","0.0244999014805804","0.0379452967594505"
"Sub-Tenant","1992","indirect migration background","4","","",""
"Owner","1992","no migration background","4622","0.453142130999451","0.443578126583508","0.462706135415394"
"Owner","1992","direct migration background","494","0.271817807755634","0.254620675451715","0.289014940059553"
"Owner","1992","indirect migration background","78","0.236360090659911","0.195286888502372","0.27743329281745"
"Nursing Home/Retirement Community","1992","no migration background","","","",""
"Nursing Home/Retirement Community","1992","direct migration background","","","",""
"Nursing Home/Retirement Community","1992","indirect migration background","","","",""
"Tenant","1992","no migration background","7","","",""
"Tenant","1992","direct migration background","1","","",""
"Tenant","1992","indirect migration background","","","",""
"Main Tenant","1993","no migration background","5393","0.511671587627179","0.501971439528989","0.521371735725368"
"Main Tenant","1993","direct migration background","1931","0.67716861764236","0.65883331180598","0.695503923478739"
"Main Tenant","1993","indirect migration background","369","0.693380822951111","0.651958906863813","0.73480273903841"
"Sub-Tenant","1993","no migration background","266","0.02892560064868","0.0256732739624601","0.0321779273348998"
"Sub-Tenant","1993","direct migration background","76","0.0431589830700425","0.0351899181002975","0.0511280480397876"
"Sub-Tenant","1993","indirect migration background","12","","",""
"Owner","1993","no migration background","4542","0.459402811724141","0.449732055566144","0.469073567882139"
"Owner","1993","direct migration background","491","0.279672399287598","0.262071222458929","0.297273576116266"
"Owner","1993","indirect migration background","95","0.272255237351183","0.232267918978509","0.312242555723856"
"Nursing Home/Retirement Community","1993","no migration background","","","",""
"Nursing Home/Retirement Community","1993","direct migration background","","","",""
"Nursing Home/Retirement Community","1993","indirect migration background","","","",""
"Tenant","1993","no migration background","","","",""
"Tenant","1993","direct migration background","","","",""
"Tenant","1993","indirect migration background","","","",""
"Main Tenant","1994","no migration background","5263","0.508373584925027","0.498609739708703","0.518137430141352"
"Main Tenant","1994","direct migration background","1832","0.686144531846693","0.667469411819134","0.704819651874251"
"Main Tenant","1994","indirect migration background","394","0.71845927550911","0.678878988170099","0.758039562848121"
"Sub-Tenant","1994","no migration background","259","0.0285822286922162","0.0253278891732855","0.0318365682111469"
"Sub-Tenant","1994","direct migration background","68","0.0318332737348931","0.0247683662849946","0.0388981811847916"
"Sub-Tenant","1994","indirect migration background","9","","",""
