"hlf0001_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1985","16-34 y.","East Germany","","","","","1"
"Main Tenant","1985","35-65 y.","West Germany","3165","0.456459657880991","0.443615252638376","0.469304063123606","1"
"Main Tenant","1985","35-65 y.","East Germany","","","","","1"
"Main Tenant","1985","66 and older","West Germany","595","0.577925181468088","0.548922642042887","0.606927720893289","1"
"Main Tenant","1985","66 and older","East Germany","","","","","1"
"Nursing Home/Retirement Community","1985","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1985","66 and older","East Germany","","","","","4"
"Owner","1985","16-34 y.","West Germany","1349","0.395383982728585","0.380537013166362","0.410230952290809","3"
"Owner","1985","16-34 y.","East Germany","","","","","3"
"Owner","1985","35-65 y.","West Germany","2543","0.53388312409912","0.521019379249956","0.546746868948283","3"
"Owner","1985","35-65 y.","East Germany","","","","","3"
"Owner","1985","66 and older","West Germany","504","0.407667244082765","0.378810901905295","0.436523586260235","3"
"Owner","1985","66 and older","East Germany","","","","","3"
"Sub-Tenant","1985","16-34 y.","West Germany","72","0.0177000610013871","0.0136960256949381","0.0217040963078361","2"
"Sub-Tenant","1985","35-65 y.","West Germany","69","0.00965721801988903","0.0071353886658467","0.0121790473739314","2"
"Sub-Tenant","1985","16-34 y.","East Germany","","","","","2"
"Sub-Tenant","1985","35-65 y.","East Germany","","","","","2"
"Sub-Tenant","1985","66 and older","West Germany","15","","","","2"
"Sub-Tenant","1985","66 and older","East Germany","","","","","2"
"Tenant","1985","16-34 y.","West Germany","","","","","5"
"Tenant","1985","16-34 y.","East Germany","","","","","5"
"Tenant","1985","35-65 y.","West Germany","","","","","5"
"Tenant","1985","35-65 y.","East Germany","","","","","5"
"Tenant","1985","66 and older","West Germany","","","","","5"
"Tenant","1985","66 and older","East Germany","","","","","5"
"Main Tenant","1986","16-34 y.","West Germany","2623","0.58010618726338","0.564978831450081","0.595233543076679","1"
"Main Tenant","1986","16-34 y.","East Germany","","","","","1"
"Main Tenant","1986","35-65 y.","West Germany","2916","0.45479695858747","0.441631010042907","0.467962907132033","1"
"Main Tenant","1986","35-65 y.","East Germany","","","","","1"
"Main Tenant","1986","66 and older","West Germany","523","0.562373189659001","0.532294825708134","0.592451553609869","1"
"Main Tenant","1986","66 and older","East Germany","","","","","1"
"Nursing Home/Retirement Community","1986","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1986","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1986","66 and older","East Germany","","","","","4"
"Owner","1986","16-34 y.","West Germany","1369","0.394856766948673","0.379874124379853","0.409839409517493","3"
"Owner","1986","16-34 y.","East Germany","","","","","3"
"Owner","1986","35-65 y.","West Germany","2497","0.535255551644741","0.522068371523917","0.548442731765564","3"
"Owner","1986","35-65 y.","East Germany","","","","","3"
"Owner","1986","66 and older","West Germany","503","0.414945348219811","0.385072019738863","0.44481867670076","3"
"Owner","1986","66 and older","East Germany","","","","","3"
"Sub-Tenant","1986","16-34 y.","East Germany","","","","","2"
"Sub-Tenant","1986","16-34 y.","West Germany","97","0.0250370457879471","0.0202482630437969","0.0298258285320973","2"
"Sub-Tenant","1986","35-65 y.","East Germany","","","","","2"
"Sub-Tenant","1986","35-65 y.","West Germany","82","0.00994748976778933","0.00732357267998015","0.0125714068555985","2"
"Sub-Tenant","1986","66 and older","West Germany","19","","","","2"
"Sub-Tenant","1986","66 and older","East Germany","","","","","2"
"Tenant","1986","16-34 y.","West Germany","","","","","5"
"Tenant","1986","16-34 y.","East Germany","","","","","5"
"Tenant","1986","35-65 y.","West Germany","","","","","5"
"Tenant","1986","35-65 y.","East Germany","","","","","5"
"Tenant","1986","66 and older","West Germany","","","","","5"
"Tenant","1986","66 and older","East Germany","","","","","5"
"Main Tenant","1987","16-34 y.","West Germany","2560","0.572585452606601","0.557328915515304","0.587841989697899","1"
"Main Tenant","1987","16-34 y.","East Germany","","","","","1"
"Main Tenant","1987","35-65 y.","West Germany","2861","0.454862985680789","0.441556906984878","0.4681690643767","1"
"Main Tenant","1987","35-65 y.","East Germany","","","","","1"
"Main Tenant","1987","66 and older","West Germany","540","0.562557725168003","0.533026778312471","0.592088672023535","1"
"Main Tenant","1987","66 and older","East Germany","","","","","1"
"Nursing Home/Retirement Community","1987","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1987","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1987","66 and older","East Germany","","","","","4"
"Owner","1987","16-34 y.","West Germany","1368","0.393475173192607","0.378409306397999","0.408541039987214","3"
"Owner","1987","16-34 y.","East Germany","","","","","3"
"Owner","1987","35-65 y.","West Germany","2440","0.53352349194897","0.52019292515398","0.546854058743961","3"
"Owner","1987","35-65 y.","East Germany","","","","","3"
"Owner","1987","66 and older","West Germany","527","0.416019035583453","0.386677056926939","0.445361014239968","3"
"Owner","1987","66 and older","East Germany","","","","","3"
"Sub-Tenant","1987","16-34 y.","East Germany","","","","","2"
"Sub-Tenant","1987","16-34 y.","West Germany","111","0.0339393742007917","0.0283551188322035","0.03952362956938","2"
"Sub-Tenant","1987","35-65 y.","West Germany","79","0.0116135223702412","0.00875064773254146","0.0144763970079409","2"
"Sub-Tenant","1987","35-65 y.","East Germany","","","","","2"
"Sub-Tenant","1987","66 and older","West Germany","17","","","","2"
"Sub-Tenant","1987","66 and older","East Germany","","","","","2"
"Tenant","1987","16-34 y.","West Germany","","","","","5"
"Tenant","1987","16-34 y.","East Germany","","","","","5"
"Tenant","1987","35-65 y.","West Germany","","","","","5"
"Tenant","1987","66 and older","West Germany","","","","","5"
"Tenant","1987","35-65 y.","East Germany","","","","","5"
"Tenant","1987","66 and older","East Germany","","","","","5"
"Main Tenant","1988","16-34 y.","West Germany","2455","0.56344101237367","0.547776855408711","0.57910516933863","1"
"Main Tenant","1988","16-34 y.","East Germany","","","","","1"
"Main Tenant","1988","35-65 y.","West Germany","2725","0.451934607337667","0.438291708532212","0.465577506143121","1"
"Main Tenant","1988","35-65 y.","East Germany","","","","","1"
"Main Tenant","1988","66 and older","West Germany","540","0.570898195876162","0.541017735043854","0.60077865670847","1"
"Main Tenant","1988","66 and older","East Germany","","","","","1"
"Nursing Home/Retirement Community","1988","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1988","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1988","66 and older","East Germany","","","","","4"
"Owner","1988","16-34 y.","East Germany","","","","","3"
"Owner","1988","16-34 y.","West Germany","1295","0.400311360951009","0.384836626677585","0.415786095224433","3"
"Owner","1988","35-65 y.","West Germany","2309","0.530847981462839","0.51716771526462","0.544528247661057","3"
"Owner","1988","35-65 y.","East Germany","","","","","3"
"Owner","1988","66 and older","East Germany","","","","","3"
"Owner","1988","66 and older","West Germany","498","0.410777324264304","0.381076346791443","0.440478301737166","3"
"Sub-Tenant","1988","16-34 y.","West Germany","101","0.0362476266753206","0.0303444762503666","0.0421507771002747","2"
"Sub-Tenant","1988","16-34 y.","East Germany","","","","","2"
"Sub-Tenant","1988","35-65 y.","West Germany","78","0.0172174111994946","0.0136515427179847","0.0207832796810046","2"
"Sub-Tenant","1988","35-65 y.","East Germany","","","","","2"
"Sub-Tenant","1988","66 and older","East Germany","","","","","2"
"Sub-Tenant","1988","66 and older","West Germany","16","","","","2"
"Tenant","1988","16-34 y.","West Germany","","","","","5"
"Tenant","1988","16-34 y.","East Germany","","","","","5"
"Tenant","1988","66 and older","West Germany","","","","","5"
"Tenant","1988","35-65 y.","West Germany","","","","","5"
"Tenant","1988","35-65 y.","East Germany","","","","","5"
"Tenant","1988","66 and older","East Germany","","","","","5"
"Main Tenant","1989","16-34 y.","West Germany","2384","0.555891123372309","0.540028514395503","0.571753732349114","1"
"Main Tenant","1989","16-34 y.","East Germany","","","","","1"
"Main Tenant","1989","35-65 y.","West Germany","2612","0.452034071378981","0.438107420706712","0.46596072205125","1"
"Main Tenant","1989","35-65 y.","East Germany","","","","","1"
"Main Tenant","1989","66 and older","West Germany","505","0.551866522473355","0.521481390791471","0.582251654155239","1"
"Main Tenant","1989","66 and older","East Germany","","","","","1"
"Nursing Home/Retirement Community","1989","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1989","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1989","66 and older","East Germany","","","","","4"
"Owner","1989","16-34 y.","East Germany","","","","","3"
"Owner","1989","16-34 y.","West Germany","1277","0.406325401806807","0.390645395156893","0.422005408456722","3"
"Owner","1989","35-65 y.","West Germany","2222","0.529354016600493","0.515386969304164","0.543321063896822","3"
"Owner","1989","35-65 y.","East Germany","","","","","3"
"Owner","1989","66 and older","West Germany","510","0.432586533552545","0.402315536844748","0.462857530260343","3"
"Owner","1989","66 and older","East Germany","","","","","3"
"Sub-Tenant","1989","16-34 y.","West Germany","99","0.0344880569771871","0.0286623557080503","0.0403137582463239","2"
"Sub-Tenant","1989","16-34 y.","East Germany","","","","","2"
"Sub-Tenant","1989","35-65 y.","West Germany","70","0.0180765347786565","0.0143484933584904","0.0218045761988226","2"
"Sub-Tenant","1989","66 and older","West Germany","11","","","","2"
"Sub-Tenant","1989","35-65 y.","East Germany","","","","","2"
"Sub-Tenant","1989","66 and older","East Germany","","","","","2"
"Tenant","1989","16-34 y.","West Germany","9","","","","5"
"Tenant","1989","16-34 y.","East Germany","","","","","5"
"Tenant","1989","35-65 y.","West Germany","2","","","","5"
"Tenant","1989","35-65 y.","East Germany","","","","","5"
"Tenant","1989","66 and older","West Germany","3","","","","5"
"Tenant","1989","66 and older","East Germany","","","","","5"
"Main Tenant","1990","16-34 y.","West Germany","2302","0.566446673618087","0.550385163058394","0.58250818417778","1"
"Main Tenant","1990","16-34 y.","East Germany","1117","0.679544110818916","0.657335155916858","0.701753065720973","1"
"Main Tenant","1990","35-65 y.","West Germany","2512","0.453847548409707","0.439760178782721","0.467934918036693","1"
"Main Tenant","1990","35-65 y.","East Germany","1443","0.642279153462461","0.622702648442191","0.66185565848273","1"
"Main Tenant","1990","66 and older","West Germany","519","0.555006943252205","0.525103842468404","0.584910044036006","1"
"Main Tenant","1990","66 and older","East Germany","284","0.690043606591626","0.646781825188909","0.733305387994343","1"
"Nursing Home/Retirement Community","1990","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1990","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1990","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1990","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1990","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1990","66 and older","East Germany","","","","","4"
"Owner","1990","16-34 y.","West Germany","1229","0.387238141747475","0.37145038098287","0.40302590251208","3"
"Owner","1990","16-34 y.","East Germany","501","0.26770699984846","0.246634916667411","0.28877908302951","3"
"Owner","1990","35-65 y.","West Germany","2212","0.528383435642939","0.514258480037607","0.54250839124827","3"
"Owner","1990","35-65 y.","East Germany","788","0.329265901752577","0.310072599888789","0.348459203616364","3"
"Owner","1990","66 and older","West Germany","530","0.429549511307297","0.399763936063709","0.459335086550885","3"
"Owner","1990","66 and older","East Germany","146","0.288676935145094","0.246287725482657","0.331066144807532","3"
"Sub-Tenant","1990","16-34 y.","West Germany","125","0.0462645854967306","0.0394565172086978","0.0530726537847635","2"
"Sub-Tenant","1990","16-34 y.","East Germany","76","0.0515726634900184","0.0410470606398822","0.0620982663401546","2"
"Sub-Tenant","1990","35-65 y.","West Germany","71","0.0169914680240129","0.0133345766157126","0.0206483594323132","2"
"Sub-Tenant","1990","35-65 y.","East Germany","68","0.0268263274458436","0.0202273459829415","0.0334253089087457","2"
"Sub-Tenant","1990","66 and older","West Germany","11","","","","2"
"Sub-Tenant","1990","66 and older","East Germany","9","","","","2"
"Tenant","1990","16-34 y.","West Germany","1","","","","5"
"Tenant","1990","16-34 y.","East Germany","2","","","","5"
"Tenant","1990","35-65 y.","West Germany","3","","","","5"
"Tenant","1990","35-65 y.","East Germany","4","","","","5"
"Tenant","1990","66 and older","West Germany","1","","","","5"
"Tenant","1990","66 and older","East Germany","","","","","5"
"Main Tenant","1991","16-34 y.","West Germany","2367","0.586006508925507","0.570025318154444","0.601987699696571","1"
"Main Tenant","1991","16-34 y.","East Germany","961","0.655096576258697","0.63120043842492","0.678992714092474","1"
"Main Tenant","1991","35-65 y.","West Germany","2464","0.453552212169635","0.439419891088069","0.467684533251202","1"
"Main Tenant","1991","35-65 y.","East Germany","1378","0.636697013760823","0.616757699532024","0.656636327989623","1"
"Main Tenant","1991","66 and older","West Germany","511","0.530385346043326","0.500537532109899","0.560233159976753","1"
"Main Tenant","1991","66 and older","East Germany","249","0.665787807566338","0.620016104377988","0.711559510754687","1"
"Nursing Home/Retirement Community","1991","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1991","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1991","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1991","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1991","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1991","66 and older","East Germany","","","","","4"
"Owner","1991","16-34 y.","East Germany","461","0.266408241393107","0.244183979472138","0.288632503314075","3"
"Owner","1991","16-34 y.","West Germany","1155","0.366140475514763","0.35050966349411","0.381771287535416","3"
"Owner","1991","35-65 y.","East Germany","770","0.325942834808044","0.306510346669956","0.345375322946131","3"
"Owner","1991","35-65 y.","West Germany","2232","0.530669848750531","0.516502879565105","0.544836817935956","3"
"Owner","1991","66 and older","West Germany","550","0.450783548940829","0.421025685376525","0.480541412505134","3"
"Owner","1991","66 and older","East Germany","138","0.273339969463224","0.230095037652736","0.316584901273712","3"
"Sub-Tenant","1991","16-34 y.","West Germany","127","0.0478530155597296","0.040927249576346","0.0547787815431131","2"
"Sub-Tenant","1991","16-34 y.","East Germany","97","0.0779311062767871","0.0644550317739307","0.0914071807796436","2"
"Sub-Tenant","1991","35-65 y.","West Germany","69","0.0157068639372449","0.0121772071000303","0.0192365207744595","2"
"Sub-Tenant","1991","35-65 y.","East Germany","83","0.0345243480396728","0.0269552743518293","0.0420934217275163","2"
"Sub-Tenant","1991","66 and older","East Germany","20","","","","2"
"Sub-Tenant","1991","66 and older","West Germany","11","","","","2"
"Tenant","1991","16-34 y.","West Germany","","","","","5"
"Tenant","1991","16-34 y.","East Germany","1","","","","5"
"Tenant","1991","35-65 y.","West Germany","2","","","","5"
"Tenant","1991","35-65 y.","East Germany","4","","","","5"
"Tenant","1991","66 and older","West Germany","2","","","","5"
"Tenant","1991","66 and older","East Germany","1","","","","5"
"Main Tenant","1992","16-34 y.","West Germany","2350","0.58675787474603","0.570677062051055","0.602838687441006","1"
"Main Tenant","1992","16-34 y.","East Germany","929","0.706138651088828","0.682242849279759","0.730034452897896","1"
"Main Tenant","1992","35-65 y.","West Germany","2406","0.448784225480714","0.434589048770748","0.46297940219068","1"
"Main Tenant","1992","35-65 y.","East Germany","1409","0.662783728669686","0.643006246178539","0.682561211160833","1"
"Main Tenant","1992","66 and older","East Germany","254","0.68361593060814","0.638040425920469","0.729191435295811","1"
"Main Tenant","1992","66 and older","West Germany","506","0.519225916549914","0.489428067320247","0.549023765779581","1"
"Nursing Home/Retirement Community","1992","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1992","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1992","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1992","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1992","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1992","66 and older","East Germany","","","","","4"
"Owner","1992","16-34 y.","East Germany","412","0.252505545342785","0.229715518874614","0.275295571810956","3"
"Owner","1992","16-34 y.","West Germany","1125","0.363434794683804","0.347727154771435","0.379142434596173","3"
"Owner","1992","35-65 y.","West Germany","2233","0.532566192754059","0.518326256353474","0.546806129154645","3"
"Owner","1992","35-65 y.","East Germany","729","0.312612134804654","0.293219595722358","0.332004673886949","3"
"Owner","1992","66 and older","West Germany","554","0.456556789030172","0.42684965882829","0.486263919232054","3"
"Owner","1992","66 and older","East Germany","141","0.298424130003007","0.253583429832389","0.343264830173625","3"
"Sub-Tenant","1992","16-34 y.","West Germany","126","0.0494415131954571","0.0423618673047551","0.056521159086159","2"
"Sub-Tenant","1992","16-34 y.","East Germany","55","0.0413558035683874","0.0309109504390554","0.0518006566977193","2"
"Sub-Tenant","1992","35-65 y.","West Germany","74","0.0176818624649669","0.0139204472377812","0.0214432776921526","2"
"Sub-Tenant","1992","35-65 y.","East Germany","54","0.0211370681980046","0.0151195952798661","0.027154541116143","2"
"Sub-Tenant","1992","66 and older","West Germany","19","","","","2"
"Sub-Tenant","1992","66 and older","East Germany","5","","","","2"
"Tenant","1992","16-34 y.","West Germany","1","","","","5"
"Tenant","1992","16-34 y.","East Germany","","","","","5"
"Tenant","1992","35-65 y.","West Germany","3","","","","5"
"Tenant","1992","35-65 y.","East Germany","3","","","","5"
"Tenant","1992","66 and older","West Germany","1","","","","5"
"Tenant","1992","66 and older","East Germany","","","","","5"
"Main Tenant","1993","16-34 y.","West Germany","2352","0.599078456547867","0.583044787694938","0.615112125400797","1"
"Main Tenant","1993","16-34 y.","East Germany","876","0.685485421485975","0.660531329456407","0.710439513515542","1"
"Main Tenant","1993","35-65 y.","West Germany","2340","0.437595591239787","0.423324527359394","0.451866655120179","1"
"Main Tenant","1993","35-65 y.","East Germany","1353","0.651523277854233","0.63122112401438","0.671825431694086","1"
"Main Tenant","1993","66 and older","West Germany","514","0.504418076982875","0.474925236378627","0.533910917587124","1"
"Main Tenant","1993","66 and older","East Germany","258","0.697697489195037","0.652349875609516","0.743045102780557","1"
"Nursing Home/Retirement Community","1993","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1993","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1993","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1993","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1993","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1993","66 and older","East Germany","","","","","4"
"Owner","1993","16-34 y.","West Germany","1092","0.351565332293529","0.335944740036065","0.367185924550993","3"
"Owner","1993","16-34 y.","East Germany","392","0.262688388018721","0.239036367606796","0.286340408430645","3"
"Owner","1993","35-65 y.","West Germany","2207","0.537553002611688","0.523210096651162","0.551895908572214","3"
"Owner","1993","35-65 y.","East Germany","739","0.34045443062946","0.32026415916753","0.360644702091391","3"
"Owner","1993","66 and older","West Germany","568","0.470639214604928","0.441196117408998","0.500082311800857","3"
"Owner","1993","66 and older","East Germany","130","0.286449489598546","0.241808237515703","0.331090741681389","3"
"Sub-Tenant","1993","16-34 y.","West Germany","145","0.049356211158604","0.0422695580243212","0.0564428642928868","2"
"Sub-Tenant","1993","35-65 y.","West Germany","95","0.0248514061485257","0.0203731760356092","0.0293296362614422","2"
"Sub-Tenant","1993","16-34 y.","East Germany","62","0.0518261904953047","0.0399126487325035","0.0637397322581059","2"
"Sub-Tenant","1993","66 and older","West Germany","22","","","","2"
"Sub-Tenant","1993","35-65 y.","East Germany","24","","","","2"
"Sub-Tenant","1993","66 and older","East Germany","6","","","","2"
"Tenant","1993","16-34 y.","West Germany","","","","","5"
"Tenant","1993","16-34 y.","East Germany","","","","","5"
"Tenant","1993","35-65 y.","West Germany","","","","","5"
"Tenant","1993","35-65 y.","East Germany","","","","","5"
"Tenant","1993","66 and older","West Germany","","","","","5"
"Tenant","1993","66 and older","East Germany","","","","","5"
"Main Tenant","1994","16-34 y.","West Germany","2335","0.609369352754419","0.593297352864561","0.625441352644278","1"
"Main Tenant","1994","16-34 y.","East Germany","827","0.691924213223261","0.666581620388925","0.717266806057596","1"
"Main Tenant","1994","35-65 y.","West Germany","2251","0.438363978522695","0.423860243833669","0.452867713211721","1"
"Main Tenant","1994","35-65 y.","East Germany","1294","0.637082735992112","0.6165562541184","0.657609217865824","1"
"Main Tenant","1994","66 and older","West Germany","511","0.492678760275081","0.463333761222696","0.522023759327466","1"
"Main Tenant","1994","66 and older","East Germany","271","0.707993773659902","0.663711352863623","0.752276194456182","1"
"Nursing Home/Retirement Community","1994","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1994","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1994","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1994","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1994","66 and older","West Germany","","","","","4"
"Nursing Home/Retirement Community","1994","66 and older","East Germany","","","","","4"
"Owner","1994","16-34 y.","West Germany","1077","0.35030909325496","0.334593688909867","0.366024497600053","3"
"Owner","1994","16-34 y.","East Germany","389","0.259055973483664","0.2350077773843","0.283104169583028","3"
"Owner","1994","35-65 y.","West Germany","2162","0.539604991710166","0.525035707273272","0.554174276147059","3"
"Owner","1994","35-65 y.","East Germany","772","0.344867672284743","0.324576667849319","0.365158676720167","3"
"Owner","1994","66 and older","West Germany","586","0.477098583210188","0.447781238729085","0.50641592769129","3"
"Owner","1994","66 and older","East Germany","128","0.272916676064647","0.229532864208336","0.316300487920958","3"
"Sub-Tenant","1994","16-34 y.","East Germany","59","0.0490198132930749","0.0371685523837083","0.0608710742024416","2"
"Sub-Tenant","1994","16-34 y.","West Germany","128","0.040321553990621","0.0338415098955112","0.0468015980857308","2"
"Sub-Tenant","1994","35-65 y.","West Germany","83","0.0220310297671398","0.017740460910702","0.0263215986235776","2"
"Sub-Tenant","1994","35-65 y.","East Germany","42","0.018049591723145","0.0123664137485858","0.0237327696977042","2"
"Sub-Tenant","1994","66 and older","West Germany","18","","","","2"
"Sub-Tenant","1994","66 and older","East Germany","6","","","","2"
"Tenant","1994","16-34 y.","West Germany","","","","","5"
"Tenant","1994","16-34 y.","East Germany","","","","","5"
"Tenant","1994","35-65 y.","West Germany","","","","","5"
"Tenant","1994","35-65 y.","East Germany","","","","","5"
"Tenant","1994","66 and older","West Germany","","","","","5"
"Tenant","1994","66 and older","East Germany","","","","","5"
"Main Tenant","1995","16-34 y.","West Germany","2487","0.594031216005355","0.578275859753957","0.609786572256753","1"
"Main Tenant","1995","16-34 y.","East Germany","780","0.670502395452818","0.644234708434712","0.696770082470923","1"
"Main Tenant","1995","35-65 y.","West Germany","2507","0.447573845677343","0.433495255972701","0.461652435381985","1"
"Main Tenant","1995","35-65 y.","East Germany","1230","0.617194088748676","0.596214162496624","0.638174015000728","1"
"Main Tenant","1995","66 and older","East Germany","273","0.672332676871551","0.627065673926235","0.717599679816867","1"
"Main Tenant","1995","66 and older","West Germany","523","0.46969113628734","0.440732647508774","0.498649625065906","1"
"Nursing Home/Retirement Community","1995","16-34 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1995","16-34 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1995","35-65 y.","West Germany","","","","","4"
"Nursing Home/Retirement Community","1995","35-65 y.","East Germany","","","","","4"
"Nursing Home/Retirement Community","1995","66 and older","East Germany","","","","","4"
"Nursing Home/Retirement Community","1995","66 and older","West Germany","","","","","4"
"Owner","1995","16-34 y.","East Germany","382","0.271899790601526","0.24703438488245","0.296765196320601","3"
"Owner","1995","16-34 y.","West Germany","1099","0.348409265178483","0.333122712000924","0.363695818356043","3"
"Owner","1995","35-65 y.","West Germany","2199","0.533041809474242","0.518916130818244","0.54716748813024","3"
"Owner","1995","35-65 y.","East Germany","786","0.361534757106687","0.340797685929079","0.382271828284295","3"
"Owner","1995","66 and older","West Germany","593","0.497171947536845","0.468160571641742","0.526183323431947","3"
"Owner","1995","66 and older","East Germany","129","0.297804721743894","0.253701754753718","0.34190768873407","3"
"Sub-Tenant","1995","16-34 y.","East Germany","68","0.0575978139456568","0.0445776432460775","0.0706179846452362","2"
"Sub-Tenant","1995","16-34 y.","West Germany","146","0.0575595188161616","0.0500870722703419","0.0650319653619812","2"
"Sub-Tenant","1995","35-65 y.","West Germany","86","0.0193843448484153","0.0154807506745496","0.0232879390222809","2"
