"hlf0001_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","1-pers.-HH","Male","411","0.760093939538464","0.724110414727959","0.796077464348969"
"Main Tenant","1984","1-pers.-HH","Female","592","0.730010216505981","0.699130310184223","0.76089012282774"
"Main Tenant","1984","(Married) couple without C. ","Male","828","0.556369639460146","0.529897348092028","0.582841930828265"
"Main Tenant","1984","(Married) couple without C. ","Female","826","0.558465430872879","0.531996265418324","0.584934596327434"
"Main Tenant","1984","Single parent ","Male","117","0.485078905752822","0.415465636147531","0.554692175358113"
"Main Tenant","1984","Single parent ","Female","270","0.641621050704695","0.593471066258841","0.689771035150549"
"Main Tenant","1984","Couple + C. LE 16 ","Male","1036","0.565553754886811","0.54081311811639","0.590294391657232"
"Main Tenant","1984","Couple + C. LE 16 ","Female","1038","0.570443623300381","0.545720451845441","0.59516679475532"
"Main Tenant","1984","Couple + C. GT 16 ","Male","493","0.337953981123984","0.309808667361724","0.366099294886245"
"Main Tenant","1984","Couple + C. GT 16 ","Female","422","0.355539326425241","0.324404446163635","0.386674206686847"
"Main Tenant","1984","Couple + C. LE and GT 16","Male","495","0.324492161056328","0.294337121733072","0.354647200379584"
"Main Tenant","1984","Couple + C. LE and GT 16","Female","426","0.32581414503357","0.293214518442768","0.358413771624371"
"Sub-Tenant","1984","1-pers.-HH","Male","53","0.0596577369620003","0.0396993323031411","0.0796161416208594"
"Sub-Tenant","1984","1-pers.-HH","Female","17","","",""
"Sub-Tenant","1984","(Married) couple without C. ","Male","12","","",""
"Sub-Tenant","1984","(Married) couple without C. ","Female","12","","",""
"Sub-Tenant","1984","Single parent ","Male","3","","",""
"Sub-Tenant","1984","Single parent ","Female","4","","",""
"Sub-Tenant","1984","Couple + C. LE 16 ","Male","16","","",""
"Sub-Tenant","1984","Couple + C. LE 16 ","Female","16","","",""
"Sub-Tenant","1984","Couple + C. GT 16 ","Male","4","","",""
"Sub-Tenant","1984","Couple + C. GT 16 ","Female","2","","",""
"Sub-Tenant","1984","Couple + C. LE and GT 16","Male","4","","",""
"Sub-Tenant","1984","Couple + C. LE and GT 16","Female","8","","",""
"Owner","1984","1-pers.-HH","Male","73","0.178550637209216","0.146279032653666","0.210822241764766"
"Owner","1984","1-pers.-HH","Female","183","0.249452176101963","0.21935535177717","0.279549000426757"
"Owner","1984","(Married) couple without C. ","Male","509","0.433722877568473","0.407315828878494","0.460129926258452"
"Owner","1984","(Married) couple without C. ","Female","510","0.431116411933984","0.404718551666262","0.457514272201706"
"Owner","1984","Single parent ","Male","78","0.491886419217609","0.422251301625924","0.561521536809294"
"Owner","1984","Single parent ","Female","107","0.344297390481536","0.296587774077523","0.392007006885549"
"Owner","1984","Couple + C. LE 16 ","Male","485","0.422054648564504","0.397403699993178","0.44670559713583"
"Owner","1984","Couple + C. LE 16 ","Female","481","0.417213741028277","0.392586164115164","0.441841317941389"
"Owner","1984","Couple + C. GT 16 ","Male","586","0.656329153649323","0.628069592322907","0.684588714975738"
"Owner","1984","Couple + C. GT 16 ","Female","482","0.639853232836124","0.608629479214114","0.671076986458133"
"Owner","1984","Couple + C. LE and GT 16","Male","425","0.672599015927502","0.642374406206812","0.702823625648193"
"Owner","1984","Couple + C. LE and GT 16","Female","358","0.668043603786865","0.635288365326599","0.700798842247131"
"Nursing Home/Retirement Community","1984","1-pers.-HH","Male","","","",""
"Nursing Home/Retirement Community","1984","1-pers.-HH","Female","","","",""
"Nursing Home/Retirement Community","1984","(Married) couple without C. ","Male","","","",""
"Nursing Home/Retirement Community","1984","(Married) couple without C. ","Female","","","",""
"Nursing Home/Retirement Community","1984","Single parent ","Male","","","",""
"Nursing Home/Retirement Community","1984","Single parent ","Female","","","",""
"Nursing Home/Retirement Community","1984","Couple + C. LE 16 ","Male","","","",""
"Nursing Home/Retirement Community","1984","Couple + C. LE 16 ","Female","","","",""
"Nursing Home/Retirement Community","1984","Couple + C. GT 16 ","Male","","","",""
"Nursing Home/Retirement Community","1984","Couple + C. GT 16 ","Female","","","",""
"Nursing Home/Retirement Community","1984","Couple + C. LE and GT 16","Male","","","",""
"Nursing Home/Retirement Community","1984","Couple + C. LE and GT 16","Female","","","",""
"Tenant","1984","1-pers.-HH","Male","4","","",""
"Tenant","1984","1-pers.-HH","Female","2","","",""
"Tenant","1984","(Married) couple without C. ","Male","4","","",""
"Tenant","1984","(Married) couple without C. ","Female","4","","",""
"Tenant","1984","Single parent ","Male","","","",""
"Tenant","1984","Single parent ","Female","","","",""
"Tenant","1984","Couple + C. LE 16 ","Male","5","","",""
"Tenant","1984","Couple + C. LE 16 ","Female","5","","",""
"Tenant","1984","Couple + C. GT 16 ","Male","2","","",""
"Tenant","1984","Couple + C. GT 16 ","Female","2","","",""
"Tenant","1984","Couple + C. LE and GT 16","Male","2","","",""
"Tenant","1984","Couple + C. LE and GT 16","Female","2","","",""
"Main Tenant","1985","1-pers.-HH","Male","363","0.767554706235204","0.729448813558624","0.805660598911784"
