"hlf0001_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","in school","Male","38","0.352055853866553","0.256013928315468","0.448097779417638","1"
"Main Tenant","1984","in school","Female","46","0.435516135071105","0.334199194192929","0.536833075949282","1"
"Main Tenant","1984","inadequately","Male","380","0.775208815368144","0.735568027203931","0.814849603532358","1"
"Main Tenant","1984","inadequately","Female","553","0.837887822730554","0.808224383460535","0.867551262000574","1"
"Main Tenant","1984","general elemantary","Male","744","0.485629123299844","0.456793075683177","0.51446517091651","1"
"Main Tenant","1984","general elemantary","Female","1315","0.500195811970744","0.479823684509315","0.520567939432172","1"
"Main Tenant","1984","middle vocational","Male","1822","0.512405718408314","0.49501646583408","0.529794970982548","1"
"Main Tenant","1984","middle vocational","Female","1473","0.557022641059132","0.53774650200585","0.576298780112414","1"
"Main Tenant","1984","vocational + Abi","Male","137","0.597857696663023","0.52903691861612","0.666678474709925","1"
"Main Tenant","1984","vocational + Abi","Female","78","0.588432531134826","0.499261453050893","0.677603609218759","1"
"Main Tenant","1984","higher vocational","Male","148","0.385131903078478","0.336460013558932","0.433803792598024","1"
"Main Tenant","1984","higher vocational","Female","157","0.550441174126136","0.491754125360538","0.609128222891734","1"
"Main Tenant","1984","higher education","Male","267","0.461232461498667","0.419070423889633","0.5033944991077","1"
"Main Tenant","1984","higher education","Female","147","0.552133892333854","0.491218869553021","0.613048915114688","1"
"Nursing Home/Retirement Community","1984","middle vocational","Male","","","","","4"
"Nursing Home/Retirement Community","1984","middle vocational","Female","","","","","4"
"Nursing Home/Retirement Community","1984","vocational + Abi","Male","","","","","4"
"Nursing Home/Retirement Community","1984","vocational + Abi","Female","","","","","4"
"Nursing Home/Retirement Community","1984","higher vocational","Male","","","","","4"
"Nursing Home/Retirement Community","1984","higher vocational","Female","","","","","4"
"Nursing Home/Retirement Community","1984","higher education","Male","","","","","4"
"Nursing Home/Retirement Community","1984","higher education","Female","","","","","4"
"Nursing Home/Retirement Community","1984","in school","Male","","","","","4"
"Nursing Home/Retirement Community","1984","in school","Female","","","","","4"
"Nursing Home/Retirement Community","1984","inadequately","Male","","","","","4"
"Nursing Home/Retirement Community","1984","inadequately","Female","","","","","4"
"Nursing Home/Retirement Community","1984","general elemantary","Male","","","","","4"
"Nursing Home/Retirement Community","1984","general elemantary","Female","","","","","4"
"Owner","1984","middle vocational","Male","1307","0.474909300100582","0.457536607697278","0.492281992503885","3"
"Owner","1984","middle vocational","Female","1048","0.432312207374911","0.413088090907147","0.451536323842676","3"
"Owner","1984","vocational + Abi","Male","51","0.371743888710674","0.303914006157719","0.43957377126363","3"
"Owner","1984","vocational + Abi","Female","38","0.404147649940088","0.315228660705533","0.493066639174643","3"
"Owner","1984","higher vocational","Male","232","0.607556158595522","0.558717418518395","0.656394898672649","3"
"Owner","1984","in school","Male","57","0.647944146133447","0.551902220582362","0.743986071684532","3"
"Owner","1984","in school","Female","45","0.552050609704927","0.450435544731821","0.653665674678034","3"
"Owner","1984","inadequately","Male","26","","","","3"
"Owner","1984","inadequately","Female","30","0.13092940450799","0.10377958987989","0.15807921913609","3"
"Owner","1984","general elemantary","Male","383","0.492697968096264","0.463853079025128","0.521542857167401","3"
"Owner","1984","general elemantary","Female","972","0.488728763784756","0.468361811600596","0.509095715968916","3"
"Owner","1984","higher vocational","Female","115","0.429505644595948","0.371106879479752","0.487904409712144","3"
"Owner","1984","higher education","Male","264","0.525951093565285","0.483718747873127","0.568183439257443","3"
"Owner","1984","higher education","Female","106","0.439963783274383","0.37915803617459","0.500769530374176","3"
"Sub-Tenant","1984","middle vocational","Male","39","0.0113001629656204","0.007622946344635","0.0149773795866059","2"
"Sub-Tenant","1984","middle vocational","Female","23","","","","2"
"Sub-Tenant","1984","in school","Female","","","","","2"
"Sub-Tenant","1984","inadequately","Male","18","","","","2"
"Sub-Tenant","1984","inadequately","Female","6","","","","2"
"Sub-Tenant","1984","general elemantary","Male","22","","","","2"
"Sub-Tenant","1984","general elemantary","Female","24","","","","2"
"Sub-Tenant","1984","vocational + Abi","Male","5","","","","2"
"Sub-Tenant","1984","vocational + Abi","Female","1","","","","2"
"Sub-Tenant","1984","in school","Male","","","","","2"
