"hlf0001_h","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","Full Time","West Germany","3574","0.524671688590296","0.51168222989581","0.537661147284782"
"Main Tenant","1984","Full Time","East Germany","","","",""
"Main Tenant","1984","Part Time","West Germany","1143","0.529960590973975","0.507459368555002","0.552461813392948"
"Main Tenant","1984","Part Time","East Germany","","","",""
"Main Tenant","1984","Not Working","West Germany","2646","0.513122838248541","0.498776675367332","0.527469001129749"
"Main Tenant","1984","Not Working","East Germany","","","",""
"Sub-Tenant","1984","Full Time","West Germany","79","0.00990917310762547","0.00733281266126944","0.0124855335539815"
"Sub-Tenant","1984","Full Time","East Germany","","","",""
"Sub-Tenant","1984","Part Time","West Germany","27","","",""
"Sub-Tenant","1984","Part Time","East Germany","","","",""
"Sub-Tenant","1984","Not Working","West Germany","47","0.0113099519420575","0.00827483209667853","0.0143450717874365"
"Sub-Tenant","1984","Not Working","East Germany","","","",""
"Owner","1984","Full Time","West Germany","2013","0.463783686062291","0.450812546194868","0.476754825929715"
"Owner","1984","Full Time","East Germany","","","",""
"Owner","1984","Part Time","West Germany","717","0.456781355559992","0.434323995238861","0.479238715881122"
"Owner","1984","Part Time","East Germany","","","",""
"Owner","1984","Not Working","West Germany","1953","0.472413609325513","0.458084362105554","0.486742856545471"
"Owner","1984","Not Working","East Germany","","","",""
"Nursing Home/Retirement Community","1984","Full Time","West Germany","","","",""
"Nursing Home/Retirement Community","1984","Full Time","East Germany","","","",""
"Nursing Home/Retirement Community","1984","Part Time","West Germany","","","",""
"Nursing Home/Retirement Community","1984","Part Time","East Germany","","","",""
"Nursing Home/Retirement Community","1984","Not Working","West Germany","","","",""
"Nursing Home/Retirement Community","1984","Not Working","East Germany","","","",""
"Tenant","1984","Full Time","West Germany","12","","",""
"Tenant","1984","Full Time","East Germany","","","",""
"Tenant","1984","Part Time","West Germany","3","","",""
"Tenant","1984","Part Time","East Germany","","","",""
"Tenant","1984","Not Working","West Germany","17","","",""
"Tenant","1984","Not Working","East Germany","","","",""
"Main Tenant","1985","Full Time","West Germany","3032","0.520443877841499","0.506564469839257","0.53432328584374"
"Main Tenant","1985","Full Time","East Germany","","","",""
"Main Tenant","1985","Part Time","West Germany","1105","0.530442111390231","0.507761477566382","0.553122745214081"
"Main Tenant","1985","Part Time","East Germany","","","",""
"Main Tenant","1985","Not Working","West Germany","2368","0.518809985780168","0.503735089529157","0.533884882031179"
