"hlf0001_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Main Tenant","1984","Schleswig-Holstein","no migration background","140","0.411273185911044","0.359122845936464","0.463423525885624"
"Main Tenant","1984","Schleswig-Holstein","direct migration background","28","","",""
"Main Tenant","1984","Schleswig-Holstein","indirect migration background","1","","",""
"Main Tenant","1984","Hamburg","no migration background","175","0.81508334846187","0.763782355480043","0.866384341443698"
"Main Tenant","1984","Hamburg","direct migration background","84","0.852621444953486","0.77938586766674","0.925857022240231"
"Main Tenant","1984","Hamburg","indirect migration background","","","",""
"Main Tenant","1984","Lower Saxony","no migration background","423","0.417387499000159","0.38722811357128","0.447546884429038"
"Main Tenant","1984","Lower Saxony","direct migration background","176","0.688777535990255","0.624929526563841","0.752625545416668"
"Main Tenant","1984","Lower Saxony","indirect migration background","6","","",""
"Main Tenant","1984","Bremen","no migration background","64","0.692295831545046","0.600916579002493","0.783675084087599"
"Main Tenant","1984","Bremen","direct migration background","30","0.675455185868921","0.518077106948242","0.832833264789599"
"Main Tenant","1984","Bremen","indirect migration background","","","",""
"Main Tenant","1984","North Rhine-Westphalia","no migration background","1307","0.582145909748714","0.561865712180607","0.602426107316821"
"Main Tenant","1984","North Rhine-Westphalia","direct migration background","862","0.808744839537232","0.783840348032155","0.833649331042309"
"Main Tenant","1984","North Rhine-Westphalia","indirect migration background","23","","",""
"Main Tenant","1984","Hesse","no migration background","404","0.51150698496513","0.476131258070288","0.546882711859972"
"Main Tenant","1984","Hesse","direct migration background","428","0.799584893673006","0.763509171170067","0.835660616175944"
"Main Tenant","1984","Hesse","indirect migration background","12","","",""
"Main Tenant","1984","Rhineland-Palatinate,Saarland","no migration background","228","0.331197131159161","0.296231947158121","0.366162315160202"
"Main Tenant","1984","Rhineland-Palatinate,Saarland","direct migration background","134","0.793987506761309","0.729902565712175","0.858072447810444"
"Main Tenant","1984","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"Main Tenant","1984","Baden-Württemberg","no migration background","539","0.397785845616715","0.371677380014812","0.423894311218618"
"Main Tenant","1984","Baden-Württemberg","direct migration background","773","0.674575194117252","0.643810702006663","0.705339686227841"
"Main Tenant","1984","Baden-Württemberg","indirect migration background","23","","",""
"Main Tenant","1984","Bavaria","no migration background","718","0.442296986599807","0.418126736075924","0.466467237123689"
"Main Tenant","1984","Bavaria","direct migration background","384","0.71496290448917","0.67366441239312","0.756261396585219"
"Main Tenant","1984","Bavaria","indirect migration background","21","","",""
"Main Tenant","1984","Berlin","no migration background","261","0.897176947347389","0.862339929989932","0.932013964704847"
"Main Tenant","1984","Berlin","direct migration background","115","0.936358126856399","0.892125001209788","0.98059125250301"
"Main Tenant","1984","Berlin","indirect migration background","2","","",""
"Main Tenant","1984","Brandenburg","no migration background","","","",""
"Main Tenant","1984","Brandenburg","direct migration background","","","",""
"Main Tenant","1984","Brandenburg","indirect migration background","","","",""
"Main Tenant","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"Main Tenant","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Main Tenant","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Main Tenant","1984","Saxony","no migration background","","","",""
"Main Tenant","1984","Saxony","direct migration background","","","",""
"Main Tenant","1984","Saxony","indirect migration background","","","",""
"Main Tenant","1984","Saxony-Anhalt","no migration background","","","",""
"Main Tenant","1984","Saxony-Anhalt","direct migration background","","","",""
"Main Tenant","1984","Saxony-Anhalt","indirect migration background","","","",""
"Main Tenant","1984","Thuringia","no migration background","","","",""
"Main Tenant","1984","Thuringia","direct migration background","","","",""
"Main Tenant","1984","Thuringia","indirect migration background","","","",""
"Sub-Tenant","1984","Schleswig-Holstein","no migration background","","","",""
"Sub-Tenant","1984","Schleswig-Holstein","direct migration background","","","",""
"Sub-Tenant","1984","Schleswig-Holstein","indirect migration background","","","",""
"Sub-Tenant","1984","Hamburg","no migration background","","","",""
"Sub-Tenant","1984","Hamburg","direct migration background","2","","",""
"Sub-Tenant","1984","Hamburg","indirect migration background","","","",""
"Sub-Tenant","1984","Lower Saxony","no migration background","13","","",""
"Sub-Tenant","1984","Lower Saxony","direct migration background","4","","",""
"Sub-Tenant","1984","Lower Saxony","indirect migration background","","","",""
"Sub-Tenant","1984","Bremen","no migration background","","","",""
"Sub-Tenant","1984","Bremen","direct migration background","","","",""
"Sub-Tenant","1984","Bremen","indirect migration background","","","",""
"Sub-Tenant","1984","North Rhine-Westphalia","no migration background","20","","",""
"Sub-Tenant","1984","North Rhine-Westphalia","direct migration background","15","","",""
"Sub-Tenant","1984","North Rhine-Westphalia","indirect migration background","2","","",""
"Sub-Tenant","1984","Hesse","no migration background","2","","",""
"Sub-Tenant","1984","Hesse","direct migration background","10","","",""
"Sub-Tenant","1984","Hesse","indirect migration background","","","",""
"Sub-Tenant","1984","Rhineland-Palatinate,Saarland","no migration background","9","","",""
"Sub-Tenant","1984","Rhineland-Palatinate,Saarland","direct migration background","3","","",""
"Sub-Tenant","1984","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"Sub-Tenant","1984","Baden-Württemberg","no migration background","16","","",""
"Sub-Tenant","1984","Baden-Württemberg","direct migration background","20","","",""
"Sub-Tenant","1984","Baden-Württemberg","indirect migration background","","","",""
"Sub-Tenant","1984","Bavaria","no migration background","16","","",""
"Sub-Tenant","1984","Bavaria","direct migration background","19","","",""
"Sub-Tenant","1984","Bavaria","indirect migration background","","","",""
"Sub-Tenant","1984","Berlin","no migration background","","","",""
"Sub-Tenant","1984","Berlin","direct migration background","","","",""
"Sub-Tenant","1984","Berlin","indirect migration background","","","",""
"Sub-Tenant","1984","Brandenburg","no migration background","","","",""
"Sub-Tenant","1984","Brandenburg","direct migration background","","","",""
"Sub-Tenant","1984","Brandenburg","indirect migration background","","","",""
"Sub-Tenant","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"Sub-Tenant","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Sub-Tenant","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Sub-Tenant","1984","Saxony","no migration background","","","",""
"Sub-Tenant","1984","Saxony","direct migration background","","","",""
"Sub-Tenant","1984","Saxony","indirect migration background","","","",""
"Sub-Tenant","1984","Saxony-Anhalt","no migration background","","","",""
"Sub-Tenant","1984","Saxony-Anhalt","direct migration background","","","",""
"Sub-Tenant","1984","Saxony-Anhalt","indirect migration background","","","",""
"Sub-Tenant","1984","Thuringia","no migration background","","","",""
"Sub-Tenant","1984","Thuringia","direct migration background","","","",""
"Sub-Tenant","1984","Thuringia","indirect migration background","","","",""
"Owner","1984","Schleswig-Holstein","no migration background","202","0.588726814088956","0.536576474114376","0.640877154063536"
"Owner","1984","Schleswig-Holstein","direct migration background","12","","",""
"Owner","1984","Schleswig-Holstein","indirect migration background","4","","",""
"Owner","1984","Hamburg","no migration background","45","0.18491665153813","0.133615658556302","0.236217644519957"
"Owner","1984","Hamburg","direct migration background","4","","",""
"Owner","1984","Hamburg","indirect migration background","1","","",""
"Owner","1984","Lower Saxony","no migration background","589","0.565801991697126","0.535488286785524","0.596115696608728"
"Owner","1984","Lower Saxony","direct migration background","22","","",""
"Owner","1984","Lower Saxony","indirect migration background","1","","",""
"Owner","1984","Bremen","no migration background","34","0.307704168454954","0.216324915912401","0.399083420997507"
"Owner","1984","Bremen","direct migration background","4","","",""
"Owner","1984","Bremen","indirect migration background","","","",""
"Owner","1984","North Rhine-Westphalia","no migration background","941","0.407238153196624","0.38703550606324","0.427440800330007"
"Owner","1984","North Rhine-Westphalia","direct migration background","74","0.160048643919967","0.136830986242069","0.183266301597864"
"Owner","1984","North Rhine-Westphalia","indirect migration background","15","","",""
"Owner","1984","Hesse","no migration background","358","0.479900943265326","0.444544445140406","0.515257441390246"
"Owner","1984","Hesse","direct migration background","34","0.168060919437432","0.134363499419007","0.201758339455858"
"Owner","1984","Hesse","indirect migration background","","","",""
"Owner","1984","Rhineland-Palatinate,Saarland","no migration background","458","0.652467836173506","0.617090874811096","0.687844797535917"
"Owner","1984","Rhineland-Palatinate,Saarland","direct migration background","15","","",""
"Owner","1984","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"Owner","1984","Baden-Württemberg","no migration background","793","0.58750222322798","0.561242099374476","0.613762347081483"
"Owner","1984","Baden-Württemberg","direct migration background","95","0.294422013629986","0.264494758252053","0.32434926900792"
"Owner","1984","Baden-Württemberg","indirect migration background","6","","",""
"Owner","1984","Bavaria","no migration background","885","0.546308653735793","0.522080408892895","0.570536898578691"
"Owner","1984","Bavaria","direct migration background","52","0.246964385345972","0.207512599165732","0.286416171526212"
"Owner","1984","Bavaria","indirect migration background","6","","",""
"Owner","1984","Berlin","no migration background","31","0.102823052652611","0.0679860352951531","0.137660070010068"
"Owner","1984","Berlin","direct migration background","1","","",""
"Owner","1984","Berlin","indirect migration background","","","",""
"Owner","1984","Brandenburg","no migration background","","","",""
"Owner","1984","Brandenburg","direct migration background","","","",""
"Owner","1984","Brandenburg","indirect migration background","","","",""
"Owner","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"Owner","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Owner","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Owner","1984","Saxony","no migration background","","","",""
"Owner","1984","Saxony","direct migration background","","","",""
"Owner","1984","Saxony","indirect migration background","","","",""
"Owner","1984","Saxony-Anhalt","no migration background","","","",""
"Owner","1984","Saxony-Anhalt","direct migration background","","","",""
"Owner","1984","Saxony-Anhalt","indirect migration background","","","",""
