"hlf0001_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","Full Time","1-pers.-HH","428","0.797783328056035","0.763969105623584","0.831597550488485","1"
"Main Tenant","1984","Full Time","(Married) couple without C. ","797","0.611500133093185","0.583463510452875","0.639536755733495","1"
"Main Tenant","1984","Full Time","Single parent ","174","0.598591608933588","0.537461080489533","0.659722137377644","1"
"Main Tenant","1984","Full Time","Couple + C. LE 16 ","1128","0.567125005606431","0.54329720690247","0.590952804310392","1"
"Main Tenant","1984","Full Time","Couple + C. GT 16 ","444","0.325241517455025","0.29557664385035","0.354906391059701","1"
"Main Tenant","1984","Full Time","Couple + C. LE and GT 16","433","0.318933908334024","0.28673841178611","0.351129404881939","1"
"Main Tenant","1984","Part Time","1-pers.-HH","102","0.721829990726934","0.646520233002773","0.797139748451095","1"
"Main Tenant","1984","Part Time","(Married) couple without C. ","217","0.60468442585291","0.552171970165167","0.657196881540654","1"
"Main Tenant","1984","Part Time","Single parent ","68","0.598745204883687","0.504086486407719","0.693403923359655","1"
"Main Tenant","1984","Part Time","Couple + C. LE 16 ","336","0.564734409468679","0.522524983179792","0.606943835757566","1"
"Main Tenant","1984","Part Time","Couple + C. GT 16 ","177","0.438255820410336","0.385746769578982","0.49076487124169","1"
"Main Tenant","1984","Part Time","Couple + C. LE and GT 16","164","0.360691429328957","0.307236172698978","0.414146685958936","1"
"Main Tenant","1984","Not Working","1-pers.-HH","473","0.711744479825","0.677109393337653","0.746379566312348","1"
"Main Tenant","1984","Not Working","(Married) couple without C. ","640","0.50896820962222","0.48081187272549","0.53712454651895","1"
"Main Tenant","1984","Not Working","Single parent ","145","0.575083716892433","0.51105901392468","0.639108419860186","1"
"Main Tenant","1984","Not Working","Couple + C. LE 16 ","610","0.571580112566599","0.539087651651544","0.604072573481654","1"
"Main Tenant","1984","Not Working","Couple + C. GT 16 ","294","0.325594193094354","0.290680642314626","0.360507743874082","1"
"Main Tenant","1984","Not Working","Couple + C. LE and GT 16","324","0.313985157951871","0.277003045113518","0.350967270790225","1"
"Nursing Home/Retirement Community","1984","Full Time","Single parent ","","","","","4"
"Nursing Home/Retirement Community","1984","Full Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1984","Full Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1984","Part Time","1-pers.-HH","","","","","4"
"Nursing Home/Retirement Community","1984","Full Time","Couple + C. LE 16 ","","","","","4"
"Nursing Home/Retirement Community","1984","Full Time","Couple + C. GT 16 ","","","","","4"
"Nursing Home/Retirement Community","1984","Part Time","(Married) couple without C. ","","","","","4"
"Nursing Home/Retirement Community","1984","Part Time","Single parent ","","","","","4"
