"hlf0001_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Main Tenant","1984","Not Employed","no migration background","1718","0.494880594091845","0.478559747021319","0.51120144116237","1"
"Main Tenant","1984","Not Employed","direct migration background","891","0.743658563529928","0.716597535598751","0.770719591461105","1"
"Main Tenant","1984","Not Employed","indirect migration background","37","0.500150327538961","0.371472393683043","0.62882826139488","1"
"Main Tenant","1984","Employed","no migration background","2541","0.495105397758368","0.481357930690378","0.508852864826357","1"
"Main Tenant","1984","Employed","direct migration background","2123","0.765222440349853","0.748324572610226","0.782120308089479","1"
"Main Tenant","1984","Employed","indirect migration background","53","0.693942146517551","0.585982248013698","0.801902045021405","1"
"Nursing Home/Retirement Community","1984","Not Employed","no migration background","","","","","4"
"Nursing Home/Retirement Community","1984","Not Employed","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1984","Not Employed","indirect migration background","","","","","4"
"Nursing Home/Retirement Community","1984","Employed","no migration background","","","","","4"
"Nursing Home/Retirement Community","1984","Employed","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1984","Employed","indirect migration background","","","","","4"
"Owner","1984","Not Employed","direct migration background","91","0.23255727166102","0.206373268750192","0.258741274571848","3"
"Owner","1984","Not Employed","no migration background","1844","0.492036223843597","0.475716591654515","0.508355856032678","3"
"Owner","1984","Employed","no migration background","2492","0.495357566125821","0.481610032928019","0.509105099323624","3"
"Owner","1984","Not Employed","indirect migration background","18","","","","3"
"Owner","1984","Employed","direct migration background","222","0.202931172731484","0.186897535226546","0.218964810236422","3"
"Owner","1984","Employed","indirect migration background","16","","","","3"
"Sub-Tenant","1984","Not Employed","direct migration background","11","","","","2"
"Sub-Tenant","1984","Not Employed","no migration background","33","0.0105363249546164","0.00720328927875769","0.0138693606304751","2"
"Sub-Tenant","1984","Not Employed","indirect migration background","3","","","","2"
"Sub-Tenant","1984","Employed","no migration background","43","0.00862376199109659","0.00608137810602677","0.0111661458761664","2"
"Sub-Tenant","1984","Employed","direct migration background","62","0.027683111714546","0.0211424583555865","0.0342237650735054","2"
"Sub-Tenant","1984","Employed","indirect migration background","1","","","","2"
"Tenant","1984","Not Employed","no migration background","10","","","","5"
"Tenant","1984","Not Employed","direct migration background","7","","","","5"
"Tenant","1984","Not Employed","indirect migration background","","","","","5"
"Tenant","1984","Employed","direct migration background","10","","","","5"
"Tenant","1984","Employed","no migration background","5","","","","5"
"Tenant","1984","Employed","indirect migration background","","","","","5"
"Main Tenant","1985","Not Employed","no migration background","1547","0.503868326389189","0.48669993689439","0.521036715883988","1"
"Main Tenant","1985","Not Employed","direct migration background","765","0.683010263468077","0.652440695356061","0.713579831580093","1"
"Main Tenant","1985","Not Employed","indirect migration background","56","0.717745084158851","0.613779951182234","0.821710217135469","1"
"Main Tenant","1985","Employed","no migration background","2298","0.492337227288367","0.478067152837674","0.50660730173906","1"
"Main Tenant","1985","Employed","direct migration background","1784","0.765714103512047","0.747379245268434","0.784048961755659","1"
"Main Tenant","1985","Employed","indirect migration background","55","0.727623344849122","0.624793283201476","0.830453406496768","1"
"Nursing Home/Retirement Community","1985","Not Employed","no migration background","","","","","4"
"Nursing Home/Retirement Community","1985","Not Employed","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1985","Not Employed","indirect migration background","","","","","4"
"Nursing Home/Retirement Community","1985","Employed","no migration background","","","","","4"
"Nursing Home/Retirement Community","1985","Employed","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1985","Employed","indirect migration background","","","","","4"
"Owner","1985","Not Employed","no migration background","1674","0.483649021698804","0.466489301189688","0.50080874220792","3"
"Owner","1985","Not Employed","direct migration background","107","0.293907524807108","0.263978729776352","0.323836319837864","3"
"Owner","1985","Not Employed","indirect migration background","16","","","","3"
"Owner","1985","Employed","no migration background","2365","0.496000896802355","0.481729602732052","0.510272190872657","3"
"Owner","1985","Employed","direct migration background","217","0.208512979954641","0.190927282124247","0.226098677785036","3"
"Owner","1985","Employed","indirect migration background","17","","","","3"
"Sub-Tenant","1985","Not Employed","no migration background","37","0.0124826519120074","0.00867025290327823","0.0162950509207366","2"
"Sub-Tenant","1985","Not Employed","indirect migration background","","","","","2"
"Sub-Tenant","1985","Not Employed","direct migration background","18","","","","2"
"Sub-Tenant","1985","Employed","no migration background","52","0.0116618759092781","0.00859748458229917","0.0147262672362571","2"
"Sub-Tenant","1985","Employed","direct migration background","49","0.0257729165333117","0.0189135652680371","0.0326322677985862","2"
"Sub-Tenant","1985","Employed","indirect migration background","","","","","2"
"Tenant","1985","Not Employed","no migration background","","","","","5"
"Tenant","1985","Not Employed","direct migration background","","","","","5"
"Tenant","1985","Not Employed","indirect migration background","","","","","5"
"Tenant","1985","Employed","no migration background","","","","","5"
"Tenant","1985","Employed","direct migration background","","","","","5"
"Tenant","1985","Employed","indirect migration background","","","","","5"
"Main Tenant","1986","Not Employed","no migration background","1329","0.489273682272614","0.471454036600566","0.507093327944663","1"
"Main Tenant","1986","Not Employed","direct migration background","713","0.681562956271557","0.65031771112946","0.712808201413655","1"
"Main Tenant","1986","Not Employed","indirect migration background","47","0.725749405471622","0.616448128148696","0.835050682794547","1"
"Main Tenant","1986","Employed","no migration background","2183","0.489539866370659","0.475092411929474","0.503987320811843","1"
"Main Tenant","1986","Employed","direct migration background","1720","0.772097764502638","0.753699811772241","0.790495717233035","1"
"Main Tenant","1986","Employed","indirect migration background","70","0.745809902322519","0.656839088315787","0.834780716329252","1"
"Nursing Home/Retirement Community","1986","Not Employed","no migration background","","","","","4"
"Nursing Home/Retirement Community","1986","Not Employed","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1986","Not Employed","indirect migration background","","","","","4"
"Nursing Home/Retirement Community","1986","Employed","no migration background","","","","","4"
"Nursing Home/Retirement Community","1986","Employed","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1986","Employed","indirect migration background","","","","","4"
"Owner","1986","Not Employed","no migration background","1653","0.493321973117955","0.475499815398998","0.511144130836913","3"
"Owner","1986","Not Employed","direct migration background","118","0.291232872881592","0.260761562133264","0.321704183629921","3"
"Owner","1986","Not Employed","indirect migration background","17","","","","3"
"Owner","1986","Employed","no migration background","2345","0.495426485931386","0.480976473473737","0.509876498389034","3"
"Owner","1986","Employed","direct migration background","214","0.198026902721455","0.18054852760101","0.2155052778419","3"
"Owner","1986","Employed","indirect migration background","22","","","","3"
"Sub-Tenant","1986","Not Employed","direct migration background","23","","","","2"
"Sub-Tenant","1986","Not Employed","no migration background","41","0.0174043446094302","0.0127426343831135","0.0220660548357469","2"
"Sub-Tenant","1986","Employed","no migration background","71","0.015033647697956","0.0115167537858915","0.0185505416100204","2"
"Sub-Tenant","1986","Not Employed","indirect migration background","","","","","2"
"Sub-Tenant","1986","Employed","direct migration background","63","0.0298753327759067","0.0224086240823952","0.0373420414694182","2"
"Sub-Tenant","1986","Employed","indirect migration background","","","","","2"
"Tenant","1986","Not Employed","no migration background","","","","","5"
"Tenant","1986","Not Employed","direct migration background","","","","","5"
"Tenant","1986","Not Employed","indirect migration background","","","","","5"
"Tenant","1986","Employed","no migration background","","","","","5"
"Tenant","1986","Employed","direct migration background","","","","","5"
"Tenant","1986","Employed","indirect migration background","","","","","5"
"Main Tenant","1987","Not Employed","no migration background","1286","0.500470223141423","0.48216160401526","0.518778842267587","1"
"Main Tenant","1987","Not Employed","direct migration background","701","0.666572356778796","0.634898003089716","0.698246710467875","1"
"Main Tenant","1987","Not Employed","indirect migration background","56","0.690496520816134","0.586563198549665","0.794429843082603","1"
"Main Tenant","1987","Employed","no migration background","2129","0.476840808710199","0.462444776286626","0.491236841133772","1"
"Main Tenant","1987","Employed","direct migration background","1711","0.765882077941301","0.747258773074135","0.784505382808467","1"
"Main Tenant","1987","Employed","indirect migration background","78","0.740060518246089","0.654522901402448","0.82559813508973","1"
"Nursing Home/Retirement Community","1987","Not Employed","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1987","Not Employed","no migration background","","","","","4"
"Nursing Home/Retirement Community","1987","Not Employed","indirect migration background","","","","","4"
"Nursing Home/Retirement Community","1987","Employed","no migration background","","","","","4"
"Nursing Home/Retirement Community","1987","Employed","direct migration background","","","","","4"
"Nursing Home/Retirement Community","1987","Employed","indirect migration background","","","","","4"
"Owner","1987","Not Employed","no migration background","1534","0.481140698748936","0.462845099939507","0.499436297558365","3"
"Owner","1987","Not Employed","direct migration background","134","0.312049032647781","0.280919437388198","0.343178627907364","3"
"Owner","1987","Not Employed","indirect migration background","20","","","","3"
"Owner","1987","Employed","no migration background","2402","0.501724401002701","0.487312986823517","0.516135815181885","3"
"Owner","1987","Employed","direct migration background","224","0.20332896700003","0.185627974857072","0.221029959142987","3"
"Owner","1987","Employed","indirect migration background","21","","","","3"
"Sub-Tenant","1987","Not Employed","direct migration background","16","","","","2"
"Sub-Tenant","1987","Not Employed","no migration background","45","0.0183890781096405","0.0134694140533504","0.0233087421659306","2"
"Sub-Tenant","1987","Not Employed","indirect migration background","","","","","2"
"Sub-Tenant","1987","Employed","no migration background","93","0.0214347902870997","0.0172603939229942","0.0256091866512052","2"
"Sub-Tenant","1987","Employed","direct migration background","51","0.0307889550586695","0.0231915528076887","0.0383863573096504","2"
"Sub-Tenant","1987","Employed","indirect migration background","2","","","","2"
"Tenant","1987","Not Employed","no migration background","","","","","5"
"Tenant","1987","Not Employed","direct migration background","","","","","5"
"Tenant","1987","Not Employed","indirect migration background","","","","","5"
"Tenant","1987","Employed","direct migration background","","","","","5"
"Tenant","1987","Employed","no migration background","","","","","5"
