"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","East Germany","","","","","","","","","","","","","",""
"1985","Rural Area","West Germany","748.75","697.12","2132","368","511.43","920","1158.67","1947.62","734.07","763.43","151.48","4090","682","713.488342285156"
"1985","Urban Area","East Germany","","","","","","","","","","","","","",""
"1985","Urban Area","West Germany","835.57","767","8348","424","568.33","1022.5","1278","2284","825.22","845.92","0","13805","730.476196289062","750"
"1986","Rural Area","East Germany","","","","","","","","","","","","","",""
"1986","Rural Area","West Germany","809.04","730.48","2077","402","550.77","954.67","1194.67","2045.33","767.48","850.6","68","24595","716","750"
"1986","Urban Area","East Germany","","","","","","","","","","","","","",""
"1986","Urban Area","West Germany","881.16","808","8039","460","606.67","1023","1355","2272.22","868.4","893.92","0","22723.89","767","784"
"1987","Rural Area","East Germany","","","","","","","","","","","","","",""
"1987","Rural Area","West Germany","827.02","767","2049","432.69","568.06","1022.4","1278","2045.2","810.38","843.66","51","4601.33","756.799987792969","778.260864257812"
"1987","Urban Area","East Germany","","","","","","","","","","","","","",""
"1987","Urban Area","West Germany","914.55","818","8004","483","614","1071.3","1363.33","2505.5","900.62","928.48","0","22156","784","818"
"1988","Rural Area","East Germany","","","","","","","","","","","","","",""
"1988","Rural Area","West Germany","834.66","767","1916","419","562.67","1022.5","1295.33","1976.67","817.25","852.07","51","7669","755.652160644531","797"
"1988","Urban Area","East Germany","","","","","","","","","","","","","",""
"1988","Urban Area","West Germany","945.33","852.22","7697","511","645","1124.67","1431.6","2556","932.45","958.21","0","17895","818","832"
"1989","Rural Area","East Germany","","","","","","","","","","","","","",""
"1989","Rural Area","West Germany","886.86","818","1851","439.6","601","1058","1380","2147.33","864.59","909.13","0","10226","818","849.130432128906"
"1989","Urban Area","East Germany","","","","","","","","","","","","","",""
"1989","Urban Area","West Germany","987.21","895","7474","527","682","1193.33","1534","2498.67","974.38","1000.04","92","22156","852","869"
"1990","Rural Area","East Germany","473.38","462.38","2786","272.67","358","572.8","682","895","467.91","478.85","122.67","1176","462.380981445312","482.777801513672"
"1990","Rural Area","West Germany","931.05","852.22","1832","487.14","639.17","1125","1431.6","2215.33","909.85","952.25","0","7866.15","852","874.5"
"1990","Urban Area","East Germany","493.77","487.14","1514","256","368","613.33","710","965.56","485.35","502.19","153","1278","487.142883300781","511.333343505859"
"1990","Urban Area","West Germany","1051.16","956.07","7310","547.86","718.1","1239","1633.33","2726.67","1037.26","1065.06","0","12782.5","907.096801757812","920.400024414062"
"1991","Rural Area","East Germany","560.27","535.71","2653","340.95","426","664.67","818","1140","552.74","567.8","56.67","2301","537","555.652160644531"
"1991","Rural Area","West Germany","961.55","895","1871","511","677.5","1193.33","1460.95","2249.5","943.76","979.34","77","4346","879.599975585938","933.478271484375"
"1991","Urban Area","East Germany","593.27","562.5","1356","340.67","443.33","690","886","1363.33","581.19","605.35","56.67","1704","568.333374023438","596.666625976562"
"1991","Urban Area","West Germany","1093.68","1001.78","7208","579.33","752","1319.33","1704","2897.33","1082.08","1105.28","146.07","6817.33","946","971"
"1992","Rural Area","East Germany","684.11","664.5","2451","409","511.5","818","988.67","1420","674.66","693.56","147.2","2556","665","682"
"1992","Rural Area","West Germany","997.07","920.4","1885","511.5","682","1227.2","1534","2428.5","978.36","1015.78","128","5113","911.304382324219","954.666687011719"
"1992","Urban Area","East Germany","723.87","682","1347","439.58","545.33","852","1023","1568","709.24","738.5","119.33","2045.33","682","716"
"1992","Urban Area","West Germany","1144.22","1022.78","7149","613.33","787","1363.33","1764","2897.33","1131.98","1156.46","0","7669","996","1022.5"
"1993","Rural Area","East Germany","804.79","767","2403","477.33","601","954.67","1144.29","1789.5","791.71","817.87","122.22","4090","767","789.130432128906"
