"year","e11102","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Employed","Full Time","888.62","818","5382","477.33","613.6","1022.67","1329","2301","873.14","904.1","2.67","15395","767","779.047668457031"
"1984","Employed","Not Working","","","","","","","","","","","","","",""
"1984","Employed","Part Time","796.44","716","1787","412","555.65","920.4","1193.33","2130.42","775.09","817.79","32.08","6817.33","682","716"
"1984","Not Employed","Full Time","","","","","","","","","","","","","",""
"1984","Not Employed","Not Working","727.52","639","4390","368","481.33","843.5","1074","2045","704.5","750.54","0","28018.67","608.571472167969","613.599975585938"
"1984","Not Employed","Part Time","","","","","","","","","","","","","",""
"1985","Employed","Full Time","913.98","852","4713","501","647.33","1084","1363.33","2334.67","899.67","928.29","0","13805","803.333374023438","822.608703613281"
"1985","Employed","Not Working","","","","","","","","","","","","","",""
"1985","Employed","Part Time","813.76","741","1777","409.2","562.33","973.81","1193.33","2301","793.02","834.5","26","7669.5","715.666687011719","741"
"1985","Not Employed","Full Time","","","","","","","","","","","","","",""
"1985","Not Employed","Not Working","726.02","666.96","3990","368","499.05","859","1125","1917.5","714","738.04","0","7669.5","613.599975585938","639"
"1985","Not Employed","Part Time","","","","","","","","","","","","","",""
"1986","Employed","Full Time","961.46","886","4622","511.43","681.67","1124.67","1406","2301","942.15","980.77","0","24595","852","852.380981445312"
"1986","Employed","Not Working","","","","","","","","","","","","","",""
"1986","Employed","Part Time","863.71","780.55","1741","444.78","613.43","1022.5","1263.89","2272.22","833.34","894.08","77","22723.89","756.799987792969","784"
"1986","Not Employed","Full Time","","","","","","","","","","","","","",""
"1986","Not Employed","Not Working","773.11","682","3753","409","511.33","910","1158.67","1981.5","750.83","795.39","0","24595","664.5","682"
"1986","Not Employed","Part Time","","","","","","","","","","","","","",""
"1987","Employed","Full Time","1011.67","920","4695","542","710","1164.44","1466","2556.67","990.71","1032.63","0","22156","852.380981445312","888.571472167969"
"1987","Employed","Not Working","","","","","","","","","","","","","",""
"1987","Employed","Part Time","863.04","800.43","1743","442.31","613.6","1022.67","1268","2454","842.11","883.97","0","9203.5","767","811.304382324219"
"1987","Not Employed","Full Time","","","","","","","","","","","","","",""
