"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","720.3","650.95","3318","358","485.5","852.22","1114","2045.33","703.46","737.14","32.08","13634.67","613.333312988281","629.230773925781"
"1984","indirect migration background","752.25","681.85","116","511.5","568.33","895","1158.67","1329.2","703.21","801.29","204.4","1562.22","602.5","716"
"1984","no migration background","813.55","716","8125","409.2","542","954.67","1227.33","2147.33","798.24","828.86","0","28018.67","716","735"
"1985","direct migration background","743.59","682","2852","383.57","511.25","920","1150.5","1790","726.07","761.11","0","13805","614","639.285705566406"
"1985","indirect migration background","755.61","716","134","460","539.44","920.4","1124.67","1278","712.72","798.5","232.42","1370.4","582.608703613281","716"
"1985","no migration background","823.47","756.8","7494","409.33","562","1010","1261.33","2215.33","813.32","833.62","0","7669.5","754.761962890625","767"
"1986","direct migration background","769.05","716","2764","392.05","545.33","920","1193.33","1942.67","756.96","781.14","0","4672.07","672.631591796875","693.928588867188"
"1986","indirect migration background","790.02","767.2","149","341","562.33","1003.33","1227","1537.33","740.05","839.99","163.6","1704","613.666687011719","778.260864257812"
"1986","no migration background","875.56","786.92","7203","452","596.67","1022.67","1329.2","2250","857.68","893.44","0","24595","795.652160644531","818"
"1987","direct migration background","805.35","734.37","2768","409","553.89","987.22","1227.2","2045.2","789.83","820.87","0","6391","688.461547851562","716"
"1987","indirect migration background","867.79","858.87","164","486.79","674.8","1023","1144.29","1332.86","788.99","946.59","194.4","6391","674.799987792969","767"
"1987","no migration background","905.38","818","7121","477.33","614","1061","1363.33","2434.76","890.38","920.38","0","22156","818","844"
"1988","direct migration background","819.47","750","2613","436.18","568.33","988.67","1261.33","2045","805.61","833.33","136.67","7243.33","695.200012207031","730.285705566406"
"1988","indirect migration background","817.06","742.08","215","409.2","562.5","1022.4","1125","3068","777.06","857.06","191.88","3068","625","741"
"1988","no migration background","932.68","852","6785","490.8","639","1099.5","1431.33","2454","918.44","946.92","0","17895","852","869"
"1989","direct migration background","863.45","778.26","2536","450","592.11","1022.67","1363.33","2301","849.91","876.99","146.19","4090.67","733.478271484375","758.333312988281"
"1989","indirect migration background","831.14","770.18","251","511.43","608.57","1022.4","1202","1680","782.83","879.45","201","3408.67","697.272766113281","843.5"
"1989","no migration background","978.6","889.13","6538","511.33","674","1186","1533.89","2403","963.82","993.38","0","22156","889.130432128906","920"
"1990","direct migration background","869.05","786.54","2631","441.88","584.29","1022.67","1363.33","2199","852.74","885.36","102","7866.15","750","784"
"1990","indirect migration background","850.18","784","291","470.4","625.33","994.17","1288.67","1738.4","809.57","890.79","179","2840.56","767","843.5"
"1990","no migration background","919.11","827.67","10606","409","568.33","1136.11","1511.2","2505","908.29","929.93","0","12782.5","690","716"
"1991","direct migration background","920.06","834.69","2562","474.76","629.23","1095.71","1431.33","2840.56","905.67","934.45","90.29","5112.67","786.538513183594","818"
"1991","indirect migration background","852.33","818","330","487.14","639.17","1022.4","1278","1704","815.76","888.9","170.56","2284","786.538513183594","858.799987792969"
"1991","no migration background","965.45","852.38","10286","460","613.33","1210","1559.5","2556.5","955.99","974.91","56.67","6817.33","779.047668457031","814"
"1992","direct migration background","970.85","886","2492","511.33","668.46","1149.2","1466","2556.67","954.6","987.1","0","7158","836.249938964844","865.384643554688"
"1992","indirect migration background","874.49","852.22","393","511.43","639","1022.67","1278","1966.54","841.37","907.61","157.69","2556.5","815.714294433594","876.666687011719"
"1992","no migration background","1035.13","925.24","10063","511.5","682","1266.19","1636","2556.67","1025.48","1044.78","119.33","7669","869","886.333312988281"
"1993","direct migration background","1023.44","920.4","2405","511.33","682","1227","1595.2","2931.33","1006.19","1040.69","116.4","8521.67","858.260864257812","895"
"1993","indirect migration background","939.83","890.04","451","525.6","681.9","1124.8","1432","2386","906.2","973.46","204.5","2576.8","852","920"
"1993","no migration background","1116.1","1022.5","9830","568","750","1355","1779.2","3067.6","1105.14","1127.06","26","14316","971","988.666687011719"
"1994","direct migration background","1039.46","934.1","2279","511.15","697.27","1227.33","1602","2829.33","1021.54","1057.38","136.33","8521.67","869","920"
"1994","indirect migration background","952.37","889.68","472","511.33","716","1136.11","1444.78","2045.2","910.8","993.94","102","6136","860","940.799987792969"
"1994","no migration background","1155.51","1023","9720","608.57","784","1363.33","1790","3068","1144.62","1166.4","102","10226","1022.40002441406","1022.66668701172"
"1995","direct migration background","1054.04","936.65","2675","495.76","682","1227.33","1625","3204","1034.76","1073.32","163.33","10907.33","880.555603027344","916.249938964844"
"1995","indirect migration background","996.27","949.52","476","572.8","730.36","1227","1534","2045.33","962.1","1030.44","281","2726.67","895","973.8095703125"
"1995","no migration background","1221.03","1084.55","9581","639","844.78","1423","1874.67","3408.67","1208.31","1233.75","72","15338.67","1024.40002441406","1066.95654296875"
"1996","direct migration background","1063.57","937.22","2486","511.5","716","1227.2","1636","3408.67","1042.55","1084.59","119.33","11930","895","920.400024414062"
"1996","indirect migration background","1032.51","936.97","519","562.5","766.67","1222.61","1534","2112","999.53","1065.49","122.8","3426","904","973.599975585938"
"1996","no migration background","1234.4","1108.51","9497","657.14","852.22","1444.78","1908.67","3188","1221.95","1246.85","78","12782.5","1084","1104.40002441406"
"1997","direct migration background","1067.23","954.67","2407","539.44","716","1278","1657","3068","1044.16","1090.3","208.21","13634.67","918","946"
"1997","indirect migration background","1036.15","937.28","542","553.75","733","1278","1534","2173","1001.21","1071.09","153","5113","920.400024414062","1022.40002441406"
"1997","no migration background","1242.3","1133.91","9479","665","869","1460.95","1908.67","3136","1230.81","1253.79","175","11248","1104.40002441406","1125"
"1998","direct migration background","1080.08","954.67","2300","562","730.29","1278","1655.71","3068","1060.19","1099.97","204.4","6817.33","920","954.666687011719"
"1998","indirect migration background","1056.73","993.34","574","537","720","1278","1636","2710","1016.85","1096.61","204.4","6136","937.333312988281","1022.5"
"1998","no migration background","1257.57","1136.11","10687","665","880.56","1527.33","1947.62","3408.67","1247.05","1268.09","179","7669.5","1111.30432128906","1130"
"1999","direct migration background","1123.66","1022.49","2119","580.83","750","1295.33","1670","4260.56","1102.46","1144.86","170.67","7101.11","966.666687011719","997"
"1999","indirect migration background","1102.06","1022.67","580","568.33","779.05","1295.33","1704","2454","1064.74","1139.38","186.06","4139.05","973.8095703125","1022.66668701172"
"1999","no migration background","1302.1","1184.28","10441","710","920","1534","2045","3408.67","1290.8","1313.4","102","12782","1150.5","1176"
"2000","direct migration background","1111.2","1000.43","3176","568.33","754","1278.33","1704","3408.67","1091.55","1130.85","121.9","8521.33","965.555603027344","998.095275878906"
"2000","indirect migration background","1154.26","1052.13","791","580","818","1363.33","1790","3170","1118.56","1189.96","283.89","4772","1022.5","1084.54541015625"
"2000","no migration background","1339.5","1193.33","18599","716","929.64","1568","2045.33","3579","1330.05","1348.95","0","17043.33","1193.33337402344","1193.33337402344"
"2001","direct migration background","1115.59","1022.4","2836","579.33","750","1319.35","1704.33","3323.5","1094.73","1136.45","204.67","9203.2","1000.43481445312","1022.66668701172"
"2001","indirect migration background","1230.6","1124.8","741","639","843.5","1431.5","1947.62","3749.33","1191.4","1269.8","255.5","5113","1043.19995117188","1124.80004882812"
"2001","no migration background","1369.53","1227.33","17268","736.4","958.75","1622.61","2079.33","3579","1359.66","1379.4","0","15338.67","1225.71435546875","1227.33337402344"
"2002","direct migration background","1117.11","1000","2712","550","728","1320","1750","3335","1083.26","1150.96","123.81","16000","1013.33331298828","1071.42858886719"
"2002","indirect migration background","1234.81","1055.56","744","611.11","833.33","1400","1950","4533.33","1160.88","1308.74","280","16000","1086.95654296875","1200"
"2002","no migration background","1411.31","1250","18467","710","960","1666.67","2200","4180","1391","1431.62","5","65000","1333.33337402344","1360"
"2003","direct migration background","1162.97","1007.32","2526","590","750","1357.14","1760","4000","1128.52","1197.42","0","17500","1055.55554199219","1100"
"2003","indirect migration background","1273.05","1100","744","615.79","760","1480","2000","3500","1197.02","1349.08","250","16000","1138.88891601562","1200"
"2003","no migration background","1444.25","1280","17783","722.22","993.33","1666.67","2300","4333.33","1426.47","1462.03","0","50000","1346.66662597656","1380.95239257812"
"2004","direct migration background","1191.49","1029.63","2447","615","800","1333.33","1750","3760","1131.15","1251.83","100","66666","1062.5","1100"
"2004","indirect migration background","1232.8","1073.17","766","615.38","809.52","1400","1985","4100","1170.66","1294.94","100","10000","1111.11108398438","1200"
"2004","no migration background","1448.39","1277.78","17386","720","980","1700","2275","4000","1428.73","1468.05","0","66666","1350","1400"
"2005","direct migration background","1178.17","1041.4","2295","600","784.67","1380.95","1825","3666.67","1145.33","1211.01","0","20166.67","1066.66662597656","1100"
"2005","indirect migration background","1227.14","1111.11","795","650","850","1450","2000","3000","1181.39","1272.89","192.08","5750","1120","1214.28576660156"
"2005","no migration background","1456.18","1300","16682","715.38","998","1730","2333.33","4150","1440.22","1472.14","0","30000","1351","1400"
"2006","direct migration background","1197.2","1000","2270","615.2","777.78","1375","1833.33","4000","1160.27","1234.13","118","18666.67","1066.66662597656","1100"
"2006","indirect migration background","1224.48","1086.96","804","663.64","800","1450","1900","3750","1170.77","1278.19","206.67","10000","1111.11108398438","1200"
"2006","no migration background","1482.53","1305.56","17895","700","983.33","1746.67","2333.33","4666.67","1467.15","1497.91","0","30000","1370","1400"
"2007","direct migration background","1201.57","1024.54","2068","600","777","1347.83","1866.67","4166.67","1154.05","1249.09","200","28444.67","1076.19055175781","1120"
"2007","indirect migration background","1235.53","1071.43","796","662","846.15","1416.67","2000","3400","1182.03","1289.03","100","8000","1120","1200"
"2007","no migration background","1513.98","1333.33","17049","730.77","1000","1800","2400","4533.33","1497.87","1530.09","0","42000","1400","1400"
"2008","direct migration background","1275.46","1100","1827","650","820","1425","1904.76","4666.67","1197.05","1353.87","190","66666","1125","1182"
"2008","indirect migration background","1296.24","1166.67","780","653.33","833.33","1527.78","2214.29","3333.33","1238.65","1353.83","226.67","8000","1196.66674804688","1280"
"2008","no migration background","1548.32","1350","15978","741.33","1000","1866.67","2466.67","4666.67","1529.77","1566.87","0","66666","1400","1450"
"2009","direct migration background","1263.78","1082.35","1598","636.36","800","1466.67","2000","5133.33","1225.18","1302.38","300","8333.33","1100","1150"
"2009","indirect migration background","1373.26","1217.23","716","680","886.67","1700","2200","3866.67","1310.31","1436.21","226.67","10666.67","1195","1333.33337402344"
"2009","no migration background","1588.33","1400","15137","785","1040","1933.33","2500","4750","1571.4","1605.26","0","22000","1446.66662597656","1478"
"2010","direct migration background","1299.63","1120","2759","643","833.33","1500","2000","4600","1271.37","1327.89","0","10000","1000","1046.66674804688"
"2010","indirect migration background","1413.68","1200","1156","680","866.67","1733.33","2466.67","3607","1355.22","1472.14","102.22","18000","1111.11108398438","1190.47619628906"
"2010","no migration background","1637.59","1450","19091","800","1066.67","2000","2600","4700","1622.97","1652.21","0","25000","1388.88891601562","1400"
"2011","direct migration background","1339.48","1167.2","3149","650","833.33","1600","2200","4444.44","1313.75","1365.21","166.67","8333.33","1071.42858886719","1106.66662597656"
"2011","indirect migration background","1457.32","1250","1349","666.67","933.33","1833.33","2400","4333.33","1407.87","1506.77","40","13888.89","1160","1235"
"2011","no migration background","1663","1466.67","23239","800","1080","2000","2666.67","5000","1649.43","1676.57","80","36666.67","1400","1428.57153320312"
"2012","direct migration background","1386.47","1200","2973","700","888.89","1666.67","2266.67","4600","1357.9","1415.04","250","16666.67","1111.11108398438","1175"
"2012","indirect migration background","1571.57","1333.33","1323","695.65","952.38","2000","2666.67","4666.67","1518.28","1624.86","0","16666.67","1200","1266.66662597656"
"2012","no migration background","1716.86","1500","22746","825","1133.33","2000","2708.33","5000","1695.66","1738.06","0","133333.33","1450","1466.66662597656"
"2013","direct migration background","1379.08","1200","6085","680","875","1666.67","2222.22","4666.67","1360.2","1397.96","166.67","18666.67","1090.90905761719","1125.71435546875"
"2013","indirect migration background","1554.24","1333.33","2102","750","916.67","1944.44","2666.67","5000","1515.34","1593.14","195.86","15000","1200","1285.71435546875"
"2013","no migration background","1750.5","1533.33","21696","850","1150","2083.33","2800","5000","1735.44","1765.56","0","46666.67","1500","1500"
"2014","direct migration background","1467.6","1233.33","5004","700","910","1700","2400","5333.33","1443.21","1491.99","160","24000","1142.85717773438","1190.47619628906"
"2014","indirect migration background","1565.73","1333.33","1853","720","933.33","2000","2666.67","5000","1525.32","1606.14","200","10666.67","1238.09533691406","1300"
"2014","no migration background","1808.09","1600","19808","852","1200","2200","2900","5333.33","1791.84","1824.34","120","43333.33","1555.55554199219","1600"
"2015","direct migration background","1504.32","1277.78","5700","714.29","909.52","1800","2500","5000","1482.53","1526.11","125","16666.67","1186.66662597656","1200"
"2015","indirect migration background","1653.36","1400","1723","734","961.54","2000","2850","5666.67","1611.76","1694.96","170.73","11111.11","1300","1388.88891601562"
"2015","no migration background","1863.91","1666.67","18773","888.89","1200","2266.67","3000","5333.33","1847.7","1880.12","0","60000","1600","1640"
"2016","direct migration background","1522.92","1300","8897","614.58","889.66","1850","2500","5666.67","1506.04","1539.8","0","13333.33","742.666687011719","778.333374023438"
"2016","indirect migration background","1675.65","1428.8","1609","726.67","958.33","2000","2800","6866.67","1626.21","1725.09","222.22","12800","1333.33337402344","1422.60876464844"
"2016","no migration background","1901.76","1700","17542","910","1253.33","2333.33","3000","5333.33","1884.89","1918.63","0","40000","1666.66662597656","1666.66674804688"
"2017","direct migration background","1513.57","1322.46","9782","625","900","1866.67","2640","4666.67","1498.91","1528.23","83.33","15000","738.095275878906","773.529418945312"
