"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Female","777.96","684.79","5877","397.78","511.33","920","1193.33","2045.33","761.99","793.93","0","28018.67","681.333312988281","682"
"1984","Male","833.79","730.48","5682","411.67","562","971.5","1261.33","2301","816.2","851.38","2.67","28018.67","705.17236328125","716"
"1985","Female","792.61","716","5320","401.33","537","967.2","1217.14","2130.56","780.62","804.6","0","10865","701","716"
"1985","Male","840.81","767","5160","429.6","572.8","1022.67","1278","2301","827.97","853.65","0","13805","730.476196289062","752.777770996094"
"1986","Female","839.37","763.63","5095","420","568.33","1021.33","1278","2045.33","819.92","858.82","0","24595","741","766.785705566406"
"1986","Male","891.59","818","5021","463.33","613.33","1023","1363.33","2284","873.6","909.58","0","24595","767","797.599975585938"
"1987","Female","868.4","779.5","5067","443.33","591.2","1022.67","1306.67","2215.33","852.04","884.76","0","22156","767","779.75"
"1987","Male","923.51","845.33","4986","490.67","634","1090.67","1363.33","2472","907.05","939.97","0","22156","797.599975585938","818"
"1988","Female","891.84","818","4843","468.75","613.67","1056.67","1363.33","2308.8","876.77","906.91","20","17895","782.653076171875","811.304382324219"
"1988","Male","951.04","869","4770","511","653.33","1124.8","1446.67","2556","935.29","966.79","0","17895","818","852"
"1989","Female","930.35","852","4717","490.8","638.89","1125","1431.5","2301","914.9","945.8","0","22156","818","852"
"1989","Male","1001.76","920","4608","530.77","682","1193.33","1534","2556","985.54","1017.98","0","22156","858.799987792969","889.130432128906"
"1990","Female","877.69","794.47","6926","383","547.86","1074","1420","2386","864.87","890.51","0","12782.5","688.461547851562","716"
"1990","Male","952.39","852.22","6602","438.1","603","1176","1534","2556","939.5","965.28","0","12782.5","732.432434082031","766.785705566406"
"1991","Female","925.62","827.62","6748","438.1","596.67","1150.5","1534","2556","914.69","936.55","56.67","6817.33","767","784"
"1991","Male","996.55","895","6430","490","639","1227.33","1598","2668.67","985.01","1008.09","56.67","6817.33","818","834.69384765625"
"1992","Female","991.1","895","6656","511","665","1193.33","1568","2556.67","979.71","1002.49","0","7669","852","852.380981445312"
"1992","Male","1063.33","971","6292","560","716","1278.33","1661.5","2692.67","1051.53","1075.13","119.33","7158","886","900.952392578125"
"1993","Female","1061.97","971","6512","537","716","1278","1704","2863.33","1049.51","1074.43","26","14316","918","937.222229003906"
"1993","Male","1145.26","1022.67","6174","586.1","767","1363.33","1790","3068","1131.63","1158.89","77","14316","971.5","994.444458007812"
"1994","Female","1102.14","1022.38","6456","562","750","1321.11","1704.29","3068","1089.45","1114.83","102","10226","965.555603027344","994.444458007812"
"1994","Male","1176.15","1049.66","6015","613.6","809.58","1406","1874.67","3068","1162.54","1189.76","102","8521.67","1022.38098144531","1022.66668701172"
"1995","Female","1171.03","1023","6580","579.33","782","1363.33","1789.5","3398.67","1155.46","1186.6","72","15338.67","997","1022.5"
"1995","Male","1217.1","1086.56","6152","639","851.33","1431.6","1885.5","3408.67","1202.94","1231.26","158.1","11930","1022.66668701172","1023"
"1996","Female","1170.05","1043.2","6462","613.6","806","1363.33","1790","3154","1156.01","1184.09","78","12782.5","1022.66668701172","1023"
"1996","Male","1245.79","1124.67","6040","653.33","852.22","1477.22","1943","3272","1229.98","1261.6","119.33","12782.5","1051.11108398438","1081.19995117188"
"1997","Female","1175.42","1071.44","6405","614","830.75","1380","1789.5","3068","1161.96","1188.88","153","13634.67","1022.66668701172","1056.66662597656"
"1997","Male","1252.93","1136.11","6023","665","858.21","1483","1943","3246.67","1237.92","1267.94","153","13634.67","1066.95654296875","1095.71435546875"
"1998","Female","1194.34","1080.95","6986","634.62","852","1429","1806.67","3195.42","1182.02","1206.66","179","6817.33","1048","1074"
"1998","Male","1263.48","1136.11","6575","664.5","852.22","1534","1994","3408.67","1249.75","1277.21","204.4","7669.5","1090.66662597656","1111.30432128906"
"1999","Female","1246.21","1125","6798","665","870","1500","1939.33","3408.67","1232.89","1259.53","170.67","7498.67","1090.66662597656","1112"
"1999","Male","1300.44","1183.71","6342","688.46","911.3","1534","2045","3340.67","1285.84","1315.04","102","12782","1124.66662597656","1150.5"
"2000","Female","1268.76","1136.21","11701","668.46","880.56","1534","2000.87","3408.67","1257.45","1280.07","51","17043.33","1124.80004882812","1145.19995117188"
"2000","Male","1341.9","1193.33","10865","702.92","920.4","1585","2045.33","3749.33","1329.32","1354.48","0","17043.33","1176","1193.33337402344"
"2001","Female","1297.26","1180","10822","682","899.63","1534","2045.2","3408.67","1285.43","1309.09","112","15338.67","1158.66662597656","1188"
"2001","Male","1370.35","1227.33","10023","716","954.67","1622.61","2096","3749.33","1357.15","1383.55","0","15338.67","1206.80004882812","1227.19995117188"
"2002","Female","1326","1190.98","11317","666.67","889","1538.46","2027.78","4000","1303.85","1348.15","5","40000","1266.66662597656","1300"
"2002","Male","1410.81","1250","10606","700","950","1660","2200","4444.44","1382.4","1439.22","5","65000","1333.33337402344","1333.33337402344"
"2003","Female","1360.37","1200","10901","666.67","900","1600","2133.33","4000","1340.23","1380.51","0","42500","1280","1304.34790039062"
"2003","Male","1445.03","1277.78","10152","700","974.44","1666.67","2330","4500","1420.18","1469.88","0","50000","1333.33337402344","1359"
"2004","Female","1365.08","1200","10694","678.5","900","1600","2133.33","4000","1342.14","1388.02","20","66666","1280","1313.33337402344"
"2004","Male","1450.65","1266.67","9905","720","960","1700","2300","4166.67","1421.78","1479.52","0","66666","1333.33337402344","1380.95239257812"
"2005","Female","1368.84","1200","10300","675","908.21","1622","2190.48","4000","1349.99","1387.69","0","23333.33","1290.5","1320"
"2005","Male","1453.2","1300","9472","700","960","1733.33","2333.33","4266.67","1431.72","1474.68","0","30000","1333.33337402344","1388.88891601562"
"2006","Female","1384.77","1200","10953","670","900","1633.33","2222.22","4200","1366.35","1403.19","100","20000","1300","1322.66662597656"
"2006","Male","1484.69","1307.69","10016","696.43","960","1750","2366.67","4666.67","1463.5","1505.88","0","30000","1350","1400"
"2007","Female","1416.45","1238.1","10410","690","933.33","1666.67","2266.67","4333.33","1397.07","1435.83","0","28444.67","1305.55554199219","1333.33337402344"
