"year","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Rural Area","748.75","697.16","2132","368","511.43","920","1158.67","1947.62","734.07","763.43","151.48","4090","682","713.488342285156"
"1985","Urban Area","835.57","767","8348","424","568.33","1022.5","1278","2284","825.22","845.92","0","13805","730.476196289062","750"
"1986","Rural Area","809.04","730.48","2077","402","550.77","954.67","1194.67","2045.33","767.48","850.6","68","24595","716","750"
"1986","Urban Area","881.16","808","8039","460","606.67","1023","1355","2272.22","868.4","893.92","0","22723.89","767","784"
"1987","Rural Area","827.02","767","2049","432.69","568.06","1022.4","1278","2045.2","810.38","843.66","51","4601.33","756.799987792969","778.260864257812"
"1987","Urban Area","914.55","818","8004","483","614","1071.3","1363.33","2505.5","900.62","928.48","0","22156","784","818"
"1988","Rural Area","834.66","767","1916","419","562.67","1022.5","1295.33","1976.67","817.25","852.07","51","7669","755.652160644531","797"
"1988","Urban Area","945.33","852.22","7697","511","645","1124.67","1431.6","2556","932.45","958.21","0","17895","818","832"
"1989","Rural Area","886.86","818","1851","439.6","601","1058","1380","2147.33","864.59","909.13","0","10226","818","849.130432128906"
"1989","Urban Area","987.21","895","7474","527","682","1193.33","1534","2498.67","974.38","1000.04","92","22156","852","869"
"1990","Rural Area","740.92","639","4618","340.67","460","920.4","1278","2045.33","729.88","751.96","0","7866.15","552","572.799987792969"
"1990","Urban Area","991.72","895","8824","476","653.33","1193.33","1534","2572","979.46","1003.98","0","12782.5","818","852"
"1991","Rural Area","792.73","690","4524","400","511.33","1005.33","1314.76","2113.33","782.53","802.93","56.67","4346","639","657.142883300781"
"1991","Urban Area","1039.16","946","8564","511.33","682","1278","1661.5","2887.62","1028.65","1049.67","56.67","6817.33","858.799987792969","886"
"1992","Rural Area","871.59","792.5","4336","460","608.57","1047.14","1370","2199","860.92","882.26","128","5113","750","774.545471191406"
"1992","Urban Area","1096.81","1000.43","8496","568.15","746","1329.2","1704","2726.67","1085.91","1107.71","0","7669","928.888916015625","960"
"1993","Rural Area","967","869","4250","511.3","665","1150.5","1534","2454","951.91","982.09","26","14316","844","852.380981445312"
"1993","Urban Area","1161.66","1028","8436","590","779.05","1389","1835.71","3068","1150.25","1173.07","102","8521.67","1003.70367431641","1022.66668701172"
"1994","Rural Area","1012.08","920.4","4187","543.12","716","1193.33","1534","2559","998.39","1025.77","102","7669.5","895","920"
"1994","Urban Area","1192.79","1073.5","8284","614","818","1431.33","1874.67","3068","1180.79","1204.79","102","10226","1022.66668701172","1023"
"1995","Rural Area","1100.39","994.44","4282","562","762.8","1278","1661.5","3068","1084.32","1116.46","72","11930","956.086975097656","988.666687011719"
"1995","Urban Area","1234.6","1095.71","8450","629.23","851","1457","1947.62","3408.67","1221.01","1248.19","163.33","15338.67","1022.66668701172","1048"
"1996","Rural Area","1112.15","1022.67","4259","596.67","784","1278.33","1687","2726.67","1094.72","1129.58","98.46","12782.5","1013.88891601562","1022.66668701172"
"1996","Urban Area","1248.16","1124.67","8242","644","852","1466","1976.67","3408.67","1235.01","1261.31","78","10226","1058.88891601562","1090.66662597656"
"1997","Rural Area","1104.26","1022.5","4224","601","813","1289.13","1704","2726.67","1089.15","1119.37","153","8129.5","1022.40002441406","1022.66668701172"
"1997","Urban Area","1259.54","1158.67","8203","664.67","869","1483","1976.67","3408.67","1246.52","1272.56","153","13634.67","1093.33337402344","1124.66662597656"
"1998","Rural Area","1121.04","1022.67","4639","613.33","801.33","1329.33","1704","2863.2","1107.56","1134.52","179","6136","1022.5","1022.66668701172"
"1998","Urban Area","1274.95","1158.67","8922","665","876.43","1534","2000.87","3408.67","1262.94","1286.96","204.4","7669.5","1104.40002441406","1125"
"1999","Rural Area","1169.65","1056.67","4527","639.38","852","1363.33","1789.5","3067.6","1154.72","1184.58","102","12782","1022.66668701172","1066.95654296875"
"1999","Urban Area","1316.82","1193.33","8613","690","920","1568","2045.33","3408.67","1304.09","1329.55","170.67","7498.67","1144.28576660156","1176"
"2000","Rural Area","1189.14","1073.83","7703","666.96","852.22","1363.33","1790","3272","1177.56","1200.72","0","9203.33","1060.37036132812","1090.66662597656"
"2000","Urban Area","1355.68","1221.67","14863","690","920.4","1636","2045.33","3749.33","1344.46","1366.9","51","17043.33","1193.33337402344","1217.14294433594"
"2001","Rural Area","1218.71","1125","7157","667.78","869.33","1431.33","1806.67","3405","1205.76","1231.66","0","10737","1101.53845214844","1125"
"2001","Urban Area","1384.43","1252.5","13688","715.77","954.67","1661.5","2181.33","3749.33","1372.9","1395.96","112","15338.67","1227.19995117188","1247.59997558594"
"2002","Rural Area","1231.48","1125","7271","660","866.67","1466.67","1866.67","3478.26","1213.72","1249.24","123.81","10000","1200","1209.33337402344"
"2002","Urban Area","1428.5","1250","14652","694.44","950","1666.67","2250","4666.67","1403.39","1453.61","5","65000","1342.60876464844","1388.88891601562"
"2003","Rural Area","1269.71","1180","6984","666.67","886.67","1500","1969.57","3500","1252.34","1287.08","190","12000","1200","1235.33337402344"
"2003","Urban Area","1461.23","1280","14069","700","961","1700","2333.33","4666.67","1439.22","1483.24","0","50000","1379.31030273438","1400"
"2004","Rural Area","1289.98","1166.67","6830","666.67","880.95","1520","2000","3400","1257.22","1322.74","70","66666","1206.66662597656","1250"
"2004","Urban Area","1459.63","1266.67","13769","714.29","966.67","1700","2333.33","4500","1437.73","1481.53","0","60000","1380.66662597656","1400"
"2005","Rural Area","1278.14","1173.91","6587","650","880","1500","2000","3466.67","1259.52","1296.76","0","10666.67","1200","1250"
"2005","Urban Area","1470.08","1300","13185","715","966.67","1750","2333.33","4347.83","1451.06","1489.1","85.56","30000","1388.88891601562","1400"
"2006","Rural Area","1318.82","1180","7094","650","884.62","1533.33","2000","4133.33","1300.38","1337.26","0","15000","1200","1250"
"2006","Urban Area","1486.21","1300","13875","700","956.52","1750","2400","4666.67","1467.51","1504.91","0","30000","1400","1405"
"2007","Rural Area","1311.94","1200","6777","650","900","1600","2000","3666.67","1294.31","1329.57","100","15000","1230","1260.86962890625"
"2007","Urban Area","1530.2","1333.33","13136","714.29","1000","1800","2500","4666.67","1509.76","1550.64","0","42000","1400","1450"
"2008","Rural Area","1376.78","1240","6321","660","923.08","1666.67","2000","4000","1342.64","1410.92","0","66666","1266.66662597656","1300"
"2008","Urban Area","1558.67","1333.33","12264","750","1000","1866.67","2533.33","4666.67","1538.13","1579.21","100","40000","1450","1480"
"2009","Rural Area","1399.1","1266.67","6033","700","952.38","1666.67","2173.91","4000","1379.68","1418.52","0","10000","1297.33337402344","1333.33337402344"
"2009","Urban Area","1601.91","1400","11418","766.67","1000","1933.33","2666.67","4761.9","1580.91","1622.91","153.85","22000","1480","1500"
"2010","Rural Area","1424.85","1300","7895","710","1000","1733.33","2222.22","4000","1408.51","1441.19","0","8400","1200","1250"
"2010","Urban Area","1652.9","1428.57","15111","769.23","1035.71","2000","2666.67","5000","1635.13","1670.67","0","25000","1394.73681640625","1403.33337402344"
"2011","Rural Area","1458.43","1333.33","9882","720","1000","1750","2266.67","4133.33","1443.42","1473.44","80","12000","1250","1280"
