"year","migback","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","no migration background","(0) in school","793.75","766.83","150","426","568.48","964.29","1214.5","1789.5","740.68","846.82","204.67","2300.67","666.95654296875","784"
"1985","no migration background","(1a) inadequately completed","606.89","579.7","66","272.67","374.67","807.67","940.8","1193.33","542.35","671.43","175.24","1193.33","489.130432128906","766.799987792969"
"1985","no migration background","(1b) general elementary school","673.5","620.71","1620","358","481","818","1022.4","1492.8","653.77","693.23","51","7669.5","614","664.5"
"1985","no migration background","(1c) basic vocational qualification","789.84","738.44","2938","429.6","562","954.67","1176","1892","776.04","803.64","0","7669.5","730.285705566406","750"
"1985","no migration background","(2a) intermediate vocational","958.54","895","1167","539.44","682","1136.11","1406","2272.22","930.85","986.23","0","7669.5","879.599975585938","920.5"
"1985","no migration background","(2b) intermediate general qualification","791.99","762.61","370","405.33","552","967.2","1193.33","1789.5","750.45","833.53","109.64","5368.5","711.304382324219","784"
"1985","no migration background","(2c_gen) general maturity certificate","736.85","664.67","249","348","460","916.25","1124.8","2300.67","679.42","794.28","0","5368.5","613.599975585938","716"
"1985","no migration background","(2c_voc) vocational maturity certificate","973.87","920","275","499.05","690","1193","1534","2301","923.55","1024.19","128","2556","852.222229003906","973.8095703125"
"1985","no migration background","(3a) lower tertiary education","1156.02","1023","208","537","801","1363.33","1725.5","3681","1068.93","1243.11","109.64","6476.67","988.333312988281","1090.66662597656"
"1985","no migration background","(3b) higher tertiary education","1230.83","1124.8","396","665","852.22","1432","1947.62","3835","1176.96","1284.7","205","4090.67","1053.19995117188","1158.66662597656"
"1986","direct migration background","(0) in school","708.44","635.31","31","422.17","432.69","778.26","889.13","2352","573.41","843.47","266","2352","467.241363525391","664.5"
"1986","direct migration background","(1a) inadequately completed","670.31","630.98","755","358","462.5","818","1022.67","1448.67","647.44","693.18","14.44","4672.07","614","674.799987792969"
"1986","direct migration background","(1b) general elementary school","689.97","657.14","833","373","482.78","852.22","1056.67","1670","671.49","708.45","0","2045.33","632.857177734375","681.666687011719"
"1986","direct migration background","(1c) basic vocational qualification","797.52","756.13","610","454.44","600.75","940.8","1193.33","1718","774.29","820.75","14.44","2284","730.476196289062","779.047668457031"
"1986","direct migration background","(2a) intermediate vocational","979.91","893.52","78","572.8","690","1363.33","1367.5","2386","888.91","1070.91","277.83","2386","738.333374023438","971.5"
"1986","direct migration background","(2b) intermediate general qualification","777.98","658.61","62","464.85","606.96","971.5","1076.32","1721.33","701.09","854.87","266","1721.33","613.599975585938","781.111145019531"
"1986","direct migration background","(2c_gen) general maturity certificate","739.91","637.19","108","316.67","532.5","835.24","1193.33","2045.2","680.88","798.94","0","2045.2","584.285766601562","657.058776855469"
"1986","direct migration background","(2c_voc) vocational maturity certificate","741.92","676.37","113","369.44","493.33","937.22","1278","1687","687.67","796.17","170.56","1687","613.599975585938","745.833312988281"
"1986","direct migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1986","direct migration background","(3b) higher tertiary education","1118.87","1036.67","85","614","818","1363.33","1942.67","2045.2","1003.28","1234.46","212.92","3408.67","886","1051.90478515625"
"1986","indirect migration background","(0) in school","","","","","","","","","","","","","",""
"1986","indirect migration background","(1a) inadequately completed","","","","","","","","","","","","","",""
"1986","indirect migration background","(1b) general elementary school","715.4","596.58","40","383.57","511.33","1003.33","1227.33","1704","623.54","807.26","262.86","1704","562.333312988281","797.599975585938"
"1986","indirect migration background","(1c) basic vocational qualification","729.32","770.84","43","340.67","525.56","895","1089.13","1252.5","634.65","823.99","163.6","1704","584.285705566406","895"
"1986","indirect migration background","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1986","indirect migration background","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1986","indirect migration background","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1986","indirect migration background","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1986","indirect migration background","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1986","indirect migration background","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1986","no migration background","(0) in school","856.49","776.36","137","460","568.06","1022.4","1196.4","2045.2","750.26","962.72","205","6817.33","716","818"
"1986","no migration background","(1a) inadequately completed","688.73","634.21","66","306.86","431.33","886","1150.5","1558","611.33","766.13","249","1558","511.111114501953","781.111145019531"
"1986","no migration background","(1b) general elementary school","703.36","665","1512","391","511","852","1023","1704","687.09","719.63","77","5702.69","665","682"
"1986","no migration background","(1c) basic vocational qualification","841.31","767","2801","465","601","997","1227.33","2045","818.42","864.2","0","22723.89","767","797.599975585938"
"1986","no migration background","(2a) intermediate vocational","1006.09","920","1129","547.86","716","1150.5","1432","2301","945.93","1066.25","36.67","24595","920","954.666687011719"
"1986","no migration background","(2b) intermediate general qualification","854.91","786.66","363","426","582.22","1022.5","1329.33","2223.04","806.28","903.54","102","6817.33","748.571411132812","835.333312988281"
"1986","no migration background","(2c_gen) general maturity certificate","805.5","733","272","355","477.33","1002","1272.67","1840.67","729.63","881.37","256","9203.5","695","818"
"1986","no migration background","(2c_voc) vocational maturity certificate","980.6","920","266","562.5","716","1165.6","1460.95","2215.33","931.37","1029.83","205","2931.33","852.222229003906","973.8095703125"
"1986","no migration background","(3a) lower tertiary education","1225.83","1079.19","212","682","795.65","1401.67","1738","4862","1113.55","1338.11","255.5","10226","1022.5","1156.08703613281"
"1986","no migration background","(3b) higher tertiary education","1374.06","1125","386","682","920.4","1534","2025","4260.67","1193.3","1554.82","0","24595","1090.66662597656","1217.14294433594"
"1987","direct migration background","(0) in school","796.47","822.45","30","347.6","383.5","1111.3","1111.3","1482.5","693.46","899.48","288.46","1482.5","496.571441650391","779.75"
"1987","direct migration background","(1a) inadequately completed","694.3","647.52","734","340.77","461.82","869","1063.6","1615.6","671.22","717.38","0","4601.33","639.285705566406","682"
"1987","direct migration background","(1b) general elementary school","729.25","682","875","389","511.33","869","1094","1534","701.33","757.17","0","6086.67","644.400024414062","685.200012207031"
"1987","direct migration background","(1c) basic vocational qualification","837.54","786.01","593","487.14","613.33","998.1","1227","1789.33","803.95","871.13","102","6391","767","818"
