"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","804.25","716","11559","409","537","946","1227","2130.42","792.38","816.12","0","28018.67","682","705.17236328125"
"1985","815.31","750","10480","409.2","555.65","994.44","1227.33","2215.33","806.53","824.09","0","13805","716","732.666687011719"
"1986","864.16","777.5","10116","443.33","588","1022.67","1329","2215.33","850.9","877.42","0","24595","766.666687011719","770.952392578125"
"1987","894.54","818","10053","462.38","613.33","1044","1355","2352","882.93","906.15","0","22156","779.047668457031","800.434814453125"
"1988","920.1","845.33","9613","484","626.5","1090.67","1406","2434.76","909.2","931","0","17895","809.333312988281","818"
"1989","964.52","869","9325","511.2","664.5","1162","1500","2403","953.31","975.73","0","22156","852","852.380981445312"
"1990","913.51","818","13528","409","568.33","1125","1486","2454.4","904.41","922.61","0","12782.5","716","732.666687011719"
"1991","959.51","852.22","13178","460","613.5","1193.33","1534","2556.5","951.56","967.46","56.67","6817.33","784.5","818"
"1992","1025.91","920.4","12948","511.5","682","1241.79","1636","2556.67","1017.71","1034.11","0","7669","854","880.555603027344"
"1993","1102.26","1008.33","12686","562","740","1329.33","1738.67","3067.6","1093.03","1111.49","26","14316","937.333312988281","965.555603027344"
"1994","1137.8","1022.67","12471","590","770.67","1363.33","1789.5","3068","1128.5","1147.1","102","10226","994.444458007812","1020"
"1995","1193.27","1048","12732","613.33","818","1388","1840.8","3408.67","1182.7","1203.84","72","15338.67","1022.5","1022.66668701172"
"1996","1206.67","1084","12502","630.67","830.83","1420","1874.67","3226","1196.12","1217.22","78","12782.5","1023","1051.11108398438"
"1997","1212.97","1107.92","12428","639","852","1431.33","1874.67","3131.5","1202.91","1223.03","153","13634.67","1044.78259277344","1073.5"
"1998","1228","1111.3","13561","647.33","852","1460.95","1911.74","3408.67","1218.8","1237.2","179","7669.5","1073.5","1090.66662597656"
"1999","1272.46","1150.5","13140","682","889.13","1534","1994","3408.67","1262.6","1282.32","102","12782","1107.77783203125","1125"
"2000","1304.22","1176","22566","682","903.33","1534","2045.2","3579","1295.78","1312.66","0","17043.33","1150.5","1165.5"
"2001","1332.79","1202","20845","690","920","1562.22","2045.33","3579","1323.95","1341.63","0","15338.67","1193","1193.33337402344"
"2002","1367.22","1200","21923","672.14","913.33","1600","2120","4000","1349.33","1385.11","5","65000","1300","1333.33337402344"
"2003","1401.68","1250","21053","683.33","933.33","1666.67","2200","4200","1385.79","1417.57","0","50000","1319.13049316406","1333.33337402344"
"2004","1406.79","1238.1","20599","700","933.33","1666.67","2200","4000","1388.49","1425.09","0","66666","1333.33337402344","1333.33337402344"
"2005","1409.94","1250","19772","692","933.33","1666.67","2266.67","4047.62","1395.71","1424.17","0","30000","1333.33337402344","1333.33337402344"
"2006","1433.54","1250","20969","682.67","933.33","1670","2333.33","4500","1419.57","1447.51","0","30000","1333.33337402344","1333.33337402344"
"2007","1460.66","1277.78","19913","694.5","952.38","1733.33","2333.33","4466.67","1445.76","1475.56","0","42000","1333.33337402344","1361.11120605469"
"2008","1501.34","1320","18585","714.29","1000","1800","2380.95","4600","1483.39","1519.29","0","66666","1380","1400"
"2009","1537.51","1333.33","17451","739.13","1000","1866.67","2466.67","4722.22","1522.08","1552.94","0","22000","1400","1428.57153320312"
"2010","1582.08","1400","23006","750","1000","1906.67","2566.67","4666.67","1569.02","1595.14","0","25000","1333.33337402344","1333.33337402344"
"2011","1611.78","1400","27737","750","1025","2000","2611.11","5000","1599.71","1623.85","40","36666.67","1346.15393066406","1379.31030273438"
"2012","1664.57","1466.67","27042","800","1069.33","2000","2666.67","5000","1646.22","1682.92","0","133333.33","1400","1404.76196289062"
"2013","1688.58","1500","29883","800","1082","2000","2733.33","5000","1676.48","1700.68","0","46666.67","1395.33337402344","1400"
"2014","1746.28","1533.33","26665","800","1100","2100","2800","5333.33","1732.88","1759.68","120","43333.33","1450","1466.66662597656"
"2015","1798.8","1600","26196","825.33","1150","2200","3000","5333.33","1785.75","1811.85","0","60000","1500","1500"
"2016","1828.7","1650","28048","819","1190","2200","3000","5333.33","1815.65","1841.75","0","40000","1400","1428.57141113281"
"2017","1945.82","1666.67","31343","852","1200","2300","3000","5333.33","1885.68","2005.96","83.33","666666","1450","1466.66662597656"
"2018","1956.75","1750","28987","900","1279.07","2380.95","3150","5666.67","1943.19","1970.31","100","50000","1533.33337402344","1553.33337402344"
"2019","2066.79","1809.52","28461","925.93","1321.43","2500","3333.33","6000","1944.89","2188.69","23.33","1700000","1666.66674804688","1700"
