"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","East Germany","","","","","","","","","","","","","",""
"1984","direct migration background","West Germany","720.3","650.86","3318","358","485.5","852.22","1114","2045.33","703.46","737.14","32.08","13634.67","613.333312988281","629.230773925781"
"1984","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1984","indirect migration background","West Germany","752.25","681.85","116","511.5","568.33","895","1158.67","1329.2","703.21","801.29","204.4","1562.22","602.5","716"
"1984","no migration background","East Germany","","","","","","","","","","","","","",""
"1984","no migration background","West Germany","813.55","716","8125","409.2","542","954.67","1227.33","2147.33","798.24","828.86","0","28018.67","716","735"
"1985","direct migration background","East Germany","","","","","","","","","","","","","",""
"1985","direct migration background","West Germany","743.59","682","2852","383.57","511.25","920","1150.5","1790","726.07","761.11","0","13805","614","639.285705566406"
"1985","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1985","indirect migration background","West Germany","755.61","716","134","460","539.44","920.4","1124.67","1278","712.72","798.5","232.42","1370.4","582.608703613281","716"
"1985","no migration background","East Germany","","","","","","","","","","","","","",""
"1985","no migration background","West Germany","823.47","756.8","7494","409.33","562","1010","1261.33","2215.33","813.32","833.62","0","7669.5","754.761962890625","767"
"1986","direct migration background","East Germany","","","","","","","","","","","","","",""
"1986","direct migration background","West Germany","769.05","716","2764","392.05","545.33","920","1193.33","1942.67","756.96","781.14","0","4672.07","672.631591796875","693.928588867188"
"1986","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1986","indirect migration background","West Germany","790.02","767.2","149","341","562.33","1003.33","1227","1537.33","740.05","839.99","163.6","1704","613.666687011719","778.260864257812"
"1986","no migration background","East Germany","","","","","","","","","","","","","",""
"1986","no migration background","West Germany","875.56","786.92","7203","452","596.67","1022.67","1329.2","2250","857.68","893.44","0","24595","795.652160644531","818"
"1987","direct migration background","East Germany","","","","","","","","","","","","","",""
"1987","direct migration background","West Germany","805.35","734.37","2768","409","553.89","987.22","1227.2","2045.2","789.83","820.87","0","6391","688.461547851562","716"
"1987","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1987","indirect migration background","West Germany","867.79","858.87","164","486.79","674.8","1023","1144.29","1332.86","788.99","946.59","194.4","6391","674.799987792969","767"
"1987","no migration background","East Germany","","","","","","","","","","","","","",""
