"year","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1988","(2a) intermediate vocational","1041.13","973.81","1214","596.67","767","1227.2","1534","2556","1012.31","1069.95","51","10226","954.666687011719","1022.5"
"1988","(2b) intermediate general qualification","904.02","852.3","410","433.94","622.61","1074","1406","2308.8","865.45","942.59","170.67","3067.6","792.5","869"
"1988","(2c_gen) general maturity certificate","837.4","767","327","409.33","588","1034","1227.2","2045","799.21","875.59","128","2940.8","736.400024414062","818"
"1988","(2c_voc) vocational maturity certificate","1084.17","1003.2","373","572.38","754.76","1278","1687","2921.9","1024.48","1143.86","136.67","7243.33","895","1022.38098144531"
"1988","(3a) lower tertiary education","1318.4","1125","220","682","888.57","1397.33","1942.67","6135.33","1146.72","1490.08","256","17895","1022.66668701172","1158.66662597656"
"1988","(3b) higher tertiary education","1396.96","1262.97","440","682","973.81","1653.33","2045.33","3749.33","1296.96","1496.96","0","17895","1168.57153320312","1278"
"1989","(0) in school","869.28","822.7","166","409.14","600","1056.09","1329.2","1922.4","810.49","928.07","244.44","2924.4","693.333374023438","843.5"
"1989","(1a) inadequately completed","736.36","680.04","701","340.67","511.11","920","1193.33","1704","713.88","758.84","92","2086","681.666687011719","727.692321777344"
"1989","(1b) general elementary school","780.65","737.93","2154","429.6","562","954.67","1193.33","1704","767.28","794.02","0","3408.67","730.285705566406","756.799987792969"
"1989","(1c) basic vocational qualification","921.01","852.22","3171","520.45","670","1090.67","1363.33","2173","905.63","936.39","92","10226","852","869"
"1989","(2a) intermediate vocational","1096.52","1022.67","1205","614","779.05","1329.5","1636","2471.33","1068.37","1124.67","0","10226","994.444458007812","1022.66668701172"
"1989","(2b) intermediate general qualification","937.79","855.69","380","460","657.5","1186","1458.5","2173","899.11","976.47","179","2812","810.799987792969","903.333312988281"
"1989","(2c_gen) general maturity certificate","911.95","852.37","337","444.78","599.44","1135.5","1363.33","2147.6","868.29","955.61","102","3323.5","781.111145019531","886.333312988281"
"1989","(2c_voc) vocational maturity certificate","1181.99","1023","378","613.5","818","1329.33","1704.44","3068","1062.34","1301.64","0","22156","983.076965332031","1056.66662597656"
"1989","(3a) lower tertiary education","1309.37","1217.14","217","682","871.11","1500","2045","3408.67","1216.22","1402.52","102","6817.33","1022.66668701172","1278"
"1989","(3b) higher tertiary education","1476.07","1341.65","447","716","998.1","1761.11","2147.6","3323.5","1368.53","1583.61","256","22156","1227.33337402344","1363.33337402344"
"1990","(0) in school","999.9","879.97","154","511.5","654.4","1201.5","1661.5","3323.5","916.44","1083.36","51","3808","752.799987792969","879.599975585938"
"1990","(1a) inadequately completed","752.32","709.95","719","374.67","511.2","954.67","1176","1789.5","729.6","775.04","102","2414.44","682","754.761962890625"
"1990","(1b) general elementary school","785.8","730.48","2422","358","533","988.33","1201.5","1789.5","766.41","805.19","0","11620.3","710","738.333374023438"
"1990","(1c) basic vocational qualification","895.79","818","4418","409","588","1090.67","1380","2386","879.66","911.92","0","12782.5","732.666687011719","767"
"1990","(2a) intermediate vocational","946.28","852.22","2591","413.81","549.13","1227.2","1611","2228.1","926.71","965.85","126","11620.3","613.599975585938","661.666687011719"
"1990","(2b) intermediate general qualification","895.55","802.97","526","383.33","537","1107.67","1363.33","2147.33","839.94","951.16","66","12782.5","666.95654296875","767"
"1990","(2c_gen) general maturity certificate","895.31","852","374","443.33","579.33","1090.67","1411.9","2249.6","850.28","940.34","0","3808","767","852"
"1990","(2c_voc) vocational maturity certificate","1142.63","1023","476","511.33","764","1420","1789.5","2897.33","1074.6","1210.66","153","11620.3","852.380981445312","1000.43481445312"
"1990","(3a) lower tertiary education","920.49","716","875","409.33","511.33","1217.14","1636","2556","887.06","953.92","205","6817.33","570.384643554688","613.5"
"1990","(3b) higher tertiary education","1232.55","1096.5","769","522","716","1595.2","2045.33","3630","1185.43","1279.67","0","5113","818","925.5"
"1991","(0) in school","1061.38","920.41","149","583.45","693.93","1278.21","1704","3323.5","973.36","1149.4","146.07","4431.33","818","971.333312988281"
"1991","(1a) inadequately completed","772.76","731.84","705","420","550.67","954.67","1227.33","1636","750.67","794.85","90.29","2130.42","727.222229003906","778.260864257812"
"1991","(1b) general elementary school","811.08","767","2294","409","553","1022.5","1278","1789.5","796.76","825.4","77","3334.35","766.666687011719","791.5"
"1991","(1c) basic vocational qualification","938.06","852.22","4267","468.75","622.61","1173.91","1444.78","2386","925.11","951.01","90.29","6136","795.555603027344","826.153869628906"
