"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","East Germany","Female","","","","","","","","","","","","","",""
"1984","East Germany","Male","","","","","","","","","","","","","",""
"1984","West Germany","Female","777.96","684.79","5877","397.78","511.33","920","1193.33","2045.33","761.99","793.93","0","28018.67","681.333312988281","682"
"1984","West Germany","Male","833.79","730.48","5682","411.67","562","971.5","1261.33","2301","816.2","851.38","2.67","28018.67","705.17236328125","716"
"1985","East Germany","Female","","","","","","","","","","","","","",""
"1985","East Germany","Male","","","","","","","","","","","","","",""
"1985","West Germany","Female","792.61","716","5320","401.33","537","967.2","1217.14","2130.56","780.62","804.6","0","10865","701","716"
"1985","West Germany","Male","840.81","767","5160","429.6","572.8","1022.67","1278","2301","827.97","853.65","0","13805","730.476196289062","752.777770996094"
"1986","East Germany","Female","","","","","","","","","","","","","",""
"1986","East Germany","Male","","","","","","","","","","","","","",""
"1986","West Germany","Female","839.37","763.63","5095","420","568.33","1021.33","1278","2045.33","819.92","858.82","0","24595","741","766.785705566406"
"1986","West Germany","Male","891.59","818","5021","463.33","613.33","1023","1363.33","2284","873.6","909.58","0","24595","767","797.599975585938"
"1987","East Germany","Female","","","","","","","","","","","","","",""
"1987","East Germany","Male","","","","","","","","","","","","","",""
"1987","West Germany","Female","868.4","779.5","5067","443.33","591.2","1022.67","1306.67","2215.33","852.04","884.76","0","22156","767","779.75"
"1987","West Germany","Male","923.51","845.33","4986","490.67","634","1090.67","1363.33","2472","907.05","939.97","0","22156","797.599975585938","818"
"1988","East Germany","Female","","","","","","","","","","","","","",""
"1988","East Germany","Male","","","","","","","","","","","","","",""
"1988","West Germany","Female","891.84","818","4843","468.75","613.67","1056.67","1363.33","2308.8","876.77","906.91","20","17895","782.653076171875","811.304382324219"
"1988","West Germany","Male","951.04","869","4770","511","653.33","1124.8","1446.67","2556","935.29","966.79","0","17895","818","852"
"1989","East Germany","Female","","","","","","","","","","","","","",""
"1989","East Germany","Male","","","","","","","","","","","","","",""
"1989","West Germany","Female","930.35","852","4717","490.8","638.89","1125","1431.5","2301","914.9","945.8","0","22156","818","852"
"1989","West Germany","Male","1001.76","920","4608","530.77","682","1193.33","1534","2556","985.54","1017.98","0","22156","858.799987792969","889.130432128906"
"1990","East Germany","Female","459.81","445.44","2303","245","340","568.33","682","920.48","453.42","466.2","122.67","1176","457.826110839844","477.333343505859"
"1990","East Germany","Male","504.33","491.54","2083","306.8","397.78","610.56","698.67","946","497.82","510.84","122.67","1278","487.142883300781","511"
"1990","West Germany","Female","987.03","896.01","4623","511.33","682","1192.78","1534","2556","969.99","1004.07","0","12782.5","869.333312988281","895"
"1990","West Germany","Male","1064.39","973.81","4519","552","733","1278","1636","2726.67","1047.77","1081.01","0","12782.5","911.304382324219","937.333312988281"
"1991","East Germany","Female","549.87","511.5","2145","325","409","657.14","818","1192.78","541.34","558.4","56.67","1704.29","535.714294433594","555"
"1991","East Germany","Male","597.67","568.33","1951","365.24","460","682","852.38","1278.33","588.16","607.18","56.67","2301","566.666687011719","584.285766601562"
"1991","West Germany","Female","1026.57","925.24","4603","532.5","710","1240","1598","2726.67","1012.78","1040.36","77","6817.33","900.952392578125","933"
"1991","West Germany","Male","1102.84","1022.57","4479","593","767","1329.33","1704","2863","1088.54","1117.14","90.29","6817.33","954.666687011719","988.666687011719"
"1992","East Germany","Female","675.58","647.33","2047","408","511.33","795.56","988.67","1534","664.97","686.19","119.33","2045.33","664.5","682"
"1992","East Germany","Male","728.52","682","1854","443.33","561.2","852.22","1023","1568","716.61","740.43","119.33","2556","682","716"
"1992","West Germany","Female","1073.52","988.67","4609","560","738.33","1278","1687","2658.8","1058.82","1088.22","0","7669","954.666687011719","988.666687011719"
"1992","West Germany","Male","1149.66","1023","4438","614","803.33","1370","1738","2812","1134.77","1164.55","153.5","7158","1004.40002441406","1022.66668701172"
"1993","East Germany","Female","796.78","753.92","1968","462","590","948","1150.5","1815","782.42","811.14","122.22","3834.5","767","786.923095703125"
"1993","East Germany","Male","855.33","818","1783","511.2","639","1022.5","1227.33","1840.8","839.6","871.06","122.22","4090","809.333312988281","843.5"
"1993","West Germany","Female","1130.33","1022.78","4544","584.29","767","1363.33","1779.2","3017","1114.23","1146.43","26","14316","1022.40002441406","1022.66668701172"
"1993","West Germany","Male","1218.73","1111.3","4391","614","818","1466","1892","3068","1201.27","1236.19","77","14316","1037.14282226562","1074"
"1994","East Germany","Female","883.02","852","1938","511.33","666.96","1022.67","1278","1917.5","867.71","898.33","102","4090.67","852","869"
