"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","direct migration background","Rural Area","708.54","677.36","332","404.58","526","852.22","1090.67","1636","679.17","737.91","204.67","1680","610.555541992188","693.478271484375"
"1985","direct migration background","Urban Area","749.28","682","2520","383.33","511.11","920","1150.5","1984","729.82","768.74","0","13805","613.599975585938","639.285705566406"
"1985","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1985","indirect migration background","Urban Area","755.75","727.48","118","427","511.33","938","1124.67","1278","708.4","803.1","232.42","1370.4","562.5","720"
"1985","no migration background","Rural Area","751.23","698.67","1784","365.24","511.43","920","1186","1947.62","734.6","767.86","151.48","4090","682","716"
"1985","no migration background","Urban Area","846.8","767","5710","434.5","577.83","1022.67","1278","2300.67","834.6","859","0","7669.5","767","792.5"
"1986","direct migration background","Rural Area","759.02","690.46","341","389.52","538.16","937.22","1192.78","2045.2","725.33","792.71","205","2045.2","647.333312988281","710"
"1986","direct migration background","Urban Area","770.84","716","2423","392.05","545.33","920","1193.33","1942.67","757.88","783.8","0","4672.07","672.631591796875","700.434814453125"
"1986","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1986","indirect migration background","Urban Area","752.69","721.06","131","340.67","525.56","937.33","1227","1534","700.3","805.08","163.6","1704","579.333312988281","755.652160644531"
"1986","no migration background","Rural Area","811.75","730.48","1718","405.33","550.77","954.67","1213.33","2045.33","762.01","861.49","68","24595","730.357177734375","758"
"1986","no migration background","Urban Area","896.38","818","5485","466.96","613.33","1048","1363.33","2301","878.84","913.92","0","22723.89","818","852"
"1987","direct migration background","Rural Area","752.59","707.63","348","358","493.79","885","1193.33","1874.67","706.23","798.95","230","4601.33","684","767"
"1987","direct migration background","Urban Area","814.23","741.5","2420","411.94","560","1000.43","1227.33","2045.33","797.77","830.69","0","6391","682","716"
"1987","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1987","indirect migration background","Urban Area","855.92","795.38","144","409","620.71","1022.67","1176","1431.5","767.15","944.69","194.4","6391","644.400024414062","754"
"1987","no migration background","Rural Area","831.86","767","1681","436","568.33","1022.5","1278","2045.2","814.05","849.67","51","3933.08","762","789.130432128906"
"1987","no migration background","Urban Area","928.51","838.54","5440","490.8","634","1079.44","1376","2556","909.7","947.32","0","22156","838.400024414062","852.222229003906"
"1988","direct migration background","Rural Area","773.27","707.42","310","374.67","524.67","1022.5","1227.33","1840.67","739.29","807.25","230","1840.67","669.523864746094","778.260864257812"
"1988","direct migration background","Urban Area","827.16","752.67","2303","443.33","580.95","984","1261.33","2045.33","812.11","842.21","136.67","7243.33","690","728.5"
"1988","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1988","indirect migration background","Urban Area","751.86","711.03","190","409","562.5","997","1024","1278.21","715.29","788.43","191.88","1406","613.333312988281","716"
"1988","no migration background","Rural Area","836.92","772.61","1581","426.25","577.83","1022.5","1295.33","1943","817.21","856.63","51","7669","767","818"
"1988","no migration background","Urban Area","962.69","869","5204","511.11","664.5","1125","1460.95","2556.67","945.2","980.18","0","17895","869","895"
"1989","direct migration background","Rural Area","814.15","747.32","306","428.71","568.06","971.5","1250","2045.2","778.61","849.69","164.29","2045.2","716","821"
"1989","direct migration background","Urban Area","872.09","782.02","2230","451.18","608.57","1023","1363.33","2471.33","857.48","886.7","146.19","4090.67","733","756.799987792969"
"1989","indirect migration background","Rural Area","905.6","813.99","32","530.77","681.67","1136.11","1534","1534","809.25","1001.95","331","1534","681.666687011719","954.333312988281"
"1989","indirect migration background","Urban Area","817.79","766.8","219","511.2","603.61","1000.43","1202","1680","764.03","871.55","201","3408.67","685.200012207031","818"
"1989","no migration background","Rural Area","892.48","818","1513","439.6","608.57","1063.6","1380","2215.33","866.36","918.6","0","10226","818","852.222229003906"
"1989","no migration background","Urban Area","1005.27","920","5025","539","690","1201.5","1534","2556","987.78","1022.76","92","22156","920","947.333312988281"
"1990","direct migration background","Rural Area","744.47","654.24","401","340.67","489.13","881.5","1207.22","1661.5","684.92","804.02","102","7866.15","625","730.476196289062"
"1990","direct migration background","Urban Area","897.02","818","2229","469","610.56","1048","1363.33","2301","881.04","913","161","6817.33","766.666687011719","791.428588867188"
"1990","indirect migration background","Rural Area","807.44","766.82","38","588","613.6","852.22","1107.67","1534","701.43","913.45","345","1534","766.95654296875","976.400024414062"
"1990","indirect migration background","Urban Area","856.73","788.61","253","469","625.33","1022.67","1288.67","1840.5","812.61","900.85","179","2840.56","750","843.5"
"1990","no migration background","Rural Area","740.43","638.96","4179","340.67","457.33","920.5","1278","2071","729.76","751.1","0","4346","537","562.5"
"1990","no migration background","Urban Area","1006.25","920","6342","477.33","664.5","1221.67","1573.08","2667.83","990.31","1022.19","0","12782.5","852","869"
"1991","direct migration background","Rural Area","781.38","716","392","389.52","545.33","920.5","1217.14","1704","747.55","815.21","90.29","2840.56","682","767.04541015625"
"1991","direct migration background","Urban Area","952.8","852.22","2169","508.33","654.4","1136.11","1492.8","2863","937.02","968.58","146.07","5112.67","809.444458007812","834.69384765625"
"1991","indirect migration background","Rural Area","823.71","773.88","41","464.85","677.83","965.56","1168.54","2130.42","711.99","935.43","187","2130.42","750","1022.40002441406"
"1991","indirect migration background","Urban Area","857.21","824.72","289","487.14","639","1022.5","1278","1661.5","818.33","896.09","170.56","2284","786.538513183594","852.083312988281"
"1991","no migration background","Rural Area","793.34","690","4091","400","511.33","1022.4","1329.2","2113.33","782.61","804.07","56.67","4346","625","647.333312988281"
"1991","no migration background","Urban Area","1054.48","958.75","6106","511.33","698.67","1278.33","1687","2897.33","1041.11","1067.85","56.67","6817.33","896.666687011719","925.5"
"1992","direct migration background","Rural Area","833.11","767","391","456.43","593.87","1022.78","1363.33","1704.44","801.08","865.14","204.29","2045.33","750","821.785705566406"
"1992","direct migration background","Urban Area","1003.4","919.26","2100","532.5","685.85","1176","1534","2834","985.13","1021.67","0","7158","852","885.000061035156"
"1992","indirect migration background","Rural Area","772.89","709.7","54","458.97","613.6","876.43","1073.5","1667","676.81","868.97","204.29","1966.54","682","876.428588867188"
"1992","indirect migration background","Urban Area","892.81","888.41","339","511.43","659.68","1036.67","1278","2249.6","857.44","928.18","157.69","2556.5","818","895"
"1992","no migration background","Rural Area","875.11","795.28","3891","460","613.33","1048","1370","2284","863.73","886.49","128","5113","750","767"
"1992","no migration background","Urban Area","1115","1022.5","6057","572.8","755.65","1363.33","1713","2726.67","1101.4","1128.6","119.33","7669","973.8095703125","1022.38098144531"
"1993","direct migration background","Rural Area","938.4","852","390","456","643.23","1150.5","1704","2045.33","901.27","975.53","202.76","2386","767","852"
"1993","direct migration background","Urban Area","1042.97","937.22","2015","525.6","703","1227.33","1571","3068","1023.75","1062.19","116.4","8521.67","872.222229003906","912.857177734375"
"1993","indirect migration background","Rural Area","819.58","766.69","67","486.9","653.33","920","1201.5","1670","738.44","900.72","224.39","1966.54","766.666687011719","907.5"
"1993","indirect migration background","Urban Area","962.03","896.84","384","527.74","710","1176","1452","2386","925.13","998.93","204.5","2576.8","852.380981445312","927.962951660156"
"1993","no migration background","Rural Area","970.62","869","3793","511.33","665","1150.5","1534","2488","954.23","987.01","26","14316","852","852.380981445312"
"1993","no migration background","Urban Area","1185.85","1073.5","6037","613.33","801.11","1431.6","1874.67","3068","1171.71","1199.99","102","8521.67","1023","1073"
"1994","direct migration background","Rural Area","990.19","909.66","366","477.33","668.8","1176","1595.33","2181.33","952.87","1027.51","153","2556.67","822.608703613281","920"
