"year","bula_h","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Lower Saxony","Not Employed","695.71","613.5","472","358","466.77","838.4","1120","1758.8","664.89","726.53","151.48","2434.76","568.333374023438","614"
"1985","Mecklenburg-Western Pomerania","Employed","","","","","","","","","","","","","",""
"1985","Mecklenburg-Western Pomerania","Not Employed","","","","","","","","","","","","","",""
"1985","North Rhine-Westphalia","Employed","890.47","818","1671","470.4","613.5","1056.67","1278","2556","859.79","921.15","0","13805","766.666687011719","801.333312988281"
"1985","North Rhine-Westphalia","Not Employed","695.15","639","1132","377.83","494","818","1090.67","1789.5","677.25","713.05","109.64","2386","584.285766601562","613.599975585938"
"1985","Rhineland-Palatinate,Saarland","Employed","842.12","784","408","413.81","613.6","1022.67","1261.33","2250","808.54","875.7","156.11","2301","750","795.333312988281"
"1985","Rhineland-Palatinate,Saarland","Not Employed","682.44","664.96","316","365.24","485.5","818","1022.67","1636","651.97","712.91","102","1738.5","608.571472167969","682"
"1985","Saxony","Employed","","","","","","","","","","","","","",""
"1985","Saxony","Not Employed","","","","","","","","","","","","","",""
"1985","Saxony-Anhalt","Employed","","","","","","","","","","","","","",""
"1985","Saxony-Anhalt","Not Employed","","","","","","","","","","","","","",""
"1985","Schleswig-Holstein","Employed","874.6","819.69","206","429.6","614","1023","1252.5","2130.56","824.99","924.21","191.88","2863","801","864"
"1985","Schleswig-Holstein","Not Employed","773.45","629.8","131","345","487.14","818","1193.33","5368.5","642.93","903.97","0","5368.5","545.333312988281","681.666687011719"
"1985","Thuringia","Employed","","","","","","","","","","","","","",""
"1985","Thuringia","Not Employed","","","","","","","","","","","","","",""
"1986","Baden-Württemberg","Employed","940.79","869","1318","511.33","657.5","1111.3","1367.5","2223.04","900.06","981.52","0","24595","803.333374023438","852.083312988281"
"1986","Baden-Württemberg","Not Employed","884.28","732.67","632","409","542.42","954.67","1227.33","2223.04","776.13","992.43","0","24595","681.90478515625","732.666687011719"
"1986","Bavaria","Employed","905.22","818","1116","464.85","639","1023","1363.33","2556","876.47","933.97","129.33","6817.33","795.555603027344","821.785705566406"
"1986","Bavaria","Not Employed","785.41","690","557","389.52","511.33","920","1227","2386","740.55","830.27","66","6817.33","665","716"
"1986","Berlin","Employed","1065.64","1022.67","234","614","809.58","1227.33","1636","2147","1016.88","1114.4","288.46","2352","895","1022.66668701172"
"1986","Berlin","Not Employed","948.18","870.19","108","477.33","690","1149","1432","2352","865.26","1031.1","205","2352","750","954.666687011719"
"1986","Brandenburg","Employed","","","","","","","","","","","","","",""
"1986","Brandenburg","Not Employed","","","","","","","","","","","","","",""
