"year","migback","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","Female","699.92","628.62","1553","340.83","461.94","852","1023","2331","674.83","725.01","32.08","13634.67","577.826110839844","613.599975585938"
"1984","direct migration background","Male","739.58","682","1765","378","511","895","1158.67","1908.67","716.89","762.27","32.08","13634.67","618.947387695312","654.400024414062"
"1984","indirect migration background","Female","814.74","818","60","525.56","613.33","1023","1222.61","1448.67","742.36","887.12","234.17","1562.22","568.333374023438","818"
"1984","indirect migration background","Male","662.59","613.75","56","460","537","730.48","908.89","1329.2","594.64","730.54","204.4","1562.22","593.200012207031","730.476196289062"
"1984","no migration background","Female","785.46","695.2","4264","408.89","511.5","920.4","1193.33","2045.33","765.57","805.35","0","28018.67","702","716"
"1984","no migration background","Male","845.67","750","3861","426.11","568.33","982.67","1278","2386","822.11","869.23","2.67","28018.67","730.476196289062","766.666687011719"
"1985","direct migration background","Female","697.8","639","1325","365.24","477.33","852.22","1073.5","1704","675.74","719.86","51","10865","596.666687011719","622.608703613281"
"1985","direct migration background","Male","786.17","716","1527","409","537","954.67","1193.33","1984","759.67","812.67","0","13805","639","681.666625976562"
"1985","indirect migration background","Female","800.7","749.94","74","494.33","582.61","949.52","1278","1278","744.02","857.38","232.42","1278","572.380981445312","767"
"1985","indirect migration background","Male","692.22","705.2","60","409.2","511.33","801","1014","1278","624.9","759.54","245.6","1370.4","545.333312988281","785.357177734375"
"1985","no migration background","Female","801.86","735.39","3921","409","545.33","973.81","1227.2","2181.33","787.64","816.08","0","7669.5","736.400024414062","766.785705566406"
"1985","no migration background","Male","848.24","774.55","3573","438.1","579.33","1022.67","1278","2301","833.77","862.71","0","7669.5","767","792.5"
"1986","direct migration background","Female","741.66","682","1269","369.44","511.33","920","1150.5","1942.67","723.85","759.47","0","4672.07","639.166625976562","681.666687011719"
"1986","direct migration background","Male","794.02","740","1495","417.11","575","920.5","1227.33","2045","777.59","810.45","0","4672.07","682","730.476196289062"
"1986","indirect migration background","Female","843.76","783.96","80","409","614","1089.13","1227.33","1537.33","772.62","914.9","163.6","1704","583","818"
"1986","indirect migration background","Male","712.24","702.55","69","340.67","511.33","920","1023","1534","640.72","783.76","277.83","1704","572.799987792969","818"
"1986","no migration background","Female","849.39","767","3746","431.25","577.83","1022.4","1278.33","2045.33","823.84","874.94","0","24595","767","807.200012207031"
