"year","education","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","college entrance qualification","Female","4.02","4","2479","2.33","3.33","4.67","5.67","6.67","3.97","4.07","1","7","4","4"
"2005","college entrance qualification","Male","3.57","3.67","2719","2","2.67","4.33","5","6.67","3.53","3.61","1","7","3.33333325386047","3.66666674613953"
"2005","lower secondary degree","Female","4.27","4.33","3640","2.67","3.33","5","6","7","4.23","4.31","1","7","4.33333349227905","4.33333349227905"
"2005","lower secondary degree","Male","3.85","3.67","3466","2.33","3","4.67","5.33","7","3.81","3.89","1","7","3.66666674613953","4"
"2005","no degree/no degree yet","Female","4.17","4","484","2.67","3.33","5","6","7","4.06","4.28","1","7","4","4.33333349227905"
"2005","no degree/no degree yet","Male","3.62","3.67","420","2","2.67","4.33","5.33","7","3.5","3.74","1","7","3.33333325386047","3.66666674613953"
"2005","Other degree","Female","4.4","4.33","586","3","3.67","5.33","6","7","4.3","4.5","1","7","4","4.33333349227905"
"2005","Other degree","Male","3.97","4","532","2.33","3.33","4.67","5.67","7","3.87","4.07","1","7","4","4"
"2005","secondary school degree","Female","4.21","4.33","3451","2.67","3.33","5","6","7","4.17","4.25","1","7","4","4.33333349227905"
"2005","secondary school degree","Male","3.73","3.67","2574","2.33","3","4.67","5.33","6.33","3.69","3.77","1","7","3.66666674613953","3.66666674613953"
"2006","college entrance qualification","Female","","","","","","","","","","","","","",""
"2006","college entrance qualification","Male","","","","","","","","","","","","","",""
"2006","lower secondary degree","Female","","","","","","","","","","","","","",""
"2006","lower secondary degree","Male","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2006","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2006","Other degree","Female","","","","","","","","","","","","","",""
"2006","Other degree","Male","","","","","","","","","","","","","",""
"2006","secondary school degree","Female","","","","","","","","","","","","","",""
"2006","secondary school degree","Male","","","","","","","","","","","","","",""
"2007","college entrance qualification","Female","","","","","","","","","","","","","",""
"2007","college entrance qualification","Male","","","","","","","","","","","","","",""
"2007","lower secondary degree","Female","","","","","","","","","","","","","",""
"2007","lower secondary degree","Male","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2007","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2007","Other degree","Female","","","","","","","","","","","","","",""
"2007","Other degree","Male","","","","","","","","","","","","","",""
"2007","secondary school degree","Female","","","","","","","","","","","","","",""
"2007","secondary school degree","Male","","","","","","","","","","","","","",""
"2008","college entrance qualification","Female","","","","","","","","","","","","","",""
"2008","college entrance qualification","Male","","","","","","","","","","","","","",""
"2008","lower secondary degree","Female","","","","","","","","","","","","","",""
"2008","lower secondary degree","Male","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2008","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2008","Other degree","Female","","","","","","","","","","","","","",""
"2008","Other degree","Male","","","","","","","","","","","","","",""
"2008","secondary school degree","Female","","","","","","","","","","","","","",""
"2008","secondary school degree","Male","","","","","","","","","","","","","",""
"2009","college entrance qualification","Female","3.97","4","2373","2.33","3","4.67","5.67","7","3.92","4.02","1","7","4","4"
"2009","college entrance qualification","Male","3.49","3.33","2521","2","2.67","4.33","5","6.33","3.45","3.53","1","7","3.33333325386047","3.33333325386047"
"2009","lower secondary degree","Female","4.14","4","3025","2.67","3.33","5","5.67","7","4.1","4.18","1","7","4","4.33333349227905"
"2009","lower secondary degree","Male","3.73","3.67","2914","2.33","3","4.67","5.33","6.67","3.69","3.77","1","7","3.66666674613953","3.66666674613953"
"2009","no degree/no degree yet","Female","4.33","4.33","238","3","3.67","5","6","7","4.17","4.49","1.33","7","4","4.66666650772095"
"2009","no degree/no degree yet","Male","3.65","3.67","248","2.33","2.67","4.67","5.33","6.67","3.5","3.8","1","7","3.33333325386047","3.66666674613953"
"2009","Other degree","Female","4.14","4","435","2.67","3.33","5","5.67","7","4.03","4.25","1","7","4","4.33333349227905"
"2009","Other degree","Male","3.84","4","370","2.33","3","4.67","5.33","6.33","3.72","3.96","1","7","3.66666674613953","4"
"2009","secondary school degree","Female","4.13","4","3124","2.67","3.33","5","5.67","7","4.09","4.17","1","7","4","4"
"2009","secondary school degree","Male","3.57","3.67","2292","2","2.67","4.33","5","6.33","3.52","3.62","1","7","3.33333325386047","3.66666674613953"
"2010","college entrance qualification","Female","","","","","","","","","","","","","",""
"2010","college entrance qualification","Male","","","","","","","","","","","","","",""
"2010","lower secondary degree","Female","","","","","","","","","","","","","",""
"2010","lower secondary degree","Male","","","","","","","","","","","","","",""
"2010","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2010","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2010","Other degree","Female","","","","","","","","","","","","","",""
"2010","Other degree","Male","","","","","","","","","","","","","",""
"2010","secondary school degree","Female","","","","","","","","","","","","","",""
"2010","secondary school degree","Male","","","","","","","","","","","","","",""
"2011","college entrance qualification","Female","","","","","","","","","","","","","",""
"2011","college entrance qualification","Male","","","","","","","","","","","","","",""
"2011","lower secondary degree","Female","","","","","","","","","","","","","",""
"2011","lower secondary degree","Male","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","Female","","","","","","","","","","","","","",""
"2011","no degree/no degree yet","Male","","","","","","","","","","","","","",""
"2011","Other degree","Female","","","","","","","","","","","","","",""
"2011","Other degree","Male","","","","","","","","","","","","","",""
"2011","secondary school degree","Female","","","","","","","","","","","","","",""
"2011","secondary school degree","Male","","","","","","","","","","","","","",""
"2012","college entrance qualification","Female","4","4","1292","2.33","3.33","4.67","5.67","6.67","3.93","4.07","1","7","4","4"
"2012","college entrance qualification","Male","3.35","3.33","856","2","2.67","4","4.67","6.33","3.28","3.42","1","6.67","3.33333325386047","3.33333325386047"
"2012","lower secondary degree","Female","4.37","4.33","724","2.67","3.67","5","6","7","4.28","4.46","1","7","4.33333349227905","4.66666650772095"
"2012","lower secondary degree","Male","3.72","3.67","685","2.33","3","4.67","5.33","6","3.63","3.81","1","7","3.66666674613953","3.66666674613953"
