"year","age_gr","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","Female","4.16","4.33","2775","2.66666674613953","3.33333325386047","5","5.66666650772095","4.12","4.2","4","4.33333349227905"
"2005","16-34 y.","Male","3.64","3.67","2551","2.33333325386047","2.66666674613953","4.33333349227905","5","3.6","3.68","3.33333325386047","3.66666674613953"
"2005","35-65 y.","Female","4.21","4.33","5992","2.66666674613953","3.33333325386047","5","6","4.18","4.24","4","4.33333349227905"
"2005","35-65 y.","Male","3.81","3.67","5625","2.33333325386047","3","4.66666650772095","5.33333349227905","3.78","3.84","3.66666674613953","3.66666674613953"
"2005","66 and older","Female","4.24","4.33","2061","2.66666674613953","3.33333325386047","5","6","4.19","4.29","4.33333349227905","4.33333349227905"
"2005","66 and older","Male","3.77","3.67","1734","2","3","4.66666650772095","5.33333349227905","3.71","3.83","3.66666674613953","4"
"2006","16-34 y.","Female","","","","","","","","","","",""
"2006","16-34 y.","Male","","","","","","","","","","",""
"2006","35-65 y.","Female","","","","","","","","","","",""
"2006","35-65 y.","Male","","","","","","","","","","",""
"2006","66 and older","Female","","","","","","","","","","",""
"2006","66 and older","Male","","","","","","","","","","",""
"2007","16-34 y.","Female","","","","","","","","","","",""
"2007","16-34 y.","Male","","","","","","","","","","",""
"2007","35-65 y.","Female","","","","","","","","","","",""
"2007","35-65 y.","Male","","","","","","","","","","",""
"2007","66 and older","Female","","","","","","","","","","",""
"2007","66 and older","Male","","","","","","","","","","",""
"2008","16-34 y.","Female","","","","","","","","","","",""
"2008","16-34 y.","Male","","","","","","","","","","",""
"2008","35-65 y.","Female","","","","","","","","","","",""
"2008","35-65 y.","Male","","","","","","","","","","",""
"2008","66 and older","Female","","","","","","","","","","",""
"2008","66 and older","Male","","","","","","","","","","",""
"2009","16-34 y.","Female","4.04","4","2075","2.33333325386047","3.33333325386047","4.66666650772095","5.66666650772095","3.99","4.09","4","4"
"2009","16-34 y.","Male","3.51","3.67","1921","2","2.66666674613953","4.33333349227905","5","3.46","3.56","3.33333325386047","3.66666674613953"
"2009","35-65 y.","Female","4.11","4","5163","2.66666674613953","3.33333325386047","5","5.66666650772095","4.08","4.14","4","4"
"2009","35-65 y.","Male","3.67","3.67","4714","2","3","4.33333349227905","5.33333349227905","3.64","3.7","3.5","3.66666674613953"
"2009","66 and older","Female","4.12","4","2201","2.5","3.33333325386047","5","5.66666650772095","4.07","4.17","4","4.33333349227905"
"2009","66 and older","Male","3.65","3.67","1974","2","3","4.33333349227905","5","3.6","3.7","3.66666674613953","3.66666674613953"
"2010","16-34 y.","Female","","","","","","","","","","",""
"2010","16-34 y.","Male","","","","","","","","","","",""
"2010","35-65 y.","Female","","","","","","","","","","",""
"2010","35-65 y.","Male","","","","","","","","","","",""
"2010","66 and older","Female","","","","","","","","","","",""
