"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Ostdeutschland, neue Bundeslaender","Female","4.29","4.33","2627","2.67","3.33","5","6","7","4.25","4.33","1","7","4.33333349227905","4.33333349227905"
"2005","Ostdeutschland, neue Bundeslaender","Male","3.88","4","2423","2.33","3","4.67","5.33","6.33","3.84","3.92","1","7","3.66666674613953","4"
"2005","Westdeutschland, alte Bundeslaender","Female","4.19","4.33","8201","2.67","3.33","5","6","7","4.16","4.22","1","7","4","4.33333349227905"
"2005","Westdeutschland, alte Bundeslaender","Male","3.73","3.67","7487","2","3","4.67","5.33","6.67","3.7","3.76","1","7","3.66666674613953","3.66666674613953"
"2006","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"2006","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"2006","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","","","","",""
"2006","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","","","","",""
"2007","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"2007","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"2007","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","","","","",""
"2007","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"2008","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"2008","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","","","","",""
"2008","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","","","","",""
"2009","Ostdeutschland, neue Bundeslaender","Female","4.19","4.33","2364","2.67","3.33","5","5.67","7","4.14","4.24","1","7","4","4.33333349227905"
"2009","Ostdeutschland, neue Bundeslaender","Male","3.71","3.67","2190","2.33","3","4.33","5","6.33","3.66","3.76","1","7","3.66666674613953","3.66666674613953"
"2009","Westdeutschland, alte Bundeslaender","Female","4.08","4","7075","2.33","3.33","5","5.67","7","4.05","4.11","1","7","4","4"
"2009","Westdeutschland, alte Bundeslaender","Male","3.61","3.67","6419","2","2.67","4.33","5.33","6.33","3.58","3.64","1","7","3.33333325386047","3.66666674613953"
"2010","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"2010","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"2010","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","","","","",""
"2010","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","","","","",""
"2011","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"2011","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"2011","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","","","","",""
"2011","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","","","","",""
"2012","Ostdeutschland, neue Bundeslaender","Female","4.19","4.33","808","2.67","3.33","5","5.67","7","4.11","4.27","1","7","4","4.33333349227905"
"2012","Ostdeutschland, neue Bundeslaender","Male","3.59","3.33","530","2","2.67","4.33","5","6.67","3.49","3.69","1","7","3.33333325386047","3.66666674613953"
"2012","Westdeutschland, alte Bundeslaender","Female","4.18","4.33","3428","2.67","3.33","5","6","7","4.14","4.22","1","7","4","4"
"2012","Westdeutschland, alte Bundeslaender","Male","3.61","3.67","2364","2","2.67","4.33","5.33","6.33","3.56","3.66","1","7","3.33333325386047","3.66666674613953"
"2013","Ostdeutschland, neue Bundeslaender","Female","4.09","4","2362","2.67","3.33","5","5.67","7","4.04","4.14","1","7","4","4"
"2013","Ostdeutschland, neue Bundeslaender","Male","3.61","3.67","2109","2","2.67","4.33","5","6.33","3.56","3.66","1","7","3.33333325386047","3.66666674613953"
"2013","Westdeutschland, alte Bundeslaender","Female","3.99","4","7692","2.33","3","4.67","5.67","7","3.96","4.02","1","7","4","4"
"2013","Westdeutschland, alte Bundeslaender","Male","3.48","3.33","6736","2","2.67","4.33","5","6.33","3.45","3.51","1","7","3.33333325386047","3.33333325386047"
"2014","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"2014","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"2014","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","","","","",""
"2014","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","","","","",""
"2015","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"2015","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"2015","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","","","","",""
"2015","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","","","","",""
"2016","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","","","","",""
"2016","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","","","","",""
"2016","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","","","","",""
"2016","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","","","","",""
"2017","Ostdeutschland, neue Bundeslaender","Female","4.1","4","3210","2.67","3.33","5","5.67","6.67","4.06","4.14","1","7","4","4"
"2017","Ostdeutschland, neue Bundeslaender","Male","3.62","3.67","2897","2","2.67","4.33","5","6.33","3.58","3.66","1","7","3.33333325386047","3.66666674613953"
"2017","Westdeutschland, alte Bundeslaender","Female","4.05","4","12120","2.33","3.33","5","5.67","7","4.03","4.07","1","7","4","4"
