"year","hgtyp1hh","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Married) couple without C.","direct migration background","4.06","4","699","2.33","3.33","5","6","7","3.97","4.15","1","7","4","4"
"2005","(Married) couple without C.","indirect migration background","3.67","3.67","115","2","3","4.67","5.33","6.67","3.45","3.89","1","7","3.66666674613953","4.33333349227905"
"2005","(Married) couple without C.","no migration background","4.07","4","6224","2.33","3.33","5","5.67","7","4.04","4.1","1","7","4","4"
"2005","1-pers.-HH","direct migration background","4.09","4","214","2.33","3.33","5","6","7","3.91","4.27","1","7","3.66666674613953","4.33333349227905"
"2005","1-pers.-HH","indirect migration background","3.66","3.33","94","2.33","3","4.33","5.33","6.33","3.41","3.91","1.33","7","3.33333325386047","4"
"2005","1-pers.-HH","no migration background","3.91","4","2663","2.33","3","4.67","5.67","7","3.86","3.96","1","7","3.66666674613953","4"
"2005","Couple + C. GT 16 ","direct migration background","3.95","4","404","2.67","3","4.67","5.67","6.67","3.84","4.06","1","7","4","4"
"2005","Couple + C. GT 16 ","indirect migration background","3.92","4","207","2.33","3","4.67","5.33","6.67","3.76","4.08","1","7","3.33333325386047","4"
"2005","Couple + C. GT 16 ","no migration background","3.94","4","3039","2.33","3","4.67","5.33","6.67","3.9","3.98","1","7","4","4"
"2005","Couple + C. LE 16","direct migration background","4.09","4","529","2.67","3.33","5","5.67","7","3.98","4.2","1","7","4","4.33333349227905"
"2005","Couple + C. LE 16","indirect migration background","4.02","4","176","2.67","3.33","5","5.33","6.33","3.84","4.2","1.33","7","3.66666674613953","4"
"2005","Couple + C. LE 16","no migration background","3.89","4","3008","2.33","3","4.67","5.67","6.67","3.85","3.93","1","7","4","4"
"2005","Couple + C. LE and GT 16","direct migration background","4.05","4","284","2.33","3.33","5","5.67","7","3.91","4.19","1","7","3.66666674613953","4"
"2005","Couple + C. LE and GT 16","indirect migration background","3.99","4","127","3","3","4.67","5.67","6.67","3.77","4.21","1","7","3.33333325386047","4"
