"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Employed","direct migration background","4.05","4","1365","2.67","3.33","4.67","5.67","7","3.99","4.11","1","7","4","4"
"2005","Employed","indirect migration background","3.86","4","548","2.33","3","4.67","5.33","6.33","3.76","3.96","1","7","3.66666674613953","4"
"2005","Employed","no migration background","3.88","4","10941","2.33","3","4.67","5.33","6.67","3.86","3.9","1","7","3.66666674613953","4"
"2005","Not Employed","direct migration background","4.14","4","1002","2.33","3.33","5","6","7","4.06","4.22","1","7","4","4.33333349227905"
"2005","Not Employed","indirect migration background","3.85","4","284","2.33","3","5","5.33","6.33","3.71","3.99","1","7","3.66666674613953","4"
"2005","Not Employed","no migration background","4.12","4","6598","2.33","3.33","5","5.67","7","4.09","4.15","1","7","4","4"
"2006","Employed","direct migration background","","","","","","","","","","","","","",""
"2006","Employed","indirect migration background","","","","","","","","","","","","","",""
"2006","Employed","no migration background","","","","","","","","","","","","","",""
"2006","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2006","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2006","Not Employed","no migration background","","","","","","","","","","","","","",""
"2007","Employed","direct migration background","","","","","","","","","","","","","",""
"2007","Employed","indirect migration background","","","","","","","","","","","","","",""
"2007","Employed","no migration background","","","","","","","","","","","","","",""
"2007","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2007","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2007","Not Employed","no migration background","","","","","","","","","","","","","",""
"2008","Employed","direct migration background","","","","","","","","","","","","","",""
"2008","Employed","indirect migration background","","","","","","","","","","","","","",""
"2008","Employed","no migration background","","","","","","","","","","","","","",""
"2008","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2008","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2008","Not Employed","no migration background","","","","","","","","","","","","","",""
"2009","Employed","direct migration background","3.86","4","982","2.33","3","4.67","5.33","6.33","3.79","3.93","1","7","3.66666674613953","4"
"2009","Employed","indirect migration background","3.66","3.67","520","2","2.67","4.33","5","6.33","3.56","3.76","1","7","3.66666674613953","3.66666674613953"
"2009","Employed","no migration background","3.79","3.67","9725","2.33","3","4.67","5.33","6.67","3.77","3.81","1","7","3.66666674613953","3.66666674613953"
"2009","Not Employed","direct migration background","4.16","4.33","675","2.33","3.33","5","6","7","4.07","4.25","1","7","4","4.33333349227905"
"2009","Not Employed","indirect migration background","3.79","3.87","193","2.33","3","4.33","5.33","6.67","3.61","3.97","1","7","3.66666674613953","4"
"2009","Not Employed","no migration background","3.97","4","5953","2.33","3","4.67","5.67","7","3.94","4","1","7","4","4"
"2010","Employed","direct migration background","","","","","","","","","","","","","",""
"2010","Employed","indirect migration background","","","","","","","","","","","","","",""
"2010","Employed","no migration background","","","","","","","","","","","","","",""
"2010","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2010","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2010","Not Employed","no migration background","","","","","","","","","","","","","",""
"2011","Employed","direct migration background","","","","","","","","","","","","","",""
"2011","Employed","indirect migration background","","","","","","","","","","","","","",""
"2011","Employed","no migration background","","","","","","","","","","","","","",""
"2011","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2011","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2011","Not Employed","no migration background","","","","","","","","","","","","","",""
"2012","Employed","direct migration background","3.94","4","727","2.33","3","4.67","5.67","6.67","3.85","4.03","1","7","4","4"
"2012","Employed","indirect migration background","3.97","4","335","2.33","3","4.67","5.33","7","3.84","4.1","1","7","3.66666674613953","4"
"2012","Employed","no migration background","3.8","3.67","4321","2.33","3","4.67","5.33","6.67","3.76","3.84","1","7","3.66666674613953","3.66666674613953"
"2012","Not Employed","direct migration background","4.25","4.33","364","2.67","3.33","5","5.67","7","4.13","4.37","1","7","4","4.33333349227905"
"2012","Not Employed","indirect migration background","4.2","4","149","2.67","3.33","5.33","6","7","3.99","4.41","1.33","7","3.66666674613953","4.33333349227905"
"2012","Not Employed","no migration background","4.21","4.33","1234","2.33","3.33","5","6","7","4.14","4.28","1","7","4","4.33333349227905"
"2013","Employed","direct migration background","3.77","3.67","1012","2.33","3","4.33","5.33","6.67","3.7","3.84","1","7","3.66666674613953","4"
"2013","Employed","indirect migration background","3.59","3.67","552","2","2.67","4.33","5.33","6.33","3.49","3.69","1","7","3.66666674613953","3.66666674613953"
"2013","Employed","no migration background","3.66","3.67","10011","2","2.67","4.33","5.33","6.67","3.64","3.68","1","7","3.66666674613953","3.66666674613953"
"2013","Not Employed","direct migration background","4.08","4.33","675","2.33","3.33","5","6","7","3.98","4.18","1","7","4","4.33333349227905"
"2013","Not Employed","indirect migration background","3.76","4","163","2","3","4.33","5.33","6.33","3.57","3.95","1","6.67","3.66666674613953","4.33333349227905"
"2013","Not Employed","no migration background","3.9","4","6486","2.33","3","4.67","5.67","7","3.87","3.93","1","7","4","4"
"2014","Employed","direct migration background","","","","","","","","","","","","","",""
"2014","Employed","indirect migration background","","","","","","","","","","","","","",""
"2014","Employed","no migration background","","","","","","","","","","","","","",""
"2014","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2014","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2014","Not Employed","no migration background","","","","","","","","","","","","","",""
"2015","Employed","direct migration background","","","","","","","","","","","","","",""
"2015","Employed","indirect migration background","","","","","","","","","","","","","",""
"2015","Employed","no migration background","","","","","","","","","","","","","",""
"2015","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2015","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2015","Not Employed","no migration background","","","","","","","","","","","","","",""
"2016","Employed","direct migration background","","","","","","","","","","","","","",""
"2016","Employed","indirect migration background","","","","","","","","","","","","","",""
"2016","Employed","no migration background","","","","","","","","","","","","","",""
"2016","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2016","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2016","Not Employed","no migration background","","","","","","","","","","","","","",""
"2017","Employed","direct migration background","3.86","4","3468","2.33","3","4.67","5.67","6.67","3.82","3.9","1","7","3.66666674613953","4"
"2017","Employed","indirect migration background","3.8","3.67","1265","2.33","3","4.67","5.33","6.67","3.73","3.87","1","7","3.66666674613953","4"
"2017","Employed","no migration background","3.71","3.67","13581","2","2.67","4.67","5.33","6.67","3.69","3.73","1","7","3.66666674613953","3.66666674613953"
"2017","Not Employed","direct migration background","4.03","4","3819","2.33","3","5","5.67","7","3.99","4.07","1","7","3.66666674613953","3.66666674613953"
"2017","Not Employed","indirect migration background","4.03","4","450","2.33","3","5","5.67","6.67","3.91","4.15","1","7","4","4.33333349227905"
"2017","Not Employed","no migration background","3.93","4","6743","2.33","3","4.67","5.33","7","3.9","3.96","1","7","4","4"
"2018","Employed","direct migration background","","","","","","","","","","","","","",""
"2018","Employed","indirect migration background","","","","","","","","","","","","","",""
"2018","Employed","no migration background","","","","","","","","","","","","","",""
"2018","Not Employed","direct migration background","","","","","","","","","","","","","",""
"2018","Not Employed","indirect migration background","","","","","","","","","","","","","",""
"2018","Not Employed","no migration background","","","","","","","","","","","","","",""
"2019","Employed","direct migration background","3.62","3.67","2721","2","2.67","4.33","5.33","6.33","3.57","3.67","1","7","3.66666674613953","3.66666674613953"
"2019","Employed","indirect migration background","3.55","3.67","1311","2","2.67","4.33","5.33","6.33","3.48","3.62","1","7","3.33333325386047","3.66666674613953"
"2019","Employed","no migration background","3.49","3.33","13701","2","2.67","4.33","5","6.67","3.47","3.51","1","7","3.33333325386047","3.33333325386047"
"2019","Not Employed","direct migration background","3.93","4","1123","2.33","3","4.67","5.67","7","3.85","4.01","1","7","3.66666674613953","4"
"2019","Not Employed","indirect migration background","3.93","4","391","2.33","3","4.67","5.67","7","3.79","4.07","1","7","3.66666674613953","4.33333349227905"
"2019","Not Employed","no migration background","3.71","3.67","6577","2","2.67","4.67","5.33","7","3.68","3.74","1","7","3.66666674613953","3.66666674613953"
