"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","3.99","4","20738","2.33","3","4.67","5.67","7","3.97","4.01","1","7","4","4"
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","","","","","","","","","","","","","",""
"2009","3.87","4","18048","2.33","3","4.67","5.33","7","3.85","3.89","1","7","3.66666674613953","4"
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","3.93","4","7130","2.33","3","4.67","5.67","7","3.9","3.96","1","7","4","4"
"2013","3.76","3.67","18899","2.33","3","4.67","5.33","6.67","3.74","3.78","1","7","3.66666674613953","3.66666674613953"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","3.82","3.67","29326","2.33","3","4.67","5.33","6.67","3.81","3.83","1","7","3.66666674613953","3.66666674613953"
"2018","","","","","","","","","","","","","",""
"2019","3.6","3.67","25824","2","2.67","4.33","5.33","6.67","3.58","3.62","1","7","3.66666674613953","3.66666674613953"
