"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","Rural Area","4.11","4","404","2.33","3.33","5","6","6.67","4","4.22","1","7","4","4.33333349227905"
"2005","direct migration background","Urban Area","4.09","4","1963","2.67","3.33","5","5.67","7","4.04","4.14","1","7","4","4"
"2005","indirect migration background","Rural Area","3.82","4","107","2","3","4.5","5.33","6.33","3.6","4.04","1","7","3.33333325386047","4"
"2005","indirect migration background","Urban Area","3.86","3.67","725","2.33","3","4.67","5.33","6.33","3.77","3.95","1","7","3.66666674613953","4"
"2005","no migration background","Rural Area","4.04","4","6345","2.67","3.33","5","5.67","6.67","4.01","4.07","1","7","4","4"
"2005","no migration background","Urban Area","3.95","4","11194","2.33","3","4.67","5.67","7","3.93","3.97","1","7","4","4"
"2006","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2006","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2006","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2006","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2006","no migration background","Rural Area","","","","","","","","","","","","","",""
"2006","no migration background","Urban Area","","","","","","","","","","","","","",""
"2007","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2007","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2007","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2007","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2007","no migration background","Rural Area","","","","","","","","","","","","","",""
"2007","no migration background","Urban Area","","","","","","","","","","","","","",""
"2008","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2008","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2008","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2008","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2008","no migration background","Rural Area","","","","","","","","","","","","","",""
"2008","no migration background","Urban Area","","","","","","","","","","","","","",""
"2009","direct migration background","Rural Area","3.89","4","315","2","3","4.67","5.67","6.67","3.75","4.03","1","7","3.66666674613953","4.33333349227905"
"2009","direct migration background","Urban Area","4","4","1342","2.33","3","4.67","5.67","7","3.94","4.06","1","7","4","4"
"2009","indirect migration background","Rural Area","3.41","3.33","118","2.33","2.33","4","5","6.33","3.2","3.62","1","7","3.33333325386047","3.66666674613953"
"2009","indirect migration background","Urban Area","3.76","3.67","595","2","3","4.67","5.33","6.67","3.66","3.86","1","7","3.66666674613953","4"
"2009","no migration background","Rural Area","3.94","4","5804","2.33","3","4.67","5.67","7","3.91","3.97","1","7","3.66666674613953","4"
"2009","no migration background","Urban Area","3.82","3.67","9874","2.33","3","4.67","5.33","7","3.8","3.84","1","7","3.66666674613953","3.66666674613953"
"2010","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2010","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2010","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2010","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2010","no migration background","Rural Area","","","","","","","","","","","","","",""
"2010","no migration background","Urban Area","","","","","","","","","","","","","",""
"2011","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2011","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2011","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2011","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2011","no migration background","Rural Area","","","","","","","","","","","","","",""
"2011","no migration background","Urban Area","","","","","","","","","","","","","",""
"2012","direct migration background","Rural Area","3.91","4","300","2.33","3","4.67","5.67","6.33","3.77","4.05","1","7","4","4.33333349227905"
"2012","direct migration background","Urban Area","4.07","4","791","2.33","3.33","5","5.67","7","3.98","4.16","1","7","4","4"
"2012","indirect migration background","Rural Area","4.07","4.1","98","2.33","3.33","4.67","6","7","3.82","4.32","1.33","7","3.66666674613953","4.33333349227905"
"2012","indirect migration background","Urban Area","4.04","4","386","2.33","3","5","5.67","7","3.91","4.17","1","7","3.66666674613953","4"
"2012","no migration background","Rural Area","3.89","4","2285","2.33","3","4.67","5.67","7","3.84","3.94","1","7","4","4"
"2012","no migration background","Urban Area","3.88","4","3270","2.33","3","4.67","5.67","7","3.84","3.92","1","7","3.66666674613953","4"
"2013","direct migration background","Rural Area","3.92","4","392","2.33","3","4.67","5.33","6.33","3.8","4.04","1","7","4","4"
"2013","direct migration background","Urban Area","3.9","4","1295","2.33","3","4.67","5.67","7","3.83","3.97","1","7","4","4"
"2013","indirect migration background","Rural Area","3.68","3.67","136","2","3","4.33","5.33","7","3.47","3.89","1","7","3.33333325386047","4"
