"plh0111","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","Full Time","19","","",""
"Very important","1990","16-34 y.","Part Time","17","","",""
"Very important","1990","16-34 y.","Not Working","27","","",""
"Very important","1990","35-65 y.","Full Time","53","0.0289185926459575","0.0210761799464363","0.0367610053454786"
"Very important","1990","35-65 y.","Part Time","14","","",""
"Very important","1990","35-65 y.","Not Working","37","0.0386346242881013","0.0269273630018006","0.050341885574402"
"Very important","1990","66 and older","Full Time","1","","",""
"Very important","1990","66 and older","Part Time","1","","",""
"Very important","1990","66 and older","Not Working","15","","",""
"Important","1990","16-34 y.","Full Time","303","0.229481592900625","0.207602851743841","0.251360334057408"
"Important","1990","16-34 y.","Part Time","138","0.217841380451298","0.18545418037196","0.250228580530636"
"Important","1990","16-34 y.","Not Working","141","0.245746157374585","0.210586957526368","0.280905357222802"
"Important","1990","35-65 y.","Full Time","468","0.268868455460457","0.248119273292299","0.289617637628614"
"Important","1990","35-65 y.","Part Time","160","0.231642845932665","0.200049631083946","0.263236060781384"
"Important","1990","35-65 y.","Not Working","197","0.190860434251327","0.166988236736","0.214732631766655"
"Important","1990","66 and older","Full Time","4","","",""
"Important","1990","66 and older","Part Time","7","","",""
"Important","1990","66 and older","Not Working","143","0.155226495125814","0.132577683738091","0.177875306513536"
"Less important","1990","16-34 y.","Full Time","772","0.535461149492885","0.509511476061821","0.56141082292395"
"Less important","1990","16-34 y.","Part Time","343","0.57183413979709","0.533010445896004","0.610657833698175"
"Less important","1990","16-34 y.","Not Working","293","0.512600552298555","0.47178093764506","0.55342016695205"
"Less important","1990","35-65 y.","Full Time","920","0.524252672498616","0.500880891848438","0.547624453148794"
"Less important","1990","35-65 y.","Part Time","343","0.504330648077224","0.466888865325884","0.541772430828565"
"Less important","1990","35-65 y.","Not Working","465","0.448520968443696","0.418309029106764","0.478732907780628"
"Less important","1990","66 and older","Full Time","6","","",""
"Less important","1990","66 and older","Part Time","9","","",""
"Less important","1990","66 and older","Not Working","367","0.353485546086284","0.323585814016715","0.383385278155853"
"Quite unimportant","1990","16-34 y.","Full Time","325","0.221653656791724","0.20004236195825","0.243264951625198"
"Quite unimportant","1990","16-34 y.","Part Time","126","0.179892283840924","0.149755457681486","0.210029110000363"
"Quite unimportant","1990","16-34 y.","Not Working","115","0.191905395318899","0.159745728158543","0.224065062479254"
"Quite unimportant","1990","35-65 y.","Full Time","313","0.17796027939497","0.160060765473887","0.195859793316053"
"Quite unimportant","1990","35-65 y.","Part Time","168","0.242073376692191","0.209996660569397","0.274150092814985"
"Quite unimportant","1990","35-65 y.","Not Working","342","0.321983973016875","0.293600872602931","0.350367073430819"
"Quite unimportant","1990","66 and older","Full Time","2","","",""
"Quite unimportant","1990","66 and older","Part Time","13","","",""
"Quite unimportant","1990","66 and older","Not Working","457","0.47696111266741","0.445721846551925","0.508200378782894"
