"plh0111","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","no migration background","1481","0.225539221219829","0.21547684946649","0.235601592973168","2"
"Important","1990","indirect migration background","11","","","","2"
"Important","1990","direct migration background","69","0.155781593005928","0.121973362933784","0.189589823078071","2"
"Less important","1990","no migration background","3281","0.483325788060381","0.471294337731054","0.495357238389708","3"
"Less important","1990","direct migration background","211","0.468385561076188","0.42186584132997","0.514905280822407","3"
"Less important","1990","indirect migration background","26","","","","3"
"Quite unimportant","1990","no migration background","1693","0.265274486844663","0.254645303270736","0.275903670418591","4"
"Quite unimportant","1990","direct migration background","150","0.345828455124264","0.301486673041864","0.390170237206665","4"
"Quite unimportant","1990","indirect migration background","18","","","","4"
"Very important","1990","no migration background","172","0.0258605038751268","0.0220391375425525","0.029681870207701","1"
"Very important","1990","direct migration background","12","","","","1"
"Very important","1990","indirect migration background","","","","","1"
"Important","1991","no migration background","","","","","2"
"Important","1991","direct migration background","","","","","2"
"Important","1991","indirect migration background","","","","","2"
"Less important","1991","no migration background","","","","","3"
"Less important","1991","direct migration background","","","","","3"
"Less important","1991","indirect migration background","","","","","3"
"Quite unimportant","1991","no migration background","","","","","4"
"Quite unimportant","1991","direct migration background","","","","","4"
"Quite unimportant","1991","indirect migration background","","","","","4"
"Very important","1991","no migration background","","","","","1"
"Very important","1991","direct migration background","","","","","1"
"Very important","1991","indirect migration background","","","","","1"
"Important","1992","no migration background","1469","0.147000825507847","0.140161949116513","0.153839701899182","2"
"Important","1992","direct migration background","79","0.133147265343093","0.105306006760384","0.160988523925801","2"
"Important","1992","indirect migration background","12","","","","2"
"Less important","1992","no migration background","5173","0.480091866041761","0.470443005222007","0.489740726861515","3"
"Less important","1992","direct migration background","247","0.436835190734815","0.396188364609495","0.477482016860134","3"
"Less important","1992","indirect migration background","42","0.55066654308352","0.441665206987412","0.659667879179628","3"
"Quite unimportant","1992","no migration background","3460","0.35271280666003","0.343484762086469","0.361940851233591","4"
