"plh0111","year","sex","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Male","115","0.033570202763248","0.0275326536207961","0.0396077519056999"
"Very important","1990","Female","69","0.0191415915466293","0.0147294832176905","0.0235536998755682"
"Important","1990","Male","852","0.251043793090077","0.2365092462156","0.265578339964554"
"Important","1990","Female","709","0.193386108616624","0.180668675255004","0.206103541978244"
"Less important","1990","Male","1724","0.501077776061968","0.484318026066012","0.517837526057924"
"Less important","1990","Female","1794","0.467160012130736","0.451094846026561","0.483225178234911"
"Quite unimportant","1990","Male","728","0.214308228084707","0.200553751576114","0.2280627045933"
"Quite unimportant","1990","Female","1133","0.320312287706011","0.305287944568441","0.335336630843581"
"Very important","1991","Male","","","",""
"Very important","1991","Female","","","",""
"Important","1991","Male","","","",""
"Important","1991","Female","","","",""
"Less important","1991","Male","","","",""
"Less important","1991","Female","","","",""
"Quite unimportant","1991","Male","","","",""
"Quite unimportant","1991","Female","","","",""
"Very important","1992","Male","137","0.0280177957562695","0.0235367913733145","0.0324988001392245"
"Very important","1992","Female","76","0.0141405005327842","0.0110863233970258","0.0171946776685425"
"Important","1992","Male","792","0.155046092439262","0.1452178434265","0.164874341452025"
"Important","1992","Female","768","0.137896376343833","0.128977493076398","0.146815259611269"
"Less important","1992","Male","2670","0.50241341951399","0.48883672098866","0.51599011803932"
"Less important","1992","Female","2792","0.455518994759535","0.442636530979987","0.468401458539083"
"Quite unimportant","1992","Male","1611","0.314522692290478","0.301914530800066","0.32713085378089"
"Quite unimportant","1992","Female","2105","0.392444128363848","0.379813168747262","0.405075087980434"
"Very important","1993","Male","","","",""
"Very important","1993","Female","","","",""
"Important","1993","Male","","","",""
"Important","1993","Female","","","",""
"Less important","1993","Male","","","",""
"Less important","1993","Female","","","",""
"Quite unimportant","1993","Male","","","",""
"Quite unimportant","1993","Female","","","",""
"Very important","1994","Male","","","",""
"Very important","1994","Female","","","",""
"Important","1994","Male","","","",""
"Important","1994","Female","","","",""
"Less important","1994","Male","","","",""
"Less important","1994","Female","","","",""
"Quite unimportant","1994","Male","","","",""
"Quite unimportant","1994","Female","","","",""
"Very important","1995","Male","111","0.0226996428759495","0.018701792264399","0.0266974934875"
"Very important","1995","Female","66","0.0121188453390251","0.00932050158861646","0.0149171890894338"
"Important","1995","Male","825","0.159742927737416","0.14990916040077","0.169576695074062"
"Important","1995","Female","726","0.131687637617919","0.123039380636621","0.140335894599218"
"Less important","1995","Male","2792","0.514892685521128","0.501478006260731","0.528307364781526"
"Less important","1995","Female","2952","0.477629646594446","0.464854879558286","0.490404413630606"
"Quite unimportant","1995","Male","1604","0.302664743865506","0.290333560677743","0.314995927053269"
"Quite unimportant","1995","Female","2129","0.378563870448609","0.366159180270838","0.390968560626381"
"Very important","1996","Male","","","",""
"Very important","1996","Female","","","",""
"Important","1996","Male","","","",""
"Important","1996","Female","","","",""
"Less important","1996","Male","","","",""
"Less important","1996","Female","","","",""
"Quite unimportant","1996","Male","","","",""
"Quite unimportant","1996","Female","","","",""
"Very important","1997","Male","","","",""
"Very important","1997","Female","","","",""
"Important","1997","Male","","","",""
"Important","1997","Female","","","",""
"Less important","1997","Male","","","",""
"Less important","1997","Female","","","",""
"Quite unimportant","1997","Male","","","",""
"Quite unimportant","1997","Female","","","",""
"Very important","1998","Male","","","",""
"Very important","1998","Female","","","",""
"Important","1998","Male","","","",""
"Important","1998","Female","","","",""
"Less important","1998","Male","","","",""
"Less important","1998","Female","","","",""
"Quite unimportant","1998","Male","","","",""
"Quite unimportant","1998","Female","","","",""
"Very important","1999","Male","","","",""
"Very important","1999","Female","","","",""
"Important","1999","Male","","","",""
"Important","1999","Female","","","",""
"Less important","1999","Male","","","",""
"Less important","1999","Female","","","",""
"Quite unimportant","1999","Male","","","",""
"Quite unimportant","1999","Female","","","",""
"Very important","2000","Male","","","",""
"Very important","2000","Female","","","",""
"Important","2000","Male","","","",""
"Important","2000","Female","","","",""
"Less important","2000","Male","","","",""
"Less important","2000","Female","","","",""
"Quite unimportant","2000","Male","","","",""
"Quite unimportant","2000","Female","","","",""
"Very important","2001","Male","","","",""
"Very important","2001","Female","","","",""
"Important","2001","Male","","","",""
"Important","2001","Female","","","",""
"Less important","2001","Male","","","",""
"Less important","2001","Female","","","",""
"Quite unimportant","2001","Male","","","",""
"Quite unimportant","2001","Female","","","",""
"Very important","2002","Male","","","",""
"Very important","2002","Female","","","",""
"Important","2002","Male","","","",""
"Important","2002","Female","","","",""
"Less important","2002","Male","","","",""
"Less important","2002","Female","","","",""
"Quite unimportant","2002","Male","","","",""
"Quite unimportant","2002","Female","","","",""
"Very important","2003","Male","","","",""
"Very important","2003","Female","","","",""
"Important","2003","Male","","","",""
"Important","2003","Female","","","",""
"Less important","2003","Male","","","",""
"Less important","2003","Female","","","",""
"Quite unimportant","2003","Male","","","",""
"Quite unimportant","2003","Female","","","",""
"Very important","2004","Male","384","0.0347340055557036","0.0312089629067837","0.0382590482046236"
"Very important","2004","Female","258","0.0229866250009816","0.0202086107266897","0.0257646392752735"
"Important","2004","Male","2592","0.254340468571135","0.245956657978721","0.26272427916355"
"Important","2004","Female","2379","0.209668571236354","0.202122552014117","0.217214590458592"
"Less important","2004","Male","5335","0.498867725937892","0.489242025794196","0.508493426081589"
"Less important","2004","Female","5875","0.504858044264921","0.495589828895975","0.514126259633867"
"Quite unimportant","2004","Male","2054","0.212057799935269","0.204188470188087","0.21992712968245"
"Quite unimportant","2004","Female","2667","0.262486759497743","0.254330609120065","0.270642909875421"
"Very important","2005","Male","","","",""
"Very important","2005","Female","","","",""
"Important","2005","Male","","","",""
"Important","2005","Female","","","",""
"Less important","2005","Male","","","",""
"Less important","2005","Female","","","",""
"Quite unimportant","2005","Male","","","",""
"Quite unimportant","2005","Female","","","",""
"Very important","2006","Male","","","",""
"Very important","2006","Female","","","",""
"Important","2006","Male","","","",""
"Important","2006","Female","","","",""
"Less important","2006","Male","","","",""
"Less important","2006","Female","","","",""
"Quite unimportant","2006","Male","","","",""
"Quite unimportant","2006","Female","","","",""
"Very important","2007","Male","","","",""
"Very important","2007","Female","","","",""
"Important","2007","Male","","","",""
"Important","2007","Female","","","",""
"Less important","2007","Male","","","",""
"Less important","2007","Female","","","",""
"Quite unimportant","2007","Male","","","",""
"Quite unimportant","2007","Female","","","",""
"Very important","2008","Male","229","0.0231448404997455","0.020072141882021","0.0262175391174699"
"Very important","2008","Female","149","0.0152098097715682","0.0128194289053476","0.0176001906377888"
"Important","2008","Male","1799","0.184786180833636","0.176854809324966","0.192717552342306"
"Important","2008","Female","1688","0.159216852590467","0.152070739709952","0.166362965470983"
"Less important","2008","Male","4515","0.495165857110787","0.484948760806385","0.505382953415188"
"Less important","2008","Female","4833","0.46981999866231","0.460072105147566","0.479567892177055"
"Quite unimportant","2008","Male","2656","0.296903121555832","0.28756643566482","0.306239807446845"
"Quite unimportant","2008","Female","3400","0.355753338975655","0.346402858313402","0.365103819637907"
"Very important","2009","Male","","","",""
"Very important","2009","Female","","","",""
"Important","2009","Male","","","",""
"Important","2009","Female","","","",""
"Less important","2009","Male","","","",""
"Less important","2009","Female","","","",""
"Quite unimportant","2009","Male","","","",""
"Quite unimportant","2009","Female","","","",""
"Very important","2010","Male","204","0.0695303680969169","0.0603796640678522","0.0786810721259817"
"Very important","2010","Female","228","0.051701284994299","0.0451038078693482","0.0582987621192497"
"Important","2010","Male","1022","0.327567788537993","0.310683180173687","0.344452396902299"
"Important","2010","Female","1471","0.328584517531085","0.314589486449496","0.342579548612674"
"Less important","2010","Male","1319","0.44991966765802","0.432021989651359","0.467817345664681"
"Less important","2010","Female","1968","0.45168373574322","0.436855569927049","0.46651190155939"
"Quite unimportant","2010","Male","423","0.15298217570707","0.140031786103575","0.165932565310566"
"Quite unimportant","2010","Female","660","0.168030461731396","0.156890021153819","0.179170902308974"
"Very important","2011","Male","","","",""
"Very important","2011","Female","","","",""
"Important","2011","Male","","","",""
"Important","2011","Female","","","",""
"Less important","2011","Male","","","",""
"Less important","2011","Female","","","",""
"Quite unimportant","2011","Male","","","",""
"Quite unimportant","2011","Female","","","",""
"Very important","2012","Male","579","0.0405152510736876","0.0370668628210682","0.043963639326307"
"Very important","2012","Female","516","0.0312237066037325","0.0284457949818843","0.0340016182255808"
"Important","2012","Male","3745","0.281817295438793","0.273948846260507","0.28968574461708"
"Important","2012","Female","4246","0.266994548899897","0.259928620308398","0.274060477491397"
"Less important","2012","Male","6145","0.494784097556551","0.486039612816743","0.503528582296359"
"Less important","2012","Female","7477","0.490829312849238","0.482844561673253","0.498814064025222"
"Quite unimportant","2012","Male","2089","0.182883355930969","0.176122261972746","0.189644449889191"
