"plh0111","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Very important","1990","16-34 y.","Urban Area","54","0.0294166515674688","0.0220168401380775","0.0368164629968601"
"Very important","1990","16-34 y.","Rural Area","9","","",""
"Very important","1990","35-65 y.","Urban Area","90","0.0334192914190945","0.026645022582286","0.0401935602559031"
"Very important","1990","35-65 y.","Rural Area","14","","",""
"Very important","1990","66 and older","Urban Area","12","","",""
"Very important","1990","66 and older","Rural Area","5","","",""
"Important","1990","16-34 y.","Urban Area","451","0.23746718301381","0.218831784430015","0.256102581597605"
"Important","1990","16-34 y.","Rural Area","131","0.206457802781857","0.174494003244908","0.238421602318805"
"Important","1990","35-65 y.","Urban Area","657","0.244125585681384","0.22793449075361","0.260316680609158"
"Important","1990","35-65 y.","Rural Area","168","0.216450811786053","0.187475376269524","0.245426247302583"
"Important","1990","66 and older","Urban Area","121","0.16926866703297","0.142952697654194","0.195584636411747"
"Important","1990","66 and older","Rural Area","33","0.128964534402868","0.086996549666376","0.17093251913936"
"Less important","1990","16-34 y.","Urban Area","1065","0.532169918203389","0.510318639861239","0.554021196545539"
"Less important","1990","16-34 y.","Rural Area","343","0.561880759553845","0.522699717848229","0.601061801259461"
"Less important","1990","35-65 y.","Urban Area","1316","0.487376597115439","0.468536796699361","0.506216397531517"
"Less important","1990","35-65 y.","Rural Area","412","0.531474366796701","0.496364832400628","0.566583901192774"
"Less important","1990","66 and older","Urban Area","288","0.350038709865131","0.316565098240421","0.383512321489842"
"Less important","1990","66 and older","Rural Area","94","0.354114657723052","0.294230118111366","0.413999197334739"
"Quite unimportant","1990","16-34 y.","Urban Area","433","0.200946247215332","0.18339792645701","0.218494567973655"
"Quite unimportant","1990","16-34 y.","Rural Area","133","0.219444688995801","0.186761673961173","0.252127704030429"
"Quite unimportant","1990","35-65 y.","Urban Area","641","0.235078525784082","0.219095475958468","0.251061575609696"
"Quite unimportant","1990","35-65 y.","Rural Area","182","0.231408334031496","0.201735804977032","0.261080863085959"
"Quite unimportant","1990","66 and older","Urban Area","359","0.467146333494239","0.432133178913006","0.502159488075471"
"Quite unimportant","1990","66 and older","Rural Area","113","0.497385250129537","0.434777353338743","0.559993146920332"
"Very important","1991","16-34 y.","Urban Area","","","",""
"Very important","1991","16-34 y.","Rural Area","","","",""
"Very important","1991","35-65 y.","Urban Area","","","",""
"Very important","1991","35-65 y.","Rural Area","","","",""
