"ple0016","year","bula_h","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Mecklenburg-Western Pomerania","468","0.966428020229802","0.950246554878139","0.982609485581465","2"
"No","2009","Lower Saxony","1619","0.980922857185761","0.974316297177198","0.987529417194323","2"
"No","2009","Bremen","117","0.971755829430796","0.942114310261534","1.00139734860006","2"
"No","2009","Schleswig-Holstein","505","0.973875633256368","0.960113116015341","0.987638150497396","2"
"No","2009","Hamburg","267","0.983430854069461","0.96823288970361","0.998628818435312","2"
"No","2009","Brandenburg","779","0.975856730658582","0.965186947402965","0.986526513914199","2"
"No","2009","North Rhine-Westphalia","3591","0.982880365262061","0.978669252201508","0.987091478322613","2"
"No","2009","Saxony","1346","0.98322244043811","0.976431264054358","0.990013616821863","2"
"No","2009","Thuringia","812","0.986699450672774","0.978882302409566","0.994516598935982","2"
"No","2009","Saxony-Anhalt","759","0.975511866523171","0.964609179101811","0.986414553944532","2"
"No","2009","Baden-Württemberg","2088","0.983446763166457","0.978012983739831","0.988880542593082","2"
"No","2009","Bavaria","2589","0.986216376623908","0.981758754866559","0.990673998381258","2"
"No","2009","Berlin","675","0.978460069171482","0.967596319776425","0.989323818566539","2"
"No","2009","Hesse","1203","0.980466830731654","0.972720328225455","0.988213333237853","2"
"No","2009","Rhineland-Palatinate,Saarland","1014","0.99052767808491","0.984603550522734","0.996451805647086","2"
"Yes","2009","Schleswig-Holstein","11","","","","1"
"Yes","2009","Hamburg","4","","","","1"
"Yes","2009","Lower Saxony","28","","","","1"
"Yes","2009","Bremen","3","","","","1"
"Yes","2009","North Rhine-Westphalia","54","0.0171196347379392","0.0129085216773867","0.0213307477984917","1"
"Yes","2009","Hesse","23","","","","1"
"Yes","2009","Rhineland-Palatinate,Saarland","13","","","","1"
"Yes","2009","Baden-Württemberg","30","0.0165532368335431","0.0111194574069179","0.0219870162601684","1"
"Yes","2009","Bavaria","39","0.013783623376092","0.00932600161874246","0.0182412451334415","1"
"Yes","2009","Berlin","11","","","","1"
"Yes","2009","Brandenburg","16","","","","1"
"Yes","2009","Mecklenburg-Western Pomerania","8","","","","1"
"Yes","2009","Saxony","28","","","","1"
"Yes","2009","Saxony-Anhalt","13","","","","1"
"Yes","2009","Thuringia","13","","","","1"
"No","2010","Mecklenburg-Western Pomerania","","","","","2"
"No","2010","Brandenburg","","","","","2"
"No","2010","Schleswig-Holstein","","","","","2"
