"ple0016","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","Urban Area","2","","",""
"Yes","2009","16-34 y.","Rural Area","2","","",""
"Yes","2009","35-65 y.","Urban Area","57","0.0111850631897385","0.00861754599810717","0.0137525803813698"
"Yes","2009","35-65 y.","Rural Area","41","0.0136325974286648","0.00976652590080612","0.0174986689565235"
"Yes","2009","66 and older","Urban Area","127","0.0482750449342404","0.0402913545720991","0.0562587352963816"
"Yes","2009","66 and older","Rural Area","65","0.0451724434469691","0.0344827967029833","0.0558620901909549"
"No","2009","16-34 y.","Urban Area","2650","0.999597124847478","0.998833361044957","1.00036088865"
"No","2009","16-34 y.","Rural Area","1352","0.998327373197967","0.996150792496232","1.0005039538997"
"No","2009","35-65 y.","Urban Area","6388","0.988814936810261","0.98624741961863","0.991382454001893"
"No","2009","35-65 y.","Rural Area","3415","0.986367402571335","0.982501331043477","0.990233474099194"
"No","2009","66 and older","Urban Area","2642","0.95172495506576","0.943741264703618","0.959708645427901"
"No","2009","66 and older","Rural Area","1385","0.954827556553031","0.944137909809045","0.965517203297017"
"Yes","2010","16-34 y.","Urban Area","","","",""
"Yes","2010","16-34 y.","Rural Area","","","",""
"Yes","2010","35-65 y.","Urban Area","","","",""
"Yes","2010","35-65 y.","Rural Area","","","",""
"Yes","2010","66 and older","Urban Area","","","",""
"Yes","2010","66 and older","Rural Area","","","",""
"No","2010","16-34 y.","Urban Area","","","",""
"No","2010","16-34 y.","Rural Area","","","",""
"No","2010","35-65 y.","Urban Area","","","",""
"No","2010","35-65 y.","Rural Area","","","",""
"No","2010","66 and older","Urban Area","","","",""
"No","2010","66 and older","Rural Area","","","",""
"Yes","2011","16-34 y.","Urban Area","2","","",""
"Yes","2011","16-34 y.","Rural Area","","","",""
"Yes","2011","35-65 y.","Urban Area","89","0.0144025514195414","0.0116660715592622","0.0171390312798206"
"Yes","2011","35-65 y.","Rural Area","65","0.0154710460530493","0.01168453804641","0.0192575540596887"
"Yes","2011","66 and older","Urban Area","184","0.0604022441146482","0.0523910392069601","0.0684134490223363"
"Yes","2011","66 and older","Rural Area","94","0.0546233682324952","0.0441049698411758","0.0651417666238146"
"No","2011","16-34 y.","Urban Area","2915","0.999781555707016","0.999245261892222","1.00031784952181"
"No","2011","16-34 y.","Rural Area","1390","1","1","1"
"No","2011","35-65 y.","Urban Area","7193","0.985597448580459","0.982860968720179","0.988333928440738"
"No","2011","35-65 y.","Rural Area","4016","0.984528953946951","0.980742445940311","0.98831546195359"
"No","2011","66 and older","Urban Area","3213","0.939597755885352","0.931586550977664","0.94760896079304"
"No","2011","66 and older","Rural Area","1699","0.945376631767505","0.934858233376185","0.955895030158824"
"Yes","2012","16-34 y.","Urban Area","","","",""
"Yes","2012","16-34 y.","Rural Area","","","",""
"Yes","2012","35-65 y.","Urban Area","","","",""
"Yes","2012","35-65 y.","Rural Area","","","",""
"Yes","2012","66 and older","Urban Area","","","",""
"Yes","2012","66 and older","Rural Area","","","",""
"No","2012","16-34 y.","Urban Area","","","",""
