"ple0016","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Full Time","lower secondary degree","9","","",""
"Yes","2009","Full Time","secondary school degree","8","","",""
"Yes","2009","Full Time","college entrance qualification","8","","",""
"Yes","2009","Full Time","Other degree","3","","",""
"Yes","2009","Full Time","no degree/no degree yet","","","",""
"Yes","2009","Part Time","lower secondary degree","13","","",""
"Yes","2009","Part Time","secondary school degree","11","","",""
"Yes","2009","Part Time","college entrance qualification","9","","",""
"Yes","2009","Part Time","Other degree","1","","",""
"Yes","2009","Part Time","no degree/no degree yet","","","",""
"Yes","2009","Not Working","lower secondary degree","149","1","1","1"
"Yes","2009","Not Working","secondary school degree","41","1","1","1"
"Yes","2009","Not Working","college entrance qualification","24","","",""
"Yes","2009","Not Working","Other degree","10","","",""
"Yes","2009","Not Working","no degree/no degree yet","6","","",""
"Yes","2010","Full Time","lower secondary degree","","","",""
"Yes","2010","Full Time","secondary school degree","","","",""
"Yes","2010","Full Time","college entrance qualification","","","",""
"Yes","2010","Full Time","Other degree","","","",""
"Yes","2010","Full Time","no degree/no degree yet","","","",""
"Yes","2010","Part Time","lower secondary degree","","","",""
"Yes","2010","Part Time","secondary school degree","","","",""
"Yes","2010","Part Time","college entrance qualification","","","",""
"Yes","2010","Part Time","Other degree","","","",""
"Yes","2010","Part Time","no degree/no degree yet","","","",""
"Yes","2010","Not Working","lower secondary degree","","","",""
"Yes","2010","Not Working","secondary school degree","","","",""
"Yes","2010","Not Working","college entrance qualification","","","",""
"Yes","2010","Not Working","Other degree","","","",""
"Yes","2010","Not Working","no degree/no degree yet","","","",""
"Yes","2011","Full Time","lower secondary degree","12","","",""
"Yes","2011","Full Time","secondary school degree","15","","",""
"Yes","2011","Full Time","college entrance qualification","7","","",""
"Yes","2011","Full Time","Other degree","","","",""
"Yes","2011","Full Time","no degree/no degree yet","1","","",""
"Yes","2011","Part Time","lower secondary degree","12","","",""
"Yes","2011","Part Time","secondary school degree","13","","",""
"Yes","2011","Part Time","college entrance qualification","12","","",""
"Yes","2011","Part Time","Other degree","4","","",""
"Yes","2011","Part Time","no degree/no degree yet","","","",""
"Yes","2011","Not Working","lower secondary degree","220","1","1","1"
"Yes","2011","Not Working","secondary school degree","63","1","1","1"
"Yes","2011","Not Working","college entrance qualification","37","1","1","1"
"Yes","2011","Not Working","Other degree","28","","",""
