"ple0016","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","(0) in school","","","",""
"Yes","2009","Not Employed","(1a) inadequately completed","6","","",""
"Yes","2009","Not Employed","(1b) general elementary school","38","1","1","1"
"Yes","2009","Not Employed","(1c) basic vocational qualification","116","1","1","1"
"Yes","2009","Not Employed","(2b) intermediate general qualification","3","","",""
"Yes","2009","Not Employed","(2a) intermediate vocational","30","1","1","1"
"Yes","2009","Not Employed","(2c_gen) general maturity certificate","1","","",""
"Yes","2009","Not Employed","(2c_voc) vocational maturity certificate","9","","",""
"Yes","2009","Not Employed","(3a) lower tertiary education","14","","",""
"Yes","2009","Not Employed","(3b) higher tertiary education","13","","",""
"Yes","2009","Employed","(0) in school","","","",""
"Yes","2009","Employed","(1a) inadequately completed","","","",""
"Yes","2009","Employed","(1b) general elementary school","2","","",""
"Yes","2009","Employed","(1c) basic vocational qualification","21","","",""
"Yes","2009","Employed","(2b) intermediate general qualification","","","",""
"Yes","2009","Employed","(2a) intermediate vocational","19","","",""
"Yes","2009","Employed","(2c_gen) general maturity certificate","1","","",""
"Yes","2009","Employed","(2c_voc) vocational maturity certificate","5","","",""
"Yes","2009","Employed","(3a) lower tertiary education","4","","",""
"Yes","2009","Employed","(3b) higher tertiary education","10","","",""
"Yes","2010","Not Employed","(0) in school","","","",""
"Yes","2010","Not Employed","(1a) inadequately completed","","","",""
"Yes","2010","Not Employed","(1b) general elementary school","","","",""
"Yes","2010","Not Employed","(1c) basic vocational qualification","","","",""
"Yes","2010","Not Employed","(2b) intermediate general qualification","","","",""
"Yes","2010","Not Employed","(2a) intermediate vocational","","","",""
"Yes","2010","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2010","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","Not Employed","(3a) lower tertiary education","","","",""
"Yes","2010","Not Employed","(3b) higher tertiary education","","","",""
"Yes","2010","Employed","(0) in school","","","",""
"Yes","2010","Employed","(1a) inadequately completed","","","",""
"Yes","2010","Employed","(1b) general elementary school","","","",""
"Yes","2010","Employed","(1c) basic vocational qualification","","","",""
"Yes","2010","Employed","(2b) intermediate general qualification","","","",""
"Yes","2010","Employed","(2a) intermediate vocational","","","",""
"Yes","2010","Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2010","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","Employed","(3a) lower tertiary education","","","",""
"Yes","2010","Employed","(3b) higher tertiary education","","","",""
"Yes","2011","Not Employed","(0) in school","","","",""
"Yes","2011","Not Employed","(1a) inadequately completed","9","","",""
"Yes","2011","Not Employed","(1b) general elementary school","68","1","1","1"
"Yes","2011","Not Employed","(1c) basic vocational qualification","166","1","1","1"
"Yes","2011","Not Employed","(2b) intermediate general qualification","3","","",""
"Yes","2011","Not Employed","(2a) intermediate vocational","50","1","1","1"
"Yes","2011","Not Employed","(2c_gen) general maturity certificate","2","","",""
"Yes","2011","Not Employed","(2c_voc) vocational maturity certificate","10","","",""
"Yes","2011","Not Employed","(3a) lower tertiary education","26","","",""
"Yes","2011","Not Employed","(3b) higher tertiary education","24","","",""
"Yes","2011","Employed","(0) in school","","","",""
"Yes","2011","Employed","(1a) inadequately completed","1","","",""
"Yes","2011","Employed","(1b) general elementary school","5","","",""
"Yes","2011","Employed","(1c) basic vocational qualification","22","","",""
"Yes","2011","Employed","(2b) intermediate general qualification","1","","",""
"Yes","2011","Employed","(2a) intermediate vocational","27","","",""
"Yes","2011","Employed","(2c_gen) general maturity certificate","1","","",""
"Yes","2011","Employed","(2c_voc) vocational maturity certificate","4","","",""
"Yes","2011","Employed","(3a) lower tertiary education","3","","",""
"Yes","2011","Employed","(3b) higher tertiary education","12","","",""
"Yes","2012","Not Employed","(0) in school","","","",""
"Yes","2012","Not Employed","(1a) inadequately completed","","","",""
"Yes","2012","Not Employed","(1b) general elementary school","","","",""
"Yes","2012","Not Employed","(1c) basic vocational qualification","","","",""
"Yes","2012","Not Employed","(2b) intermediate general qualification","","","",""
"Yes","2012","Not Employed","(2a) intermediate vocational","","","",""
"Yes","2012","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2012","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","Not Employed","(3a) lower tertiary education","","","",""
"Yes","2012","Not Employed","(3b) higher tertiary education","","","",""
"Yes","2012","Employed","(0) in school","","","",""
"Yes","2012","Employed","(1a) inadequately completed","","","",""
"Yes","2012","Employed","(1b) general elementary school","","","",""
"Yes","2012","Employed","(1c) basic vocational qualification","","","",""
"Yes","2012","Employed","(2b) intermediate general qualification","","","",""
"Yes","2012","Employed","(2a) intermediate vocational","","","",""
"Yes","2012","Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2012","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","Employed","(3a) lower tertiary education","","","",""
"Yes","2012","Employed","(3b) higher tertiary education","","","",""
"Yes","2013","Not Employed","(0) in school","","","",""
"Yes","2013","Not Employed","(1a) inadequately completed","12","","",""
"Yes","2013","Not Employed","(1b) general elementary school","50","1","1","1"
"Yes","2013","Not Employed","(1c) basic vocational qualification","146","1","1","1"
"Yes","2013","Not Employed","(2b) intermediate general qualification","3","","",""
"Yes","2013","Not Employed","(2a) intermediate vocational","54","1","1","1"
"Yes","2013","Not Employed","(2c_gen) general maturity certificate","2","","",""
"Yes","2013","Not Employed","(2c_voc) vocational maturity certificate","9","","",""
"Yes","2013","Not Employed","(3a) lower tertiary education","28","","",""
"Yes","2013","Not Employed","(3b) higher tertiary education","25","","",""
"Yes","2013","Employed","(0) in school","","","",""
"Yes","2013","Employed","(1a) inadequately completed","","","",""
"Yes","2013","Employed","(1b) general elementary school","7","","",""
"Yes","2013","Employed","(1c) basic vocational qualification","27","","",""
"Yes","2013","Employed","(2b) intermediate general qualification","","","",""
"Yes","2013","Employed","(2a) intermediate vocational","28","","",""
"Yes","2013","Employed","(2c_gen) general maturity certificate","1","","",""
"Yes","2013","Employed","(2c_voc) vocational maturity certificate","7","","",""
"Yes","2013","Employed","(3a) lower tertiary education","2","","",""
"Yes","2013","Employed","(3b) higher tertiary education","13","","",""
"Yes","2014","Not Employed","(0) in school","","","",""
"Yes","2014","Not Employed","(1a) inadequately completed","","","",""
"Yes","2014","Not Employed","(1b) general elementary school","","","",""
"Yes","2014","Not Employed","(1c) basic vocational qualification","","","",""
"Yes","2014","Not Employed","(2b) intermediate general qualification","","","",""
"Yes","2014","Not Employed","(2a) intermediate vocational","","","",""
"Yes","2014","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2014","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","Not Employed","(3a) lower tertiary education","","","",""
"Yes","2014","Not Employed","(3b) higher tertiary education","","","",""
"Yes","2014","Employed","(0) in school","","","",""
"Yes","2014","Employed","(1a) inadequately completed","","","",""
"Yes","2014","Employed","(1b) general elementary school","","","",""
"Yes","2014","Employed","(1c) basic vocational qualification","","","",""
"Yes","2014","Employed","(2b) intermediate general qualification","","","",""
"Yes","2014","Employed","(2a) intermediate vocational","","","",""
"Yes","2014","Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2014","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2014","Employed","(3a) lower tertiary education","","","",""
"Yes","2014","Employed","(3b) higher tertiary education","","","",""
"Yes","2015","Not Employed","(0) in school","","","",""
"Yes","2015","Not Employed","(1a) inadequately completed","16","","",""
"Yes","2015","Not Employed","(1b) general elementary school","45","1","1","1"
"Yes","2015","Not Employed","(1c) basic vocational qualification","159","1","1","1"
"Yes","2015","Not Employed","(2b) intermediate general qualification","5","","",""
"Yes","2015","Not Employed","(2a) intermediate vocational","61","1","1","1"
"Yes","2015","Not Employed","(2c_gen) general maturity certificate","4","","",""
"Yes","2015","Not Employed","(2c_voc) vocational maturity certificate","20","","",""
"Yes","2015","Not Employed","(3a) lower tertiary education","21","","",""
"Yes","2015","Not Employed","(3b) higher tertiary education","30","1","1","1"
"Yes","2015","Employed","(0) in school","","","",""
"Yes","2015","Employed","(1a) inadequately completed","3","","",""
"Yes","2015","Employed","(1b) general elementary school","9","","",""
"Yes","2015","Employed","(1c) basic vocational qualification","36","1","1","1"
"Yes","2015","Employed","(2b) intermediate general qualification","","","",""
"Yes","2015","Employed","(2a) intermediate vocational","39","1","1","1"
"Yes","2015","Employed","(2c_gen) general maturity certificate","2","","",""
"Yes","2015","Employed","(2c_voc) vocational maturity certificate","14","","",""
"Yes","2015","Employed","(3a) lower tertiary education","9","","",""
"Yes","2015","Employed","(3b) higher tertiary education","20","","",""
"Yes","2016","Not Employed","(0) in school","","","",""
"Yes","2016","Not Employed","(1a) inadequately completed","","","",""
"Yes","2016","Not Employed","(1b) general elementary school","","","",""
"Yes","2016","Not Employed","(1c) basic vocational qualification","","","",""
"Yes","2016","Not Employed","(2b) intermediate general qualification","","","",""
"Yes","2016","Not Employed","(2a) intermediate vocational","","","",""
"Yes","2016","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2016","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2016","Not Employed","(3a) lower tertiary education","","","",""
"Yes","2016","Not Employed","(3b) higher tertiary education","","","",""
"Yes","2016","Employed","(0) in school","","","",""
"Yes","2016","Employed","(1a) inadequately completed","","","",""
"Yes","2016","Employed","(1b) general elementary school","","","",""
"Yes","2016","Employed","(1c) basic vocational qualification","","","",""
"Yes","2016","Employed","(2b) intermediate general qualification","","","",""
"Yes","2016","Employed","(2a) intermediate vocational","","","",""
"Yes","2016","Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2016","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2016","Employed","(3a) lower tertiary education","","","",""
"Yes","2016","Employed","(3b) higher tertiary education","","","",""
"Yes","2017","Not Employed","(0) in school","","","",""
"Yes","2017","Not Employed","(1a) inadequately completed","17","","",""
"Yes","2017","Not Employed","(1b) general elementary school","46","1","1","1"
"Yes","2017","Not Employed","(1c) basic vocational qualification","145","1","1","1"
"Yes","2017","Not Employed","(2b) intermediate general qualification","5","","",""
"Yes","2017","Not Employed","(2a) intermediate vocational","70","1","1","1"
"Yes","2017","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2017","Not Employed","(2c_voc) vocational maturity certificate","25","","",""
"Yes","2017","Not Employed","(3a) lower tertiary education","22","","",""
