"ple0016","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Rural Area","West Germany","3241","0.985571662072125","0.981497517776692","0.989645806367559","2"
"No","2009","Rural Area","East Germany","2911","0.975856776080044","0.97033557372661","0.981377978433478","2"
"No","2009","Urban Area","East Germany","1571","0.988114516366678","0.98279446284551","0.993434569887846","2"
"No","2009","Urban Area","West Germany","10109","0.981776406219913","0.979189719137955","0.984363093301872","2"
"Yes","2009","Urban Area","West Germany","163","0.0182235937800866","0.0156369066981281","0.0208102808620451","1"
"Yes","2009","Urban Area","East Germany","23","","","","1"
"Yes","2009","Rural Area","West Germany","50","0.0144283379278747","0.0103541936324412","0.0185024822233081","1"
"Yes","2009","Rural Area","East Germany","58","0.0241432239199561","0.0186220215665221","0.0296644262733902","1"
"No","2010","Urban Area","East Germany","","","","","2"
"No","2010","Urban Area","West Germany","","","","","2"
"No","2010","Rural Area","West Germany","","","","","2"
"No","2010","Rural Area","East Germany","","","","","2"
"Yes","2010","Urban Area","West Germany","","","","","1"
"Yes","2010","Urban Area","East Germany","","","","","1"
"Yes","2010","Rural Area","West Germany","","","","","1"
"Yes","2010","Rural Area","East Germany","","","","","1"
"No","2011","Urban Area","East Germany","1718","0.980628898714954","0.974177013493566","0.987080783936342","2"
"No","2011","Rural Area","East Germany","3093","0.971130999319367","0.96531053526979","0.976951463368943","2"
"No","2011","Urban Area","West Germany","11603","0.975988323178682","0.973231234201263","0.978745412156101","2"
"No","2011","Rural Area","West Germany","4012","0.981216370364591","0.977053199730851","0.98537954099833","2"
"Yes","2011","Urban Area","East Germany","35","0.019371101285046","0.0129192160636578","0.0258229865064343","1"
"Yes","2011","Rural Area","West Germany","73","0.0187836296354095","0.0146204590016699","0.022946800269149","1"
"Yes","2011","Rural Area","East Germany","86","0.0288690006806332","0.0230485366310566","0.0346894647302097","1"
"Yes","2011","Urban Area","West Germany","240","0.0240116768213183","0.0212545878438992","0.0267687657987375","1"
"No","2012","Urban Area","East Germany","","","","","2"
"No","2012","Rural Area","East Germany","","","","","2"
"No","2012","Urban Area","West Germany","","","","","2"
"No","2012","Rural Area","West Germany","","","","","2"
"Yes","2012","Urban Area","East Germany","","","","","1"
